首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
  汝城县,330260,172131,158129,108.85,393185,16.20,9.57,87459,242801,96028,322492,3.36,12009,26450,50103,18806,669
  桂东县,226562,121137,105425,114.90,187887,0.12,12.73,53433,173129,56048,200169,3.57,5977,11142,33140,11438,328
  安仁县,382708,196938,185770,106.01,427028,0.02,9.26,132202,250506,104322,379413,3.64,8459,21234,55462,26460,1166
  资兴市,337294,171452,165842,103.38,373665,1.34,33.20,215707,121587,112965,324750,2.87,18705,39536,56677,16383,369
永州市,5194275,2705361,2488914,108.70,6097782,10.24,16.38,1837863,3356412,1428723,5026335,3.52,178706,362080,710865,340738,15040
  零陵区,532705,273588,259117,105.58,603232,1.09,22.75,250521,282184,143521,503904,3.51,16916,34655,69049,37754,2063
  冷水滩区,488010,250026,237984,105.06,520742,0.55,38.27,290409,197601,140576,462631,3.29,16229,36619,74913,28026,1018
  祁阳县,852204,436007,416197,104.76,1049834,0.55,18.87,307648,544556,234600,804840,3.43,30262,62218,110213,59441,2728
  东安县,546744,282558,264186,106.95,611728,0.47,12.89,178501,368243,160813,537210,3.34,23695,42579,79755,36725,1754
  双牌县,164947,86827,78120,111.15,183181,4.51,19.65,57951,106996,46772,157353,3.36,6398,12256,22962,11052,502
  道县,606299,327262,279037,117.28,737757,4.85,9.18,185181,421118,154261,587830,3.81,17757,34386,79955,38463,1457
  江永县,231898,121404,110494,109.87,265770,60.14,15.79,49131,182767,67687,230880,3.41,7901,16243,38707,12299,438
  宁远县,702562,374262,328300,114.00,833745,2.06,8.44,232023,470539,184842,689168,3.73,21893,43259,92895,47059,1629
  蓝山县,328385,170040,158345,107.39,387866,5.35,10.72,119485,208900,86454,319956,3.70,9808,21706,41670,22031,1047
  新田县,328982,170616,158366,107.74,418066,2.02,12.89,87354,241628,91197,325863,3.57,11316,26013,43825,20398,961
  江华瑶族自治县,411539,212771,198768,107.04,485861,73.20,11.93,79659,331880,118000,406700,3.45,16531,32146,56921,27490,1443
怀化市,4741673,2447003,2294670,106.64,5092480,38.64,19.85,1711423,3030250,1359814,4585745,3.37,159825,345332,668604,332254,13624
  鹤城区,552622,281659,270963,103.95,363515,8.47,52.11,472687,79935,162680,499537,3.07,21021,50847,84493,27051,289
  中方县,236649,122642,114007,107.57,278993,1.49,5.08,54433,182216,67806,231440,3.41,7575,17204,33480,16480,642
  沅陵县,582582,302061,280521,107.68,649547,49.59,17.91,174242,408340,160102,571045,3.57,15454,33630,78820,45544,2108
  辰溪县,453565,235151,218414,107.66,521585,9.45,22.04,133524,320041,133479,443816,3.32,18433,37282,63947,30926,1324
  溆浦县,741014,379487,361527,104.97,898373,9.65,12.61,211166,529848,216608,726905,3.36,26383,58040,102536,53488,2544
  会同县,318686,165023,153663,107.39,357936,64.48,11.67,79509,239177,92809,312340,3.37,11957,22476,44690,24707,936
  麻阳苗族自治县,343309,178108,165201,107.81,388799,97.65,12.37,92503,250806,86067,332891,3.87,6216,13597,44389,27042,1039
