首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
  贞丰县,303883,154306,149577,103.16,381245,43.97,8.40,68402,235481,85184,298812,3.51,9802,24390,46310,14001,483
  望谟县,251966,125400,126566,99.08,314476,78.93,5.69,44579,207387,68376,251044,3.67,6655,14199,34673,18571,933
  册亨县,190413,96503,93910,102.76,230450,78.44,6.62,33400,157013,55843,186368,3.34,6801,13734,28842,12733,534
  安龙县,356255,183183,173072,105.84,436247,44.39,8.34,93593,262662,108649,349417,3.22,15140,33112,57049,17852,636
毕节地区,6537498,3387605,3149893,107.55,8337362,25.88,8.21,1710465,4827033,1854772,6415521,3.46,266501,599593,1013971,234263,6945
  毕节市,1137383,580890,556493,104.38,1483122,9.69,14.88,421342,716041,330388,1109318,3.36,50659,116082,171361,41614,1331
  大方县,776324,403863,372461,108.43,1085893,29.35,5.93,187914,588410,239103,762550,3.19,38472,85611,130874,21969,649
  黔西县,695947,362100,333847,108.46,907179,24.07,10.04,214803,481144,212068,678851,3.20,32896,70443,112353,28370,902
  金沙县,560575,294677,265898,110.82,673134,11.95,11.35,168400,392175,177798,542835,3.05,32728,63283,89135,24549,831
  织金县,784119,407997,376122,108.47,1085835,45.59,7.54,202443,581676,237279,769936,3.24,38508,86206,130579,20069,425
  纳雍县,670272,345082,325190,106.12,923473,49.53,5.88,167248,503024,194352,661671,3.40,30174,73277,100885,19567,623
  威宁彝族回族苗族自治县,1263521,660040,603481,109.37,1398827,23.13,4.00,239160,1024361,297651,1250228,4.20,25156,59115,188606,48802,1128
  赫章县,649357,332956,316401,105.23,779899,21.17,6.54,109155,540202,166133,640132,3.85,17908,45576,90178,29323,1056
黔东南苗族侗族自治州,3481891,1817730,1664161,109.23,4457867,78.27,14.03,918935,2562956,1072872,3380567,3.15,165578,340861,522590,202652,6769
  凯里市,479011,250361,228650,109.50,441160,74.61,35.70,274922,204089,144686,445370,3.08,23640,46107,75141,22853,585
  黄平县,263363,133487,129876,102.78,381248,65.01,9.90,49900,213463,84221,258610,3.07,14718,30148,39904,13802,367
  施秉县,130464,66753,63711,104.77,168497,51.44,12.58,38558,91906,39148,127762,3.26,5016,11532,19905,7518,193
  三穗县,155735,80249,75486,106.31,220276,64.94,13.44,43501,112234,53569,153456,2.86,11028,21653,23974,7641,301
  镇远县,203622,106356,97266,109.35,261896,45.50,16.84,69439,134183,63721,196251,3.08,9672,20667,30928,11734,392
  岑巩县,162444,84728,77716,109.02,225467,47.48,10.34,32509,129935,53730,160552,2.99,9166,19648,25417,8434,231
  天柱县,263850,138200,125650,109.99,399126,97.54,10.13,61161,202689,91180,258266,2.83,18236,35533,39790,15241,616
  锦屏县,154869,79516,75353,105.52,225368,88.66,13.31,41868,113001,51161,149422,2.92,9550,18972,23250,8695,244
  剑河县,180624,95935,84689,113.28,246703,93.35,9.72,35546,145078,55617,176558,3.17,8772,17866,27257,10227,267
  台江县,112319,58745,53574,109.65,153845,95.67,12.99,25704,86615,34766,110692,3.18,5845,11259,17844,5579,84
  黎平县,391047,203389,187658,108.38,520483,86.63,8.93,73084,317963,116686,381705,3.27,15494,32662,55958,27006,1060
  榕江县,286322,151199,135123,111.90,344750,80.89,8.63,46610,239712,79979,278163,3.48,8647,20217,42859,16440,463
  从江县,290960,153445,137515,111.58,336511,93.55,7.26,39935,251025,79582,285379,3.59,7452,16496,40054,21947,1085
  雷山县,117190,63372,53818,117.75,151118,91.18,12.20,27315,89875,35481,115320,3.25,5700,10660,17208,7437,176
  麻江县,167641,87024,80617,107.95,218253,79.05,9.39,34252,133389,51233,162615,3.17,6905,15423,25021,10361,428
  丹寨县,122430,64971,57459,113.07,163166,86.58,10.76,24631,97799,38112,120446,3.16,5737,12018,18080,7737,277
黔南布依族苗族自治州,3232714,1664365,1568349,106.12,3980083,55.16,15.82,930142,2302572,977040,3131642,3.21,144073,292745,484071,193365,6859
  都匀市,443721,227779,215942,105.48,478827,65.24,36.70,217091,226630,141586,410814,2.90,27149,50147,64847,25775,817
  福泉市,283904,147713,136191,108.46,317261,24.26,20.96,125389,158515,86815,274407,3.16,12450,26707,45902,13765,441
  荔波县,144865,75193,69672,107.92,170097,90.20,10.97,32667,112198,44085,139379,3.16,5968,12848,22430,8548,259
  贵定县,231118,118453,112665,105.14,291231,49.12,19.18,74899,156219,68303,220053,3.22,9332,19546,34487,13787,483
  瓮安县,380318,195654,184664,105.95,468809,5.33,10.88,123264,257054,117893,372205,3.16,17678,36805,60464,19989,635
  独山县,265212,135759,129453,104.87,345244,75.29,13.22,66415,198797,84187,260235,3.09,14315,27415,38763,17356,653
  平塘县,228560,117963,110597,106.66,310673,59.24,8.32,48536,180024,71772,225967,3.15,9988,21938,33963,15282,589
  罗甸县,257236,131196,126040,104.09,335484,67.95,8.90,42318,214918,77193,253519,3.28,10294,20194,37031,19175,793
  长顺县,191129,99147,91982,107.79,256602,55.94,11.31,42719,148410,57751,186999,3.24,7905,16933,29432,10988,398
  龙里县,180865,93533,87332,107.10,213949,38.99,14.29,48914,131951,53721,175791,3.27,7481,15385,27412,10564,360
  惠水县,342647,175514,167133,105.01,445265,59.00,11.58,71721,270926,95255,333917,3.51,11511,24275,46796,23294,890
  三都水族自治县,283139,146461,136678,107.16,346641,95.67,7.65,36209,246930,78479,278356,3.55,10002,20552,42544,14842,541
,,,,,,,,,,,,,,,,,
云南省,45966766,23856696,22110070,107.90,45631063,33.39,16.45,15959072,30007694,12339961,43626674,3.54,1381070,2927576,6343962,2912622,155801
昆明市,6432209,3306182,3126027,105.76,5413900,13.83,38.09,4337798,2094411,2099403,5726197,2.73,436341,871656,925432,291030,11285
  五华区,855521,428426,427095,100.31,660650,13.12,71.69,855521,,282097,692660,2.46,71153,130984,121324,29319,470
  盘龙区,809881,418353,391528,106.85,519009,10.33,57.59,772119,37762,289957,700073,2.41,78299,144417,117402,27444,694
  官渡区,853371,444247,409124,108.58,546373,10.29,45.80,832675,20696,319979,754968,2.36,96341,166703,122114,30222,940
  西山区,753813,385363,368450,104.59,510006,13.03,63.30,680462,73351,275782,672309,2.44,71257,134350,113299,27475,658
  东川区,271917,140925,130992,107.58,315209,6.59,24.50,113632,158285,83337,264751,3.18,10733,24473,43434,14933,497
  呈贡县,310843,165133,145710,113.33,189402,10.23,22.27,138000,172843,78197,218260,2.79,12307,31523,35932,10222,520
  晋宁县,283784,144141,139643,103.22,276466,10.18,14.82,106586,177198,94838,264043,2.78,13737,37025,46477,10942,394
  富民县,145554,73853,71701,103.00,148521,14.26,12.18,43410,102144,42056,139965,3.33,3687,10003,21433,10195,425
  宜良县,419399,212571,206828,102.78,419708,8.58,11.63,176843,242556,122661,399979,3.26,13382,33268,60709,27491,1193
  石林彝族自治县,246218,127137,119081,106.77,244320,33.56,11.65,87955,158263,72857,231385,3.18,8268,20905,38923,12552,477
  嵩明县,287095,146613,140482,104.36,289525,8.52,10.99,106518,180577,76658,260511,3.40,8111,21054,34981,19270,1353
  禄劝彝族苗族自治县,396404,201405,194999,103.29,473554,30.00,5.83,83220,313184,116073,386470,3.33,12623,31013,54622,28833,1605
  寻甸回族彝族自治县,457068,233492,223576,104.44,539734,21.82,6.50,98706,358362,128059,440384,3.44,11749,34551,61985,29822,1701
  安宁巿,341341,184523,156818,117.67,281423,13.71,42.19,242151,99190,116852,300439,2.57,24694,51387,52797,12310,358
曲靖市,5855055,3074983,2780072,110.61,6274370,7.05,11.75,2297938,3557117,1618821,5644199,3.49,159208,394408,937998,276418,9997
  麒麟区,740747,379781,360966,105.21,702996,5.01,31.75,468437,272310,239782,691699,2.88,42984,88874,114841,34764,1303
  马龙县,184989,94608,90381,104.68,204192,7.67,10.09,57781,127208,52952,179229,3.38,4955,15140,25971,11421,420
  陆良县,622397,325133,297264,109.38,653636,1.68,10.71,225046,397351,172510,600735,3.48,12024,41616,103968,26116,810
  师宗县,392361,205979,186382,110.51,406727,17.20,8.47,107004,285357,96630,381006,3.94,5959,16540,55425,23545,1120
  罗平县,549680,288488,261192,110.45,613352,13.35,7.80,194378,355302,143597,537121,3.74,9764,29324,84056,28812,1405
  富源县,722640,381260,341380,111.68,784275,8.43,8.36,249312,473328,189662,691088,3.64,18352,45688,116725,26474,775
  会泽县,908292,484733,423559,114.44,1005834,4.31,7.28,234295,673997,237329,893848,3.77,19423,42906,138641,53784,1998
  沾益县,431058,225792,205266,110.00,426719,5.99,10.63,177609,253449,109008,404244,3.71,8439,21396,57053,29140,1419
  宣威市,1302891,689209,613682,112.31,1476639,6.49,9.10,584076,718815,377351,1265229,3.35,37308,92924,241318,42362,747
玉溪市,2303518,1181282,1122236,105.26,2166932,32.27,17.19,968805,1334713,645607,2147133,3.33,71566,170468,332385,136318,6436
  红塔区,495129,249639,245490,101.69,426190,16.15,30.78,306879,188250,143306,446730,3.12,20053,46256,68477,27276,1297
  江川县,280889,142213,138676,102.55,275969,6.51,11.45,93471,187418,80748,269805,3.34,7490,21056,45633,13522,537
  澄江县,169366,85602,83764,102.19,164304,6.21,12.34,69008,100358,48780,159720,3.27,5144,12951,27290,8267,272
  通海县,300800,152192,148608,102.41,283712,16.56,12.33,135923,164877,85270,288666,3.39,8128,21273,45023,18164,810
  华宁县,214650,110578,104072,106.25,211710,27.23,11.99,81456,133194,62827,205015,3.26,6982,16377,34420,11526,504
  易门县,177110,92755,84355,109.96,171114,30.89,18.49,69279,107831,48558,160352,3.30,6181,12815,24073,11196,474
  峨山彝族自治县,162831,83927,78904,106.37,152879,65.65,18.07,60511,102320,43265,149464,3.45,3933,9691,22107,10979,488
  新平彝族傣族自治县,285344,151068,134276,112.51,274508,68.19,13.20,82108,203236,76367,261264,3.42,8797,19053,35536,20496,1282
  元江哈尼族彝族傣族自治县,217399,113308,104091,108.85,206546,78.20,12.68,70170,147229,56486,206117,3.65,4858,10996,29826,14892,772
保山市,2506491,1285247,1221244,105.24,2549381,10.31,10.98,572053,1934438,616285,2404240,3.90,43171,92478,276658,230945,16204
  隆阳区,935618,470883,464735,101.32,917025,13.92,14.60,263380,672238,228949,886879,3.87,17238,35899,104188,82587,6275
  施甸县,305223,154971,150252,103.14,337511,7.76,8.73,49929,255294,79911,299998,3.75,7469,15175,31740,30519,2477
  腾冲县,644765,336234,308531,108.98,654127,7.57,8.80,135318,509447,151771,619430,4.08,8435,18606,68157,60898,4110
  龙陵县,277319,146526,130793,112.03,293163,5.97,9.10,42986,234333,68900,266844,3.87,4612,10964,32040,24396,1500
  昌宁县,343566,176633,166933,105.81,347555,11.36,8.67,80440,263126,86754,331089,3.82,5417,11834,40533,32545,1842
昭通市,5213521,2738001,2475520,110.60,5829505,10.17,8.48,975284,4238237,1277565,5106340,4.00,120025,230597,784908,252209,9851
  昭阳区,787837,405836,382001,106.24,846720,16.67,16.62,255861,531976,217140,757338,3.49,25507,53803,136719,25982,636
  鲁甸县,390654,204595,186059,109.96,438503,20.82,6.26,60056,330598,94380,383427,4.06,8860,17247,64384,12433,316
  巧家县,516349,280329,236020,118.77,585855,4.42,4.97,67272,449077,134216,511521,3.81,13049,22971,79539,30712,994
  盐津县,369881,194185,175696,110.52,396116,3.78,8.78,64579,305302,83540,361929,4.33,6262,10907,45431,25742,1460
  大关县,263225,139366,123859,112.52,286112,8.25,7.12,53870,209355,61862,259041,4.19,4978,8874,36862,15411,715
  永善县,394267,210431,183836,114.47,462744,7.55,7.28,68875,325392,105050,386463,3.68,12035,20542,62138,21679,691
  绥江县,153091,79693,73398,108.58,167050,0.66,14.84,60165,92926,36875,147116,3.99,2972,5962,19018,11415,480
  镇雄县,1328371,696342,632029,110.18,1526647,8.23,5.37,209210,1119161,302287,1309144,4.33,27205,50576,200505,49421,1785
  彝良县,521838,274000,247838,110.56,587829,13.67,5.29,35652,486186,124811,514598,4.12,9071,18657,75559,29442,1153
  威信县,385865,199823,186042,107.41,426884,11.22,7.88,55097,330768,88861,380851,4.29,6290,13181,50895,23459,1326
  水富县,102143,53401,48742,109.56,105045,4.07,28.91,44647,57496,28543,94912,3.33,3796,7877,13858,6513,295
丽江市,1244769,642374,602395,106.64,1209381,56.79,13.85,355750,889019,312668,1148378,3.67,25875,59062,160463,88953,4190
  古城区,211151,106229,104922,101.25,158947,64.30,35.78,151744,59407,50832,167766,3.30,6161,14387,22132,13757,556
  玉龙纳西族自治县,214697,112002,102695,109.06,217857,82.84,8.69,27747,186950,51970,199043,3.83,3390,7275,24978,18842,875
  永胜县,392024,198580,193444,102.66,401799,33.34,7.66,79938,312086,98252,379485,3.86,6075,13999,48592,33688,1973
  华坪县,168028,90061,77967,115.51,163405,32.56,15.89,63201,104827,45550,152990,3.36,5781,11746,21675,11610,519
  宁蒗彝族自治县,258869,135502,123367,109.84,267373,80.29,8.32,33120,225749,66064,249094,3.77,4468,11655,43086,11056,267
普洱市,2542898,1339502,1203396,111.31,2506730,61.01,13.12,669340,1873558,689342,2461725,3.57,72300,142986,369108,168675,8573
  思茅区,296565,155060,141505,109.58,220683,36.62,33.18,185473,111092,87385,265654,3.04,13169,28375,44316,14094,600
  宁洱哈尼族彝族自治县,185719,96929,88790,109.17,193305,52.56,16.94,49348,136371,51160,179822,3.51,5358,11342,25372,13718,728
  墨江哈尼族自治县,360507,193807,166700,116.26,374584,75.21,8.58,48893,311614,88276,354574,4.02,7758,13525,48151,25183,1417
  景东彝族自治县,359527,186391,173136,107.66,362666,47.74,7.76,60984,298543,97878,353733,3.61,10219,17848,50371,28224,1435
  景谷傣族彝族自治县,291672,156008,135664,115.00,312193,46.09,11.34,66140,225532,82158,283563,3.45,8225,18139,42525,20574,920
  镇沅彝族哈尼族拉祜族自治县,208606,110882,97724,113.46,211741,53.67,10.52,47121,161485,56161,202756,3.61,5746,10455,29636,15288,782
  江城哈尼族彝族自治县,121545,63831,57714,110.60,109161,74.93,15.58,42619,78926,33163,118426,3.57,3338,7021,18497,7228,417
  孟连傣族拉祜族佤族自治县,135538,69700,65838,105.87,128361,79.01,12.79,82030,53508,37869,133400,3.52,3666,8033,20494,8918,424
  澜沧拉祜族自治县,491884,259473,232411,111.64,497748,76.01,8.38,70533,421351,130022,479859,3.69,12062,23188,73934,31230,1670
  西盟佤族自治县,91335,47421,43914,107.99,96288,91.90,14.04,16199,75136,25270,89938,3.56,2759,5060,15812,4218,180
临沧市,2429497,1274678,1154819,11038.00,2377101,37.28,10.94,591205,1838292,596484,2326790,3.90,41533,86049,326399,174360,9676
  临翔区,323708,166001,157707,105.26,317713,18.76,21.98,142095,181613,82213,295358,3.59,7574,16059,43205,21891,1058
  凤庆县,458322,237642,220680,107.69,447058,29.26,7.37,76529,381793,108034,443624,4.11,5315,10673,54209,40615,2537
  云县,449460,237666,211794,112.22,450489,46.30,8.09,107425,342035,110900,437431,3.94,6971,13934,61057,34314,1595
  永德县,369702,199612,170090,117.36,354031,19.75,7.58,63420,306282,87771,350267,3.99,5387,10927,48658,26647,1539
  镇康县,176356,94843,81513,116.35,177429,26.63,8.12,29562,146794,42391,170096,4.01,2737,5690,23902,12061,738
  双江拉祜族佤族布朗族傣族自治县,176549,92976,83573,111.25,170955,42.16,10.96,48589,127960,44158,168384,3.81,3272,7049,26140,10497,472
  耿马傣族佤族自治县,296302,152517,143785,106.07,282264,50.67,13.39,80657,215645,72973,288399,3.95,5113,11851,40321,19395,1406
  沧源佤族自治县,179098,93421,85677,109.04,177162,88.41,13.00,42928,136170,48044,173231,3.61,5164,9866,28907,8940,331
楚雄彝族自治州,2684169,1374454,1309715,104.94,2638153,33.06,14.74,857721,1826448,721989,2546751,3.53,79649,160365,331502,216990,13132
  楚雄市,588620,300893,287727,104.58,513725,21.93,27.75,331991,256629,158982,521302,3.28,20647,44474,70458,41701,2349
  双柏县,159867,83752,76115,110.03,156668,48.48,10.55,36111,123756,43150,156010,3.62,5064,8518,20506,13341,785
  牟定县,208726,106957,101769,105.10,206993,20.63,9.61,49648,159078,54774,202993,3.71,6008,10077,25518,18034,1145
  南华县,236133,120161,115972,103.61,238808,41.54,10.58,49998,186135,60280,229587,3.81,4414,9981,26610,22366,1323
  姚安县,197676,100091,97585,102.57,209120,26.78,8.25,53445,144231,52002,190372,3.66,4147,9566,24256,17133,1047
  大姚县,273315,139987,133328,104.99,284425,34.76,8.87,49532,223783,75528,265349,3.51,9048,16323,34095,23676,1434
  永仁县,109304,56775,52529,108.08,106923,61.71,15.12,26915,82389,30641,106929,3.49,3757,6680,14221,9162,578
  元谋县,215795,110125,105670,104.22,218367,37.53,10.51,52498,163297,55445,206109,3.72,4643,9902,25914,18485,1144
  武定县,271963,138724,133239,104.12,276390,52.76,8.62,58429,213534,69758,262772,3.77,5836,11860,33987,22349,1562
  禄丰县,422770,216989,205781,105.45,426734,23.59,15.85,149154,273616,121429,405328,3.34,16085,32984,55937,30743,1765
红河哈尼族彝族自治州,4500896,2341328,2159568,108.42,4460511,57.15,16.40,1380437,3120459,1168050,4311663,3.69,105973,239232,602367,308676,17775
  个旧市,459781,240531,219250,109.71,402761,40.93,43.78,163528,296253,137950,416933,3.02,19864,44062,70342,22673,873
  开远市,322693,165707,156986,105.56,284479,55.15,33.68,210801,111892,93546,303074,3.24,13259,27762,46468,18473,843
  蒙自县,417156,216229,200927,107.62,377771,55.09,22.49,212724,204432,109104,381007,3.49,12541,25958,54830,26741,1575
  屏边苗族自治县,153964,80750,73214,110.29,158130,63.31,10.59,16699,137265,39566,151488,3.83,3495,7019,21782,10146,619
  建水县,531456,270618,260838,103.75,532162,38.66,13.54,193199,338257,139463,508009,3.64,11506,27871,68994,40646,1952
  石屏县,299114,150686,148428,101.52,307758,59.19,11.57,93657,205457,80998,293142,3.62,7306,15249,42261,22386,1102
  弥勒县,539725,277380,262345,105.73,526681,41.91,11.03,213462,326263,144247,520665,3.61,13016,29536,75611,37025,2075
  泸西县,400734,212272,188462,112.63,421038,13.26,9.48,120044,280690,105148,388133,3.69,6810,21265,58994,23765,1124
  元阳县,396777,212209,184568,114.98,426000,87.63,4.84,25428,371349,89962,391328,4.35,5280,10306,43921,33298,2437
  红河县,296480,154754,141726,109.19,314866,95.61,5.40,20440,276040,66554,293271,4.41,3121,6706,36155,22525,1168
  金平苗族瑶族傣族自治县,356227,188133,168094,111.92,384338,85.54,6.74,50457,305770,81579,349036,4.28,3750,9038,41402,28494,2645
  绿春县,222180,116623,105557,110.48,232145,97.56,7.58,21672,200508,49442,217895,4.41,2152,5043,25916,17329,1154
  河口瑶族自治县,104609,55436,49173,112.74,92382,61.58,35.89,38326,66283,30491,97682,3.20,3873,9417,15691,5175,208
文山壮族苗族自治州,3517946,1838545,1679401,109.48,3697726,57.31,9.59,808283,2709663,815164,3402723,4.17,47448,106959,425928,266290,15987
  文山县,481505,247547,233958,105.81,485625,51.76,25.20,229430,252075,121382,430934,3.55,12740,28939,63558,27569,1316
  砚山县,463261,240194,223067,107.68,496200,66.00,8.71,147701,315560,108086,450696,4.17,6660,14267,58345,33601,1873
  西畴县,255286,133795,121491,110.13,256768,19.44,7.82,35843,219443,58833,251183,4.27,2850,5579,29665,22052,1537
  麻栗坡县,277960,145557,132403,109.93,290550,41.99,8.18,50283,227677,65612,269084,4.10,3784,8297,32394,23314,1607
  马关县,367507,192380,175127,109.85,371517,50.71,9.41,89859,277648,91018,359635,3.95,6096,12746,48363,28281,1628
  丘北县,477441,252281,225160,112.05,519170,65.31,6.74,73560,403881,105607,469533,4.45,3751,10824,62947,30379,1457
  广南县,787449,417462,369987,112.83,839390,62.23,4.80,114529,672920,169297,773955,4.57,6161,14567,87626,63163,3941
  富宁县,407537,209329,198208,105.61,438506,75.22,6.95,67078,340459,95329,397703,4.17,5406,11740,43030,37931,2628
西双版纳傣族自治州,1133515,587386,546129,107.55,945259,69.97,23.90,385093,748422,314020,1087224,3.46,38150,87254,145084,73672,8010
  景洪市,519935,269139,250796,107.31,397070,61.37,30.70,205523,314412,151937,485874,3.20,22884,52038,66139,30570,3190
  勐海县,331850,171326,160524,106.73,321433,83.21,13.04,94945,236905,83750,326388,3.90,7141,15475,39290,25785,3200
  勐腊县,281730,146921,134809,108.98,226756,70.23,24.13,84625,197105,78333,274962,3.51,8125,19741,39655,17317,1620
大理白族自治州,3456323,1751987,1704336,102.80,3522611,49.31,12.72,1121395,2334928,918419,3317089,3.61,84463,171940,439441,289701,17337
  大理市,652045,325748,326297,99.83,609151,68.08,31.99,367122,284923,181715,595082,3.27,21974,50166,81392,47163,2994
  漾濞彝族自治县,102305,52684,49621,106.17,102811,68.57,10.64,23964,78341,29412,100387,3.41,4082,6162,14257,8482,511
  祥云县,455605,230990,224615,102.84,470366,17.96,8.55,154072,301533,118703,443840,3.74,9494,20250,56701,39505,2247
  宾川县,348754,178232,170522,104.52,350784,22.16,8.48,105933,242821,87316,336978,3.86,4766,11348,43694,30312,1962
  弥渡县,313156,158156,155000,102.04,326352,10.03,6.81,94913,218243,83223,304722,3.66,6571,13813,42154,26002,1254
  南涧彝族自治县,211433,107403,104030,103.24,222229,51.35,6.90,55792,155641,56751,207136,3.65,4400,8543,29366,18002,840
  巍山彝族回族自治县,304368,153317,151051,101.50,315879,44.48,6.77,55204,249164,78884,299947,3.80,5564,11003,39249,27064,1568
  永平县,175163,89910,85253,105.46,180831,42.03,10.32,70011,105152,45619,170542,3.74,3624,6795,21586,16221,1017
  云龙县,199880,105783,94097,112.42,206646,84.64,9.46,46201,153679,58495,190945,3.26,8851,14325,30119,13392,659
  洱源县,268313,135045,133268,101.33,286768,69.02,7.40,48474,219839,69318,258840,3.73,5735,11458,32251,23955,1654
  剑川县,169973,85889,84084,102.15,177839,94.45,9.18,41971,128002,41363,163244,3.95,2179,5206,19473,15776,908
  鹤庆县,255328,128830,126498,101.84,272955,65.53,9.03,57738,197590,67620,245426,3.63,7223,12871,29199,23827,1723
德宏傣族景颇族自治州,1211440,624774,586666,106.50,1150313,48.07,18.33,413393,798047,315547,1146026,3.63,32855,69092,160531,81621,4303
  瑞丽市,180627,93391,87236,107.06,129818,42.36,28.59,99148,81479,54187,167441,3.09,9909,18820,25771,9289,307
  潞西市,389891,200090,189801,105.42,373101,47.66,22.28,131425,258466,98550,362398,3.68,9012,20649,48591,27588,1722
  梁河县,154175,80024,74151,107.92,167465,33.07,11.18,33229,120946,40725,149632,3.67,3775,8049,20865,11195,616
  盈江县,305167,158989,146178,108.76,292946,55.94,11.43,94491,210676,75560,290753,3.85,6661,14005,39736,20731,1088
  陇川县,181580,92280,89300,103.34,186983,54.12,17.45,55100,126480,46525,175802,3.78,3498,7569,25568,12818,570
怒江傈僳族自治州,534337,282900,251437,112.51,530974,87.65,14.44,124965,409372,139018,492158,3.54,14702,29245,78889,29829,1055
  泸水县,184835,98867,85968,115.00,177735,81.37,18.83,53997,130838,45543,160496,3.52,4503,9326,25798,10029,390
  福贡县,98616,50541,48075,105.13,105116,97.04,9.85,10405,88211,26472,97174,3.67,2737,5424,16006,4916,126
  贡山独龙族怒族自治县,37894,20094,17800,112.89,35761,90.39,15.88,6827,31067,11152,35856,3.22,1628,2863,6532,1713,44
  兰坪白族普米族自治县,212992,113398,99594,113.86,212362,88.26,12.52,53736,159256,55851,198632,3.56,5834,11632,30553,13171,495
迪庆藏族自治州,400182,213073,187109,113.88,358216,81.66,12.36,99612,300570,91579,358038,3.91,7811,15785,46869,26935,1990
  香格里拉县,172988,91830,81158,113.15,143273,77.78,16.25,66382,106606,38887,148950,3.83,3690,8248,18704,10882,1053
  德钦县,66589,35948,30641,117.32,60501,90.63,12.20,10217,56372,12950,57108,4.41,956,1609,4956,5882,503
  维西傈僳族自治县,160605,85295,75310,113.26,154442,82.12,8.18,23013,137592,39742,151980,3.82,3165,5928,23209,10171,434
,,,,,,,,,,,,,,,,,
西藏自治区,3002165,1542652,1459513,105.70,2893906,91.83,14.77,680589,2321576,670838,2837769,4.23,98594,180181,337601,146146,6910
拉萨市,559423,287437,271986,105.68,472364,78.36,33.82,240958,318465,153632,490080,3.19,31824,66356,65558,20945,773
  城关区,279074,144376,134698,107.18,176030,61.44,60.33,199159,79915,91611,226501,2.47,24407,53461,32569,5474,107
  林周县,50246,25130,25116,100.06,58591,97.67,4.59,2922,47324,10435,48183,4.62,740,1435,5063,3730,207
  当雄县,46463,23403,23060,101.49,47155,98.25,6.75,5538,40925,9312,45613,4.90,846,1384,5396,2426,106
  尼木县,28149,14279,13870,102.95,31663,97.90,5.41,3178,24971,5478,26703,4.87,680,1076,2603,1680,119
  曲水县,31860,16244,15616,104.02,33910,94.25,7.11,4924,26936,7434,29095,3.91,792,1549,3826,2005,54
  堆龙德庆县,52249,27285,24964,109.30,47745,86.82,12.17,17504,34745,13635,45339,3.33,2052,3905,7649,2040,41
  达孜县,26708,13756,12952,106.21,28800,96.38,8.15,3589,23119,7131,25703,3.60,1253,1843,3743,1499,46
  墨竹工卡县,44674,22964,21710,105.78,48470,97.32,4.87,4144,40530,8596,42943,5.00,1054,1703,4709,2091,93
昌都地区,657505,338097,319408,105.85,659480,96.07,6.49,85263,572242,113833,631459,5.55,9983,19651,63064,29942,1176
  昌都县,116500,60517,55983,108.10,106311,88.73,18.29,44028,72472,24470,107380,4.39,2591,5603,13339,5327,201
  江达县,76026,39218,36808,106.55,77680,97.84,2.98,2432,73594,11883,72933,6.14,670,1415,7161,3228,79
  贡觉县,40434,20534,19900,103.19,41141,97.20,3.54,2892,37542,6658,40075,6.02,971,1414,3168,2003,73
  类乌齐县,49870,25195,24675,102.11,50084,98.50,4.17,6228,43642,8771,46685,5.32,1002,1731,5633,1382,25
  丁青县,69888,36168,33720,107.26,68823,98.12,3.09,4151,65737,10310,68595,6.65,606,1442,6568,2270,30
  察雅县,56789,28517,28272,100.87,57833,98.76,3.15,4321,52468,9807,56364,5.75,848,1632,6075,2054,46
  八宿县,39021,19790,19231,102.91,42125,96.04,4.61,4561,34460,6999,38116,5.45,712,1340,3683,1897,79
  左贡县,44320,22501,21819,103.13,46344,97.87,4.48,3578,40742,7947,43337,5.45,514,1107,4992,1815,33
  芒康县,81399,43417,37982,114.31,86229,96.85,4.13,4293,77106,12666,76750,6.06,1294,2047,4493,5691,435
  洛隆县,47491,23988,23503,102.06,47477,98.16,5.15,5810,41681,8070,46856,5.81,488,1106,4514,2343,107
  边坝县,35767,18252,17515,104.21,35433,96.54,4.71,2969,32798,6252,34368,5.50,287,814,3438,1932,68
山南地区,328990,166270,162720,102.18,327994,94.41,10.91,71957,257033,87998,316963,3.60,13875,22150,46095,19261,492
  乃东县,59615,30330,29285,103.57,52053,83.71,27.45,30646,28969,19748,57434,2.91,4841,8029,8817,2854,48
  扎囊县,35473,17599,17874,98.46,37723,98.46,5.91,1824,33649,8158,34821,4.27,954,1497,4122,2454,85
  贡嘎县,45708,23096,22612,102.14,47872,96.43,8.21,11211,34497,10142,43287,4.27,1041,1770,5420,2839,113
  桑日县,17261,8790,8471,103.77,16916,97.32,6.36,1934,15327,4397,16839,3.83,620,946,2583,854,14
  琼结县,17093,8326,8767,94.97,18052,97.26,7.72,2469,14624,4570,16782,3.67,811,1170,2133,1243,24
  曲松县,14280,7188,7092,101.35,15992,97.94,8.17,2687,11593,4185,13928,3.33,736,1089,2267,822,7
  措美县,13641,6775,6866,98.67,13784,97.44,7.68,4267,9374,3753,13319,3.55,546,764,2099,874,16
  洛扎县,18453,9215,9238,99.75,19494,98.37,8.40,3349,15104,4696,17795,3.79,288,630,2667,1374,25
