首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
  旺苍县,6245,18655,69045,79184,75223,58369,23315,17403,6765,4589,2206,1249,7.94,8.54,7.33,21852,5038,16814,7.01,3.21,10.85
  青川县,4631,10734,41208,44762,45269,32300,12549,9715,4395,3203,1228,756,7.85,8.34,7.32,13722,3918,9804,7.29,4.01,10.83
  剑阁县,8874,27114,78393,87437,90137,70063,26244,21252,7342,5052,2792,1580,7.77,8.39,7.15,31922,7398,24524,8.43,3.91,12.96
  苍溪县,15881,52382,97757,105040,88713,71696,37755,28531,10365,6692,2749,1339,7.36,8.24,6.54,62980,13756,49224,13.55,6.11,20.54
遂宁市,47226,134569,514494,554981,728247,640973,187448,146108,49398,36571,20586,13555,8.17,8.61,7.73,167786,41233,126553,6.07,2.99,9.16
  船山区,6942,18998,91318,99862,133041,127498,49145,42285,21763,16940,8990,6112,8.97,9.36,8.58,23643,5951,17692,4.22,2.14,6.26
  安居区,8221,23927,113790,125242,154972,123955,26708,17524,4300,2684,1359,745,7.76,8.21,7.30,29566,7156,22410,5.51,2.62,8.51
  蓬溪县,10120,26963,94047,96364,128193,109309,24279,17441,6098,4151,2589,1662,7.80,8.26,7.34,35103,9238,25865,7.52,3.90,11.23
  射洪县,14358,43330,143251,153656,194456,178343,65135,52282,12838,9746,5572,3777,8.20,8.67,7.74,52325,12127,40198,6.60,3.10,10.01
  大英县,7585,21351,72088,79857,117585,101868,22181,16576,4399,3050,2076,1259,7.96,8.42,7.50,27149,6761,20388,6.71,3.35,10.05
内江市,51620,122040,613833,619968,820755,731453,187283,166931,51544,45264,24067,20174,8.23,8.50,7.95,156855,44433,112422,5.08,2.85,7.36
  巿中区,6944,17355,69298,69479,104300,99331,39744,36056,12454,9975,5423,3613,8.80,9.13,8.48,21603,5782,15821,5.06,2.70,7.43
  东兴区,13088,28336,116281,118434,159606,142013,37698,35996,12846,11504,8863,8941,8.38,8.65,8.11,38814,11877,26937,6.30,3.85,8.75
  威远县,7017,18127,105902,109926,143698,126671,30454,26319,7716,6527,2683,1814,8.15,8.42,7.86,22304,5945,16359,4.21,2.21,6.25
  资中县,15802,34102,202421,201395,287490,250386,49624,41669,11644,10375,4523,3718,8.09,8.32,7.84,43691,13175,30516,4.41,2.60,6.33
  隆昌县,8769,24120,119931,120734,125661,113052,29763,26891,6884,6883,2575,2088,7.91,8.21,7.61,30443,7654,22789,5.80,2.94,8.64
乐山市,52676,119970,559585,572021,609493,543010,205529,185324,69656,66452,45308,34351,8.42,8.71,8.11,147088,42849,104239,5.28,3.06,7.52
  市中区,4255,11337,81933,87474,115318,114038,59965,60194,26609,31266,23732,21017,9.87,10.02,9.74,13932,3597,10335,2.35,1.24,3.40
  沙湾区,2394,5100,33833,33835,39775,33477,12994,10363,3566,2439,1267,842,8.33,8.61,8.01,6633,1995,4638,4.02,2.31,5.88
  五通桥区,3393,8149,51761,53113,67159,62568,20516,19135,5448,4924,2156,1590,8.43,8.64,8.22,10168,2780,7388,3.63,1.98,5.30
  金口河区,841,2037,10120,10454,8180,5919,2955,2311,1486,1194,586,350,8.15,8.59,7.66,2498,683,1815,6.06,3.17,9.23
  犍为县,5367,12326,85984,90088,85216,75360,22042,19016,4989,3954,2115,1642,7.93,8.20,7.65,15183,4429,10754,4.10,2.38,5.84
  井研县,5124,14222,55074,58347,50716,46174,13608,11431,3400,2649,1178,856,7.62,8.05,7.21,17935,4586,13349,7.58,3.95,11.07
  夹江县,3290,10101,53889,57152,76689,69542,20852,18185,5520,5328,2245,1693,8.40,8.69,8.11,12356,2883,9473,4.12,1.92,6.32
  沐川县,5214,11086,46509,45365,41372,30614,8921,6482,2446,1645,744,422,7.39,7.84,6.90,15337,4732,10605,8.74,5.14,12.72
  峨边彝族自治县,6700,13444,28332,25683,21575,15319,5514,4220,2891,1961,1071,611,6.97,7.65,6.25,10294,3436,6858,9.41,6.08,12.98
  马边彝族自治县,11969,20599,42419,38120,17459,12504,5042,3944,2290,1529,689,328,6.05,6.69,5.39,28516,10112,18404,22.59,15.77,29.62
  峨眉山市,4129,11569,69731,72390,86034,77495,33120,30043,11011,9563,9525,5000,8.84,9.17,8.49,14236,3616,10620,3.68,1.84,5.59
南充市,113115,312013,1038386,1120574,1267826,1064893,409813,294192,102394,76171,50023,46380,8.08,8.61,7.56,391517,98970,292547,7.50,3.79,11.22
  顺庆区,7400,19731,85530,91649,117309,115521,65693,60027,28585,26226,24152,27388,9.80,10.07,9.54,24799,6418,18381,4.09,2.17,5.91
  高坪区,7897,17445,96790,98502,114020,97052,31551,22695,9587,9142,5030,7164,8.33,8.60,8.06,22305,6491,15814,4.85,2.77,7.00
  嘉陵区,10030,24983,104054,104282,141039,112861,33477,22101,7510,4974,4657,2870,8.03,8.48,7.55,32549,8977,23572,6.42,3.39,9.72
  南部县,24504,79408,162449,170213,158956,133463,62204,45511,12344,8081,3874,2244,7.42,8.24,6.66,98970,22700,76270,13.25,6.29,19.76
  营山县,15351,40980,129100,139200,159947,133058,38844,24938,7378,4563,1559,876,7.64,8.21,7.08,51395,13158,38237,8.39,4.29,12.49
  蓬安县,7443,19674,99855,113331,122744,99990,32024,21659,6707,4360,2307,1257,7.97,8.44,7.49,23406,5903,17503,4.99,2.49,7.55
  仪陇县,23892,59742,165206,176097,190120,144015,56200,34715,10924,6419,2875,1536,7.56,8.22,6.87,75094,20251,54843,9.97,5.28,14.83
  西充县,10438,29408,82643,80965,109505,98538,35376,24005,7951,5029,2172,1192,7.96,8.50,7.40,38035,9663,28372,8.61,4.33,12.97
  阆中市,6160,20642,112759,146335,154186,130395,54444,38541,11408,7377,3397,1853,8.29,8.81,7.78,24964,5409,19555,4.00,1.75,6.20
眉山市,46641,116347,493869,516899,613603,565993,169485,148391,44270,38455,22717,16727,8.15,8.49,7.82,147216,39994,107222,5.81,3.18,8.40
  东坡区,8326,21901,121754,133842,173841,164052,57418,53571,18406,16804,8652,5927,8.68,8.96,8.40,26988,7048,19940,3.72,1.97,5.43
  仁寿县,25245,58457,220325,223332,253477,230750,61686,52036,12496,10487,4619,3343,7.79,8.15,7.43,76300,21946,54354,7.44,4.30,10.55
  彭山县,4478,10932,48075,48236,58077,54417,16309,13237,4760,4196,5415,4535,8.35,8.67,8.03,14106,3915,10191,5.59,3.09,8.12
  洪雅县,4954,15359,52676,56082,60426,52975,17012,14271,4297,3274,2104,1448,7.90,8.38,7.43,18164,4149,14015,6.99,3.22,10.68
  丹棱县,1480,3861,21480,24963,33065,30259,7882,7034,1897,1639,797,633,8.30,8.61,8.01,4298,1059,3239,3.46,1.73,5.12
  青神县,2158,5837,29559,30444,34717,33540,9178,8242,2414,2055,1130,841,8.11,8.40,7.83,7360,1877,5483,4.97,2.57,7.31
宜宾市,70284,155681,939618,944595,775612,632265,221012,190415,68254,55644,34016,24870,7.94,8.27,7.59,198052,56902,141150,5.59,3.15,8.11
  翠屏区,8228,19712,129252,132712,138312,126734,72605,71773,28704,24407,18081,13790,9.25,9.52,8.98,25085,6881,18204,3.57,1.95,5.19
  宜宾县,11305,26912,178697,184481,141281,114872,37122,29800,9349,7221,3982,2651,7.73,8.09,7.37,33604,9109,24495,5.21,2.78,7.72
  南溪县,5596,12102,64831,64948,63939,54177,18034,15644,4249,3681,1882,1479,7.98,8.29,7.66,15350,4531,10819,5.67,3.31,8.08
  江安县,6616,13597,82687,80845,77639,66959,16161,13553,4469,3636,1911,1389,7.79,8.09,7.50,18128,5587,12541,5.70,3.47,7.99
  长宁县,4843,10257,74571,74440,61214,48558,15447,12169,3857,3078,1712,1185,7.78,8.10,7.44,13128,3864,9264,4.88,2.80,7.06
  高县,8465,18606,98171,97470,66912,50029,14557,11669,3537,2736,1160,873,7.28,7.67,6.87,24015,6946,17069,7.45,4.20,10.87
  珙县,6207,13700,79771,79724,71017,54411,17359,13238,5056,3716,2022,1165,7.79,8.16,7.38,16799,4792,12007,5.58,3.06,8.31
  筠连县,5830,13372,79731,80504,52431,38014,10575,7671,3289,2504,1092,761,7.30,7.73,6.85,17127,4848,12279,7.04,3.88,10.39
  兴文县,7679,15081,90652,88665,63425,48774,11737,8903,3399,2751,1262,885,7.36,7.72,6.98,19497,6076,13421,6.97,4.24,9.84
  屏山县,5515,12342,61255,60806,39442,29737,7415,5995,2345,1914,912,692,7.18,7.59,6.76,15319,4268,11051,7.92,4.33,11.66
广安市,55144,147303,631985,664201,576916,515359,163839,131645,39083,30460,14069,8997,7.76,8.22,7.31,185185,47779,137406,7.37,3.89,10.71
  广安区,13406,41691,173897,184425,143236,123978,46470,37452,13475,11944,6055,3764,7.85,8.38,7.34,51254,11744,39510,7.68,3.61,11.55
  岳池县,15448,41643,164928,173284,133575,118323,34174,26230,6712,4784,2339,1450,7.40,7.91,6.92,52687,13635,39052,8.64,4.60,12.44
  武胜县,10057,26255,117766,124009,106855,97827,28236,22285,6292,4726,1994,1347,7.66,8.09,7.25,32915,8623,24292,6.97,3.75,10.03
  邻水县,9382,21870,126652,132138,140872,127197,40044,33892,9053,6315,2577,1647,8.15,8.50,7.80,26622,7422,19200,4.92,2.76,7.05
  华蓥市,6851,15844,48742,50345,52378,48034,14915,11786,3551,2691,1104,789,7.72,8.20,7.25,21707,6355,15352,9.83,5.88,13.61
达州市,70965,184777,958368,1023360,1151276,983788,283527,214100,78197,56036,28903,18001,8.11,8.53,7.69,229367,59592,169775,5.27,2.72,7.86
  通川区,2795,8336,51818,60833,94022,92590,47398,43179,17772,15991,8308,6094,9.70,10.03,9.39,9214,2010,7204,2.30,1.02,3.53
  达县,10154,29288,188346,206366,241169,206594,61799,45053,16730,11607,5980,3579,8.30,8.70,7.88,34609,8115,26494,3.90,1.81,6.05
  宣汉县,11475,29642,192232,211960,209017,167868,42904,28746,11364,6326,3896,1917,7.89,8.34,7.42,35749,9247,26502,4.61,2.35,6.94
  开江县,5408,13760,84193,87360,84621,71292,20327,15499,5163,3670,1659,1001,7.91,8.30,7.52,17028,4437,12591,5.05,2.61,7.54
  大竹县,14538,35848,158052,158455,185400,157407,41563,31649,9976,6945,3886,2375,7.90,8.31,7.47,44594,12110,32484,6.36,3.41,9.39
  渠县,20184,50991,204813,209096,263569,228168,49958,35828,11230,7491,3122,1858,7.80,8.23,7.37,66861,18154,48707,7.11,3.83,10.44
  万源市,6411,16912,78914,89290,73478,59869,19578,14146,5962,4006,2052,1177,7.75,8.29,7.22,21312,5519,15793,6.82,3.55,10.05
雅安市,22268,54147,249778,254594,307797,267725,83333,72163,29310,26328,25957,20742,8.46,8.78,8.13,63812,17072,46740,5.05,2.66,7.51
  雨城区,4042,10653,47899,50294,62709,57920,25244,23794,10304,10499,18602,15430,9.58,9.90,9.27,12243,3024,9219,4.02,1.99,6.03
  名山县,3055,7776,38948,40016,61840,55474,13762,11118,3089,2791,1221,921,8.29,8.57,8.00,8808,2261,6547,4.04,2.04,6.10
  荥经县,2444,6017,25636,25154,32349,27747,6827,5530,2371,2093,838,676,8.05,8.37,7.70,7739,2131,5608,6.32,3.39,9.38
  汉源县,3232,6560,64383,66872,67307,56409,15197,13543,5119,4365,2196,1624,8.15,8.36,7.92,6467,1963,4504,2.35,1.39,3.36
  石棉县,3537,8049,22477,21135,21594,17538,6933,5552,3073,2419,928,569,7.85,8.36,7.31,10657,3136,7521,10.60,6.08,15.38
  天全县,2168,6636,22071,22805,27798,23618,7045,6113,2171,1743,894,668,8.05,8.52,7.58,7513,1634,5879,6.94,3.01,10.88
  芦山县,2344,5164,17981,18337,23241,20954,5237,4250,1818,1375,735,486,8.03,8.45,7.61,6170,1730,4440,7.06,3.95,10.19
  宝兴县,1446,3292,10383,9981,10959,8065,3088,2263,1365,1043,543,368,7.94,8.45,7.37,4215,1193,3022,9.13,4.90,13.86
巴中市,46077,138108,529012,621050,680060,556998,235777,159545,53071,32852,13553,6642,8.20,8.82,7.57,162812,37523,125289,6.30,2.90,9.71
  巴州区,12613,39647,172095,210666,228946,190240,93081,65408,22024,14106,6683,3356,8.48,9.08,7.87,45288,10022,35266,5.03,2.23,7.84
  通江县,13783,38111,114734,128499,144118,112045,44642,30690,9749,6220,2063,1024,7.88,8.51,7.22,46961,11757,35204,8.57,4.24,13.01
  南江县,9406,28752,108857,124464,120915,92814,39139,26316,9196,5968,2184,1200,7.95,8.60,7.29,33229,7431,25798,7.06,3.13,11.03
  平昌县,10275,31598,133326,157421,186081,161899,58915,37131,12102,6558,2623,1062,8.25,8.86,7.65,37334,8313,29021,5.60,2.51,8.65
资阳市,64294,162157,671519,708059,732645,636337,164812,128392,47776,36797,21319,14388,7.83,8.25,7.40,204050,54721,149329,6.81,3.66,9.96
  雁江区,15825,33441,145861,151206,187976,172985,48206,42113,17134,14235,9662,6617,8.33,8.66,8.01,42329,12733,29596,5.62,3.38,7.87
  安岳县,20244,52474,217297,233529,233589,188361,45650,29369,11139,7502,3452,2060,7.58,8.08,7.07,66914,17877,49037,7.31,3.87,10.81
  乐至县,11029,31389,105679,110946,107969,88811,23786,17303,6608,4421,2414,1485,7.52,8.06,6.97,39254,9652,29602,8.59,4.22,12.97
  简阳市,17196,44853,202682,212378,203111,186180,47170,39607,12895,10639,5791,4226,7.81,8.19,7.44,55553,14459,41094,6.40,3.38,9.31
阿坝藏族羌族自治州,36263,63577,193032,182787,126381,88164,42972,34584,26466,24592,9908,7285,7.59,8.03,7.12,89224,31474,57750,12.39,8.38,16.76
  汶川县,2079,4393,15337,13822,18937,13755,7334,6347,5706,5870,1209,961,9.13,9.35,8.89,5958,1841,4117,6.90,4.02,10.16
  理县,1065,2662,8418,7643,9702,6033,2804,2022,1484,1291,589,451,8.25,8.71,7.69,3388,906,2482,8.57,4.18,13.89
  茂县,1881,5137,22023,23199,17381,11879,5464,4528,2359,2242,930,777,7.90,8.37,7.40,6522,1675,4847,7.77,3.90,11.82
  松潘县,3018,5012,16603,14838,9857,7787,3031,2398,1834,1720,590,449,7.36,7.71,6.97,7449,2743,4706,12.91,9.12,17.04
  九寨沟县,2746,4358,13375,12290,14808,10142,5878,5189,2932,2916,1055,728,8.50,8.76,8.20,6736,2560,4176,10.01,7.07,13.43
  金川县,2962,5435,12202,11997,9897,7454,3450,2884,2024,2084,928,706,7.73,8.20,7.24,7776,2682,5094,14.52,9.93,19.19
  小金县,1835,3794,18184,17316,12777,9111,3410,2928,1669,1614,471,420,7.65,7.99,7.29,4649,1449,3200,7.30,4.36,10.51
  黑水县,3296,6735,15173,14578,6342,3442,2099,1106,1407,975,658,325,6.44,7.30,5.53,9544,3065,6479,20.09,12.47,28.26
  马尔康县,1202,2158,11641,11344,7234,5151,3715,3353,2981,2502,2253,1695,9.03,9.35,8.67,1225,377,848,2.48,1.45,3.62
  壤塘县,4725,5903,9103,8261,2002,1454,683,447,818,730,329,177,5.18,5.62,4.71,9774,4279,5495,33.76,28.88,38.87
  阿坝县,2869,4484,21125,20196,6978,4672,1626,808,951,881,319,182,6.54,6.94,6.11,5842,2172,3670,10.93,7.79,14.35
  若尔盖县,5818,9485,19527,17913,5732,3793,1633,1242,1229,950,369,262,5.72,6.33,5.09,14093,5232,8861,25.52,18.82,32.31
  红原县,2767,4021,10321,9390,4734,3491,1845,1332,1072,817,208,152,6.75,7.21,6.24,6268,2493,3775,18.62,14.16,23.51
甘孜藏族自治州,130639,164214,221455,198725,89732,63171,38280,27115,26673,23694,7659,4861,5.78,6.26,5.27,252995,108575,144420,30.17,25.03,35.68
  康定县,6856,8769,23030,19271,16417,10570,9679,7316,7793,8510,2777,1956,8.72,8.86,8.54,13833,5959,7874,12.64,9.99,15.83
  泸定县,1374,3212,13667,13937,16476,13358,5443,4363,2401,2023,725,588,8.55,8.93,8.15,4175,1207,2968,6.28,3.50,9.27
  丹巴县,1519,3312,12096,13739,9258,6119,3502,2160,1924,1643,387,302,7.90,8.50,7.26,4198,1242,2956,8.84,5.10,12.80
  九龙县,3256,5685,14079,12420,7585,4465,2693,1633,2062,1109,584,230,7.06,7.86,6.11,8095,2836,5259,18.18,11.72,25.86
  雅江县,8929,10079,8761,7052,3323,2187,1800,956,1321,929,381,185,4.77,5.38,4.05,17324,8084,9240,45.62,39.45,52.84
  道孚县,8521,10359,11454,9391,3437,2484,1406,1079,1002,1026,250,173,4.86,5.29,4.40,14802,6420,8382,35.39,29.72,41.44
  炉霍县,3100,4334,12329,11181,3866,2622,1449,944,964,932,279,175,6.36,6.76,5.92,4881,1822,3059,13.68,9.74,18.01
  甘孜县,12561,15630,12879,10761,3172,2311,1934,1567,810,801,293,196,4.18,4.66,3.70,24895,10853,14042,46.92,40.50,53.47
  新龙县,10045,11059,9156,8255,1760,1453,640,493,783,698,60,27,3.61,3.88,3.34,19238,9037,10201,52.32,48.75,55.96
  德格县,11993,14316,20749,18215,2367,1548,1067,531,1019,779,163,78,4.35,4.76,3.92,21613,9174,12439,36.07,29.88,42.58
  白玉县,6734,10472,13352,13792,2270,1804,777,484,768,570,224,108,4.74,5.34,4.22,14509,5260,9249,32.77,25.65,38.91
  石渠县,20748,23217,11968,9200,1749,1082,614,402,714,537,141,62,2.42,2.85,1.96,37202,17028,20174,65.09,58.22,72.30
  色达县,6883,8475,14259,13857,3043,2873,983,691,688,482,177,87,5.18,5.51,4.86,12633,5494,7139,28.49,25.24,31.62
  理塘县,8866,10044,15945,13979,4925,3892,2169,1384,908,729,131,37,5.20,5.56,4.81,15760,7154,8606,30.17,26.20,34.51
  巴塘县,7212,9001,9430,8150,2937,2333,1544,1490,1086,917,264,220,5.08,5.48,4.66,14578,6342,8236,39.56,34.31,44.84
  乡城县,5280,6985,5646,4017,3190,1525,1101,663,938,777,347,170,5.06,5.87,4.10,11529,4961,6568,44.47,35.24,55.44
  稻城县,4257,5456,6340,5992,2050,1323,812,479,784,600,220,113,5.10,5.70,4.48,9070,3921,5149,37.70,31.93,43.70
  得荣县,2505,3809,6315,5516,1907,1222,667,480,708,632,256,154,5.78,6.38,5.15,4660,1781,2879,22.67,16.96,28.64
凉山彝族自治州,274817,469581,1091289,973493,487465,346970,141465,106648,66886,47699,28498,18535,6.41,7.01,5.78,636067,224520,411547,19.31,13.33,25.56
  西昌市,24739,42190,113956,105531,119216,103842,45709,41854,20468,18271,14950,10574,8.46,8.81,8.08,58586,20777,37809,10.22,7.10,13.49
  木里藏族自治县,16462,24693,30831,22992,9948,5073,3525,1758,2462,1299,1003,346,4.93,5.85,3.87,37797,14857,22940,37.66,27.59,49.31
  盐源县,22082,42801,86669,73908,40980,22071,11414,7044,4996,2873,1626,767,6.06,6.92,5.09,57570,18801,38769,22.49,13.95,31.99
  德昌县,4252,7580,45668,48021,35501,29151,9844,7985,3912,3251,1067,924,7.82,8.14,7.50,8780,3039,5741,5.18,3.55,6.85
  会理县,13394,26537,109881,107114,60020,42599,17665,13974,5148,3618,1597,1090,6.97,7.43,6.48,35870,11554,24316,10.40,6.50,14.55
  会东县,8576,13719,111213,106440,41156,24772,8817,5521,4139,2316,1014,540,6.76,7.14,6.34,19976,7408,12568,7.34,5.17,9.77
  宁南县,6173,13015,40915,39940,24213,17631,5274,3613,2590,1648,730,459,6.85,7.47,6.23,16768,5069,11699,12.78,7.63,18.06
  普格县,15162,26446,39501,29379,10254,5656,2941,1792,1936,1203,485,280,4.95,5.86,4.00,35887,12486,23401,34.27,23.33,45.70
  布拖县,25858,44010,33817,17985,4737,1769,1537,717,1233,685,331,156,2.98,4.16,1.83,60114,21355,38759,58.88,42.56,74.66
  金阳县,16130,27162,42294,33715,9147,4944,2153,1218,1937,1182,423,209,4.79,5.63,3.93,36904,13260,23644,34.63,24.62,44.88
  昭觉县,20582,31754,73988,65978,9390,5245,3009,1959,2289,1317,340,237,5.04,5.61,4.47,43284,16104,27180,26.25,19.61,32.83
  喜德县,17096,31291,39580,28961,11134,6266,3078,1758,1835,1065,528,299,4.67,5.72,3.60,42467,14392,28075,38.91,26.07,52.07
  冕宁县,11855,24927,82342,79963,51206,37886,10326,7234,4264,2930,1479,981,6.91,7.50,6.31,31885,9622,22263,12.62,7.52,17.85
  越西县,9244,16526,82405,80222,17890,12932,4284,2893,2669,1729,686,387,6.33,6.78,5.89,17605,5573,12032,10.19,6.49,13.82
  甘洛县,17477,28782,45805,35754,18002,11886,4332,2706,2421,1643,678,443,5.42,6.19,4.59,40897,14972,25925,30.82,21.83,40.44
  美姑县,35332,51473,49951,38399,5815,2778,2239,1215,1775,1020,566,311,3.62,4.40,2.86,68976,26960,42016,48.17,38.05,58.08
  雷波县,10403,16675,62473,59191,18856,12469,5318,3407,2812,1649,995,532,6.33,6.83,5.80,22701,8291,14410,14.34,10.16,18.78
,,,,,,,,,,,,,,,,,,,,,
贵州省,910743,2403201,6766558,6779450,6062403,4444406,1488779,1128880,649843,485033,419275,299194,7.65,8.34,6.95,2959444,752519,2206925,11.40,5.71,17.26
贵阳市,52392,135781,575847,584562,781191,662997,314221,286784,158473,144816,190876,157116,9.61,9.94,9.27,164566,42013,122553,4.59,2.29,6.99
  南明区,6134,17102,80306,86144,143887,129349,80607,75152,40196,37506,46244,38740,10.53,10.81,10.24,19877,4648,15229,2.83,1.30,4.40
  云岩区,6138,16557,82510,88474,150051,140200,90205,87880,52777,50017,77405,64114,11.07,11.35,10.79,18988,4526,14462,2.30,1.09,3.54
  花溪区,6819,17240,49984,50241,65103,53028,16300,15853,7779,7212,25204,21292,9.31,9.74,8.87,21342,5620,15722,7.14,3.70,10.70
  乌当区,6139,14106,53279,50051,71280,57184,25988,23207,13577,14113,10883,9192,9.26,9.51,8.99,18098,5112,12986,5.86,3.19,8.75
  白云区,2784,6981,35624,33988,52531,44136,19167,15782,8439,7246,10309,8894,9.55,9.82,9.26,8263,2138,6125,3.83,1.89,5.96
  小河区,2116,5072,26981,25949,42360,37435,25893,23330,12419,11213,10415,7454,10.33,10.58,10.05,6162,1612,4550,3.00,1.51,4.62
  开阳县,6812,19836,68957,69055,70452,53693,16198,13339,6726,5133,3128,2072,7.77,8.31,7.21,24930,6093,18837,8.70,4.15,13.47
  息烽县,3584,10337,41228,41524,41891,32636,8912,6563,3807,2953,1812,1193,7.82,8.33,7.29,12186,2889,9297,7.21,3.33,11.31
  修文县,3738,8920,46078,45974,53966,44374,9365,7563,3571,2797,1665,1253,7.93,8.27,7.56,10452,2864,7588,5.24,2.78,7.87
  清镇市,8128,19630,90900,93162,89670,70962,21586,18115,9182,6626,3811,2912,7.95,8.38,7.51,24268,6511,17757,6.48,3.39,9.73
六盘水市,90077,209384,569336,558539,521367,364559,122951,86082,50115,35353,21851,13235,7.40,8.09,6.66,274539,78549,195990,12.77,7.08,18.84
  钟山区,13500,33619,97020,90304,104308,85903,47242,38568,21683,19078,11760,8193,8.87,9.40,8.31,42276,11296,30980,9.03,4.71,13.54
  六枝特区,18516,49709,102127,95556,79780,55842,18737,12550,5809,3845,2268,1379,6.77,7.67,5.86,62204,15798,46406,17.57,8.87,26.39
  水城县,32892,65636,179923,167189,106679,64591,15679,7735,6058,2375,1420,501,6.22,6.97,5.40,90220,28925,61295,17.39,10.67,24.74
  盘县,25169,60420,190266,205490,230600,158223,41293,27229,16565,10055,6403,3162,7.58,8.24,6.87,79839,22530,57309,9.87,5.35,14.78
遵义市,116736,385223,1079765,1137328,1216180,944035,277825,211862,104570,76321,57238,38770,7.82,8.52,7.13,445214,92970,352244,9.51,3.97,15.04
  红花岗区,6293,19492,75809,82002,139065,127999,55073,49298,21706,17985,11598,8236,9.37,9.77,8.97,21513,4511,17002,4.00,1.68,6.33
  汇川区,4233,14091,52337,55246,88575,77426,31449,27832,13691,13237,15737,14118,9.58,9.95,9.20,15601,3210,12391,4.41,1.81,7.01
  遵义县,16284,55712,157392,160588,212035,171025,40911,29557,12749,9039,6214,3677,7.82,8.46,7.16,64778,13261,51517,8.85,3.60,14.18
  桐梓县,10718,38910,97715,102347,110410,77129,16043,10501,5430,3221,2573,1505,7.26,8.08,6.42,44014,8439,35575,11.21,4.24,18.37
  绥阳县,9243,30465,73473,74985,72975,55051,12834,8639,4726,2669,1407,786,7.19,8.02,6.36,34790,7211,27579,12.33,5.14,19.43
  正安县,8922,31614,84382,90364,66050,43349,12351,7614,5062,2924,2053,953,6.97,7.90,6.05,35161,6856,28305,12.24,4.82,19.54
  道真仡佬族苗族自治县,6198,21571,47314,50164,39797,30288,10084,7493,4637,2763,1865,834,7.25,8.22,6.33,25659,5326,20333,14.15,6.07,21.73
  务川仡佬族苗族自治县,10238,31069,69210,70131,53196,36153,10522,6274,4685,2542,1744,794,6.80,7.82,5.80,36920,8349,28571,16.06,7.29,24.76
  凤冈县,7457,23182,61349,66403,58704,41361,11476,8700,4472,3109,2077,938,7.34,8.16,6.53,26856,5766,21090,11.57,5.02,18.00
  湄潭县,6675,20860,67170,72607,77539,64236,14986,11575,5199,3858,2191,1457,7.76,8.37,7.17,23902,5183,18719,8.37,3.68,12.94
  余庆县,4414,13869,43594,45530,42315,34781,11138,8218,4061,2858,2001,1025,7.77,8.46,7.09,17280,3937,13343,9.78,4.50,14.94
  习水县,10239,35259,100083,109816,102130,70878,18789,12682,6201,3790,2890,1653,7.37,8.16,6.58,40384,8049,32335,10.22,4.06,16.45
  赤水市,6594,15340,44749,44006,40858,34976,9944,8392,4517,3333,1991,1161,7.62,8.16,7.08,19562,5468,14094,10.59,5.92,15.26
  仁怀市,9228,33789,105188,113139,112531,79383,22225,15087,7434,4993,2897,1633,7.58,8.34,6.81,38794,7404,31390,9.43,3.56,15.46
安顺市,68086,199175,456121,433695,402339,275240,86403,65699,38902,30371,20834,14150,7.28,8.08,6.45,244228,58784,185444,14.22,6.71,22.03
  西秀区,17947,54750,122684,125271,145565,106329,40057,33313,19471,17495,12151,9078,8.15,8.84,7.44,66892,15385,51507,11.30,5.13,17.62
  平坝县,6519,19758,54904,54967,56924,40104,13177,10400,5523,4310,2987,1786,7.73,8.41,7.01,24669,5811,18858,10.88,4.97,17.15
  普定县,11696,30888,82592,76097,67490,47129,9747,6866,4423,2703,1780,1113,6.92,7.64,6.14,40126,10600,29526,14.44,7.38,21.98
  镇宁布依族苗族自治县,11177,30136,65177,60048,43246,28068,8182,5522,3474,2293,1408,833,6.53,7.43,5.61,38822,10021,28801,18.57,9.46,27.94
  关岭布依族苗族自治县,8539,27421,66714,63667,51540,31273,8787,5458,3220,1811,1410,776,6.79,7.70,5.82,32365,7060,25305,14.63,6.21,23.55
  紫云苗族布依族自治县,12208,36222,64050,53645,37574,22337,6453,4140,2791,1759,1098,564,5.98,7.11,4.83,41354,9907,31447,21.73,10.34,33.27
铜仁地区,78732,201979,602497,644265,531313,404431,130183,91989,59175,40719,23298,12554,7.56,8.30,6.83,247248,63449,183799,11.10,5.72,16.46
  铜仁市,6588,12935,54138,53696,67143,57836,24572,21989,12621,12298,6846,5013,9.03,9.35,8.71,16957,5343,11614,5.92,3.69,8.20
  江口县,5960,12592,36744,34730,27919,21694,6900,4523,3215,2057,1108,585,7.23,7.86,6.57,16898,5174,11724,12.92,7.74,18.35
  玉屏侗族自治县,1962,6071,19202,19903,24470,18527,6656,4592,2820,2023,1083,617,8.23,8.88,7.55,7232,1623,5609,7.92,3.45,12.64
  石阡县,6299,17499,63877,70919,51198,36526,13242,8685,5986,3464,1999,978,7.53,8.31,6.75,20969,4949,16020,9.43,4.47,14.35
