首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
  广平县,3502,11624,27449,35666,69374,64855,10451,7673,2296,2066,1050,899,8.24,8.76,7.76,13619,2867,10752,6.41,2.84,9.67
  馆陶县,3922,10604,37199,47281,74732,67666,12985,8822,3234,2559,1290,1125,8.31,8.81,7.84,12910,3173,9737,5.52,2.82,8.04
  魏县,10777,32556,93106,122518,204567,182652,36792,25340,8385,6319,1950,1534,8.21,8.77,7.69,38107,8561,29546,5.96,2.79,8.90
  曲周县,4212,16340,54827,72170,107666,86075,15881,10248,3187,2754,1097,1025,8.07,8.66,7.50,18925,3572,15353,5.80,2.23,9.23
  武安市,3788,11698,89996,111326,211937,185203,57672,41236,12433,9827,4694,3901,8.96,9.32,8.59,13043,2764,10279,1.98,0.83,3.16
邢台市,58432,174041,737524,916534,1834569,1634380,465120,347267,122307,107480,50277,42668,8.87,9.26,8.48,202010,45285,156725,3.46,1.56,5.35
  桥东区,1101,3369,18116,20623,46777,45071,38462,35334,14296,14263,8299,8055,10.86,11.04,10.67,3684,798,2886,1.60,0.69,2.49
  桥西区,1088,3344,23947,25892,62055,58581,57782,52778,34484,30679,15953,12816,11.50,11.70,11.30,3430,704,2726,0.99,0.40,1.62
  邢台县,2440,6764,41006,55499,122625,115041,39078,25112,7073,5859,2132,1697,9.08,9.44,8.71,7408,1632,5776,1.92,0.84,3.01
  临城县,2063,6157,21533,25684,51056,43617,15138,11904,3386,3085,1508,1392,8.85,9.24,8.45,7018,1581,5437,4.16,1.86,6.49
  内邱县,2073,5782,26386,35986,65925,57964,21157,15215,4694,4072,1627,1525,8.97,9.37,8.56,6303,1415,4888,2.87,1.29,4.44
  柏乡县,2209,7415,20629,25016,47682,43310,13927,8378,2681,2019,768,632,8.58,9.16,8.01,8619,1793,6826,5.57,2.35,8.70
  隆尧县,4380,12566,52919,66109,143875,130202,26247,17603,4535,3878,1470,1149,8.53,8.91,8.16,13301,2810,10491,3.13,1.34,4.89
  任县,3517,11401,36861,46446,89594,76285,17050,11363,2881,2346,1036,759,8.38,8.88,7.89,12634,2498,10136,4.75,1.89,7.59
  南和县,3631,11029,39438,48004,88598,75493,14175,9448,2647,2345,898,802,8.28,8.74,7.83,12983,2828,10155,4.93,2.16,7.66
  宁晋县,5821,17050,83075,98725,203801,188276,44690,31850,7833,6744,2748,2351,8.66,9.01,8.31,20251,4656,15595,3.24,1.50,4.94
