首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口总计","各种行业人口
总计",,,,,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重(%),,
,,,农林牧渔业,采矿业,制造业,"电力、燃气
及水的生产
和供应业",建筑业,仓储和邮政业,"交通运输、
计算机服务
和软件业","信息传输、
批发和零售业",住宿和餐饮业,金融业,房地产业,"租赁和
商务服务业","科学研究、
技术服务和
地质勘察业","水利、环境
和公共设施
管理业","居民服务和
其他服务业",教育,"卫生、社会
保障和社会
福利业","文化、体育
和娱乐业","公共管理和
社会组织",国际组织,第一产业,第二产业,第三产业
  沙河市,38994,25348,12042,1854,3906,183,1470,1494,32,1821,450,114,23,43,10,73,412,555,188,34,644,,47.51,29.24,23.25
保定市,896011,627513,363804,1638,94000,3638,44558,17793,1884,41652,9411,2978,1203,1689,1652,1197,7317,12135,6720,1176,13067,1,57.98,22.92,19.10
  新市区,38596,22022,3183,119,6286,770,1181,1220,377,2974,796,536,250,212,268,183,598,881,651,255,1282,,14.45,37.94,47.60
  北市区,33635,14187,1103,34,2395,476,708,548,249,2876,555,393,249,318,148,207,489,1364,776,183,1115,1,7.77,25.47,66.76
  南市区,24650,11678,1864,25,3023,173,479,924,109,2456,456,159,73,66,43,89,283,652,387,65,352,,15.96,31.68,52.35
  满城县,31529,22234,13104,86,3086,120,1706,902,34,1086,326,122,19,34,7,55,255,413,251,25,603,,58.94,22.48,18.58
  清苑县,51511,40051,28273,12,3989,112,2825,774,63,1747,373,92,11,28,81,22,328,560,226,49,486,,70.59,17.32,12.08
  涞水县,28270,18716,10386,92,1194,119,3152,713,101,974,564,57,28,46,7,33,289,353,206,31,371,,55.49,24.35,20.16
  阜平县,15392,9008,6722,103,162,39,278,288,43,454,109,53,3,14,4,4,84,180,84,3,381,,74.62,6.46,18.92
  徐水县,45747,32022,14459,132,5894,148,3927,1397,59,2864,590,119,60,248,90,17,429,603,350,16,620,,45.15,31.54,23.30
  定兴县,41949,31433,20118,37,3695,138,3196,639,62,1314,423,84,19,11,9,6,355,526,225,20,556,,64.00,22.48,13.52
  唐县,40367,29104,20312,132,2259,55,2751,728,30,1117,251,79,4,6,3,24,253,439,231,28,402,,69.79,17.86,12.35
  高阳县,28100,20658,9867,12,7066,69,339,421,37,1321,229,77,8,29,5,18,149,340,212,21,438,,47.76,36.24,16.00
  容城县,20026,14579,4261,9,6296,53,1114,387,36,1002,251,63,3,28,8,114,236,262,140,29,287,,29.23,51.25,19.52
  涞源县,21064,14339,10736,424,262,98,438,401,21,611,183,44,8,9,9,10,115,268,135,7,560,,74.87,8.52,16.61
  望都县,20367,14956,9784,5,1713,51,1174,315,28,682,173,48,17,3,9,6,110,297,131,24,386,,65.42,19.68,14.90
  安新县,34955,24170,9332,11,9331,89,1046,701,47,1563,418,76,14,75,11,56,287,449,199,11,454,,38.61,43.35,18.04
  易县,43963,30289,21806,126,1657,132,2236,574,47,1368,468,95,41,54,9,39,336,429,282,20,570,,71.99,13.70,14.30
  曲阳县,44392,29162,20231,92,2106,153,1857,1611,40,1429,220,60,6,15,9,17,224,433,247,19,393,,69.37,14.43,16.20
  蠡县,40273,32480,25551,6,3748,118,382,298,42,763,153,102,7,7,4,6,177,420,181,27,488,,78.67,13.10,8.24
  顺平县,22210,17475,12924,10,1642,46,689,273,35,777,144,56,15,9,4,14,55,292,110,9,371,,73.96,13.66,12.38
  博野县,19441,15557,11999,4,1382,48,711,211,21,450,92,31,1,5,,3,74,164,76,3,282,,77.13,13.79,9.08
  雄县,28196,19141,10491,11,4888,72,699,446,26,1029,270,73,10,54,5,15,242,315,141,38,316,,54.81,29.62,15.57
  涿州市,49438,34021,14716,96,4238,180,4253,1677,170,3340,876,258,230,221,852,188,470,754,572,172,758,,43.26,25.77,30.97
  定州市,91510,69454,51153,25,3882,181,5483,1042,70,4065,614,120,17,89,7,22,782,755,440,54,653,,73.65,13.78,12.57
  安国市,30187,23054,17479,2,1888,47,901,263,31,1209,135,66,5,17,12,25,149,401,152,19,253,,75.82,12.31,11.87
  高碑店市,50243,37723,13950,33,11918,151,3033,1040,106,4181,742,115,105,91,48,24,548,585,315,48,690,,36.98,40.12,22.90
张家口市,351071,211054,113541,4219,15646,2171,15677,11473,855,16760,5434,1573,1112,562,315,621,3950,5425,2721,611,8388,,53.80,17.87,28.33
  桥东区,27775,13069,639,29,2329,371,1270,1551,191,2393,633,337,208,122,60,127,329,676,429,154,1221,,4.89,30.60,64.51
  桥西区,22960,10543,719,51,1311,192,1566,969,109,2272,449,263,126,83,69,108,386,535,393,96,846,,6.82,29.59,63.59
  宣化区,29815,13816,1491,439,3848,492,984,1016,81,2104,438,207,178,101,92,78,329,606,338,57,937,,10.79,41.71,47.50
  下花园区,5314,2480,556,321,203,229,157,201,11,266,75,23,39,15,5,19,49,75,46,8,182,,22.42,36.69,40.89
  宣化县,22095,13313,9014,330,795,73,1050,604,20,580,196,13,10,7,6,15,213,200,62,12,113,,67.71,16.89,15.41
  张北县,25945,17419,10361,34,688,111,1828,1108,57,1204,401,60,78,43,13,30,261,416,163,17,546,,59.48,15.28,25.24
  康保县,17675,11925,6957,179,441,65,1388,573,26,941,283,55,12,42,3,23,238,277,122,13,287,,58.34,17.38,24.28
  沽源县,14312,10071,6966,52,271,57,284,411,38,658,380,43,167,13,3,29,129,193,70,21,286,,69.17,6.59,24.24
  尚义县,12508,8570,4970,96,210,45,1215,326,25,570,447,23,10,7,1,10,147,155,57,6,250,,57.99,18.27,23.73
  蔚县,35257,20914,14285,1379,430,66,732,669,49,1168,230,113,33,9,2,42,324,427,242,27,687,,68.30,12.47,19.23
  阳原县,20723,14804,9119,48,2068,45,962,517,33,655,232,63,9,16,7,17,173,301,101,20,418,,61.60,21.10,17.31
  怀安县,17306,12009,8421,70,330,72,849,451,26,490,184,43,18,6,2,16,144,266,76,21,524,,70.12,11.00,18.88
  万全县,17154,10310,6481,11,623,44,737,636,30,680,149,52,15,14,5,9,182,223,88,10,321,,62.86,13.72,23.41
  怀来县,27508,16799,9202,419,1029,99,821,1386,75,1321,502,100,67,55,7,28,481,378,217,68,544,,54.78,14.10,31.13
  涿鹿县,26559,17240,12705,277,786,74,531,304,44,733,369,80,82,18,2,28,207,339,156,16,489,,73.69,9.68,16.63
  赤城县,19314,12119,8673,298,117,92,573,371,22,487,238,54,52,5,6,17,300,222,77,10,505,,71.57,8.91,19.52
  崇礼县,8851,5653,2982,186,167,44,730,380,18,238,228,44,8,6,32,25,58,136,84,55,232,,52.75,19.94,27.31
承德市,273113,172263,98202,6205,10850,1198,12159,7177,782,10522,4734,1100,545,908,286,412,2844,4528,2486,495,6830,,57.01,17.65,25.34
  双桥区,33279,15864,2283,103,1654,358,1576,1355,264,2187,756,443,199,470,189,168,364,927,661,225,1682,,14.39,23.27,62.34
  双滦区,12149,6049,996,244,2127,164,527,523,32,395,195,32,22,27,13,9,190,191,94,20,248,,16.47,50.62,32.91
  鹰手营子矿区,5284,2003,47,449,517,44,102,146,13,183,93,26,10,40,3,5,53,68,55,8,141,,2.35,55.52,42.14
  承德县,31231,19359,10448,612,1562,109,2145,730,49,1110,685,75,48,62,17,36,358,419,228,27,639,,53.97,22.87,23.16
  兴隆县,25089,15668,9724,467,1061,89,820,636,44,801,360,63,50,20,15,17,313,375,196,36,581,,62.06,15.55,22.38
  平泉县,33443,23407,15106,659,1004,123,1935,712,96,1162,591,93,53,25,5,12,307,595,225,38,666,,64.54,15.90,19.57
  滦平县,22852,15545,8587,883,483,58,1619,805,51,1091,461,73,44,46,11,37,235,382,209,21,449,,55.24,19.58,25.18
  隆化县,28792,20079,14041,393,549,75,1093,622,54,1053,415,82,46,67,18,43,269,428,220,25,586,,69.93,10.51,19.56
  丰宁满族自治县,27506,19483,14228,388,537,56,863,442,67,756,529,63,18,35,5,12,209,371,206,26,672,,73.03,9.46,17.51
  宽城满族自治县,19908,9185,3216,1874,873,53,666,353,52,621,240,76,27,19,6,24,133,316,150,43,443,,35.01,37.74,27.25
  围场满族蒙古族自治县,33580,25621,19526,133,483,69,813,853,60,1163,409,74,28,97,4,49,413,456,242,26,723,,76.21,5.85,17.94
