首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口总计","各种行业人口
总计",,,,,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重(%),,
,,,农林牧渔业,采矿业,制造业,"电力、燃气
及水的生产
和供应业",建筑业,仓储和邮政业,"交通运输、
计算机服务
和软件业","信息传输、
批发和零售业",住宿和餐饮业,金融业,房地产业,"租赁和
商务服务业","科学研究、
技术服务和
地质勘察业","水利、环境
和公共设施
管理业","居民服务和
其他服务业",教育,"卫生、社会
保障和社会
福利业","文化、体育
和娱乐业","公共管理和
社会组织",国际组织,第一产业,第二产业,第三产业
  云龙县,15429,12829,10942,75,215,21,159,211,16,315,201,32,8,41,32,7,76,213,56,14,195,,85.29,3.66,11.05
  洱源县,20154,16521,14377,86,263,88,220,211,14,321,193,49,1,37,14,12,89,215,109,13,209,,87.02,3.98,9.00
  剑川县,12866,9845,7385,50,812,38,331,240,18,275,174,21,7,10,7,21,99,136,61,13,147,,75.01,12.50,12.48
  鹤庆县,19928,15789,13210,32,539,69,307,152,27,443,145,49,5,24,17,53,93,186,147,18,273,,83.67,6.00,10.34
德宏傣族景颇族自治州,92007,72778,49617,232,3867,431,2360,1532,271,5411,2102,303,174,404,87,159,957,1521,731,298,2321,,68.18,9.47,22.36
  瑞丽市,14514,11080,4701,23,1038,54,587,544,33,2175,515,65,82,134,27,81,171,222,116,83,429,,42.43,15.36,42.21
  潞西市,30195,23209,15958,58,971,111,793,445,153,1379,681,126,60,167,40,50,333,547,323,108,906,,68.76,8.33,22.91
  梁河县,12055,9749,7209,106,524,41,274,143,20,449,219,31,4,39,3,10,115,209,88,20,245,,73.95,9.69,16.36
  盈江县,22429,18265,13409,35,985,177,470,294,49,1080,461,51,17,25,11,11,264,345,120,56,405,,73.41,9.13,17.46
  陇川县,12814,10475,8340,10,349,48,236,106,16,328,226,30,11,39,6,7,74,198,84,31,336,,79.62,6.14,14.24
怒江傈僳族自治州,39356,32956,25962,642,624,253,539,589,127,1116,485,126,9,36,33,80,310,655,272,64,1034,,78.78,6.24,14.98
  泸水县,12862,10928,8680,66,131,75,107,168,60,380,168,65,8,20,11,12,110,311,111,14,431,,79.43,3.47,17.10
  福贡县,7245,5820,4747,6,175,56,154,100,7,151,33,6,,6,4,7,20,110,38,15,185,,81.56,6.72,11.72
  贡山独龙族怒族自治县,3057,2619,2038,43,45,19,53,55,6,103,51,8,,3,8,6,10,34,24,10,103,,77.82,6.11,16.07
  兰坪白族普米族自治县,16192,13589,10497,527,273,103,225,266,54,482,233,47,1,7,10,55,170,200,99,25,315,,77.25,8.30,14.45
迪庆藏族自治州,31251,25471,19061,252,403,221,681,379,98,858,927,90,23,131,38,111,278,460,186,122,1152,,74.83,6.11,19.05
  香格里拉县,13748,11022,7315,163,276,130,345,239,66,465,422,52,20,102,5,86,208,238,98,67,725,,66.37,8.29,25.34
  德钦县,5468,4373,3387,45,13,22,159,53,16,123,168,11,2,5,6,17,8,74,32,30,202,,77.45,5.47,17.08
  维西傈僳族自治县,12035,10076,8359,44,114,69,177,87,16,270,337,27,1,24,27,8,62,148,56,25,225,,82.96,4.01,13.03
,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,195270,147821,110770,324,3196,746,3467,2239,485,8262,3534,644,164,395,305,337,1271,2891,1014,826,6950,1,74.94,5.23,19.83
拉萨市,41974,30156,13911,138,1724,254,1445,952,258,3868,1620,300,161,292,247,187,651,862,337,579,2370,,46.13,11.81,42.06
  城关区,21651,13949,849,100,1359,243,1022,559,242,3386,1325,292,142,275,231,167,532,605,276,549,1795,,6.09,19.53,74.39
  林周县,3377,2766,2609,1,13,,9,9,1,60,15,1,,,,1,11,23,,1,12,,94.32,0.83,4.84
  当雄县,3275,2519,2079,4,21,5,35,103,,72,42,,,,,,24,50,9,6,69,,82.53,2.58,14.89
  尼木县,2067,1797,1557,9,8,,56,13,4,25,44,1,,1,1,,4,28,2,4,40,,86.64,4.06,9.29
  曲水县,2331,1842,1359,8,54,,135,46,4,42,42,1,,,,12,8,25,11,5,90,,73.78,10.69,15.53
  堆龙德庆县,3665,2553,1337,15,229,4,165,194,4,173,76,3,19,14,15,5,52,69,22,10,147,,52.37,16.18,31.45
  达孜县,2145,1783,1484,,27,,9,10,,58,12,1,,,,,1,35,9,1,136,,83.23,2.02,14.75
  墨竹工卡县,3463,2947,2637,1,13,2,14,18,3,52,64,1,,2,,2,19,27,8,3,81,,89.48,1.02,9.50
昌都地区,34247,26867,23527,9,128,46,83,251,36,910,252,46,,18,3,16,130,373,125,42,872,,87.57,0.99,11.44
  昌都县,5283,3908,2042,7,43,28,74,184,28,529,133,31,,11,3,1,93,163,82,22,434,,52.25,3.89,43.86
  江达县,4287,3363,3265,,1,,,29,,20,,,,,,,,11,3,,34,,97.09,0.03,2.88
  贡觉县,1619,1350,1227,2,1,,,1,1,68,,,,,,,,,,,50,,90.89,0.22,8.89
  类乌齐县,1976,1412,1259,,24,2,2,15,1,19,6,,,2,,1,,29,3,2,47,,89.16,1.98,8.85
  丁青县,3020,1985,1774,,11,,,1,,86,6,2,,,,5,4,40,7,1,48,,89.37,0.55,10.08
  察雅县,3343,2637,2536,,7,1,,,,23,4,4,,,,,6,18,2,,36,,96.17,0.30,3.53
  八宿县,2798,2255,2097,,3,8,1,,2,15,23,3,,,,,11,23,2,1,66,,92.99,0.53,6.47
  左贡县,2453,1978,1801,,15,1,,4,3,42,24,4,,1,,,9,33,7,5,29,,91.05,0.81,8.14
  芒康县,5327,4496,4323,,12,,,4,,59,9,1,,,,4,,18,9,7,50,,96.15,0.27,3.58
  洛隆县,2311,2025,1889,,8,2,2,1,,21,25,1,,,,5,2,18,1,1,49,,93.28,0.59,6.12
  边坝县,1830,1458,1314,,3,4,4,12,1,28,22,,,4,,,5,20,9,3,29,,90.12,0.75,9.12
山南地区,24650,20041,16383,140,190,263,354,157,43,519,393,70,1,20,4,7,142,335,115,63,842,,81.75,4.73,13.53
  乃东县,4528,3699,2085,51,80,67,117,43,29,323,158,37,1,6,4,4,61,135,66,33,399,,56.37,8.52,35.12
  扎囊县,2674,2068,1923,,4,,8,13,,7,16,7,,,,1,7,32,3,2,45,,92.99,0.58,6.43
  贡嘎县,3395,2703,2270,5,75,8,110,34,6,45,53,5,,1,,,11,22,5,8,45,,83.98,7.33,8.69
  桑日县,1276,995,933,,1,,,1,,,,7,,,,,,12,1,,40,,93.77,0.10,6.13
  琼结县,1288,1037,917,,7,,2,3,,7,12,,,1,,1,2,21,4,,60,,88.43,0.87,10.70
  曲松县,1114,838,728,,,,,11,,7,49,4,,,,,3,15,2,2,17,,86.87,,13.13
  措美县,1010,771,557,,,,64,,1,2,50,,,,,,38,2,,,57,,72.24,8.30,19.46
  洛扎县,1408,1210,1084,,5,1,13,7,,17,12,2,,1,,1,3,11,9,1,43,,89.59,1.57,8.84
  加查县,1812,1560,1162,20,16,182,23,7,1,64,19,1,,1,,,9,11,11,,33,,74.49,15.45,10.06
  隆子县,2775,2377,2144,61,1,,5,28,1,34,7,6,,4,,,7,22,9,12,36,,90.20,2.82,6.98
  错那县,982,826,723,,1,5,,5,5,11,9,,,,,,,19,2,1,45,,87.53,0.73,11.74
  浪卡子县,2388,1957,1857,3,,,12,5,,2,8,1,,6,,,1,33,3,4,22,,94.89,0.77,4.34
日喀则地区,47103,36771,29976,10,948,67,1129,382,56,1299,620,104,2,9,34,55,116,652,161,49,1101,1,81.52,5.86,12.62
  日喀则市,8402,6207,3418,3,415,27,196,207,37,721,327,56,2,5,26,39,57,163,64,31,412,1,55.07,10.33,34.61
  南木林县,4625,3588,3307,,5,4,68,6,3,16,58,,,,,,8,52,7,1,53,,92.17,2.15,5.69
  江孜县,4549,3170,2705,2,105,1,50,31,3,90,34,1,,2,1,1,9,82,9,2,42,,85.33,4.98,9.68
  定日县,3138,2552,2322,,15,2,61,6,,16,21,,,,7,,2,40,10,2,48,,90.99,3.06,5.96
  萨迦县,3801,2853,2634,1,14,5,44,9,,38,17,3,,,,,16,35,11,,26,,92.32,2.24,5.43
  拉孜县,2790,2183,1625,1,23,1,336,19,2,34,27,3,,,,,,38,7,1,66,,74.44,16.54,9.02
  昂仁县,3036,2333,2159,1,9,,,4,,24,4,10,,,,7,5,51,8,4,47,,92.54,0.43,7.03
  谢通门县,2367,2004,1801,1,12,2,38,5,1,11,8,5,,1,,,7,58,8,2,44,,89.87,2.64,7.49
  白朗县,4011,3198,2824,,178,,86,11,5,21,16,6,,,,4,,6,6,1,34,,88.31,8.26,3.44
  仁布县,1901,1606,1224,1,102,1,186,8,,29,15,1,,,,1,4,4,,,30,,76.21,18.06,5.73
  康马县,1373,1145,1009,,34,4,4,6,1,13,,2,,,,,1,25,8,,38,,88.12,3.67,8.21
  定结县,1083,874,784,,,3,,8,,6,5,,,,,2,,12,9,1,44,,89.70,0.34,9.95
  仲巴县,1258,1021,911,,3,4,4,,,48,5,7,,,,,1,9,3,,26,,89.23,1.08,9.70
  亚东县,833,661,512,,21,5,,29,3,19,14,5,,1,,,3,13,6,1,29,,77.46,3.93,18.61
  吉隆县,1092,958,863,,2,,15,8,1,11,6,,,,,1,2,18,1,2,28,,90.08,1.77,8.14
  聂拉木县,1049,881,614,,2,3,9,10,,127,53,3,,,,,,31,1,,28,,69.69,1.59,28.72
  萨嘎县,1238,1049,907,,,,,1,,73,,,,,,,,,,,68,,86.46,,13.54
  岗巴县,557,488,357,,8,5,32,14,,2,10,2,,,,,1,15,3,1,38,,73.16,9.22,17.62
那曲地区,27098,18691,16036,6,43,36,17,212,34,787,172,39,,14,4,24,45,316,128,26,752,,85.80,0.55,13.66
  那曲县,7353,4338,3006,4,28,20,14,69,21,501,92,20,,11,2,6,21,115,54,10,344,,69.29,1.52,29.18
  嘉黎县,1642,1336,1196,,,,,4,1,30,4,2,,,2,,2,29,5,,61,,89.52,,10.48
  比如县,3028,2534,2452,,,,,17,,51,3,,,,,,,,,9,2,,96.76,,3.24
  聂荣县,2034,1348,1199,,,1,1,1,,22,4,2,,,,3,,39,8,,68,,88.95,0.15,10.91
  安多县,2302,1561,1364,2,3,,2,24,3,24,33,,,1,,7,5,27,10,2,54,,87.38,0.45,12.17
  申扎县,1090,867,720,,2,5,,9,,27,4,4,,,,,7,18,13,2,56,,83.04,0.81,16.15
  索县,1861,1582,1433,,3,,,1,2,35,9,,,,,7,9,24,2,1,56,,90.58,0.19,9.23
  班嘎县,2000,1326,1243,,1,4,,,,7,,1,,2,,,,16,14,,38,,93.74,0.38,5.88
  巴青县,3077,1777,1534,,5,5,,83,,62,19,6,,,,,,29,8,,26,,86.33,0.56,13.11
  尼玛县,2711,2022,1889,,1,1,,4,7,28,4,4,,,,1,1,19,14,2,47,,93.42,0.10,6.48
阿里地区,5930,4460,3532,3,14,7,22,61,21,163,83,33,,11,4,19,18,70,68,7,324,,79.19,1.03,19.78
  普兰县,638,502,391,1,2,,1,,1,31,13,1,,,3,,2,12,10,1,33,,77.89,0.80,21.31
  札达县,439,342,284,,3,,,,1,12,10,5,,,,,2,2,6,,17,,83.04,0.88,16.08
  噶尔县,976,693,291,1,8,3,21,17,19,55,25,20,,11,1,18,11,20,29,5,138,,41.99,4.76,53.25
  日土县,645,540,459,,,1,,,,1,3,3,,,,,,12,7,,54,,85.00,0.19,14.81
  革吉县,1031,840,792,,1,,,1,,16,,,,,,,,8,,,22,,94.29,0.12,5.60
  改则县,1362,894,732,1,,,,43,,36,23,,,,,,,12,7,1,39,,81.88,0.11,18.01
  措勤县,839,649,583,,,3,,,,12,9,4,,,,1,3,4,9,,21,,89.83,0.46,9.71
林芝地区,14268,10835,7405,18,149,73,417,224,37,716,394,52,,31,9,29,169,283,80,60,689,,68.34,6.06,25.59
  林芝县,4152,2952,1103,8,91,46,241,99,26,401,222,32,,19,1,16,90,152,35,43,327,,37.36,13.08,49.56
  工布江达县,1987,1572,1301,,12,5                               5,,12,1,49,46,5,,6,,2,15,25,6,6,76,,82.76,1.40,15.84
  米林县,1805,1402,1036,,16,6,59,20,5,83,27,3,,3,2,3,25,32,9,2,71,,73.89,5.78,20.33
  墨脱县,768,676,550,,6,1,10,10,,39,9,2,,,,3,6,17,2,2,19,,81.36,2.51,16.12
  波密县,2286,1870,1461,10,5,10,87,29,4,55,49,3,,2,6,3,11,38,16,1,80,,78.13,5.99,15.88
  察隅县,1940,1342,1131,,9,3,15,20,,58,19,7,,1,,2,10,11,4,,52,,84.28,2.01,13.71
  朗县,1330,1021,823,,10,2,,34,1,31,22,,,,,,12,8,8,6,64,,80.61,1.18,18.22
,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,3012481,1996061,1091832,34478,163692,13216,128071,72301,12619,176973,75147,14329,10222,8464,6126,6526,36330,49271,24669,8200,63587,8,54.70,17.01,28.29
西安市,700560,409485,109641,2812,54007,3262,35153,19310,5862,78426,24172,6140,6943,4321,4543,2255,11813,16771,7732,4092,12226,4,26.78,23.26,49.97
  新城区,41337,22494,26,25,4065,415,834,1609,372,7551,1836,619,478,324,421,192,673,1096,747,257,953,1,0.12,23.74,76.15
  碑林区,53613,25039,105,106,2267,402,1312,1271,618,6359,1830,1148,834,673,1234,158,878,2481,887,745,1731,,0.42,16.32,83.26
  莲湖区,61212,33640,158,128,6447,565,1409,2520,837,9749,2378,1155,1017,595,513,335,1295,1402,911,582,1644,,0.47,25.41,74.12
  灞桥区,52474,30560,7291,93,4966,301,2424,2260,281,6980,1375,285,381,241,303,266,747,991,576,203,595,1,23.86,25.47,50.67
  未央区,67030,38468,1554,1142,7496,297,3138,2745,600,11536,2523,512,1010,454,212,287,1246,1325,714,378,1299,,4.04,31.38,64.58
  雁塔区,100801,59431,321,362,9010,531,5226,2151,2397,15905,5284,1629,1853,1494,930,491,2295,4415,1633,1287,2215,2,0.54,25.46,74.00
  阎良区,20556,13269,5976,19,2390,75,855,299,51,999,447,90,93,41,632,22,259,445,197,53,326,,45.04,25.16,29.80
  临潼区,51116,35464,21206,134,2411,130,4073,1081,93,2622,1444,101,66,49,42,169,453,500,349,129,412,,59.80,19.03,21.18
  长安区,103179,51270,15110,134,5119,82,7043,2036,311,9795,3692,195,861,184,126,91,2376,2040,723,222,1130,,29.47,24.14,46.39
  蓝田县,38549,26362,18660,72,957,52,1679,693,45,1467,958,86,79,57,27,72,503,426,183,39,307,,70.78,10.47,18.75
  周至县,43086,30712,21807,65,1113,76,2172,861,94,1780,559,99,24,68,30,73,370,695,285,65,476,,71.00,11.16,17.84
  户县,43475,26685,11981,42,4320,232,3008,1096,86,2585,827,159,48,70,56,58,433,615,318,82,669,,44.90,28.49,26.61
  高陵县,24132,16091,5446,490,3446,104,1980,688,77,1098,1019,62,199,71,17,41,285,340,209,50,469,,33.85,37.41,28.74
铜川市,64432,38190,18443,2611,2688,318,1764,2101,235,2680,2098,329,135,130,89,210,749,1038,724,133,1714,1,48.29,19.33,32.38
  王益区,13730,6300,1137,362,860,45,473,651,90,742,512,111,34,49,29,49,154,282,310,38,371,1,18.05,27.62,54.33
  印台区,16943,8620,3569,1396,560,86,326,475,29,528,549,60,45,17,20,33,117,209,144,20,437,,41.40,27.47,31.13
  耀州区,25497,16683,8914,759,1101,168,839,749,93,1131,795,131,43,51,38,121,365,438,215,60,672,,53.43,17.19,29.38
  宜君县,8262,6587,4823,94,167,19,126,226,23,279,242,27,13,13,2,7,113,109,55,15,234,,73.22,6.16,20.62
宝鸡市,297820,200904,99400,1353,28665,1295,18026,8242,1294,14888,8024,1407,532,698,213,723,3880,4413,2917,662,4271,1,49.48,24.56,25.97
  渭滨区,34281,19342,2415,146,5557,294,1932,1074,252,2632,1159,493,158,139,68,181,385,895,553,195,814,,12.49,40.99,46.52
  金台区,31184,17534,3077,128,3411,430,1549,2218,183,3000,575,193,176,130,27,143,484,520,448,91,751,,17.55,31.47,50.98
  陈仓区,49870,32002,14360,65,4432,109,4512,1371,302,2463,1527,141,55,222,45,88,779,622,338,86,485,,44.87,28.49,26.64
  凤翔县,38487,27159,16409,34,2738,93,2366,702,85,1569,997,95,40,30,10,44,641,568,278,51,409,,60.42,19.26,20.32
  岐山县,37700,24412,10871,30,5171,81,2307,739,102,1680,1261,195,24,46,16,28,591,492,366,49,363,,44.53,31.09,24.38
  扶风县,31166,22700,13594,28,2471,82,2349,741,106,1273,653,71,22,32,2,80,295,312,294,42,252,1,59.89,21.72,18.40
  眉县,23918,17132,11266,35,1828,71,779,397,135,929,424,82,23,46,10,54,177,327,197,44,308,,65.76,15.84,18.40
  陇县,20449,16681,12290,213,1164,34,965,279,35,293,446,30,10,11,3,28,153,306,156,26,239,,73.68,14.24,12.08
  千阳县,9882,7406,5110,4,412,20,502,258,20,243,279,37,5,4,6,37,127,97,87,15,143,,69.00,12.67,18.34
  麟游县,7761,5995,3666,164,372,21,461,142,13,306,316,21,10,21,2,8,84,119,92,27,150,,61.15,16.98,21.87
  凤县,8876,7338,4281,312,928,45,192,207,40,393,313,34,8,16,17,25,139,89,83,30,186,,58.34,20.13,21.53
  太白县,4246,3203,2061,194,181,15,112,114,21,107,74,15,1,1,7,7,25,66,25,6,171,,64.35,15.67,19.98
咸阳市,400768,266640,162234,1987,23361,1746,14646,9173,1237,18883,8470,1605,893,705,459,831,4006,6229,2822,681,6672,,60.84,15.65,23.50
  秦都区,43077,23385,7209,73,4737,375,1105,1061,295,2780,673,546,390,119,141,198,449,935,546,168,1585,,30.83,26.90,42.27
  杨陵区,16725,8002,3150,40,575,47,1052,344,51,806,386,51,50,63,13,88,184,727,115,54,206,,39.37,21.42,39.22
  渭城区,35149,17888,5281,134,2691,624,1515,1105,177,2108,866,279,213,100,186,149,437,842,406,99,676,,29.52,27.75,42.73
  三原县,33481,23552,16219,20,1387,121,739,1302,113,1075,455,140,36,112,39,109,217,443,266,73,686,,68.86,9.63,21.51
  泾阳县,38186,26270,16100,65,1671,54,1863,1679,69,1828,822,97,20,40,9,48,465,599,285,25,531,,61.29,13.91,24.81
  乾县,39959,30145,24090,62,1531,68,1006,398,67,1112,467,67,30,27,7,29,388,317,140,42,297,,79.91,8.85,11.24
  礼泉县,35810,26752,22547,75,813,52,206,334,37,1165,379,48,13,7,1,3,113,309,153,14,483,,84.28,4.28,11.43
  永寿县,13156,9025,6489,13,297,11,460,230,14,463,253,27,7,15,3,5,135,207,95,16,285,,71.90,8.65,19.45
  彬县,26363,19728,12222,1094,743,117,668,647,104,1524,976,54,52,30,9,45,559,389,117,31,347,,61.95,13.29,24.76
  长武县,12330,8620,6195,175,271,102,278,165,21,447,363,23,4,6,5,11,105,129,53,9,258,,71.87,9.58,18.55
  旬邑县,19780,15131,10405,150,929,23,731,275,37,1027,673,43,9,26,14,13,220,189,88,30,249,,68.77,12.11,19.12
  淳化县,15150,12243,8982,17,702,25,262,140,26,667,603,25,16,13,5,75,141,214,70,39,221,,73.36,8.22,18.42
  武功县,30822,19264,9910,33,2453,48,2306,586,80,1588,703,64,18,70,21,16,281,366,211,38,472,,51.44,25.12,23.43
  兴平市,40780,26635,13435,36,4561,79,2455,907,146,2293,851,141,35,77,6,42,312,563,277,43,376,,50.44,26.77,22.79
渭南市,410866,288947,209589,5007,14514,1930,8552,6973,800,14216,7262,1090,421,767,187,423,3412,4680,2544,603,5977,,72.54,10.38,17.08
  临渭区,67626,46040,31412,147,2639,427,1445,1421,192,2983,916,316,246,246,50,131,681,741,545,131,1371,,68.23,10.12,21.66
  华县,26612,18745,12785,551,1315,48,695,319,56,804,689,60,18,22,1,10,321,321,152,44,534,,68.20,13.92,17.88
  潼关县,12773,8997,6104,372,213,26,152,158,52,634,372,38,10,17,6,21,82,168,149,26,397,,67.84,8.48,23.67
  大荔县,54425,41271,32795,56,2368,75,778,628,144,1454,1008,90,20,141,36,16,571,464,246,62,319,,79.46,7.94,12.60
  合阳县,33926,24768,17991,462,547,24,1555,557,10,1350,535,58,34,12,11,32,257,527,185,35,586,,72.64,10.45,16.91
  澄城县,30961,20699,14554,680,781,128,487,679,47,1227,569,91,22,79,3,35,358,400,190,48,321,,70.31,10.03,19.66
  蒲城县,58078,43248,33755,381,1828,303,833,879,136,1802,1053,109,10,102,27,79,358,543,301,55,694,,78.05,7.73,14.22
  白水县,21190,15127,11574,382,205,69,235,279,47,800,323,43,14,14,2,4,200,345,152,28,411,,76.51,5.89,17.60
  富平县,55794,38487,29978,126,2279,72,1453,771,48,1060,881,68,12,71,10,49,241,506,253,70,539,,77.89,10.21,11.90
  韩城市,31432,20327,11568,1844,1424,437,540,928,43,1379,386,92,23,23,32,27,191,433,234,39,684,,56.91,20.88,22.21
  华阴市,18049,11238,7073,6,915,321,379,354,25,723,530,125,12,40,9,19,152,232,137,65,121,,62.94,14.42,22.64
延安市,177981,116943,59682,6762,2865,624,6703,4821,548,7428,4371,652,109,242,114,424,2252,3204,1389,385,14368,,51.04,14.50,34.47
  宝塔区,36603,21073,128,1459,508,259,1625,1070,235,1781,928,218,52,40,11,163,457,868,496,135,10640,,0.61,18.27,81.12
  延长县,11020,7454,4953,394,67,18,460,240,21,331,216,18,5,20,,12,159,180,54,9,297,,66.45,12.60,20.96
  延川县,13547,7870,3816,234,338,36,596,636,47,822,390,29,4,21,14,13,271,270,81,14,238,,48.49,15.30,36.21
  子长县,17632,10184,5042,671,217,32,1337,597,20,735,436,30,2,24,6,10,229,194,102,52,448,,49.51,22.16,28.33
  安塞县,13665,9594,4428,816,255,64,1006,495,51,626,585,31,11,18,23,55,235,285,73,22,515,,46.15,22.32,31.53
  志丹县,13132,8686,5760,571,127,20,292,377,7,575,218,44,1,3,2,16,140,127,84,18,304,,66.31,11.63,22.06
  吴旗县,12752,8862,4790,1302,105,45,406,369,43,604,402,32,9,4,13,22,206,175,86,33,216,,54.05,20.97,24.98
  甘泉县,6193,3757,1939,252,93,24,201,245,28,219,138,20,2,,7,11,111,161,53,13,240,,51.61,15.17,33.22
  富县,11126,8221,6340,117,73,14,190,112,17,398,228,21,2,11,11,7,89,228,67,13,283,,77.12,4.79,18.09
  洛川县,17311,13645,10884,23,496,39,107,147,24,608,247,94,13,60,5,36,143,297,88,31,303,,79.77,4.87,15.36
  宜川县,10435,7219,5341,31,412,8,165,128,20,303,215,37,1,9,7,35,87,126,51,18,225,,73.99,8.53,17.48
  黄龙县,4341,3200,2526,3,29,12,69,57,12,80,39,28,1,4,3,10,16,80,36,10,185,,78.94,3.53,17.53
  黄陵县,10224,7178,3735,889,145,53,249,348,23,346,329,50,6,28,12,34,109,213,118,17,474,,52.03,18.61,29.35
汉中市,281577,205299,136811,2064,16050,963,11459,4727,741,11281,5018,1007,394,536,190,456,2428,3583,2176,459,4955,1,66.64,14.87,18.49
  汉台区,43379,26586,10414,140,3032,310,1858,1221,262,3625,1154,373,181,134,64,236,594,911,719,182,1176,,39.17,20.09,40.74
  南郑县,37039,27365,20147,72,1513,58,1491,350,95,1126,588,93,39,23,8,28,316,427,203,93,695,,73.62,11.45,14.92
  城固县,36887,28866,20124,101,2866,44,1161,421,63,1611,645,70,41,70,23,34,335,433,250,31,543,,69.72,14.45,15.83
  洋县,32658,25356,18828,72,2180,61,1420,327,42,757,367,104,31,65,5,18,183,325,171,13,387,,74.25,14.72,11.02
  西乡县,26906,19657,13353,284,1412,64,1190,409,45,1099,510,78,28,30,17,46,240,261,204,21,365,1,67.93,15.01,17.06
  勉县,34933,25885,17072,266,2959,97,1343,717,81,979,637,87,36,142,45,60,330,433,197,32,372,,65.95,18.02,16.02
  宁强县,25598,19251,14143,209,856,77,1401,425,47,643,437,76,11,32,3,11,125,272,134,13,336,,73.47,13.21,13.32
  略阳县,17056,11971,7168,542,764,196,697,492,61,691,347,53,12,21,13,8,151,178,114,40,423,,59.88,18.37,21.75
  镇巴县,19772,15267,12074,295,303,32,705,244,17,517,161,36,12,4,7,9,87,266,111,13,374,,79.09,8.74,12.17
  留坝县,4319,3060,2239,56,63,7,86,71,12,115,95,24,3,6,1,3,38,42,46,13,140,,73.17,6.93,19.90
  佛坪县,3030,2035,1249,27,102,17,107,50,16,118,77,13,,9,4,3,29,35,27,8,144,,61.38,12.43,26.19
榆林市,267086,171509,98013,6646,5370,1725,10407,9213,816,13384,5999,954,295,597,172,706,4026,4026,1844,628,6688,,57.15,14.08,28.77
  榆阳区,49533,31203,12045,788,1241,468,3486,2085,257,3652,1486,373,157,202,92,273,837,1078,544,270,1869,,38.60,19.17,42.22
  神木县,36693,20967,6132,2682,1304,611,1548,1783,116,2300,1176,134,73,177,38,138,948,509,291,114,893,,29.25,29.31,41.45
  府谷县,22352,15129,5945,1565,1078,341,666,1390,77,1537,567,99,10,69,1,95,478,324,160,34,693,,39.30,24.13,36.58
  横山县,24604,16322,12312,211,137,37,873,454,33,811,286,38,9,25,4,17,383,257,96,19,320,,75.43,7.71,16.86
  靖边县,26351,17374,10705,635,325,84,924,833,53,1439,571,60,21,37,1,64,417,412,157,28,608,,61.62,11.33,27.06
  定边县,26824,19188,13883,546,115,28,735,765,72,999,592,46,7,9,1,22,359,335,103,23,548,,72.35,7.42,20.23
  绥德县,22355,13057,8913,63,305,49,614,674,42,754,418,58,10,24,18,42,201,321,176,34,341,,68.26,7.90,23.84
  米脂县,11587,7337,5019,48,306,23,394,360,25,282,152,30,1,21,2,21,38,190,67,31,327,,68.41,10.51,21.08
  佳县,16120,11645,9224,24,133,26,348,187,40,574,227,24,3,11,5,17,108,227,84,34,349,,79.21,4.56,16.23
  吴堡县,5866,3445,2131,8,135,19,118,252,28,198,81,23,4,2,1,2,49,97,45,11,241,,61.86,8.13,30.01
  清涧县,10808,7181,5430,20,131,19,224,239,32,355,198,36,,8,4,1,73,106,55,5,245,,75.62,5.49,18.90
  子洲县,13993,8661,6274,56,160,20,477,191,41,483,245,33,,12,5,14,135,170,66,25,254,,72.44,8.23,19.33
安康市,223739,159652,98880,3244,11421,918,11903,4903,678,10082,5026,621,407,222,77,190,2125,3081,1430,309,4135,,61.93,17.22,20.85
  汉滨区,72655,49400,27247,551,4339,393,3717,2156,262,4373,1654,274,272,79,36,63,520,1217,565,135,1547,,55.16,18.22,26.63
  汉阴县,21933,15649,7889,330,2276,64,1819,397,91,935,616,48,34,22,7,26,336,258,150,29,322,,50.41,28.69,20.90
  石泉县,14837,11136,5577,417,932,98,938,369,73,1085,679,54,17,30,8,12,231,212,91,35,278,,50.08,21.42,28.50
  宁陕县,5989,4429,2668,46,119,42,338,208,31,222,263,29,4,12,,9,101,77,62,18,180,,60.24,12.31,27.46
  紫阳县,23528,16294,13182,142,320,47,546,326,48,589,220,38,4,6,1,5,107,311,97,6,299,,80.90,6.47,12.62
  岚皋县,14584,10499,6278,469,789,89,577,290,34,662,498,42,17,6,3,15,182,166,66,18,298,,59.80,18.33,21.88
  平利县,16495,11372,6878,520,1139,38,728,221,44,626,367,34,12,19,1,21,218,164,76,26,240,,60.48,21.32,18.19
  镇坪县,4661,3492,2393,113,74,42,140,106,14,106,43,17,1,2,3,1,37,89,57,10,244,,68.53,10.57,20.90
  旬阳县,36163,27988,20391,416,984,78,2280,568,67,1102,524,67,28,37,17,36,275,390,201,25,502,,72.86,13.43,13.72
  白河县,12894,9393,6377,240,449,27,820,262,14,382,162,18,18,9,1,2,118,197,65,7,225,,67.89,16.35,15.76
商洛市,187652,138492,99139,1992,4751,435,9458,2838,408,5705,4707,524,93,246,82,308,1639,2246,1091,248,2581,1,71.58,12.01,16.40
  商州区,41698,32250,21667,75,686,142,2824,947,167,1677,1323,180,42,68,50,117,550,541,275,75,843,1,67.18,11.56,21.26
  洛南县,38968,30843,24680,368,1189,50,1206,382,84,714,784,94,12,88,9,63,186,449,198,37,250,,80.02,9.12,10.86
