首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,
地    区,各年龄组人口占总人口比重（%）,,,,有65岁及以上老年人口的户数（户）,,,,人口自然变动（‰）,,,迁入人口（人）,,
,0-14岁,15-64岁,65岁及以上,"15-49岁
育龄妇女",合计,有一个老人,有二个老人,"有三个
及以上老人",出生率,死亡率,自然增长率,"本县（市）/
本市市区","本省其他县
（市）、市区",外省
  隆昌县,17.15,70.68,12.17,25.67,60776,45370,15234,172,10.41,7.63,2.78,26455,5087,2338
乐山市,13.97,73.78,12.24,27.46,298311,209374,87644,1293,8.29,6.71,1.58,234604,158271,28598
  市中区,10.46,78.38,11.17,31.06,54880,36824,17744,312,6.06,5.24,0.82,75633,85773,13733
  沙湾区,11.74,75.40,12.86,26.93,17244,11944,5235,65,6.59,6.70,-0.11,7986,5555,967
  五通桥区,10.34,76.55,13.10,27.31,31002,21946,8906,150,6.20,6.89,-0.69,10715,5634,1018
  金口河区,16.17,72.47,11.36,27.28,3982,2639,1330,13,9.66,5.09,4.57,2851,3536,612
  犍为县,14.81,71.60,13.59,25.27,46024,34038,11860,126,9.76,8.58,1.18,29779,7358,1820
  井研县,16.19,67.67,16.14,23.48,34789,24698,9930,161,9.05,9.31,-0.26,24210,5841,1289
  夹江县,11.38,75.70,12.92,28.11,33132,23079,9912,141,7.05,6.41,0.64,12674,6708,1740
  沐川县,19.05,69.39,11.56,25.10,19169,13795,5296,78,10.95,8.08,2.87,9892,5317,836
  峨边彝族自治县,21.44,69.59,8.97,27.30,9132,6367,2732,33,13.16,5.88,7.28,9676,4896,391
  马边彝族自治县,28.48,63.83,7.68,25.89,10706,7926,2756,24,16.34,5.90,10.44,10843,2630,833
  峨眉山市,11.60,76.47,11.93,28.46,38251,26118,11943,190,6.67,5.59,1.08,40345,25023,5359
南充市,16.82,71.18,12.00,26.23,570517,399441,168674,2402,8.20,6.25,1.95,352449,164110,32108
  顺庆区,13.58,76.53,9.89,30.82,51470,34774,16459,237,7.41,4.59,2.82,84103,89843,13850
  高坪区,16.23,73.75,10.03,27.18,41996,29960,11868,168,8.06,5.90,2.16,32566,18137,3352
  嘉陵区,16.52,72.36,11.12,26.04,51883,37493,14245,145,8.66,6.10,2.56,33079,24520,3626
  南部县,19.68,66.85,13.47,24.76,95519,67451,27672,396,8.88,5.58,3.30,52916,5974,3090
  营山县,18.26,69.05,12.70,25.37,72713,50815,21589,309,8.33,6.62,1.71,24738,13891,1467
  蓬安县,17.27,70.51,12.21,25.81,53690,38590,14974,126,7.91,6.70,1.21,18095,1343,985
  仪陇县,19.02,69.66,11.32,25.46,79322,54867,24071,384,8.04,6.67,1.37,34295,3718,2548
  西充县,14.01,72.02,13.97,25.71,52170,34396,17467,307,8.82,7.52,1.30,28349,1860,901
  阆中市,14.37,72.68,12.95,25.72,71754,51095,20329,330,7.67,6.90,0.77,44308,4824,2289
眉山市,14.08,72.60,13.32,27.06,301497,215803,84370,1324,9.80,7.52,2.28,218030,79113,17254
  东坡区,11.76,76.40,11.84,29.24,73523,51433,21743,347,8.30,6.22,2.08,99577,39641,7521
  仁寿县,16.84,69.34,13.82,25.51,131306,94457,36271,578,10.45,7.73,2.72,65632,11493,3770
  彭山县,11.78,74.44,13.78,26.84,30432,22022,8289,121,9.63,8.21,1.42,20490,15641,2767
  洪雅县,13.40,72.81,13.79,27.16,31984,23282,8574,128,10.49,8.29,2.20,15062,5291,1537
  丹棱县,12.37,74.25,13.38,28.10,14727,10677,3984,66,11.30,8.45,2.85,4446,2542,607
  青神县,11.69,73.13,15.18,27.08,19525,13932,5509,84,10.13,9.06,1.07,12823,4505,1052
宜宾市,20.74,68.71,10.56,25.12,372363,278964,92461,938,12.48,7.98,4.50,250493,180889,31374
  翠屏区,15.96,74.64,9.41,28.46,60995,44255,16572,168,9.65,5.84,3.81,109171,114675,10488
  宜宾县,20.74,68.31,10.95,24.76,70499,52622,17714,163,11.76,8.51,3.25,29277,14922,6255
  南溪县,19.42,69.75,10.82,24.97,28818,21872,6865,81,12.45,8.40,4.05,19464,6611,1196
  江安县,20.48,67.72,11.81,24.00,37045,27510,9447,88,13.21,8.95,4.26,21102,5949,1377
  长宁县,20.89,67.54,11.57,23.74,31803,24653,7085,65,13.27,9.86,3.41,13661,5274,1028
  高县,21.62,67.69,10.69,24.13,34498,25670,8748,80,13.71,8.45,5.26,11794,10301,2007
  珙县,20.69,68.83,10.48,25.21,31120,23738,7310,72,13.77,7.74,6.03,16010,14091,3924
  筠连县,26.10,63.95,9.95,23.75,25902,19370,6447,85,14.79,7.37,7.42,10427,1551,1567
  兴文县,25.83,63.54,10.63,23.10,32077,24738,7254,85,13.64,9.19,4.45,12653,4178,1804
  屏山县,22.57,67.46,9.97,25.31,19606,14536,5019,51,13.32,7.29,6.03,6934,3337,1728
广安市,21.63,65.80,12.56,24.09,303294,209034,93294,966,9.12,8.48,0.64,176962,42368,16588
  广安区,22.21,65.14,12.65,23.92,82930,58114,24617,199,7.81,8.35,-0.54,62005,23012,6904
  岳池县,21.66,65.12,13.22,23.11,78179,54723,23209,247,9.95,9.12,0.83,36251,6481,3422
  武胜县,19.37,67.13,13.50,24.78,58760,39189,19310,261,8.87,8.64,0.23,25316,2815,1773
  邻水县,23.19,65.36,11.46,24.07,60147,40493,19473,181,9.90,7.96,1.94,41780,4030,1786
  华蓥市,20.64,68.07,11.29,26.00,23278,16515,6685,78,9.40,8.05,1.35,11610,6030,2703
达州市,20.36,68.73,10.91,25.34,442649,303245,137768,1636,10.07,7.35,2.72,355358,140693,34050
  通川区,16.30,75.40,8.31,30.33,27594,18149,9361,84,7.83,3.64,4.19,65856,73910,9421
  达县,20.21,68.74,11.06,24.65,89799,59616,29784,399,9.30,7.03,2.27,90775,39355,5217
  宣汉县,22.92,66.53,10.55,24.65,78353,53064,24965,324,11.61,7.12,4.49,45453,5422,5401
  开江县,21.76,66.84,11.40,23.66,37510,26698,10706,106,12.67,8.76,3.91,18893,1797,2491
  大竹县,20.03,68.23,11.74,24.34,76498,53371,22898,229,8.70,8.40,0.30,56064,6282,4354
  渠县,18.66,70.18,11.16,26.41,97872,68443,29034,395,9.23,7.72,1.51,42934,8060,1652
  万源市,23.29,65.28,11.43,23.96,35023,23904,11020,99,13.55,8.30,5.25,35383,5867,5514
雅安市,16.18,72.94,10.88,28.03,123312,85528,37289,495,9.38,5.81,3.57,95584,56490,15124
  雨城区,14.27,73.98,11.75,28.88,30650,20235,10255,160,7.43,4.40,3.03,22832,25317,5018
  名山县,14.93,73.73,11.34,27.57,22650,16481,6086,83,10.40,6.53,3.87,8927,4593,1151
  荥经县,17.18,72.05,10.77,27.87,11754,7721,3986,47,8.21,6.01,2.20,14927,5293,2403
  汉源县,15.11,75.03,9.86,28.98,23873,16588,7189,96,9.23,5.94,3.29,22186,6151,2969
  石棉县,18.69,72.09,9.22,27.77,8615,6151,2442,22,11.00,5.24,5.76,8518,6367,1832
  天全县,19.28,69.51,11.21,26.10,11497,8274,3180,43,11.02,7.15,3.87,11540,4540,1101
  芦山县,19.81,68.86,11.33,26.96,9485,6728,2733,24,11.56,6.88,4.68,4255,2801,405
  宝兴县,17.67,70.90,11.44,26.90,4788,3350,1418,20,9.29,6.18,3.11,2399,1428,245
巴中市,21.26,68.26,10.47,25.34,254120,168627,84018,1475,10.45,5.12,5.33,188529,34971,7849
  巴州区,20.12,68.44,11.44,24.44,95700,64247,30887,566,9.24,4.72,4.52,104227,22310,3296
  通江县,20.27,69.54,10.19,26.43,51440,33926,17147,367,11.12,5.62,5.50,24633,1409,977
  南江县,22.42,68.04,9.54,25.79,43183,29335,13672,176,9.62,5.86,3.76,31081,6145,2028
  平昌县,22.73,67.18,10.09,25.32,63797,41119,22312,366,12.07,4.71,7.36,28588,5107,1548
资阳市,18.30,68.15,13.56,24.11,384257,279077,103967,1213,9.83,8.70,1.13,219954,43590,14802
  雁江区,16.85,70.91,12.24,26.35,85823,61835,23733,255,9.66,7.28,2.38,93359,19973,4335
  安岳县,19.77,67.36,12.87,23.50,111326,79015,31932,379,11.01,8.83,2.18,41268,4358,4430
  乐至县,16.40,67.21,16.39,22.67,68325,48269,19847,209,7.80,10.57,-2.77,30430,6667,2362
  简阳市,18.92,67.12,13.96,23.60,118783,89958,28455,370,9.76,8.81,0.95,54897,12592,3675
阿坝藏族羌族自治州,19.86,72.86,7.28,28.61,50934,38675,11899,360,9.96,4.73,5.23,44013,56126,13786
  汶川县,14.33,78.05,7.62,30.73,5499,4024,1459,16,8.61,4.28,4.33,3851,9184,1600
  理县,15.08,77.15,7.77,27.73,2834,2166,654,14,8.50,4.95,3.55,2781,4909,1031
  茂县,19.96,72.75,7.28,28.64,6118,4694,1417,7,11.33,5.08,6.25,6013,4003,698
  松潘县,20.22,72.60,7.17,28.46,4139,3194,910,35,10.96,5.18,5.78,6294,3939,1030
  九寨沟县,17.32,77.00,5.68,30.77,3613,2680,921,12,9.46,3.03,6.43,8079,11953,3800
  金川县,18.82,71.85,9.33,27.30,4743,3442,1274,27,8.07,4.66,3.41,2975,1201,414
  小金县,18.11,74.22,7.66,28.67,4687,3492,1178,17,8.36,5.02,3.34,3970,1497,482
  黑水县,21.74,71.64,6.62,27.44,3305,2658,642,5,11.61,5.95,5.66,1307,3655,1103
  马尔康县,15.39,76.65,7.97,29.08,3567,2640,901,26,8.28,4.01,4.27,2428,8238,1269
  壤塘县,26.09,66.57,7.33,27.37,2218,1727,460,31,14.62,4.99,9.63,857,855,99
  阿坝县,26.15,66.73,7.12,26.84,3947,2935,909,103,9.58,5.27,4.31,2056,2462,919
  若尔盖县,25.99,67.07,6.94,27.90,4080,3230,803,47,11.24,6.17,5.07,2169,1550,970
  红原县,23.17,70.68,6.16,28.96,2184,1793,371,20,10.50,2.40,8.10,1233,2680,371
甘孜藏族自治州,23.20,70.29,6.50,28.10,55682,43831,11159,692,12.78,5.93,6.85,50242,65573,22284
  康定县,15.94,78.75,5.31,30.04,5508,4318,1151,39,8.69,4.03,4.66,7682,23165,5251
  泸定县,20.28,70.67,9.05,26.63,5885,4326,1533,26,11.22,5.67,5.55,5237,6855,1163
  丹巴县,20.48,70.93,8.60,26.98,4065,3204,838,23,9.36,6.17,3.19,3057,2318,783
  九龙县,28.34,65.69,5.97,24.88,2997,2344,646,7,14.52,4.68,9.84,4532,4693,1615
  雅江县,24.38,69.73,5.88,26.72,2330,1854,450,26,14.34,5.51,8.83,1250,2073,1465
  道孚县,24.49,68.89,6.61,27.65,2960,2432,500,28,11.67,4.16,7.51,1897,1907,433
  炉霍县,23.35,70.01,6.64,26.99,2127,1759,350,18,14.70,6.25,8.45,2319,2007,449
  甘孜县,22.57,71.45,5.98,29.27,3251,2611,589,51,10.22,5.77,4.45,2771,3730,628
  新龙县,27.04,65.71,7.25,26.82,2795,2077,608,110,13.93,6.12,7.81,365,188,78
  德格县,26.48,67.07,6.45,27.56,4351,3538,764,49,15.24,7.73,7.51,903,1022,298
  白玉县,21.33,71.42,7.25,32.84,2943,2287,576,80,10.67,5.52,5.15,2198,3537,4661
  石渠县,29.30,64.67,6.04,27.00,4072,3317,724,31,18.64,5.22,13.42,693,1038,569
  色达县,24.34,69.04,6.62,29.98,2699,2243,429,27,13.00,7.27,5.73,1967,4593,1576
  理塘县,24.34,70.39,5.27,28.21,2815,2055,714,46,18.35,8.04,10.31,10847,2910,539
  巴塘县,24.25,70.02,5.74,28.92,2342,1933,380,29,11.26,6.22,5.04,2357,1512,375
  乡城县,21.85,72.83,5.33,27.12,1419,1123,270,26,11.32,7.18,4.14,916,1718,1653
  稻城县,22.67,71.34,5.99,28.40,1543,1254,271,18,11.65,7.01,4.64,770,1546,397
  得荣县,21.58,70.45,7.97,28.14,1580,1156,366,58,11.96,8.14,3.82,481,761,351
凉山彝族自治州,27.33,65.57,7.10,26.52,254394,189858,63782,754,14.54,5.93,8.61,343730,215405,44746
  西昌市,19.56,71.82,8.62,28.24,47031,33502,13378,151,9.17,4.25,4.92,117247,128814,17142
  木里藏族自治县,23.81,70.21,5.98,26.94,6461,5134,1271,56,12.45,5.82,6.63,4628,5196,3483
  盐源县,26.90,66.96,6.14,26.69,17140,13056,3999,85,12.00,4.78,7.22,29566,8495,7376
  德昌县,20.95,71.05,8.00,29.10,13606,10367,3195,44,13.10,7.52,5.58,17104,12501,1244
  会理县,19.81,70.19,10.00,27.32,34056,25438,8516,102,9.16,6.29,2.87,31694,8671,2683
  会东县,25.06,65.23,9.71,24.77,27290,19527,7663,100,9.51,6.54,2.97,20805,4728,2374
  宁南县,23.10,67.84,9.06,27.01,12433,9543,2860,30,12.62,6.67,5.95,8181,2754,1774
  普格县,32.76,61.65,5.59,25.69,6918,5210,1691,17,17.21,7.14,10.07,15250,4579,800
  布拖县,36.25,58.25,5.50,25.20,7185,5568,1609,8,23.56,8.74,14.82,5618,2362,356
  金阳县,35.47,59.79,4.74,25.27,6286,4904,1371,11,19.40,6.07,13.33,8364,1418,673
  昭觉县,34.52,60.84,4.64,26.28,9717,7791,1917,9,19.55,6.65,12.90,7074,3762,278
  喜德县,34.22,60.82,4.95,25.70,6498,4800,1683,15,19.43,4.39,15.04,8925,5259,224
  冕宁县,28.07,64.32,7.61,25.93,20748,14928,5750,70,16.50,4.74,11.76,24473,13373,1577
  越西县,35.96,58.69,5.34,24.58,11526,8676,2833,17,17.21,6.60,10.61,13122,2505,306
  甘洛县,31.99,62.75,5.26,25.57,8166,6124,2022,20,19.57,5.02,14.55,18829,4669,852
  美姑县,35.36,60.04,4.60,26.51,8528,6888,1633,7,22.72,8.41,14.31,5041,2344,263
  雷波县,29.29,64.76,5.95,26.37,10805,8402,2391,12,18.43,6.10,12.33,7809,3975,3341
,,,,,,,,,,,,,,
贵州省,25.26,66.03,8.71,25.40,2292084,1588428,698692,4964,13.90,6.08,7.82,2024871,1841377,763294
贵阳市,17.04,74.91,8.05,29.52,260871,177947,82352,572,11.11,4.26,6.85,336108,904609,272625
  南明区,15.27,76.28,8.45,30.24,52530,35590,16858,82,8.99,3.49,5.50,81224,242949,84070
  云岩区,13.77,78.50,7.73,31.97,55695,38001,17542,152,7.97,3.01,4.96,103960,298766,90042
  花溪区,16.73,75.73,7.54,30.45,20223,14028,6143,52,11.99,4.71,7.28,17728,46823,13152
  乌当区,18.11,74.54,7.35,29.07,20824,14254,6526,44,13.56,3.95,9.61,16920,91692,26009
  白云区,18.40,74.48,7.12,29.17,13918,9256,4631,31,11.60,3.75,7.85,19005,71384,14992
  小河区,17.26,74.58,8.16,28.60,14569,9161,5375,33,11.80,2.87,8.93,9030,81786,18899
  开阳县,19.99,71.10,8.91,26.93,24128,16733,7340,55,12.18,6.22,5.96,30204,8445,5257
  息烽县,20.63,70.22,9.15,26.36,14836,10338,4468,30,13.97,6.45,7.52,12927,11229,4409
  修文县,19.93,71.57,8.50,27.18,16081,11231,4815,35,16.04,6.17,9.87,14761,17290,5650
  清镇市,19.91,72.05,8.04,28.20,28067,19355,8654,58,13.27,5.57,7.70,30349,34245,10145
六盘水市,24.58,67.82,7.59,26.61,160702,108967,51441,294,12.76,5.71,7.05,165746,152801,63083
  钟山区,23.99,70.21,5.80,28.99,26061,18781,7246,34,10.61,2.69,7.92,55359,115971,30275
  六枝特区,28.51,61.77,9.72,23.28,35828,24046,11695,87,14.44,7.17,7.27,25340,9968,6220
  水城县,26.36,66.11,7.53,25.66,39567,26700,12777,90,12.97,6.42,6.55,20971,17570,8111
  盘县,21.85,70.46,7.68,27.44,59246,39440,19723,83,13.09,6.32,6.77,64076,9292,18477
遵义市,23.57,66.87,9.56,25.78,443394,309980,132423,991,12.61,6.43,6.18,451102,317802,110881
  红花岗区,18.11,74.37,7.51,30.20,37051,26241,10748,62,10.26,3.70,6.56,84684,131774,34574
  汇川区,19.20,73.26,7.54,29.90,24876,17302,7531,43,11.06,3.46,7.60,37166,111686,18158
  遵义县,22.36,67.96,9.67,25.72,68944,48040,20735,169,12.36,6.71,5.65,59115,26451,12747
  桐梓县,24.73,65.19,10.08,24.54,39661,27679,11892,90,15.07,6.28,8.79,35109,6336,7379
  绥阳县,25.76,64.26,9.98,24.12,29206,20855,8290,61,15.98,7.37,8.61,21529,3555,2952
  正安县,26.28,62.59,11.13,22.85,33640,24475,9102,63,13.42,9.25,4.17,16204,2298,2004
  道真仡佬族苗族自治县,25.71,63.13,11.16,24.37,20652,14301,6323,28,11.69,8.43,3.26,21687,1987,2955
  务川仡佬族苗族自治县,28.51,61.22,10.27,23.82,24454,16344,8049,61,12.77,7.11,5.66,19780,3327,2896
  凤冈县,25.89,64.63,9.47,25.10,22271,15116,7117,38,11.87,7.73,4.14,17973,4403,2410
  湄潭县,24.30,65.82,9.88,25.58,27699,18695,8948,56,11.91,6.45,5.46,26210,7663,2850
  余庆县,24.71,64.79,10.50,24.76,17959,11727,6193,39,13.80,7.20,6.60,15075,6114,2852
  习水县,24.51,65.50,9.99,24.88,40201,28507,11597,97,13.79,6.21,7.58,32956,4960,7073
  赤水市,22.07,65.47,12.46,23.58,23130,17020,6032,78,13.84,8.14,5.70,17984,1571,4809
  仁怀市,24.74,67.15,8.11,26.29,33650,23678,9866,106,10.91,6.21,4.70,45630,5677,7222
安顺市,25.26,65.92,8.82,24.86,151780,102871,48575,334,14.63,6.27,8.36,136400,83601,42659
  西秀区,22.66,68.08,9.26,25.89,52574,35369,17069,136,13.61,5.39,8.22,73524,40269,21807
  平坝县,23.88,66.63,9.49,24.23,20895,13680,7178,37,16.48,6.34,10.14,16485,21723,7778
  普定县,26.56,65.33,8.11,25.05,22806,15166,7598,42,13.76,5.79,7.97,12881,8409,4201
  镇宁布依族苗族自治县,26.42,64.29,9.29,23.81,19915,13661,6213,41,12.32,7.18,5.14,13314,5837,2431
  关岭布依族苗族自治县,26.62,65.81,7.57,25.36,17241,11768,5433,40,15.80,6.93,8.87,10094,3718,3471
  紫云苗族布依族自治县,29.62,61.67,8.72,22.94,18349,13227,5084,38,17.81,7.67,10.14,10102,3645,2971
铜仁地区,28.02,62.22,9.77,23.60,228791,157916,70392,483,14.42,6.48,7.94,139129,46137,35972
  铜仁市,20.81,70.31,8.88,27.65,24773,17801,6910,62,12.08,4.40,7.68,34932,26034,10647
  江口县,24.31,65.49,10.19,23.94,13389,9417,3932,40,14.89,5.66,9.23,7108,1546,1647
  玉屏侗族自治县,22.91,66.42,10.67,23.94,9585,6628,2925,32,17.52,7.84,9.68,5663,3673,3915
  石阡县,26.92,63.10,9.98,23.65,23316,16487,6786,43,13.22,7.60,5.62,11284,1738,2420
  思南县,28.16,61.86,9.98,23.50,37564,25662,11841,61,12.50,6.91,5.59,22852,3890,3687
  印江土家族苗族自治县,28.19,60.44,11.37,22.31,24369,16668,7644,57,12.68,7.47,5.21,11651,1658,2164
  德江县,30.63,60.29,9.08,23.62,24765,16386,8336,43,14.77,6.25,8.52,15204,2791,1930
  沿河土家族自治县,34.69,56.37,8.94,21.95,29748,19573,10124,51,16.53,6.13,10.40,13240,1313,3493
  松桃苗族自治县,28.82,61.50,9.68,22.86,36314,25814,10410,90,16.55,6.53,10.02,14718,2179,4929
  万山特区,21.97,64.42,13.61,22.13,4968,3480,1484,4,16.58,8.73,7.85,2477,1315,1140
黔西南布依族苗族自治州,27.99,64.04,7.96,24.77,170203,118718,50990,495,15.77,5.96,9.81,149185,67768,50165
  兴义市,22.93,69.61,7.46,27.69,43958,30187,13614,157,15.56,4.44,11.12,72123,37194,21875
  兴仁县,30.40,62.00,7.60,23.74,23265,14971,8238,56,15.45,5.92,9.53,19835,6596,8260
  普安县,30.46,61.81,7.73,23.64,14751,9925,4783,43,12.28,6.19,6.09,8914,3732,3316
  晴隆县,30.94,61.44,7.61,23.57,14175,9663,4481,31,17.63,6.65,10.98,5228,3655,3099
  贞丰县,32.59,58.87,8.54,22.53,19688,13589,6040,59,15.93,6.81,9.12,10695,4170,4763
  望谟县,31.89,59.60,8.51,22.99,17677,13971,3666,40,14.02,7.30,6.72,11202,1850,1796
  册亨县,27.46,64.63,7.91,24.93,12290,9591,2671,28,17.91,7.72,10.19,8800,3889,2321
  安龙县,26.12,64.84,9.05,24.27,24399,16821,7497,81,17.78,6.11,11.67,12388,6682,4735
毕节地区,31.24,61.22,7.54,23.78,367570,245298,121505,767,14.88,5.94,8.94,301708,82357,70449
  毕节市,32.34,59.26,8.40,23.24,70984,47038,23756,190,14.72,5.77,8.95,71568,21222,11946
  大方县,28.49,63.16,8.34,24.26,48224,32044,16093,87,15.69,6.10,9.59,36951,7557,9110
  黔西县,26.58,65.16,8.26,24.86,43285,29334,13862,89,16.85,7.02,9.83,56942,13029,11129
  金沙县,26.78,64.47,8.75,24.38,36881,25072,11725,84,15.18,6.19,8.99,42418,17527,14092
  织金县,29.98,62.46,7.56,23.75,44177,29344,14768,65,13.28,6.01,7.27,29513,5610,7270
  纳雍县,34.14,58.34,7.52,22.61,36871,23652,13135,84,15.63,5.39,10.24,24190,6765,6084
  威宁彝族回族苗族自治县,33.88,60.54,5.58,24.21,53028,35992,16940,96,14.48,5.66,8.82,20751,4962,5885
  赫章县,34.86,58.11,7.03,22.84,34120,22822,11226,72,13.79,5.68,8.11,19375,5685,4933
黔东南苗族侗族自治州,24.88,65.14,9.98,24.32,267572,190105,76943,524,15.66,7.25,8.41,182109,111543,64713
  凯里市,20.83,70.68,8.49,27.58,30637,20932,9620,85,11.74,4.89,6.85,44188,66568,17615
  黄平县,27.66,61.07,11.27,22.49,22411,15478,6893,40,13.23,7.15,6.08,10783,3308,1595
  施秉县,26.12,63.77,10.11,24.26,9910,6758,3140,12,13.40,6.78,6.62,6342,2829,1684
  三穗县,27.54,62.18,10.28,22.85,12313,8726,3562,25,20.41,8.09,12.32,6145,2243,2870
  镇远县,25.53,64.30,10.17,23.07,15530,10545,4968,17,16.69,7.65,9.04,10110,6721,5555
  岑巩县,27.70,61.16,11.13,22.42,13697,9383,4273,41,15.30,8.06,7.24,7846,2764,2022
  天柱县,22.73,65.23,12.04,22.80,24814,18061,6713,40,17.04,7.91,9.13,17654,1852,3966
  锦屏县,25.19,64.56,10.25,23.63,12429,9069,3347,13,18.21,8.27,9.94,12118,2018,2136
  剑河县,27.10,63.45,9.45,24.24,13348,9674,3660,14,15.47,7.71,7.76,9596,2305,2251
  台江县,28.24,62.37,9.39,23.32,8131,5778,2345,8,15.15,7.16,7.99,4436,2371,1363
  黎平县,24.19,65.84,9.97,24.63,30701,22695,7947,59,16.54,7.88,8.66,18218,3473,6250
  榕江县,26.15,65.45,8.40,25.28,18489,13073,5374,42,16.84,5.96,10.88,10293,3776,6049
  从江县,24.04,66.28,9.68,25.77,21974,15888,6030,56,18.06,7.98,10.08,6652,3630,6046
  雷山县,25.96,64.18,9.86,23.00,9063,6640,2409,14,16.86,9.05,7.81,6379,2383,1218
  麻江县,22.94,66.14,10.92,23.62,14184,10179,3969,36,14.30,7.95,6.35,7252,3483,2418
  丹寨县,26.07,63.55,10.37,22.74,9941,7226,2693,22,15.37,7.65,7.72,4097,1819,1675
黔南布依族苗族自治州,23.37,67.10,9.53,25.16,241201,176626,64071,504,14.60,6.80,7.80,163384,74759,52747
  都匀市,17.25,72.51,10.24,27.06,35428,25756,9594,78,11.80,6.00,5.80,32733,21800,10970
  福泉市,20.24,71.73,8.03,27.54,17204,11830,5328,46,15.94,5.23,10.71,22281,11284,5391
  荔波县,23.25,67.14,9.61,25.70,11194,8569,2594,31,14.48,7.07,7.41,7222,2813,5048
  贵定县,22.67,67.64,9.69,24.57,17463,12830,4607,26,14.13,6.81,7.32,7313,5483,4372
  瓮安县,22.27,69.73,7.99,26.71,23048,15902,7099,47,14.86,5.61,9.25,28783,6447,3687
  独山县,22.07,67.08,10.85,25.02,23035,17499,5485,51,13.85,7.29,6.56,9886,3049,4065
  平塘县,27.66,60.72,11.63,21.53,20662,14843,5785,34,14.04,8.25,5.79,6982,2510,2806
  罗甸县,26.97,62.79,10.24,23.69,21451,16719,4681,51,14.83,7.85,6.98,9315,1956,1730
  长顺县,25.29,64.55,10.16,23.37,14867,10467,4361,39,14.26,5.81,8.45,4950,4507,2396
  龙里县,23.48,67.77,8.75,25.12,12460,9259,3182,19,16.96,7.31,9.65,9695,6915,4160
  惠水县,25.67,64.66,9.68,23.96,26028,19166,6815,47,14.22,8.24,5.98,15760,5891,4688
  三都水族自治县,28.54,63.33,8.13,25.01,18361,13786,4540,35,17.92,7.02,10.90,8464,2104,3434
,,,,,,,,,,,,,,
云南省,20.73,71.65,7.63,28.06,2700426,1935997,755923,8506,12.30,6.36,5.94,2119312,2697944,1236549
昆明市,15.50,76.13,8.37,30.04,402237,274023,127013,1201,9.40,6.10,3.30,379487,1220317,446827
  五华区,10.98,80.60,8.42,33.44,52655,34232,18246,177,7.36,5.73,1.63,76923,232007,71559
  盘龙区,12.66,79.52,7.81,31.82,46329,30288,15920,121,8.31,5.69,2.62,63567,256042,82058
  官渡区,12.90,80.14,6.97,31.74,43730,28914,14697,119,7.00,5.27,1.73,53330,271839,93572
  西山区,11.98,79.31,8.72,31.01,47940,31757,16029,154,7.95,6.62,1.33,42621,202452,84960
  东川区,21.26,68.52,10.22,26.21,21112,14662,6394,56,12.16,6.97,5.19,16452,4978,1750
  呈贡县,12.81,82.11,5.08,33.39,11758,8023,3705,30,8.45,3.72,4.73,8059,90236,40009
  晋宁县,17.32,73.26,9.42,28.73,19679,12943,6687,49,10.44,5.94,4.50,12955,19915,12462
  富民县,20.24,70.17,9.58,27.04,10786,7785,2968,33,12.78,6.71,6.07,3386,6284,2898
  宜良县,19.14,71.11,9.75,26.77,31219,22119,8999,101,11.03,6.67,4.36,22139,18515,8037
  石林彝族自治县,20.02,71.69,8.29,27.91,15288,10438,4807,43,12.13,6.99,5.14,12736,9801,7034
  嵩明县,19.24,72.33,8.43,28.02,18714,13674,4965,75,11.45,6.34,5.11,9313,22923,7173
  禄劝彝族苗族自治县,20.46,69.73,9.81,27.30,30287,22011,8176,100,12.09,7.68,4.41,14688,2623,3268
  寻甸回族彝族自治县,22.24,68.79,8.97,27.45,31413,22150,9176,87,12.55,6.68,5.87,16845,6738,3856
  安宁巿,16.48,75.29,8.23,27.20,21327,15027,6244,56,9.56,6.10,3.46,26473,75964,28191
曲靖市,23.87,68.71,7.42,27.12,323900,216467,106709,724,13.32,6.01,7.31,334612,139640,83606
  麒麟区,20.37,72.11,7.52,28.71,41816,28316,13431,69,12.39,5.02,7.37,97147,72007,31660
  马龙县,23.65,68.88,7.47,27.36,10646,7583,3048,15,10.95,5.23,5.72,10341,4920,2385
  陆良县,22.93,69.76,7.31,28.25,33433,21876,11506,51,12.71,5.64,7.07,31049,7164,4349
  师宗县,25.89,67.32,6.79,27.27,19787,13090,6631,66,16.02,6.89,9.13,17902,5806,3789
  罗平县,25.86,66.68,7.46,26.53,30152,19501,10548,103,14.46,5.70,8.76,27886,5740,6672
  富源县,28.06,65.81,6.13,25.99,33343,22672,10595,76,14.52,7.28,7.24,29866,12220,11698
  会泽县,24.18,67.52,8.30,25.94,56007,37163,18708,136,13.72,5.77,7.95,23066,5410,3737
  沾益县,20.53,71.99,7.47,27.84,24538,17482,6978,78,11.46,5.45,6.01,13939,16119,6190
  宣威市,23.44,68.88,7.68,27.07,74178,48784,25264,130,12.84,6.39,6.45,83416,10254,13126
玉溪市,18.86,72.37,8.78,28.61,152662,106119,46051,492,10.22,5.58,4.64,162511,144081,64351
  红塔区,17.41,73.69,8.90,29.62,32427,21292,11016,119,9.84,4.71,5.13,54465,65784,23571
  江川县,19.76,70.63,9.60,28.53,19513,12381,7065,67,9.57,5.93,3.64,11684,6583,3576
  澄江县,20.17,71.24,8.59,28.76,10845,7437,3376,32,11.49,5.64,5.85,9464,4465,2728
