首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,
地    区,各年龄组人口占总人口比重（%）,,,,有65岁及以上老年人口的户数（户）,,,,人口自然变动（‰）,,,迁入人口（人）,,
,0-14岁,15-64岁,65岁及以上,"15-49岁
育龄妇女",合计,有一个老人,有二个老人,"有三个
及以上老人",出生率,死亡率,自然增长率,"本县（市）/
本市市区","本省其他县
（市）、市区",外省
  唐县,21.05,70.87,8.08,27.46,31446,21529,9760,157,15.12,6.87,8.25,10819,1931,1144
  高阳县,18.11,73.52,8.37,28.22,21340,14006,7218,116,14.09,6.01,8.08,15472,12444,14015
  容城县,16.31,75.11,8.58,29.07,16204,10726,5384,94,13.78,6.87,6.91,7038,6620,6236
  涞源县,19.44,72.24,8.32,25.45,16769,11946,4791,32,11.63,5.84,5.79,27475,2420,2694
  望都县,15.73,75.56,8.71,27.05,16232,10853,5302,77,13.21,6.87,6.34,7341,2384,1389
  安新县,18.32,74.48,7.20,28.31,23743,16135,7496,112,15.80,5.92,9.88,10461,21389,14250
  易县,16.93,74.63,8.44,27.59,34854,24772,9940,142,12.48,7.15,5.33,15040,3663,3003
  曲阳县,22.93,70.70,6.38,27.63,28389,20074,8222,93,17.02,6.22,10.80,13554,1182,825
  蠡县,18.69,73.11,8.20,27.47,31004,20796,9998,210,16.26,6.05,10.21,15727,4299,4312
  顺平县,17.97,73.67,8.36,26.64,18530,12556,5901,73,14.02,7.39,6.63,4139,1592,1052
  博野县,18.28,73.10,8.62,27.01,15788,10532,5168,88,16.60,6.92,9.68,5503,1835,644
  雄县,19.10,73.18,7.71,28.23,20713,13798,6832,83,15.52,6.39,9.13,6604,2220,2848
  涿州市,14.70,77.04,8.26,29.08,37234,25026,12097,111,10.15,6.52,3.63,58944,19309,26005
  定州市,17.90,74.14,7.96,27.85,69713,48586,20806,321,12.20,6.46,5.74,54454,15786,6374
  安国市,15.67,75.24,9.09,27.20,25531,17587,7807,137,11.40,6.09,5.31,21895,3712,2717
  高碑店市,15.09,77.53,7.37,30.97,35163,23623,11354,186,12.34,5.46,6.88,46063,25979,51927
张家口市,15.92,73.74,10.34,26.56,331053,219693,110757,603,9.08,6.60,2.48,534186,322109,84765
  桥东区,11.45,79.03,9.52,28.31,23018,13971,9015,32,5.01,4.03,0.98,53090,83575,13672
  桥西区,12.29,78.16,9.54,29.83,19706,12224,7439,43,5.38,3.77,1.61,48972,83244,10671
  宣化区,13.99,76.44,9.57,28.51,24683,15296,9356,31,6.10,4.08,2.02,85253,60530,12096
  下花园区,11.82,75.91,12.27,25.42,5775,3892,1880,3,6.43,8.01,-1.58,4442,4962,1001
  宣化县,16.06,73.39,10.55,26.12,21555,14567,6951,37,9.77,7.61,2.16,22746,20245,3166
  张北县,16.18,73.16,10.65,26.03,24580,15834,8693,53,9.02,7.96,1.06,62882,19657,5390
  康保县,15.20,73.92,10.88,25.25,16438,10776,5626,36,8.08,8.99,-0.91,21092,1288,2219
  沽源县,15.21,75.07,9.72,25.51,12462,8145,4300,17,10.10,6.99,3.11,16110,3763,3666
  尚义县,15.97,72.66,11.36,25.39,12468,7945,4504,19,7.45,7.24,0.21,25435,1245,2456
  蔚县,20.69,69.33,9.97,25.37,35627,26637,8941,49,12.97,6.70,6.27,53204,6475,6894
  阳原县,19.31,69.98,10.71,26.94,21106,14698,6380,28,11.60,8.33,3.27,25732,2444,4913
  怀安县,16.51,71.74,11.75,26.42,18268,12151,6080,37,9.91,7.87,2.04,11665,4080,3448
  万全县,17.37,71.55,11.09,25.97,17205,11203,5964,38,10.28,7.13,3.15,20352,9978,2602
  怀来县,15.68,75.00,9.33,27.56,24023,16008,7963,52,9.51,6.52,2.99,27719,11089,5454
  涿鹿县,15.81,74.23,9.96,25.74,24647,17109,7491,47,9.99,6.94,3.05,14966,3639,3631
  赤城县,17.66,70.52,11.83,23.94,20521,13371,7088,62,11.38,7.06,4.32,25216,2678,1932
  崇礼县,15.16,73.35,11.49,25.53,8971,5866,3086,19,8.97,7.71,1.26,15310,3217,1554
承德市,17.37,74.05,8.59,27.06,221480,150684,70291,505,11.08,7.04,4.04,276477,114161,49752
  双桥区,12.40,79.60,8.00,30.94,23248,14017,9164,67,8.25,3.73,4.52,63284,56512,13812
  双滦区,15.13,76.73,8.13,28.48,8601,5391,3189,21,10.79,5.59,5.20,13015,14950,3053
  鹰手营子矿区,12.06,76.51,11.43,26.51,5092,3216,1871,5,5.65,6.96,-1.31,3294,6198,1033
  承德县,16.26,74.95,8.78,26.06,25950,18289,7617,44,11.12,8.16,2.96,25690,6251,4828
  兴隆县,17.04,74.71,8.25,26.69,19775,13911,5816,48,10.11,7.53,2.58,14750,5106,3850
  平泉县,18.43,72.39,9.17,26.09,30910,21221,9620,69,10.29,7.15,3.14,22124,3509,3755
  滦平县,18.52,72.61,8.87,26.96,19235,13097,6101,37,12.25,8.74,3.51,18404,5339,4693
  隆化县,19.78,71.35,8.86,26.05,24474,17024,7397,53,13.45,7.46,5.99,24461,3743,2174
  丰宁满族自治县,18.17,72.47,9.35,26.36,24102,15794,8233,75,10.40,6.53,3.87,31565,3192,4139
  宽城满族自治县,18.28,74.47,7.25,26.91,13695,9590,4066,39,12.62,6.07,6.55,18656,3892,4525
  围场满族蒙古族自治县,19.94,72.00,8.06,26.61,26398,19134,7217,47,13.16,8.83,4.33,41234,5469,3890
沧州市,17.92,73.81,8.27,27.73,429941,277455,150401,2085,13.47,6.20,7.27,347392,143711,100997
  新华区,15.96,76.13,7.90,29.55,12510,7341,5129,40,10.78,4.83,5.95,28158,28438,7237
  运河区,14.40,78.37,7.23,31.50,15342,8538,6746,58,10.19,3.89,6.30,46304,41754,9487
  沧县,19.03,73.07,7.90,27.07,39518,26779,12563,176,15.62,7.37,8.25,8600,4365,2032
  青县,16.88,74.55,8.56,27.42,25489,16784,8599,106,12.57,6.36,6.21,16050,4105,8044
  东光县,16.24,75.34,8.43,27.86,22272,14812,7356,104,13.02,6.83,6.19,11556,1676,1772
  海兴县,20.45,70.64,8.91,25.94,13162,8452,4645,65,13.38,5.37,8.01,8829,1332,2035
  盐山县,18.71,73.35,7.95,27.89,25311,16642,8495,174,11.04,5.55,5.49,13878,1480,1036
  肃宁县,16.24,74.57,9.19,27.48,22493,14414,7958,121,15.39,7.80,7.59,20579,5140,6029
  南皮县,18.78,72.78,8.44,26.86,23012,15364,7519,129,15.01,6.34,8.67,14438,2728,1629
  吴桥县,15.27,75.10,9.63,26.96,18777,12338,6366,73,10.78,6.08,4.70,5753,468,860
