首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  藁城市,5527,4860,19454,17559,19582,17931,15665,14732,31530,30505,49466,50424,32605,31835,20687,19242,26064,26359,36423,35767,30325,31544,26694,26622,26252,26510,17673,17935,11309,12376,8195,9346,5299,7444,2713,4873,1126,2657
  晋州市,4051,3561,12857,11770,13270,11698,11773,10342,23143,21147,31977,30427,24260,24110,14607,13889,17706,18296,24831,22518,21486,21350,19716,19906,18244,18717,12994,14128,7697,8552,5624,6365,4210,5189,2041,2956,731,1540
  新乐市,3483,3111,18700,16396,15549,14057,11496,10475,19951,20554,28087,29071,22402,21926,17629,16287,17375,16294,19584,20937,16445,17726,15620,15051,14238,14200,9442,9663,5743,6123,4130,4496,2647,3523,1227,2242,494,1278
  鹿泉市,2558,2523,10045,9871,10118,9781,8644,8252,14053,17653,30197,30532,20100,20390,14432,13599,14050,13268,17709,16962,17142,17193,15173,15036,14418,15006,9522,9672,6352,6369,4649,4512,3013,3714,1587,2477,807,1557
唐山市,39332,34601,175148,156652,192582,178912,170423,160526,237724,225802,376178,359043,289859,276011,282664,267388,278344,269681,344021,331089,339306,332321,294877,278192,306530,290467,200138,193029,119807,113835,96633,90721,71362,76045,37661,44630,18703,27052
  路南区,1107,970,5757,5084,6298,5706,5729,4987,10161,8461,18821,16204,12920,12366,12206,11701,11478,10819,13929,13084,14228,13211,13056,12164,12809,12932,7842,7843,4729,5072,3941,4217,2825,3190,1634,1743,893,959
  路北区,2716,2448,11125,10137,13133,12453,12884,11977,21596,21972,43299,44030,30583,31358,30956,32836,27707,29527,30121,29960,32680,31447,30524,29303,32207,31635,19080,18431,10709,10994,9350,9915,6737,7913,3985,3906,1770,2100
  古冶区,1065,1128,5785,5253,6622,6323,6545,6341,8845,8687,12286,11910,14109,13776,12512,12078,12737,12101,14805,14409,18316,18380,19130,18470,18778,17876,10220,10680,5972,6180,5112,5645,3619,5077,2219,2789,1230,1451
  开平区,961,940,5419,4980,6245,5810,5176,4993,7168,6507,9191,8889,11134,10947,12140,11090,10381,9210,11737,11046,12372,11715,11763,11047,11884,11985,7253,7726,3945,3859,3082,3251,2253,2597,1132,1409,543,791
  丰润区,2764,2463,11702,10617,15722,14375,13655,12595,22342,19534,32637,29351,21698,19593,23922,21964,23197,22372,27544,26602,24533,24843,21495,20603,24022,23299,16009,15389,8720,7681,7122,6159,5410,5187,3149,3383,1725,2089
