首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
大同市,1086073,2.30,19.87,106101,73470,32631,60632,45469,61824,44277,20249,85852,10422,51900,39995,3784
  城区,250629,1.97,23.68,23694,23422,272,21589,2105,21017,2677,10560,13134,2514,302,18856,2022
  矿区,169227,1.97,19.96,16498,15111,1387,13835,2663,13284,3214,4428,12070,943,1637,13536,382
  南郊区,128398,2.27,18.96,12805,11516,1289,6375,6430,8465,4340,1702,11103,3557,7064,1973,211
  新荣区,36333,2.39,18.20,3461,1853,1608,1026,2435,1080,2381,153,3308,270,2732,388,71
  阳高县,88012,2.14,18.17,8841,7302,1539,2457,6384,4901,3940,511,8330,322,7506,861,152
  天镇县,68158,2.07,18.07,6689,2567,4122,3414,3275,1935,4754,398,6291,165,5617,829,78
  广灵县,56225,2.87,17.31,5502,1837,3665,2814,2688,4208,1294,367,5135,349,4648,381,124
  灵丘县,75712,3.06,19.30,7543,1589,5954,2921,4622,1090,6453,752,6791,360,6268,755,160
  浑源县,101065,2.67,16.93,10041,2013,8028,1946,8095,1191,8850,470,9571,656,8171,912,302
  左云县,55608,2.49,20.66,5384,1807,3577,1312,4072,570,4814,439,4945,651,3737,814,182
  大同县,56706,2.83,20.57,5643,4453,1190,2943,2700,4083,1560,469,5174,635,4218,690,100
阳泉市,428541,2.94,25.26,42738,31828,10910,40027,2711,36904,5834,15718,27020,3698,20945,16941,1154
  城区,66626,2.17,25.91,6751,6517,234,6466,285,6216,535,4621,2130,1217,19,5077,438
  矿区,78871,2.05,20.99,7883,7170,713,7345,538,6735,1148,3398,4485,1011,370,6419,83
  郊区,87674,3.17,30.23,8834,6599,2235,8359,475,7836,998,2964,5870,973,5194,2384,283
  平定县,101226,3.07,25.06,9726,5506,4220,9317,409,8512,1214,2127,7599,243,7699,1557,227
  盂县,94144,3.89,24.03,9544,6036,3508,8540,1004,7605,1939,2608,6936,254,7663,1504,123
长治市,923466,3.03,27.78,92838,67109,25729,74500,18338,78050,14788,22478,70360,6256,65504,18468,2610
  城区,139805,2.69,30.64,14106,13453,653,13086,1020,12945,1161,9016,5090,2150,2419,8527,1010
  郊区,76092,2.96,29.43,7580,6615,965,6911,669,6328,1252,2286,5294,556,4206,2635,183
  长治县,91303,3.45,28.28,9144,7835,1309,7975,1169,7228,1916,1829,7315,232,7956,836,120
  襄垣县,74233,3.82,32.87,7254,5068,2186,6760,494,6658,596,2249,5005,147,5313,1635,159
  屯留县,70331,3.19,29.47,7088,3818,3270,6630,458,6526,562,1115,5973,267,6154,566,101
  平顺县,45474,3.51,25.43,4523,2201,2322,2754,1769,2737,1786,299,4224,216,3979,244,84
  黎城县,48043,2.64,27.63,4854,3182,1672,4193,661,3915,939,680,4174,334,3896,529,95
  壶关县,77295,2.71,25.78,7889,3680,4209,6357,1532,7530,359,774,7115,286,6901,620,82
  长子县,87667,3.47,29.73,8748,4894,3854,6338,2410,5672,3076,959,7789,230,8075,320,123
  武乡县,55549,2.61,21.26,5620,4327,1293,2940,2680,5020,600,530,5090,420,4520,482,198
  沁县,49355,2.59,18.64,5112,2746,2366,2417,2695,3752,1360,591,4521,332,4159,488,133
  沁源县,45874,2.50,18.33,4662,3957,705,2292,2370,3886,776,426,4236,623,3419,441,179
  潞城市,62445,3.02,31.25,6258,5333,925,5847,411,5853,405,1724,4534,463,4507,1145,143
晋城市,662706,3.61,29.26,66187,57967,8220,54540,11647,35912,30275,16228,49959,7619,44517,11529,2522
  城区,139871,2.79,26.17,13743,12484,1259,11617,2126,10356,3387,6595,7148,3665,2619,6724,735
  沁水县,66935,3.68,29.12,6773,5661,1112,4782,1991,4020,2753,1747,5026,1038,4765,636,334
  阳城县,116294,3.24,41.02,11520,10563,957,9918,1602,2834,8686,3055,8465,970,8774,1281,495
  陵川县,68424,3.92,27.22,6910,5188,1722,5118,1792,4486,2424,330,6580,328,6143,293,146
  泽州县,136056,4.64,26.56,13610,11238,2372,11222,2388,5726,7884,1819,11791,321,11552,1274,463
  高平市,135126,3.57,26.54,13631,12833,798,11883,1748,8490,5141,2682,10949,1297,10664,1321,349
朔州市,485730,2.82,21.18,48250,24579,23671,20092,28158,25452,22798,8083,40167,5699,30152,10894,1505
  朔城区,143869,2.68,21.68,14136,9016,5120,8267,5869,10008,4128,4118,10018,2242,6834,4547,513
  平鲁区,53194,2.97,22.27,5425,2129,3296,1634,3791,2891,2534,679,4746,991,3387,876,171
  山阴县,69156,3.10,22.16,6833,1802,5031,2074,4759,3522,3311,618,6215,554,4976,1108,195
  应县,92102,3.10,18.80,9062,2907,6155,3070,5992,2074,6988,645,8417,413,7483,1092,74
  右玉县,34235,2.55,18.84,3518,2120,1398,1130,2388,1370,2148,339,3179,396,2465,566,91
  怀仁县,93174,2.58,22.28,9276,6605,2671,3917,5359,5587,3689,1684,7592,1103,5007,2705,461
晋中市,1002346,2.74,26.73,100498,77345,23153,80170,20328,74776,25722,27715,72783,9083,65490,22533,3392
  榆次区,194449,2.84,29.74,19493,14145,5348,15582,3911,12155,7338,7493,12000,2007,7789,8886,811
  榆社县,42231,1.95,20.79,4336,3351,985,1442,2894,4001,335,546,3790,385,3323,456,172
  左权县,48307,2.74,26.43,4920,4209,711,4324,596,4536,384,995,3925,371,3809,721,19
  和顺县,44496,4.71,22.68,4499,3741,758,3996,503,2799,1700,838,3661,583,3330,499,87
  昔阳县,78404,2.49,24.95,7863,5840,2023,7318,545,5985,1878,1430,6433,758,5887,1072,146
  寿阳县,69811,2.98,28.08,7093,4836,2257,5698,1395,1303,5790,1422,5671,918,5151,736,288
  太谷县,87805,3.08,27.33,8766,3097,5669,7464,1302,6887,1879,2178,6588,592,6079,1915,180
  祁县,81233,2.93,29.32,8198,7366,832,7774,424,7406,792,2938,5260,527,6184,1248,239
  平遥县,144866,2.63,21.69,14422,11018,3404,8862,5560,9781,4641,2142,12280,947,11529,1379,567
  灵石县,79074,2.27,27.22,8078,7431,647,6629,1449,7643,435,2567,5511,1190,4260,2178,450
  介休市,131670,2.27,29.94,12830,12311,519,11081,1749,12280,550,5166,7664,805,8149,3443,433
运城市,1336278,3.97,30.18,132738,93024,39714,107133,25605,99258,33480,54583,78155,7433,105209,18439,1657
  盐湖区,189187,3.69,34.07,19119,15549,3570,15859,3260,14408,4711,11378,7741,1838,11258,5497,526
  临猗县,143813,4.44,36.64,14536,13137,1399,14151,385,13519,1017,9915,4621,486,12700,1230,120
  万荣县,110566,3.89,26.52,10801,2515,8286,8922,1879,9370,1431,3033,7768,340,9887,542,32
  闻喜县,102652,4.23,31.65,10190,7390,2800,8695,1495,7442,2748,4424,5766,533,8388,1178,91
  稷山县,82856,3.82,26.62,8295,4518,3777,5815,2480,4520,3775,2601,5694,261,7499,458,77
  新绛县,79338,2.82,28.20,7703,6581,1122,6744,959,6519,1184,3674,4029,322,6722,594,65
  绛县,74984,4.54,28.31,7037,5528,1509,5817,1220,5694,1343,2022,5015,247,5591,1129,70
  垣曲县,67872,3.80,25.09,6765,4573,2192,5211,1554,4549,2216,1740,5025,681,4654,1329,101
  夏县,81594,6.57,32.24,8057,5698,2359,6584,1473,5904,2153,1786,6271,145,7593,229,90
  平陆县,70616,3.27,23.87,7092,1614,5478,2128,4964,1344,5748,957,6135,354,6167,463,108
  芮城县,106780,4.20,27.44,10534,7523,3011,7287,3247,7050,3484,2077,8457,1110,8572,663,189
  永济市,118869,3.90,34.77,11847,10675,1172,11030,817,10481,1366,6463,5384,369,8921,2439,118
  河津市,107151,2.73,26.19,10762,7723,3039,8890,1872,8458,2304,4513,6249,747,7257,2688,70
忻州市,921407,3.24,20.93,93598,41028,52570,65980,27618,67124,26474,15182,78416,8843,68815,13854,2086
  忻府区,162405,3.27,26.09,16530,6801,9729,13890,2640,14765,1765,3844,12686,1178,10568,4272,512
  定襄县,65371,4.31,25.16,6461,5689,772,5818,643,5982,479,2250,4211,197,5582,552,130
  五台县,87665,3.90,18.66,8976,5157,3819,6000,2976,6274,2702,898,8078,432,7802,604,138
  代县,62698,3.23,19.16,6322,2982,3340,5360,962,5253,1069,884,5438,470,5105,649,98
  繁峙县,76977,3.44,18.48,7981,2365,5616,6805,1176,6920,1061,878,7103,898,6008,1005,70
  宁武县,49242,2.58,16.24,5072,1604,3468,2241,2831,2165,2907,575,4497,588,3604,745,135
  静乐县,43101,2.83,15.79,4498,1197,3301,4008,490,3420,1078,489,4009,630,3338,387,143
  神池县,32013,3.08,20.25,3221,806,2415,972,2249,1283,1938,274,2947,204,2540,435,42
  五寨县,33540,2.97,21.06,3485,1464,2021,2494,991,2459,1026,495,2990,336,2696,389,64
  岢岚县,24861,2.53,17.91,2561,1202,1359,1873,688,1495,1066,274,2287,197,2027,311,26
  河曲县,47457,2.73,21.67,4909,2841,2068,4227,682,4220,689,665,4244,830,3280,661,138
  保德县,46673,1.97,19.02,4766,1543,3223,1322,3444,921,3845,637,4129,1153,3003,539,71
  偏关县,36274,1.87,15.79,3609,332,3277,322,3287,214,3395,192,3417,651,2627,267,64
  原平市,153130,3.70,22.58,15207,7045,8162,10648,4559,11753,3454,2827,12380,1079,10635,3038,455
临汾市,1148571,3.16,27.89,114476,52062,62414,82632,31844,81263,33213,29311,85165,9444,83298,18742,2992
  尧都区,244180,3.02,31.59,24303,15007,9296,20243,4060,18839,5464,10273,14030,3816,11937,7463,1087
  曲沃县,59032,4.00,27.80,5801,2026,3775,4537,1264,4468,1333,1806,3995,252,4998,464,87
  翼城县,81815,3.78,27.10,8214,4008,4206,6364,1850,5820,2394,1914,6300,412,6788,792,222
  襄汾县,117929,4.29,28.88,11978,2015,9963,6611,5367,5439,6539,2105,9873,207,10789,888,94
  洪洞县,190388,3.22,30.56,18609,6575,12034,14383,4226,15537,3072,2868,15741,393,16206,1772,238
  古县,24872,3.29,27.81,2508,1334,1174,1472,1036,1488,1020,458,2050,176,2003,297,32
  安泽县,25157,1.93,26.44,2510,2190,320,1731,779,2151,359,316,2194,303,1894,222,91
  浮山县,39850,2.94,25.56,3710,914,2796,2392,1318,3093,617,369,3341,555,2803,256,96
  吉县,30362,1.63,13.74,3088,1044,2044,1418,1670,1774,1314,457,2631,313,2537,200,38
  乡宁县,58912,3.17,27.84,6121,1335,4786,4088,2033,4725,1396,634,5487,734,4889,292,206
  大宁县,18008,1.93,20.40,1817,517,1300,525,1292,274,1543,226,1591,165,1364,165,123
  隰县,29403,2.36,20.84,2835,1337,1498,2139,696,1095,1740,440,2395,244,2217,344,30
  永和县,17727,1.68,14.29,1783,581,1202,670,1113,588,1195,165,1618,223,1425,107,28
  蒲县,27341,3.04,28.37,2688,879,1809,1853,835,1665,1023,450,2238,238,2116,216,118
  汾西县,37635,2.67,22.15,3775,1101,2674,3013,762,3576,199,320,3455,383,2985,324,83
  侯马市,69786,3.20,29.20,7043,6144,899,6320,723,6162,881,4371,2672,507,3072,3295,169
  霍州市,76174,2.64,25.37,7693,5055,2638,4873,2820,4569,3124,2139,5554,523,5275,1645,250
吕梁市,1038798,2.47,20.87,102774,59920,42854,61376,41398,69251,33523,18243,84531,11750,75785,12907,2332
  离石区,90748,1.97,20.61,9113,6127,2986,6334,2779,4919,4194,2756,6357,2953,3728,2111,321
  文水县,110756,3.48,22.73,10756,9581,1175,9471,1285,10097,659,1642,9114,328,9399,931,98
  交城县,65104,3.23,18.59,6580,2406,4174,3116,3464,2766,3814,918,5662,579,5080,840,81
  兴县,77057,1.69,16.87,7610,5302,2308,3444,4166,4274,3336,884,6726,780,6019,694,117
  临县,158218,2.05,17.63,15880,3672,12208,6513,9367,10742,5138,666,15214,949,13922,687,322
  柳林县,87442,1.80,18.44,8805,4272,4533,2648,6157,5902,2903,1308,7497,1757,6372,431,245
  石楼县,31214,1.63,14.29,3036,793,2243,659,2377,334,2702,209,2827,441,2375,166,54
  岚县,46323,3.15,18.01,4386,1195,3191,1837,2549,2683,1703,440,3946,499,3473,341,73
  方山县,41213,1.88,17.07,4009,3293,716,3800,209,3540,469,716,3293,284,3363,281,81
  中阳县,39100,2.01,21.98,3967,2578,1389,2421,1546,3634,333,637,3330,818,2590,381,178
  交口县,32683,2.68,23.13,3240,1549,1691,1701,1539,1154,2086,566,2674,497,2289,305,149
  孝义市,139021,2.54,25.97,13671,8817,4854,10019,3652,8156,5515,4590,9081,1227,7975,4035,434
  汾阳市,119919,3.23,27.48,11721,10335,1386,9413,2308,11050,671,2911,8810,638,9200,1704,179
,,,,,,,,,,,,,,,,
内蒙古自治区,8205498,2.07,23.52,782992,495500,287492,627966,155026,350762,432230,186873,596119,116447,393795,251348,21402
呼和浩特市,952872,2.01,24.20,93981,73969,20012,64323,29658,43476,50505,33801,60180,22130,31562,36359,3930
  新城区,192500,1.90,25.40,18811,17039,1772,15379,3432,12616,6195,9761,9050,5644,2037,10140,990
  回民区,132298,1.80,23.15,12928,11672,1256,10473,2455,8741,4187,6639,6289,3793,1145,7178,812
  玉泉区,132375,1.69,21.68,13157,11211,1946,9523,3634,7105,6052,4847,8310,4359,2341,5807,650
  赛罕区,198301,2.14,27.47,19281,15889,3392,14967,4314,11633,7648,9600,9681,5006,4059,9144,1072
  土默特左旗,103816,2.20,22.71,10323,7082,3241,5031,5292,1406,8917,1185,9138,890,7815,1458,160
  托克托县,65747,2.23,27.32,6386,5156,1230,4032,2354,706,5680,613,5773,861,4602,844,79
  和林格尔县,53063,2.57,22.10,5356,3009,2347,2498,2858,603,4753,528,4828,533,4130,659,34
  清水河县,33487,2.32,21.69,3460,1591,1869,795,2665,202,3258,192,3268,540,2531,338,51
  武川县,41285,1.76,17.93,4279,1320,2959,1625,2654,464,3815,436,3843,504,2902,791,82
包头市,939459,1.84,22.51,92118,82380,9738,69858,22260,49176,42942,33027,59091,20461,24857,43849,2951
  东河区,187204,1.87,22.11,18508,16952,1556,14040,4468,10097,8411,6428,12080,2861,4429,10412,806
  昆都仑区,256018,1.87,23.66,25367,23362,2005,20599,4768,17429,7938,11344,14023,7753,1913,15094,607
  青山区,209475,1.89,26.11,20553,19411,1142,17369,3184,15919,4634,11179,9374,5343,1581,12700,929
  石拐区,15039,1.90,17.14,921,806,115,499,422,97,824,46,875,99,460,325,37
  白云鄂博矿区,9605,1.88,19.86,935,808,127,812,123,649,286,310,625,205,57,661,12
  九原区,69806,1.63,22.39,6819,5752,1067,4924,1895,1803,5016,1505,5314,2123,2746,1706,244
  土默特右旗,97275,1.84,21.20,9615,8908,707,7054,2561,2070,7545,1161,8454,1005,6979,1495,136
  固阳县,58908,1.69,13.97,5774,4214,1560,2734,3040,578,5196,538,5236,600,4365,705,104
  达尔罕茂明安联合旗,36129,1.77,18.04,3626,2167,1459,1827,1799,534,3092,516,3110,472,2327,751,76
乌海市,187773,2.18,27.80,18017,17358,659,15233,2784,8341,9676,7833,10184,4020,3128,10308,561
  海勃湾区,103673,2.25,28.42,9655,9329,326,8053,1602,5539,4116,5139,4516,2429,1345,5580,301
  海南区,35072,1.95,25.56,3536,3324,212,2935,601,1037,2499,984,2552,872,766,1748,150
  乌达区,49028,2.17,28.06,4826,4705,121,4245,581,1765,3061,1710,3116,719,1017,2980,110
赤峰市,1373247,2.24,23.46,133070,72198,60872,124885,8185,79841,53229,22239,110831,11246,88468,31737,1619
  红山区,143197,2.30,24.95,13093,12247,846,12471,622,8755,4338,4132,8961,2677,2421,7793,202
  元宝山区,105657,2.60,24.74,10329,9427,902,10123,206,6683,3646,2611,7718,842,4032,5359,96
  松山区,169485,2.67,24.96,16777,10508,6269,16235,542,13454,3323,4235,12542,1965,9804,4550,458
  阿鲁科尔沁旗,94559,2.12,22.75,9088,4944,4144,8015,1073,2327,6761,1290,7798,597,7104,1321,66
  巴林左旗,105380,2.00,21.52,10110,4725,5385,9309,801,3748,6362,1094,9016,806,7572,1628,104
  巴林右旗,59420,1.95,21.55,5266,2362,2904,3732,1534,1186,4080,699,4567,528,3381,1299,58
  林西县,72555,1.85,22.78,7058,4561,2497,6662,396,2218,4840,685,6373,688,4897,1396,77
  克什克腾旗,69972,1.56,21.97,7043,3294,3749,6169,874,1243,5800,957,6086,638,4563,1707,135
  翁牛特旗,132851,2.24,21.16,13114,5306,7808,12220,894,7424,5690,1599,11515,498,10585,1968,63
  喀喇沁旗,93773,2.01,24.28,8911,4429,4482,8579,332,5040,3871,1024,7887,298,7361,1165,87
  宁城县,160864,2.01,23.12,16180,4652,11528,15585,595,13724,2456,1670,14510,780,13511,1762,127
  敖汉旗,165534,2.64,24.69,16101,5743,10358,15785,316,14039,2062,2243,13858,929,13237,1789,146
通辽市,948038,2.48,23.16,88749,52654,36095,82306,6443,43571,45178,19562,69187,4880,63532,19283,1054
  科尔沁区,278703,2.12,23.56,24699,21404,3295,24020,679,17777,6922,9545,15154,1679,12163,10525,332
  科尔沁左翼中旗,146676,2.59,21.07,13101,5884,7217,11260,1841,3664,9437,1380,11721,271,11438,1255,137
  科尔沁左翼后旗,116319,2.39,22.89,11257,3711,7546,10378,879,5726,5531,1374,9883,381,9070,1702,104
  开鲁县,113971,2.99,23.04,11059,8195,2864,10851,208,4758,6301,2283,8776,308,9544,1105,102
  库伦旗,50769,2.87,23.49,5040,1568,3472,4773,267,2034,3006,562,4478,109,4186,665,80
  奈曼旗,116762,2.85,25.20,11476,5791,5685,10828,648,4307,7169,2192,9284,477,9769,1113,117
  扎鲁特旗,90314,2.40,23.63,8803,3686,5117,7158,1645,3193,5610,1124,7679,654,6809,1228,112
  霍林郭勒市,34524,2.05,21.92,3314,2415,899,3038,276,2112,1202,1102,2212,1001,553,1690,70
鄂尔多斯市,604414,2.06,27.42,59147,38672,20475,41529,17618,18406,40741,18755,40392,18162,23164,15815,2006
  东胜区,158909,1.94,26.27,15491,12130,3361,10823,4668,8231,7260,7404,8087,6514,1656,6841,480
  达拉特旗,114580,1.96,26.01,11080,7278,3802,7743,3337,1847,9233,1983,9097,2826,6189,1846,219
  准格尔旗,115312,2.13,26.10,11557,5923,5634,6688,4869,3274,8283,3341,8216,3379,5073,2817,288
  鄂托克前旗,22618,2.46,33.58,2342,1409,933,2138,204,311,2031,630,1712,356,1604,319,63
  鄂托克旗,44858,2.20,29.69,4298,3314,984,3352,946,1365,2933,1661,2637,1321,1576,1283,118
  杭锦旗,41625,1.95,28.93,3949,2358,1591,3306,643,883,3066,921,3028,605,2145,1033,166
  乌审旗,38463,2.58,31.16,3910,2164,1746,3006,904,731,3179,931,2979,802,2287,743,78
  伊金霍洛旗,68049,1.96,28.13,6520,4096,2424,4473,2047,1764,4756,1884,4636,2359,2634,933,594
呼伦贝尔市,896713,1.75,21.82,80831,34022,46809,76783,4048,42468,38363,12463,68368,8754,30978,38077,3022
  海拉尔区,117313,1.85,23.63,10208,7630,2578,9808,400,6387,3821,3123,7085,1573,1456,6835,344
  阿荣旗,90690,1.61,21.43,8185,2041,6144,7959,226,7308,877,853,7332,555,5679,1832,119
  莫力达瓦达斡尔族自治旗,89495,1.96,21.63,8297,2961,5336,8093,204,7445,852,838,7459,663,6045,1375,214
  鄂伦春自治旗,79828,1.74,20.68,7581,1572,6009,7250,331,2903,4678,492,7089,673,2632,3932,344
  鄂温克族自治旗,49869,1.94,24.93,4681,3047,1634,4488,193,2379,2302,1329,3352,445,1110,2987,139
  新巴尔虎右旗,20375,2.19,25.11,2055,728,1327,1916,139,507,1548,277,1778,154,967,897,37
  新巴尔虎左旗,14501,1.77,21.71,1476,365,1111,1122,354,202,1274,96,1380,140,739,496,101
  陈巴尔虎旗,12638,1.71,23.50,1151,472,679,936,215,396,755,195,956,167,423,481,80
  满洲里市,95277,1.78,24.17,8642,6779,1863,8234,408,5230,3412,2453,6189,2137,1423,4579,503
  扎兰屯市,131194,1.58,17.97,10956,4176,6780,10308,648,4098,6858,1268,9688,788,2235,7448,485
  牙克石市,122175,1.77,21.73,10761,2477,8284,10178,583,1976,8785,819,9942,1081,6289,3114,277
  根河市,29536,1.63,24.02,2745,593,2152,2577,168,2536,209,324,2421,161,999,1492,93
  额尔古纳市,43822,1.43,19.85,4093,1181,2912,3914,179,1101,2992,396,3697,217,981,2609,286
巴彦淖尔市,555161,2.26,27.54,54302,43295,11007,47070,7232,15931,38371,13599,40703,7405,30194,14987,1716
  临河区,181249,2.31,28.50,17829,13865,3964,16284,1545,8382,9447,6293,11536,3228,7680,6334,587
  五原县,87739,2.47,26.96,8836,6829,2007,7781,1055,2094,6742,1587,7249,1265,5614,1762,195
  磴口县,43355,2.31,28.55,4098,2680,1418,3601,497,713,3385,895,3203,280,2261,1383,174
  乌拉特前旗,100418,2.02,27.07,9817,8838,979,8173,1644,2062,7755,2011,7806,1263,5887,2329,338
  乌拉特中旗,41521,2.11,26.74,4024,2919,1105,3243,781,823,3201,835,3189,559,2357,941,167
  乌拉特后旗,20580,2.06,27.70,1920,1489,431,1639,281,573,1347,462,1458,302,798,671,149
  杭锦后旗,80299,2.32,26.53,7778,6675,1103,6349,1429,1284,6494,1516,6262,508,5597,1567,106
乌兰察布市,794267,1.96,18.81,76434,39482,36952,35475,40959,12882,63552,8839,67595,7343,52347,15238,1506
  集宁区,128436,1.81,21.89,12403,11035,1368,9139,3264,5777,6626,3738,8665,2732,3070,6251,350
  卓资县,50396,2.22,19.32,4838,2243,2595,1953,2885,631,4207,501,4337,277,3638,766,157
  化德县,49128,1.50,18.21,4894,3382,1512,2177,2717,1070,3824,398,4496,407,3672,761,54
  商都县,90466,1.51,17.52,8765,3264,5501,3029,5736,580,8185,495,8270,539,6883,1140,203
  兴和县,79802,2.45,19.03,7627,2929,4698,5043,2584,566,7061,476,7151,614,6103,820,90
  凉城县,61835,2.29,19.15,6064,3077,2987,3021,3043,1179,4885,611,5453,398,4905,677,84
  察哈尔右翼前旗,64024,2.02,18.04,5865,2551,3314,3605,2260,310,5555,237,5628,215,4936,624,90
  察哈尔右翼中旗,55003,2.07,17.88,5364,2100,3264,1098,4266,301,5063,258,5106,284,4387,661,32
  察哈尔右翼后旗,56738,2.10,18.05,5719,2398,3321,2087,3632,431,5288,398,5321,454,4336,805,124
  四子王旗,67555,1.78,16.43,6566,3527,3039,2473,4093,652,5914,542,6024,785,4752,864,165
  丰镇巿,90884,2.03,18.62,8329,2976,5353,1850,6479,1385,6944,1185,7144,638,5665,1869,157
兴安盟,519990,1.86,24.07,44851,16588,28263,42895,1956,23530,21321,6498,38353,3795,28607,11449,1000
  乌兰浩特市,109988,1.90,25.34,9683,6732,2951,9406,277,5231,4452,3098,6585,1680,2799,4933,271
  阿尔山市,20916,1.61,17.36,1396,369,1027,1307,89,305,1091,122,1274,148,315,838,95
  科尔沁右翼前旗,92893,2.08,24.13,8433,1320,7113,8071,362,3341,5092,555,7878,264,6931,1124,114
  科尔沁右翼中旗,80723,1.78,24.60,7901,2386,5515,7214,687,3444,4457,822,7079,548,5766,1440,147
  扎赉特旗,124967,1.73,22.97,10191,2570,7621,9780,411,5930,4261,1135,9056,641,7488,1818,244
  突泉县,90503,1.88,25.08,7247,3211,4036,7117,130,5279,1968,766,6481,514,5308,1296,129
锡林郭勒盟,355655,1.99,22.43,33758,18413,15345,21274,12484,9775,23983,7080,26678,6766,14636,10817,1539
  二连浩特市,25597,1.78,22.77,2560,1855,705,1511,1049,1298,1262,994,1566,1422,172,826,140
  锡林浩特市,84718,1.95,25.07,7750,5231,2519,5474,2276,4501,3249,3104,4646,2109,1261,3964,416
  阿巴嘎旗,14194,2.03,22.70,1368,614,754,804,564,195,1173,168,1200,176,753,391,48
  苏尼特左旗,11519,1.70,19.66,1060,368,692,504,556,134,926,107,953,141,494,371,54
  苏尼特右旗,26103,1.76,20.57,2487,1607,880,1585,902,603,1884,413,2074,460,879,952,196
  东乌珠穆沁旗,29742,2.19,22.32,2846,1489,1357,1760,1086,508,2338,304,2542,660,1309,742,135
  西乌珠穆沁旗,26275,1.97,22.70,2460,938,1522,1485,975,677,1783,424,2036,322,1328,688,122
  太仆寺旗,47547,2.56,21.98,4633,1936,2697,3545,1088,449,4184,369,4264,350,3270,873,140
  镶黄旗,9978,2.01,23.20,921,615,306,545,376,215,706,188,733,151,453,259,58
  正镶白旗,19349,2.19,19.82,1809,900,909,646,1163,234,1575,190,1619,247,1054,448,60
  正蓝旗,28038,1.91,21.61,2684,1198,1486,1529,1155,422,2262,382,2302,369,1592,631,92
  多伦县,32595,1.52,20.39,3180,1662,1518,1886,1294,539,2641,437,2743,359,2071,672,78
阿拉善盟,77909,2.43,33.77,7734,6469,1265,6335,1399,3365,4369,3177,4557,1485,2322,3429,498
  阿拉善左旗,58577,2.38,33.50,5742,4818,924,4551,1191,2278,3464,2281,3461,987,1794,2550,411
  阿拉善右旗,8882,2.63,35.39,887,668,219,768,119,256,631,269,618,62,311,478,36
  额济纳旗,10450,2.52,33.99,1105,983,122,1016,89,831,274,627,478,436,217,401,51
,,,,,,,,,,,,,,,,
辽宁省,14994046,2.27,25.89,1474065,1072066,401999,1455303,18762,1263469,210596,601768,872297,121814,629188,697988,25075
沈阳市,2839413,1.98,26.79,282680,251170,31510,280454,2226,268796,13884,168254,114426,30093,69576,178078,4933
