首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  清河县,105896,5.67,35.68,10679,7611,3068,7355,3324,4944,5735,3691,6988,281,9929,452,17
  临西县,89496,4.61,33.09,9007,7408,1599,8379,628,7731,1276,4385,4622,160,8594,227,26
  南宫市,138331,4.96,33.97,13922,12605,1317,13081,841,12221,1701,6215,7707,68,13356,474,24
  沙河市,124771,3.49,29.66,12629,6062,6567,10502,2127,9525,3104,5345,7284,205,10839,1482,103
保定市,3039158,3.59,32.38,303344,180536,122808,258113,45231,204869,98475,157844,145500,8416,247348,44370,3210
  新市区,149147,2.72,33.35,14685,13560,1125,13658,1027,13181,1504,11979,2706,1373,3009,9893,410
  北市区,99772,2.82,34.53,10024,9580,444,9585,439,9264,760,8857,1167,996,1647,6711,670
  南市区,73610,2.69,29.86,7346,6516,830,6529,817,6220,1126,5765,1581,863,2171,3487,825
  满城县,108017,3.63,31.93,10769,8729,2040,10006,763,8109,2660,5974,4795,100,9350,1289,30
  清苑县,169242,2.79,31.63,16882,12568,4314,15174,1708,14173,2709,11674,5208,163,15488,1181,50
  涞水县,96562,2.85,37.57,9616,3176,6440,8130,1486,6414,3202,4105,5511,139,8759,678,40
  阜平县,61404,3.83,27.23,6019,1711,4308,2325,3694,1027,4992,1436,4583,179,5351,453,36
  徐水县,155050,3.00,34.74,15398,10033,5365,14147,1251,14527,871,10206,5192,182,13607,1519,90
  定兴县,136860,3.31,35.84,13791,2217,11574,10567,3224,10146,3645,6514,7277,73,12827,860,31
  唐县,140291,4.69,29.48,14094,3789,10305,12613,1481,13682,412,5569,8525,82,13300,690,22
  高阳县,93488,3.35,30.85,9534,8318,1216,8550,984,8237,1297,4273,5261,379,8232,859,64
  容城县,63986,3.71,37.17,6436,3935,2501,4699,1737,3356,3080,2636,3800,84,5919,411,22
  涞源县,81197,3.77,22.84,8395,3887,4508,5776,2619,3604,4791,1324,7071,400,6889,1029,77
  望都县,68642,2.66,36.64,6757,5233,1524,6539,218,5719,1038,4650,2107,75,6096,557,29
  安新县,119584,3.34,27.22,11975,10613,1362,9244,2731,5782,6193,4619,7356,124,11042,724,85
  易县,148668,3.79,31.78,14856,5800,9056,13379,1477,11799,3057,4949,9907,336,13757,719,44
  曲阳县,153570,4.52,30.55,15397,4506,10891,10791,4606,8334,7063,6431,8966,84,14671,583,59
  蠡县,130192,3.57,30.68,13115,11086,2029,12437,678,11031,2084,7568,5547,103,12457,499,56
  顺平县,81232,2.65,27.74,7908,3628,4280,5298,2610,911,6997,2313,5595,63,7349,483,13
  博野县,68307,4.62,32.90,6750,5412,1338,5977,773,5118,1632,3550,3200,25,6469,247,9
  雄县,94953,4.52,26.52,9447,6156,3291,7492,1955,3400,6047,3474,5973,144,8658,617,28
  涿州市,176029,3.85,37.89,17414,10720,6694,15456,1958,14220,3194,10433,6981,759,11800,4556,299
  定州市,300607,3.16,32.21,29889,14819,15070,26827,3062,12921,16968,13643,16246,359,27191,2248,91
  安国市,108016,4.66,33.88,10786,6771,4015,8935,1851,2586,8200,5333,5453,119,9779,853,35
  高碑店市,160732,5.17,36.87,16061,7773,8288,13979,2082,11108,4953,10569,5492,1212,11530,3224,95
张家口市,1481690,2.77,23.18,146936,103605,43331,105512,41424,74872,72064,33808,113128,14504,91896,37650,2886
  桥东区,115991,2.24,26.14,11427,11147,280,9976,1451,9052,2375,6013,5414,2193,1299,7593,342
  桥西区,100044,2.16,23.50,9352,8674,678,7228,2124,7080,2272,4881,4471,1812,1335,5766,439
  宣化区,135710,2.23,25.44,13346,12679,667,11335,2011,10455,2891,7305,6041,2280,1945,8689,432
  下花园区,24253,2.57,24.48,2446,2329,117,1745,701,1722,724,861,1585,257,1037,1069,83
  宣化县,94185,3.71,25.86,9377,6935,2442,7253,2124,5145,4232,744,8633,580,7996,682,119
  张北县,110037,2.76,20.48,10856,4563,6293,4342,6514,1621,9235,1410,9446,1397,7336,2006,117
