首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
  北市区,33635,14187,661,3152,1505,5127,1072,2668,2,19448,9956,385,376,312,210,30,4303,2297,1579
  南市区,24650,11678,528,1743,686,3661,1843,3104,113,12972,5771,426,242,219,138,12,2822,1981,1361
  满城县,31529,22234,646,1140,571,1508,13086,5283,,9295,1624,1577,242,68,86,46,766,4224,662
  清苑县,51511,40051,233,1275,452,2894,28263,6930,4,11460,2212,2436,366,47,75,,797,4337,1190
  涞水县,28270,18716,193,838,452,2068,10402,4762,1,9554,1808,1431,361,60,81,6,557,4240,1010
  阜平县,15392,9008,157,332,344,569,6725,881,,6384,643,968,183,40,45,2,362,3457,684
  徐水县,45747,32022,641,1407,741,3982,14416,10833,2,13725,2160,2468,381,160,140,95,1064,6171,1086
  定兴县,41949,31433,331,970,527,2316,20072,7216,1,10516,2371,2532,184,73,81,44,746,3805,680
  唐县,40367,29104,257,974,360,1698,20289,5526,,11263,2103,2818,372,50,157,10,653,4715,385
  高阳县,28100,20658,503,1068,784,2562,9856,5885,,7442,939,1613,146,83,68,,662,3264,667
  容城县,20026,14579,263,623,296,2199,4245,6952,1,5447,789,1258,81,30,41,1,419,2509,319
  涞源县,21064,14339,380,587,493,764,10721,1394,,6725,979,998,282,143,38,10,479,3083,713
  望都县,20367,14956,328,612,316,1030,9782,2888,,5411,1130,1287,139,61,95,23,453,1810,413
  安新县,34955,24170,781,886,410,2988,9547,9555,3,10785,938,1920,240,47,85,,457,6276,822
  易县,43963,30289,214,1095,472,2229,21737,4542,,13674,2966,2973,313,153,98,11,713,5352,1095
  曲阳县,44392,29162,240,944,406,2041,20151,5380,,15230,2314,2180,515,50,91,8,463,6813,2796
  蠡县,40273,32480,220,827,479,1478,25527,3947,2,7793,1634,2244,166,55,48,71,598,2543,434
  顺平县,22210,17475,91,591,329,1202,12900,2360,2,4735,747,1221,114,29,31,9,434,1754,396
  博野县,19441,15557,93,336,240,802,11998,2088,,3884,892,1133,110,39,26,1,241,1134,308
  雄县,28196,19141,224,768,266,2205,10460,5133,85,9055,1120,1686,180,60,43,31,424,3578,1933
  涿州市,49438,34021,527,2869,1392,5111,14712,9410,,15417,3269,2512,351,152,330,29,2704,5107,963
  定州市,91510,69454,164,2393,726,6051,50793,9327,,22056,6394,5985,583,165,187,29,1557,5990,1166
  安国市,30187,23054,129,906,205,1686,18020,2104,4,7133,1780,1740,211,77,75,34,506,2087,623
  高碑店市,50243,37723,863,1722,999,5574,13933,14631,1,12520,2363,2542,301,86,131,67,1483,4459,1088
张家口市,351071,211054,2967,13863,9282,29370,113257,42107,208,140017,19842,19422,5270,3287,1987,265,22897,55471,11576
  桥东区,27775,13069,255,2126,1817,4043,636,4164,28,14706,3239,508,517,547,427,63,5998,2950,457
  桥西区,22960,10543,552,1540,1047,3418,705,3274,7,12417,2701,458,486,693,264,16,4194,2779,826
  宣化区,29815,13816,508,2030,1366,3452,1472,4926,62,15999,1693,582,807,974,308,32,5290,4583,1730
  下花园区,5314,2480,42,207,252,428,555,996,,2834,213,345,135,82,37,3,800,1048,171
  宣化县,22095,13313,105,769,157,1072,9023,2183,4,8782,1153,1421,401,76,123,4,385,4444,775
  张北县,25945,17419,192,711,453,2230,10269,3563,1,8526,1681,2135,228,116,137,21,566,3332,310
  康保县,17675,11925,71,527,274,1608,6925,2520,,5750,1003,1404,197,27,61,5,307,2259,487
  沽源县,14312,10071,33,438,250,1311,6928,1111,,4241,731,1196,133,31,52,5,241,1505,347
  尚义县,12508,8570,110,318,224,1149,4950,1819,,3938,648,979,110,49,24,10,257,1594,267
  蔚县,35257,20914,128,963,785,1765,14289,2979,5,14343,1243,1814,537,133,106,20,798,7069,2623
  阳原县,20723,14804,74,561,363,1257,9129,3420,,5919,836,1311,239,70,41,4,569,2640,209
  怀安县,17306,12009,109,532,440,841,8416,1671,,5297,673,1268,181,60,28,5,540,2301,241
  万全县,17154,10310,163,527,252,1000,6489,1879,,6844,813,1043,263,60,29,6,456,3628,546
  怀来县,27508,16799,285,1006,575,2325,9182,3426,,10709,1107,1362,381,200,142,37,1085,5674,721
  涿鹿县,26559,17240,165,717,459,1488,12694,1715,2,9319,969,1481,300,84,111,24,849,4553,948
  赤城县,19314,12119,72,598,385,1324,8625,1016,99,7195,675,1481,230,53,60,7,377,3640,672
  崇礼县,8851,5653,103,293,183,659,2970,1445,,3198,464,634,125,32,37,3,185,1472,246
承德市,273113,172263,4012,11170,6176,20764,97964,32115,62,100850,16895,14139,3739,2044,1415,683,11235,41687,9013
  双桥区,33279,15864,676,2922,1723,4323,2294,3894,32,17415,5386,735,688,780,289,466,4548,3427,1096
  双滦区,12149,6049,164,522,323,1046,997,2993,4,6100,857,429,221,102,121,77,1270,2379,644
  鹰手营子矿区,5284,2003,97,209,220,440,41,996,,3281,206,207,136,141,66,9,942,1160,414
