首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
  麒麟区,65801,44107,1127,3924,2635,9513,15900,10989,19,21694,6542,2669,599,422,404,94,4599,5081,1284
  马龙县,14078,11489,78,544,254,956,8968,688,1,2589,609,860,73,39,22,15,216,629,126
  陆良县,44683,34511,171,1356,416,2819,26571,3177,1,10172,3520,2644,329,203,110,12,748,2123,483
  师宗县,27847,22607,134,862,283,1533,17764,2029,2,5240,1511,1574,155,50,34,26,311,1178,401
  罗平县,39882,32141,112,1256,468,2452,25251,2588,14,7741,1873,2350,220,55,64,53,480,2106,540
  富源县,49208,38745,129,1339,567,2425,28366,5919,,10463,3019,3405,345,43,79,71,519,2487,495
  会泽县,63657,53074,370,1887,565,5783,39965,4470,34,10583,2107,4220,286,83,61,128,1017,2108,573
  沾益县,31948,25891,63,804,416,1673,20472,2456,7,6057,1856,2017,151,53,84,30,645,1078,143
  宣威市,94832,75321,271,2167,940,5340,57576,9009,18,19511,7231,5344,442,153,140,49,1597,3847,708
玉溪市,181501,137707,1493,8205,4356,17376,86354,19908,15,43794,8782,11314,1401,815,877,569,5912,11318,2806
  红塔区,40227,26410,618,3162,1814,6440,6659,7716,1,13817,3153,2039,394,272,510,229,2398,3950,872
  江川县,21564,16514,160,766,328,1640,12110,1507,3,5050,1221,1700,160,73,96,31,535,974,260
  澄江县,12874,10354,81,384,225,1097,7857,710,,2520,538,770,83,45,31,6,291,609,147
  通海县,23240,17724,149,776,412,2029,11845,2511,2,5516,983,1709,165,114,51,44,823,1199,428
  华宁县,16036,13111,65,582,263,1053,10116,1032,,2925,433,999,128,49,43,55,295,790,133
  易门县,13957,10713,83,609,276,1129,6978,1636,2,3244,792,990,84,51,23,69,448,646,141
  峨山彝族自治县,13251,10236,109,546,279,1062,6748,1485,7,3015,636,769,126,103,47,46,345,781,162
  新平彝族傣族自治县,24137,19617,137,811,472,1925,13927,2345,,4520,564,1408,121,49,27,70,355,1485,441
  元江哈尼族彝族傣族自治县,16215,13028,91,569,287,1001,10114,966,,3187,462,930,140,59,49,19,422,884,222
保山市,193784,154533,882,5316,2634,12702,116705,16283,11,39251,6738,13037,645,506,340,464,3839,10984,2698
  隆阳区,72270,56353,292,2041,1166,5708,40285,6859,2,15917,2905,4299,352,246,155,306,1731,4427,1496
  施甸县,23172,18594,99,671,262,995,14807,1754,6,4578,555,1942,51,37,42,13,341,1398,199
  腾冲县,50370,39630,303,1322,580,3320,29319,4786,,10740,1943,3677,160,150,82,108,1044,2975,601
  龙陵县,21723,17992,70,575,295,1345,14671,1036,,3731,604,1597,39,28,37,29,304,837,256
  昌宁县,26249,21964,118,707,331,1334,17623,1848,3,4285,731,1522,43,45,24,8,419,1347,146
昭通市,365067,297659,1359,9261,4924,25783,191554,64726,52,67408,18880,23142,1681,891,1184,734,3994,13226,3676
  昭阳区,52656,39485,222,1825,1323,3881,26323,5907,4,13171,3738,3232,425,349,221,214,1543,2620,829
  鲁甸县,26120,21897,58,725,282,2421,15026,3384,1,4223,1622,1616,66,14,17,9,146,559,174
  巧家县,36719,31111,173,767,322,2577,23409,3863,,5608,1245,2435,107,38,66,17,299,1131,270
  盐津县,26362,22094,94,606,350,1943,13582,5519,,4268,1042,1473,126,36,55,17,253,959,307
  大关县,19287,16303,66,413,279,1408,10620,3488,29,2984,803,997,70,11,31,,191,573,308
  永善县,28631,23508,125,824,373,1926,15149,5110,1,5123,1384,1809,138,72,69,194,202,974,281
  绥江县,11288,8531,195,399,194,1071,4720,1952,,2757,478,845,91,57,111,121,230,677,147
  镇雄县,92536,76188,183,1773,816,5677,43646,24084,9,16348,5358,6593,376,194,340,28,418,2593,448
  彝良县,39367,33882,116,808,450,2299,24504,5705,,5485,1331,2098,98,43,54,18,274,1110,459
  威信县,24787,19343,100,686,290,1582,12396,4281,8,5444,1440,1594,145,45,111,18,234,1500,357
  水富县,7314,5317,27,435,245,998,2179,1433,,1997,439,450,39,32,109,98,204,530,96
丽江市,97243,76230,472,3509,2084,9643,53852,6659,11,21013,4939,6550,533,266,175,246,2312,4605,1387
  古城区,17619,12766,214,1254,1013,4219,4203,1857,6,4853,1093,524,187,134,93,147,1228,1028,419
  玉龙纳西族自治县,17564,14346,59,487,297,1014,11662,827,,3218,644,1370,54,9,6,38,274,720,103
  永胜县,31203,25240,46,676,353,2409,20193,1559,4,5963,1549,2494,118,68,28,18,401,962,325
  华坪县,12699,9554,89,401,179,850,6736,1299,,3145,416,974,89,27,22,19,217,1105,276
  宁蒗彝族自治县,18158,14324,64,691,242,1151,11058,1117,1,3834,1237,1188,85,28,26,24,192,790,264
普洱市,203895,168458,1011,6352,3734,17564,123536,16252,9,35437,6424,10449,907,489,403,141,4396,8975,3253
  思茅区,23621,17061,204,1419,1163,2964,8421,2888,2,6560,1668,707,199,206,170,92,1425,1544,549
  宁洱哈尼族彝族自治县,14879,11688,102,541,273,1524,7759,1489,,3191,471,899,83,61,59,12,528,772,306
  墨江哈尼族自治县,29104,24478,87,655,341,2548,18956,1886,5,4626,989,1770,108,32,38,6,403,897,383
  景东彝族自治县,28623,24054,118,690,417,2238,18725,1866,,4569,657,1593,70,37,26,5,394,1411,376
  景谷傣族彝族自治县,23118,19858,73,638,361,1655,15586,1545,,3260,487,1057,77,52,25,1,438,877,246
  镇沅彝族哈尼族拉祜族自治县,16918,13656,75,600,252,1413,10235,1081,,3262,500,1127,50,17,10,12,205,1041,300
  江城哈尼族彝族自治县,9434,7510,50,373,146,880,5445,616,,1924,298,518,85,24,16,7,205,532,239
  孟连傣族拉祜族佤族自治县,10788,9287,49,297,240,941,5921,1839,,1501,201,417,59,17,20,3,167,439,178
  澜沧拉祜族自治县,40423,35029,195,880,445,2910,28422,2175,2,5394,910,2046,120,30,31,3,532,1184,538
  西盟佤族自治县,6987,5837,58,259,96,491,4066,867,,1150,243,315,56,13,8,,99,278,138
临沧市,171396,143160,619,4879,2589,9180,114995,10836,62,28236,3750,10599,575,251,201,157,2863,7332,2508
  临翔区,21286,16490,71,824,661,1251,12221,1418,44,4796,468,1387,96,60,50,99,721,1271,644
  凤庆县,33045,27852,117,737,371,1912,22243,2472,,5193,749,2483,103,27,16,19,344,1133,319
  云县,30517,25726,111,906,352,1818,20891,1648,,4791,715,2032,72,28,41,17,303,1271,312
  永德县,25491,21865,45,584,318,866,18695,1357,,3626,487,1695,55,29,28,4,314,833,181
  镇康县,12620,10624,32,309,186,519,8940,638,,1996,245,780,34,19,9,,123,511,275
  双江拉祜族佤族布朗族傣族自治县,13059,11318,71,368,121,689,9124,927,18,1741,256,675,25,18,8,14,217,411,117
  耿马傣族佤族自治县,21213,17277,119,606,298,1154,14154,946,,3936,444,900,122,44,27,3,589,1351,456
  沧源佤族自治县,14165,12008,53,545,282,971,8727,1430,,2157,386,647,68,26,22,1,252,551,204
楚雄彝族自治州,212422,167339,1360,7817,4461,19551,115707,18370,73,45083,9578,11636,969,523,711,727,6545,11858,2536
  楚雄市,45947,31909,409,2553,1467,5288,18032,4128,32,14038,3399,1928,365,295,317,385,2963,3470,916
  双柏县,12640,10459,96,405,242,1007,7574,1135,,2181,453,785,50,14,31,8,218,493,129
  牟定县,17277,13943,96,604,334,2489,8273,2136,11,3334,804,1111,51,21,51,2,399,728,167
  南华县,18927,15657,112,544,361,948,12108,1583,1,3270,552,1100,54,23,38,33,326,996,148
  姚安县,15587,12332,79,502,276,1369,8423,1681,2,3255,670,1006,100,22,35,5,349,874,194
  大姚县,21651,17685,139,700,272,1966,13048,1550,10,3966,754,1448,71,43,31,59,374,1021,165
  永仁县,8721,7096,87,376,151,688,5386,408,,1625,321,471,27,25,7,20,229,425,100
  元谋县,16358,13428,97,434,222,1041,10820,805,9,2930,488,980,61,26,23,18,263,947,124
  武定县,21330,17997,183,627,582,2083,12684,1834,4,3333,818,949,56,20,46,29,284,978,153
  禄丰县,33984,26833,62,1072,554,2672,19359,3110,4,7151,1319,1858,134,34,132,168,1140,1926,440
红河哈尼族彝族自治州,342532,268009,1510,10759,6170,24059,195737,29629,145,74523,11468,20818,2425,1212,1319,873,13572,16340,6496
  个旧市,36618,22685,196,2200,1484,3545,8247,6984,29,13933,1727,1304,651,561,322,124,4630,3122,1492
  开远市,25631,18444,239,1246,729,2736,10246,3243,5,7187,1011,875,230,78,421,142,2259,1634,537
  蒙自县,33541,25494,303,1190,854,2664,17203,3274,6,8047,1575,1794,262,179,122,284,1667,1602,562
  屏边苗族自治县,11542,9903,40,233,99,346,8860,325,,1639,206,724,42,3,8,3,134,388,131
  建水县,39745,31550,141,1197,591,3190,24093,2307,31,8195,1093,2754,263,95,102,99,1477,1655,657
  石屏县,23128,18410,55,646,321,1326,14126,1932,4,4718,667,1610,161,67,58,83,707,1013,352
  弥勒县,43340,35438,92,998,608,3354,27152,3229,5,7902,1822,2520,192,35,100,63,1005,1550,615
  泸西县,29037,23272,136,916,357,1756,17977,2130,,5765,1270,2302,106,46,48,16,502,1073,402
  元阳县,27960,23286,96,443,255,1266,18478,2728,20,4674,582,2105,109,54,30,35,138,1229,392
  红河县,20892,17314,44,300,151,960,14549,1308,2,3578,455,1921,82,7,21,,146,687,259
  金平苗族瑶族傣族自治县,26454,22135,39,459,226,941,19692,735,43,4319,307,1635,94,17,31,12,208,1441,574
  绿春县,16389,13612,63,614,231,1010,10800,894,,2777,605,1072,88,25,12,6,107,591,271
  河口瑶族自治县,8255,6466,66,317,264,965,4314,540,,1789,148,202,145,45,44,6,592,355,252
文山壮族苗族自治州,237781,199907,522,5716,2724,9529,170998,10383,35,37874,6424,10897,1190,245,300,345,3100,11398,3975
  文山县,31260,24669,128,1597,913,2689,16910,2429,3,6591,1240,1147,265,91,99,192,1094,1632,831
  砚山县,30120,25844,61,653,297,1040,22448,1335,10,4276,694,1180,165,23,35,17,383,1255,524
  西畴县,19042,16142,40,460,176,692,14465,305,4,2900,479,1245,105,6,10,,202,602,251
  麻栗坡县,20194,17332,65,502,199,877,14386,1303,,2862,405,1025,73,19,25,6,255,755,299
  马关县,24125,20658,30,540,233,779,17994,1081,1,3467,474,1253,90,42,20,11,305,1090,182
  丘北县,32842,28301,39,630,349,909,25311,1063,,4541,897,1384,124,27,33,9,349,1348,370
  广南县,54156,46588,30,791,251,1056,43594,853,13,7568,1588,2179,219,19,24,23,281,2390,845
  富宁县,26042,20373,129,543,306,1487,15890,2014,4,5669,647,1484,149,18,54,87,231,2326,673
西双版纳傣族自治州,85009,65123,533,2831,1653,6534,49595,3970,7,19886,1693,3506,893,504,384,79,4220,6400,2207
  景洪市,37250,27148,241,1423,1074,3542,18709,2153,6,10102,762,1530,440,319,233,71,2497,2831,1419
  勐海县,27266,22457,89,714,298,1611,18730,1014,1,4809,517,1173,156,53,69,2,687,1767,385
  勐腊县,20493,15518,203,694,281,1381,12156,803,,4975,414,803,297,132,82,6,1036,1802,403
大理白族自治州,262979,205569,1398,9075,4659,18138,152872,19362,65,57410,12352,17720,1257,886,541,398,7321,13525,3410
  大理市,51612,34517,386,3063,1846,7072,15359,6781,10,17095,4220,2267,531,593,319,214,3925,3934,1092
  漾濞彝族自治县,8369,6889,81,300,146,405,5757,199,1,1480,257,581,50,22,19,25,135,269,122
  祥云县,33596,26315,282,1027,440,2357,18037,4148,24,7281,1225,2832,107,62,67,16,779,1900,293
  宾川县,27116,22080,105,724,381,1147,18941,766,16,5036,995,1790,116,19,17,27,336,1404,332
  弥渡县,22370,17956,64,617,245,1486,14230,1304,10,4414,865,1765,95,46,14,14,342,1055,218
  南涧彝族自治县,15615,13274,50,623,306,1121,10326,848,,2341,509,879,46,12,14,8,142,586,145
  巍山彝族回族自治县,22177,18492,54,560,285,1044,15353,1196,,3685,786,1501,63,30,13,3,326,718,245
  永平县,13747,11062,104,457,207,613,9194,487,,2685,488,1075,54,15,5,21,226,593,208
  云龙县,15429,12829,56,410,199,668,10778,717,1,2600,510,1014,70,11,35,5,207,559,189
  洱源县,20154,16521,54,423,216,652,14352,824,,3633,901,1461,40,13,5,13,283,709,208
  剑川县,12866,9845,59,299,152,587,7382,1365,1,3021,763,905,41,28,10,1,283,849,141
  鹤庆县,19928,15789,103,572,236,986,13163,727,,4139,833,1650,44,35,23,51,337,949,217
德宏傣族景颇族自治州,92007,72778,539,3556,2226,9741,49556,7149,11,19229,3175,4608,496,322,262,125,3149,4950,2142
  瑞丽市,14514,11080,144,598,505,3466,4654,1711,,3434,316,419,134,77,96,82,636,1066,608
  潞西市,30195,23209,165,1356,967,2644,15963,2107,,6986,1503,1527,153,143,69,25,1265,1622,679
  梁河县,12055,9749,55,405,177,831,7216,1064,1,2306,458,884,32,30,32,16,229,466,159
  盈江县,22429,18265,102,715,326,1978,13407,1736,1,4164,633,1021,94,37,34,1,520,1345,479
  陇川县,12814,10475,73,482,251,822,8316,531,,2339,265,757,83,35,31,1,499,451,217
怒江傈僳族自治州,39356,32956,249,1448,874,2042,26016,2321,6,6400,1329,2095,209,34,59,14,602,1559,499
  泸水县,12862,10928,41,593,462,690,8692,450,,1934,457,803,72,18,27,5,246,298,8
  福贡县,7245,5820,86,228,100,234,4762,410,,1425,241,359,30,3,10,3,74,487,218
  贡山独龙族怒族自治县,3057,2619,28,121,60,190,2034,183,3,438,82,103,16,2,6,,44,124,61
  兰坪白族普米族自治县,16192,13589,94,506,252,928,10528,1278,3,2603,549,830,91,11,16,6,238,650,212
迪庆藏族自治州,31251,25471,178,1707,725,2773,18998,1081,9,5780,1373,2148,127,30,31,21,652,916,482
  香格里拉县,13748,11022,68,1109,468,1626,7281,464,6,2726,685,919,77,15,12,19,359,379,261
  德钦县,5468,4373,46,224,115,381,3379,228,,1095,275,388,19,5,4,2,80,218,104
  维西傈僳族自治县,12035,10076,64,374,142,766,8338,389,3,1959,413,841,31,10,15,,213,319,117
,,,,,,,,,,,,,,,,,,,
西藏自治区,195270,147821,1499,7584,5690,14976,110447,7497,128,47449,9462,10996,781,58,237,54,3289,15138,7434
拉萨市,41974,30156,553,2953,1940,7254,13850,3490,116,11818,2675,1503,298,38,121,20,1880,3394,1889
  城关区,21651,13949,440,2304,1571,5997,853,2689,95,7702,1655,199,209,37,98,15,1722,2380,1387
  林周县,3377,2766,,38,17,81,2608,22,,611,183,219,7,,5,,6,79,112
  当雄县,3275,2519,29,74,42,202,2086,71,15,756,119,198,25,,1,,12,266,135
  尼木县,2067,1797,9,84,37,115,1521,28,3,270,47,130,1,,,,2,62,28
  曲水县,2331,1842,5,106,29,159,1362,181,,489,149,145,6,,3,,16,117,53
  堆龙德庆县,3665,2553,48,165,130,500,1330,377,3,1112,244,243,27,,11,5,90,379,113
  达孜县,2145,1783,7,120,57,73,1481,45,,362,121,134,6,,1,,26,53,21
  墨竹工卡县,3463,2947,15,62,57,127,2609,77,,516,157,235,17,1,2,,6,58,40
昌都地区,34247,26867,309,708,562,1446,23465,377,,7380,722,2227,121,5,23,1,282,2145,1854
  昌都县,5283,3908,150,362,289,878,2028,201,,1375,203,340,39,1,19,1,181,470,121
  江达县,4287,3363,,28,37,26,3260,12,,924,30,279,11,,2,,16,359,227
  贡觉县,1619,1350,49,1,2,71,1205,22,,269,21,135,,,,,,57,56
  类乌齐县,1976,1412,16,49,19,26,1281,21,,564,44,114,20,3,,,19,148,216
  丁青县,3020,1985,1,72,33,93,1766,20,,1035,16,88,21,,,,8,312,590
  察雅县,3343,2637,16,33,17,34,2535,2,,706,84,271,1,,,,1,88,261
  八宿县,2798,2255,17,22,56,52,2096,12,,543,76,150,1,,,,10,212,94
  左贡县,2453,1978,10,47,35,79,1798,9,,475,67,140,10,,,,9,213,36
  芒康县,5327,4496,7,36,34,75,4302,42,,831,105,431,4,1,1,,20,171,98
  洛隆县,2311,2025,33,24,22,50,1879,17,,286,44,133,6,,1,,15,50,37
  边坝县,1830,1458,10,34,18,62,1315,19,,372,32,146,8,,,,3,65,118
山南地区,24650,20041,171,979,808,1095,16298,687,3,4609,1318,1528,78,,15,2,269,1068,331
  乃东县,4528,3699,69,341,415,547,2087,240,,829,256,128,35,,4,2,168,187,49
  扎囊县,2674,2068,5,55,33,29,1920,26,,606,177,383,6,,,,9,26,5
  贡嘎县,3395,2703,4,52,89,110,2205,243,,692,262,163,11,,4,,10,194,48
  桑日县,1276,995,,21,39,,935,,,281,93,99,1,,,,2,59,27
  琼结县,1288,1037,6,40,39,24,917,11,,251,78,93,3,,,,8,62,7
  曲松县,1114,838,24,13,5,57,720,19,,276,27,89,4,,,,7,130,19
  措美县,1010,771,16,40,44,86,556,26,3,239,42,77,,,1,,4,76,39
  洛扎县,1408,1210,12,31,21,42,1085,19,,198,77,61,1,,,,8,41,10
  加查县,1812,1560,9,177,63,98,1156,57,,252,60,96,10,,,,11,51,24
  隆子县,2775,2377,6,124,22,64,2140,21,,398,124,140,2,,5,,20,58,49
  错那县,982,826,12,31,17,27,725,14,,156,45,60,2,,,,13,32,4
  浪卡子县,2388,1957,8,54,21,11,1852,11,,431,77,139,3,,1,,9,152,50
日喀则地区,47103,36771,164,1579,885,2387,30017,1739,,10332,2163,2968,150,4,24,3,390,3828,802
  日喀则市,8402,6207,46,591,415,1283,3408,464,,2195,480,432,40,,3,2,238,762,238
  南木林县,4625,3588,11,108,47,81,3299,42,,1037,276,295,2,,2,,5,385,72
  江孜县,4549,3170,7,108,40,158,2703,154,,1379,220,350,22,,5,,26,649,107
  定日县,3138,2552,7,64,26,55,2317,83,,586,125,202,1,1,,,11,213,33
  萨迦县,3801,2853,7,58,14,76,2634,64,,948,143,312,10,,4,,4,355,120
  拉孜县,2790,2183,3,94,33,82,1626,345,,607,92,142,12,1,,1,17,298,44
  昂仁县,3036,2333,,71,43,48,2159,12,,703,64,188,6,,1,,5,353,86
  谢通门县,2367,2004,9,85,29,28,1800,53,,363,112,142,3,,4,,8,70,24
  白朗县,4011,3198,,158,36,45,2823,136,,813,190,261,29,,,,3,311,19
  仁布县,1901,1606,,23,22,57,1307,197,,295,41,195,2,,1,,3,44,9
  康马县,1373,1145,21,45,23,20,996,40,,228,49,94,5,1,,,9,59,11
  定结县,1083,874,2,25,24,29,783,11,,209,43,65,5,,,,14,77,5
  仲巴县,1258,1021,10,24,13,54,910,10,,237,62,76,,,1,,5,78,15
  亚东县,833,661,15,29,12,55,511,39,,172,53,31,12,,1,,25,42,8
  吉隆县,1092,958,1,23,27,19,864,24,,134,76,33,,,,,2,23,
  聂拉木县,1049,881,12,41,8,198,614,8,,168,42,51,,1,1,,2,64,7
  萨嘎县,1238,1049,,,67,76,906,,,189,77,80,,,,,10,19,3
  岗巴县,557,488,13,32,6,23,357,57,,69,18,19,1,,1,,3,26,1
那曲地区,27098,18691,124,606,674,1074,15962,247,4,8407,1257,1638,72,6,32,2,134,3246,2020
  那曲县,7353,4338,21,237,345,642,2995,94,4,3015,509,401,32,5,18,1,69,1281,699
  嘉黎县,1642,1336,3,38,54,35,1199,7,,306,43,113,7,,,,14,48,81
  比如县,3028,2534,16,9,10,61,2434,4,,494,99,163,,1,1,,2,85,143
  聂荣县,2034,1348,11,49,53,29,1199,7,,686,118,111,7,,1,,9,310,130
  安多县,2302,1561,30,50,26,71,1353,31,,741,86,89,9,,2,,18,404,133
  申扎县,1090,867,12,48,47,46,712,2,,223,50,81,3,,6,1,9,59,14
  索县,1861,1582,11,41,39,55,1432,4,,279,47,207,1,,,,2,10,12
  班嘎县,2000,1326,8,44,23,9,1239,3,,674,96,113,3,,2,,5,313,142
  巴青县,3077,1777,9,46,25,92,1524,81,,1300,112,191,1,,2,,,643,351
  尼玛县,2711,2022,3,44,52,34,1875,14,,689,97,169,9,,,,6,93,315
阿里地区,5930,4460,77,217,282,290,3522,70,2,1470,358,415,14,,4,,98,465,116
  普兰县,638,502,6,32,27,46,388,3,,136,47,57,1,,,,3,25,3
  札达县,439,342,5,19,6,26,284,2,,97,31,39,2,,,,4,21,
  噶尔县,976,693,44,92,133,110,293,20,1,283,63,44,7,,1,,58,82,28
  日土县,645,540,9,22,49,5,455,,,105,36,26,,,,,19,22,2
  革吉县,1031,840,,11,19,15,793,2,,191,56,77,1,,2,,9,31,15
  改则县,1362,894,10,19,29,61,732,43,,468,64,89,2,,1,,2,258,52
  措勤县,839,649,3,22,19,27,577,,1,190,61,83,1,,,,3,26,16
林芝地区,14268,10835,101,542,539,1430,7333,887,3,3433,969,717,48,5,18,26,236,992,422
  林芝县,4152,2952,28,270,290,809,1015,538,2,1200,552,119,20,3,9,,115,302,80
  工布江达县,1987,1572,11,41,60,118,1299,43,,415,49,145,3,,1,,10,148,59
  米林县,1805,1402,24,49,48,150,1035,96,,403,93,115,6,2,1,25,31,80,50
  墨脱县,768,676,,22,21,60,548,25,,92,26,38,1,,,,1,16,10
  波密县,2286,1870,17,97,49,129,1461,117,,416,99,79,11,,5,,46,101,75
  察隅县,1940,1342,14,34,24,85,1134,51,,598,103,131,4,,2,,27,227,104
  朗县,1330,1021,7,29,47,79,841,17,1,309,47,90,3,,,1,6,118,44
,,,,,,,,,,,,,,,,,,,
陕西省,3012481,1996061,27167,140723,76378,324459,1097695,328156,1483,1016420,286476,159253,32006,14876,15460,6473,152148,264978,84750
西安市,700560,409485,12178,50981,28134,125764,108542,83384,502,291075,102699,21604,8053,6694,5151,3039,69256,51709,22870
  新城区,41337,22494,998,4225,2533,10857,34,3846,1,18843,3175,458,715,987,400,14,10206,1429,1459
  碑林区,53613,25039,524,7289,4866,9544,119,2693,4,28574,11048,502,783,980,511,31,11283,1766,1670
  莲湖区,61212,33640,2278,6762,3634,14689,121,6077,79,27572,4894,757,1078,1440,581,107,13787,2476,2452
  灞桥区,52474,30560,838,2932,1329,10189,7201,8021,50,21914,7686,1347,590,623,368,619,5508,3713,1460
  未央区,67030,38468,2490,5194,3379,15966,1554,9872,13,28562,10017,1072,821,853,776,621,7211,4765,2426
  雁塔区,100801,59431,3077,13000,6094,26793,299,9916,252,41370,18083,1102,1027,752,1132,638,9483,5200,3953
  阎良区,20556,13269,301,1547,618,2059,5954,2770,20,7287,2061,897,216,84,82,61,1728,1560,598
  临潼区,51116,35464,153,1290,696,5582,21176,6563,4,15652,4274,2822,636,229,223,80,1606,4506,1276
  长安区,103179,51270,584,4208,2292,16640,14189,13314,43,51909,28486,4157,1020,216,558,527,3267,10536,3142
  蓝田县,38549,26362,164,765,364,3163,18553,3353,,12187,2992,2476,310,73,136,26,976,3961,1237
  周至县,43086,30712,142,1263,588,2946,21981,3777,15,12374,3525,2588,333,128,117,26,806,3882,969
  户县,43475,26685,381,1449,813,4450,11925,7648,19,16790,4844,2311,318,282,194,81,1830,5317,1613
  高陵县,24132,16091,248,1057,928,2886,5436,5534,2,8041,1614,1115,206,47,73,208,1565,2598,615
铜川市,64432,38190,606,3180,1941,6801,18468,7121,73,26242,4180,2808,918,329,285,39,5724,8858,3101
  王益区,13730,6300,202,952,472,2004,1129,1521,20,7430,821,426,155,87,29,3,2709,2240,960
  印台区,16943,8620,130,795,475,1487,3558,2175,,8323,1023,684,361,88,101,8,1699,3261,1098
  耀州区,25497,16683,224,1167,774,2540,8864,3061,53,8814,1798,1276,341,148,143,24,1192,2959,933
  宜君县,8262,6587,50,266,220,770,4917,364,,1675,538,422,61,6,12,4,124,398,110
宝鸡市,297820,200904,2393,15626,5461,33122,98708,45469,125,96916,24192,15065,2186,1423,1033,260,17372,28739,6646
  渭滨区,34281,19342,770,3680,1168,5466,2282,5958,18,14939,2093,854,462,343,184,80,6165,3488,1270
  金台区,31184,17534,452,2173,1112,5460,2780,5480,77,13650,2259,805,383,407,181,68,5181,3357,1009
  陈仓区,49870,32002,364,1568,452,5878,14273,9460,7,17868,4695,2922,429,231,269,22,1722,6438,1140
  凤翔县,38487,27159,189,1234,595,3165,16383,5590,3,11328,3436,2301,117,83,80,18,847,3765,681
  岐山县,37700,24412,201,1795,420,4348,10848,6799,1,13288,3530,2084,250,98,127,24,1725,4593,857
  扶风县,31166,22700,40,2303,287,3242,13616,3208,4,8466,3012,1907,118,93,73,4,548,2190,521
  眉县,23918,17132,107,801,435,1882,11234,2666,7,6786,2224,1290,184,59,41,9,354,2029,596
  陇县,20449,16681,61,737,306,883,12181,2513,,3768,1145,938,102,50,26,13,275,986,233
  千阳县,9882,7406,47,275,140,675,5113,1152,4,2476,594,646,59,33,21,2,175,839,107
  麟游县,7761,5995,60,285,169,707,3652,1122,,1766,542,526,37,11,12,1,72,466,99
  凤县,8876,7338,63,387,234,1027,4282,1342,3,1538,397,542,7,5,,,248,300,39
  太白县,4246,3203,39,388,143,389,2064,179,1,1043,265,250,38,10,19,19,60,288,94
咸阳市,400768,266640,2285,16492,8715,35067,162602,41281,198,134128,46276,20801,3241,1544,1401,675,17708,32809,9673
  秦都区,43077,23385,382,3136,1822,4911,7409,5654,71,19692,6939,1118,498,579,223,295,5460,2917,1663
  杨陵区,16725,8002,137,1078,304,1836,3076,1501,70,8723,5517,603,98,19,67,97,549,1489,284
  渭城区,35149,17888,325,2752,1423,3829,5294,4251,14,17261,5771,1132,430,317,218,31,4199,3580,1583
  三原县,33481,23552,190,1240,743,2377,15848,3152,2,9929,2394,1958,220,159,104,39,1846,2476,733
  泾阳县,38186,26270,189,1937,588,3445,16718,3387,6,11916,3461,2226,256,48,158,60,833,3871,1003
  乾县,39959,30145,69,822,341,1936,24141,2835,1,9814,4328,2387,233,59,39,2,369,1906,491
  礼泉县,35810,26752,60,644,555,1626,22507,1359,1,9058,3684,2053,193,43,45,71,473,1977,519
  永寿县,13156,9025,94,423,178,909,6492,927,2,4131,1198,873,133,35,47,2,141,1479,223
  彬县,26363,19728,223,850,524,2941,12223,2963,4,6635,2468,1265,194,64,76,30,289,1863,386
  长武县,12330,8620,57,351,250,952,6189,818,3,3710,816,874,141,18,35,16,131,1434,245
  旬邑县,19780,15131,58,522,285,2113,10399,1754,,4649,1535,1082,118,22,53,7,220,1225,387
  淳化县,15150,12243,78,384,272,1511,8965,1032,1,2907,1219,898,87,12,24,7,158,344,158
  武功县,30822,19264,175,949,610,2934,9891,4682,23,11558,3545,2005,235,62,138,2,648,3990,933
  兴平市,40780,26635,248,1404,820,3747,13450,6966,,14145,3401,2327,405,107,174,16,2392,4258,1065
渭南市,410866,288947,1392,12459,6695,29064,208992,30201,144,121919,33485,22102,3536,1567,1055,642,13774,32791,12967
  临渭区,67626,46040,268,2997,1466,5639,31177,4457,36,21586,5729,3083,533,346,228,311,3577,5375,2404
  华县,26612,18745,25,723,662,2436,12756,2143,,7867,1608,1092,274,128,88,32,1062,2439,1144
  潼关县,12773,8997,34,495,465,1232,6090,681,,3776,1143,421,187,31,98,8,348,949,591
  大荔县,54425,41271,150,1117,540,3712,32654,3081,17,13154,3783,3414,334,339,74,8,1155,2845,1202
  合阳县,33926,24768,209,993,469,2240,17958,2887,12,9158,3890,1743,182,40,41,9,578,2029,646
  澄城县,30961,20699,158,996,413,2507,14531,2086,8,10262,3152,1734,332,148,101,41,867,3015,872
  蒲城县,58078,43248,196,1527,680,3869,33717,3255,4,14830,4199,3495,341,82,117,27,1525,3990,1054
  白水县,21190,15127,68,570,517,1213,11640,1112,7,6063,1749,1130,172,53,34,39,576,1635,675
  富平县,55794,38487,128,1218,563,2608,29869,4087,14,17307,4831,3494,375,138,143,42,1252,5268,1764
