,,,,,,,,,,,,,
表9--15全国县1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40—44岁,    29 092,    51,    1.75,    4,    0．14,    22,    0．76,    12,    0.41,    6,    0．2 1,    7,    0.24
    40,    6 267,    23,    3.67,    1,    0.16,    11,    1.76,    4,    0.64,    3,    0.48,    4,    0．64
    41,    6 491,    11,    1.69,-,-,    5,    0.77,    4,    0.62,    1,    0.15,    1,    0．15
    42,    6 147,    9,    1.46,    2,    0.33,    6,    0.98,-,-,    1,    0.16,-,-
    43,    5 445,    5,    0．92,    1,    0.18,-,-,    1,    0.18,    1,    0.18,    2,    0．37
    44,    4 742,    3,    0.63,-,-,-,-,    3,    0.63,-,-,-,-
  45—49岁,    17 892,    11,    0.61,    1,    0.06,    5,    0.28,-,-,    2,    0．11,    3,    0．17
    45,    4 273,    2,    0.47,    1,    0.23,-,-,-,-,-,-,    1,    0．23
    46,    3 906,    3,    0.77,-,-,    2,    0.51,-,-,    1,    0.26,-,-
    47,    3 557,    4,    1.12,-,-,    3,    0.84,-,-,    1,    0.28,-,-
    48,    3 377,    1,    0．30,-,-,-,-,-,-,-,-,    1,    0.30
    49,    2 779,    1,    0．36,-,-,-,-,-,-,-,-,    1,    0．36
办事人员和有关人员,    303 421,    18 213,    60.03,    14 109,    46.50,    3 541,    11.67,    441,    1.45,    83,    0.27,    39,0.13
  15—19岁,    40 469,    332,    8.20,    317,    7.83,    15,    0．37,-,-,-,-,-,-
    15,    2 097,-,-,-,-,-,-,-,-,-,-,-,-
    16,    4 823,-,-,-,-,-,-,-,-,-,-,-,-
    17,    7 796,    11,    1.41,    11,    1．41,-,-,-,-,-,-,-,-
    18,    11 630,    76,    6.53,    73,    6.28,    3,    0.26,-,-,-,-,-,-
    19,    14 123,    245,    17.35,    233,    16.50,    12,    0.85,-,-,-,-,-,-
  20-24岁,    77 314,    9 385,    121.39,    8 716,    112.74,    600,    7.76,    61,    0.79,    6,    0.08,    2,    0．03
    20,    16 301,    714,    43.80,    679,    41.65,    34,    2.09,    1,    0.06,-,-,-,-
    21,    14 947,    1 195,    79.95,    1 146,    76.67,    45,    3.01,    4,    0.27,-,-,-,-
    22,    13 949,    1 688,    121.01,    1 585,    113.63,    91,    6.52,    12,    0.86,-,-,-,-
    23,    15 858,    2 746,    173.16,    2 554,    161.05,    174,    10.97,    15,    0.95,    1,    0.06,    2,    0.13
    24,    16 259,    3 042,    187.10,    2 752,    169.26,    256,    15.75,    29,    1.78,    5,    0.31,-,-
  25—29岁,    58 586,    6 428,    109.72,    4 790,    81.76,    1 411,    24.08,    191,    3.26,    29,    0.49,    7,    0.12
    25,    17 073,    2 698,    158.03,    2 345,    137.35,    296,    17.34,    49,    2.87,    7,    0．41,    1,    0.06
    26,    17 071,    2 032,    119.03,    1 588,    93.02,    382,    22.38,    57,    3.34,    3,    0.18,    2,    0．12
    27,    9 400,    840,    89.36,    523,    55.64,    271,    28.83,    36,    3.83,    9,    0．96,    1,    0.11
    28,    6 762,    436,    64.48,    201,    29.72,    209,    30.91,    21,    3.11,    3,0.44,    2,    0．30
    29,    8 280,        422,    50.97,    133,    16.06,    253,    30.56,    28,    3.38,    7,    0．85,    1,    0．12
  30—34岁,    47 414,    1 629,    34.36,    241,    5.08,    1 216,    25.65,    132,    2.78,    27,    0．57,    13,    0.27
    30,    7 877,    374,    47.48,    79,    10.03,    263,    33.39,    24,    3.05,    6,    0.76,   2,    0.25
    31,    10 279,    379,    36.87,    62,    6.03,    288,    28.02,    23,    2.24,    3,    0．29,    3,    0．29
    32,    9 807,    347,    35.38,    51,    5.20,    251,    25.59,    32,    3.26,    12,    1.22,    1,    0.10
    33,    9 394,    288,    30.66,    26,    2.77,    226,    24.06,    30,    3.19,    4,    0.43,    2,    0.21
    34,    10 057,    241,    23.96,    23,    2.29,    188,    18.69,    23,    2.29,    2,    0.20,    5,    0．50
  35—39岁,    38 586,    406,    10.52,        38,    0.98,    289,    7.49,    51,    1.32,    15,    0．39,    13,    0.34
    35,    9 146,    143,    15.64,    13,    1.42,    110,    12.03,    15,    1.64,    4,    0．44,    1,    0.11
    36,    8 194,    115,    14.03,    11,    1.34,    84,    10.25,    11,    1．34,    5,    0.61,    4,    0．49
    37,    7 636,    68,    8.91,    6,    0.79,    47,    6.16,    13,    1.70,     -,      -,    2,    0.26
    38,      6 687,    42,    6.28,    3,    0.45,    28,    4.19,    7,    1.05,    2,    0.30,    2,    0.30
    39,    6 923,    38,    5.49,    5,    0.72,    20,    2.89,    5,    0.72,    4,    0.58,    4,    0.58
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9-—15全国县1989年育龄妇女分年龄、职业大类和孩次的生育状况(续04),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40-44岁,    25 865,    26,    1.01,    7,    0.27,    8,    0.31,    4,    0.15,    4,    0.15,    3,    0.12
    40,    6 021,    8,    1.33,    3,    0.50,    1,    0.17,    2,    0．33,    2,    0.33,-,-
    41,    5 707,    10,    1.75,    3,    0.53,    3,    0.53,    1,    0.18,    1,    0.18,    2,    0.35
    42,    5 380,    4,    0.74,-,-,    3,    0．56,-,-,    1,    0.19,-,-
    43,    4 607,    1,    0.22,-,-,    1,    0.22,-,-,-,-,-,-
    44,    4 150,    3,    0.72,    1,    0．24,-,-,    1,    0.24,-,-,    1,    0.24
  45-49岁,    15 187,    7,    0．46,-,-,    2,    0．13,    2,    0．13,    2,    0．13,    1,    0.07
    45,    3 601,    3,    0.83,-,-,    1,    0.28,    1,    0.28,    1,    0.28,-,-
    46,    3 315,    2,    0.60,-,-,    1,    0.30,-,-,-,-,    1,    0.30
    47,    3 220,-,-,-,-,-,-,-,-,-,-,-,-
    48,    2 869,    2,    0．70,-,-,-,-,    1,      0.35,    1,    0.35,-,-
    49,    2 182,-,-,-,-,-,-,-,-,-,-,-,-
商业工作人员,    2 023 776,    136 138,    67.27,    77 784,    38.44,    42 458,    20.98,    11 644,    5.75,    2 962,    1.46,    1 290,    0.64
  15—19岁,    281 893,    5 627,    19.96,    5 189,    18.41,    412,    1.46,    21,    0.07,    3,    0.01,      2,    0.01
    15,    24 052,    14,    0.58,    13,    0.54,-,-,-,-,    1,    0．04,-,-
    16,    41 663,    94,    2.26,        91,    2.18,    3,    0．07,-,-,-,-,-,-
    17,    57 687,    388,    6.73,    372,    6.45,    15,    0.26,-,-,    1,    0.02,-,-
    18,    74 105,    1 350,    18.22,    1 270,    17.14,    75,    1.01,    4,    0.05,-,-,    1,    0.01
    19,    84 386,    3 781,    44.81,    3 443,    40.80,    319,    3.78,    17,    0.20,    1,    0.01,    1,    0.01
  20—24岁,    449 644,    71 095,    158.11,    54 645,    121.53,    14 151,    31.47,    2 067,    4.60,    214,    0.48,    18,    0.04
    20,    92 904,    8 825,    94.99,    7 873,    84.74,    891,    9.59,    56,    0．60,    5,    0.05,-,-
    21,    83 908,    12 049,    143.60,    10 261,    122.29,    1 635,    19.49,    145,    1.73,    8,    0．10,-,-
    22,    80 453,    14 515,    180.42,    11 626,    144.51,    2 568,    31.92,    299,    3.72,    22,    0．27,-,-
    23,    94 101,    18 206,    193.47,    13 438,    142.80,    4 109,    43.67,    592,    6.29,    60,    0．64,    7,    0．07
    24,    98 278,    17 500,    178.07,    11 447,    116.48,    4 948,    50.35,    975,    9.92,    119,    1.21,    11,    0.11
  25—29岁,    392 208,    42 171,    107.52,    16 600,    42.32,    18 644,    47.54,    5 498,    14.02,    1 172,    2.99,    257,    0.66
    25,    104 755,    14 938,    142.60,    8 017,    76.53,    5 440,    51.93,    1 263,    12.06,    188,    1.79,    30,    0.29
    26,    115 211,    13 220,    114.75,    5 331,    46.27,    5 807,    50.40,    1 692,    14.69,    342,    2.97,    48,    0.42
    27,    66 871,    6 486,    96.99,    1 876,    28.05,    3 188,    47.67,    1 127,    16.85,    240,    3.59,    55,    0.82
    28,    47 663,    3 737,    78.40,    795,    16.68,    2 020,    42.38,    696,    14.60,    186,    3.90,    40,    0.84
    29,    57 708,    3 790,    65.68,    581,    10.07,    2 189,    37.93,    720,    12.48,    216,    3.74,    84,    1.46
