表9—10  全国镇1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
    49,    100 038,    87,    0.87,    5,    0.05,    10,    0.10,    15,    0.15,    24,    0.24,    33,    0．33
小学,    5 214 588,    261 263,    50.10,    123 732,    23.73,    89 656,    17.19,    31 589,    6.06,    10 774,    2.07,    5 512,    1.06
  15-19岁,    543 526,    17 416,    32.04,    15 646,    28.79,    1 657,    3.05,    97,    0.18,    1 1,    0.02,     5,    0.01
    15,    91 404,    106,    1.16,    99,    1.08,    5,    0.05,    1,    0.01,-,-,    1,    0.01
    16,    98 281,    549,    5.59,    538,    5.47,    10,    0．10,-,-,-,-,    1,    0.01
    17,    105 388,    1 659,    15.74,    1 576,    14.95,    79,    0.75,    4,    0.04,-,-,-,-
    18,    118 071,    4 613,    39.07,    4 226,    35.79,    370,    3.13,    14,    0.12,    2,    0.02,    1,    0.01
    19,    130 382,    10 489,    80.45,    9 207,    70.62,    1193,    9.15,    78,    0.60,    9,    0.07,    2,    0．02
  20—24岁,    639 881,    123 421,    192.88,    84 106,    131.44,    32 892,    51.40,    5 601,    8.75,    719,    1.12,    103,    0.16
    20,    141 035,    19 295,    136.81,    16 134,    114.40,    2 918,    20.69,    223,    1.58,    17,    0．12,     3,    0.02
    21,    128 361,      23 815,    185.53,    18 766,    146.20,    4 498,    35.04,    499,    3.89,    46,    0.36,    6,    0.05
    22,    120 120,    25 826,    215.00,    18 125,    150.89,    6 727,    56.00,    855,    7.12,    104,    0.87,    15,    0.12
    23,    128 909,    29 084,    225.62,    17 973,139.42,    9 258,    71.82,    1 657,    12.85,    177,    1.37,    19,    0.15
    24,    121 456,    25 401,    209.14,    13 108,    107.92,    9 491,    78.14,    2 367,    19.49,    375,    3.09,    60,    0.49
  25—29岁,    508 272,    67 617,    133.03,    19 900,    39.15,    30 690,    60.38,    12 795,    25.17,    3 388,    6.67,    844,    1.66
    25,        118 589,    21 192,    178.70,    8 626,    72.74,    9 030,    76.1 5,    2 934,    24.74,    516,    4.35,    86,    0．73
    26,    129 892,    19 290,    148.51,    6 044,    46.53,    8 870,    68.29,    3 453,    26.58,    788,    6.07,    135,    1.04
    27,    87 91 5,    11 498,    130.79,    2 698,    30.69,    5 308,    60.38,    2 589,    29.45,    733,    8.34,    170,    1.93
    28,    71 280,    7 201,    101.02,    1 364,    19.14,    3 400,    47.70,    1 710,    23.99,    577,    8.09,    150,    2.10
    29,    100 596,    8 436,    83.86,    1 168,    11.61,    4 082,    40.58,    2 109,    20.97,    774,    7.69,    303,    3.01
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,    出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    和年龄别,  妇女人数,    人数,    生育率,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  30-34岁,    852 471,    36 750,    43.11,    3 01 5,    3.54,    18 286,    21.45,    9 053,    10.62,    4 201,    4.93,    2 195,    2.57
    30,    1 13 880,    7 858,    69.00,    810,    7.11,    3 942,    34.62,    1 989,    17.47,    823,    7.23,    294,    2.58
    31,    163 189,    9 149,    56.06,    746,    4.57,    4 675,    28.65,    2 258,    13.84,    1 023,    6.27,    447,    2.74
    32,    170 215,    7 508,    44.11,    611,    3.59,    3 699,    21.73,    1 843,    10.83,    885,    5.20,    470,    2.76
    33,    183 821,    6 324,    34.40,    457,    2.49,    3 108,    16.91,    1 560,    8.49,    737,    4.01,    462,    2.51
    34,    221 366,    5 911,    26.70,    391,    1.77,    2 862,    12.93,    1 403,    6.34,    733,    3.31,    522,    2.36
  35-39岁,    1 129 481,    13 303,    11.78,    863,    0．76,    5 586,    4.95,    3 396,    3.01,    1 803,    1.60,    1 655,    1.47
    35,    232 594,    4 581,    19.70,    300,    1.29,    2 162,    9.30,    1 165,    5.01,    548,    2.36,    406,    1.75
    36,    229 919,    3 272,    14.23,    199,    0.87,    1 471,    6.40,    819,    3.56,    420,    1.83,    363,    1.58
    37,    228 787,    2 510,    10.97,    151,    0.66,    1 017,    4.45,    632,    2.76,    347,    1.52,    363,    1.59
    38,    207 558,    1 618,    7.80,    118,    0.57,    566,    2.73,    422,    2.03,    259,    1.25,    253,    1.22
    39,    230 623,    1 322,    5.73,    95,    0.41,    370,    1.60,    358,    1.55,    229,    0.99,    270,    1.17
  40-44岁,    878 574,    2 145,    2.44,    180,    0.20,    478,    0.54,    508,    0.58,    470,    0.53,    509,    0.58
    40,    203 420,    748,    3.68,    60,    0.29,    206,    1.01,    163,    0.80,    156,    0.77,    163,    0.80
    41,    193 370,    517,    2.67,    51,    0.26,    96,    0.50,    126,    0.65,    120,    0.62,    124,    0.64
    42,    181 161,    403,    2.22,    38,    0.21,    84,    0.46,    116,    0.64,    81,    0.45,    84,    0.46
    43,    157 588,    289,    1.83,    22,    0．14,    57,    0.36,    63,    0.40,    65,    0.41,    82,    0.52
    44,    143 035,    188,    1.31,    9,    0.06,    35,    0．24,    40,    0.28,    48,    0.34,    56,    0.39
  45—49岁,    662 383,    611,    0.92,    22,    0.03,    67,    0.10,    139,    0.21,    182,    0.27,    201,    0.30
    45,    131 369,    166,    1.26,    4,    0.03,    22,    0.17,    31,    0.24,    55,    0.42,    54,    0.41
    46,    126 962,    144,    1.13,    4,    0.03,    18,    0.14,    31,    0.24,    48,    0.38,    43,    0.34
    47,    133 112,    124,    0.93,    6,    0.05,    15,    0．11,    31,    0.23,    31,    0.23,    41,    0.31
    48,    135 916,    76,    0.56,    4,    0.03,    5,    0.04,    20,    0.15,    19,    0.14,    28,    0.21
    49,    1 35 024,    101,    0.75,    4,    0.03,    7,    0.05,    26,    0.19,    29,    0.21,    35,    0.26
初中,    9 898 840,    655 129,    66.18,    463 601,    46.83,    153 815,    15.54,    29 561,    2.99,    6 066,    0.61,    2 086,    0.21
  15-19岁,    2 441 898,    29 205,    11．96,    27 684,    11.34,    1 443,    0.59,    72,    0.03,    4,    0.00,    2,    0.00
    15,    498 604,    89,    0.18,    83,    0.17,    3,    0.01,    1,    0.00,    1,    0．00,    1,    0.00
    16,    470 893,    498,    1.06,    481,    1.02,    16,    0.03,    1,    0.00,-,-,-,-
    17,    460 135,    2 062,    4.48,    1 986,    4.32,    73,    0.16,  2,    0.00,    1,    0.00,-,-
    18,    497 754,    6 914,    13.89,    6 628,    13.32,    271,    0.54,    1 5,    0.03,-,-,-,-
    19,    514 512,    19 642,    38.18,    18 506,    35.97,    1 080,    2.10,    53,    0.10,    2,    0.00,    1,    0．00
  20—24岁,    2 506 849,    391 029,    155.98,    333 408,    133.00,    51 696,    20.62,    5 417,    2.16,    450,    0.18,    58,    0.02
    20,    536 399,    46 206,    86.14,    43 078,    80.31,    2 954,    5.51,    159,    0.30,    12,    0.02,    3,    0.01
    21,    485 218,    65 588,    135.17,    59 741,    123.12,    5 465,    11.26,    367,    0.76,    15,    0.03,    -,     -
    22,    456 026,    79 848,    175.10,    69 856,    153.18,    9 145,    20.05,    779,    1．71,    64,    0.14,    4,    0.01
