表9—16  全国1989年育龄妇女分年龄、行业门类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    45,    3 049 445,    9 462,    3.10,    390,    0．13,    716,    0．23,    1 141,    0.37,    1 775,    0.58,    5 440,    1.78
    46,    2 800 948,    6 581,    2.35,    302,    0.11,    518,    0.18,    854,    0.30,    1 278,    0.46,    3 629,    1.30
    47,    2 814 102,    5 245,    1.86,    246,    0.09,    433,    0.15,    658,    0.23,    1 055,    0．37,    2 853,    1.01
    48,    2 685 854,    3 903,    1.45,    242,    0.09,    332,    0．12,    533,    0.20,    821,    0.31,    1 975,    0.74
    49,    2 456 203,    3 170,    1.29,    160,    0.07,    245,    0.10,    354,    0.14,    659,    0.27,    1 752,    0.71
工业,    36 221 232,  1 750 564,    48.33,  1 463 973,    40.42,    240 127,    6.63,    36 233,    1.00,    7 531,    0.21,    2 700,    0.07
  15—19岁,    6 284 478,    36 350,    5.78,    34 614,    5.51,    1 658,    0.26,    74,    0.01,    1,    0.00,    3,    0.00
    15,    522 734,    117,    0.22,    112,    0.21,    2,    0.00,    3,    0.01,-,-,-,-
    16,    951 906,    593,    0．62,    573,    0.60,    20,    0.02,-,-,-,-,-,-
    17,    1 309 505,    2 451,    1.87,    2 371,    1.81,    76,    0.06,    4,    0.00,-,-,-,-
    18,    1 678 108,    8 358,    4.98,    8 006,    4.77,    338,    0．20,    12,    0.01,-,-,    2,    0．00
    19,    1 822 225,    24 831,    13.63,    23 552,    12.92,    1222,    0.67,    55,    0.03,    1,    0.00,    1,    0.00
  20—24岁,    8 013 781,    899 086,    112.19,    837 504,    104.51,    55 634,    6.94,    5 418,    0.68,    467,    0.06,    63,    0.01
    20,    1 918 967,    72 533,    37.80,    69 009,    35.96,    3 314,    1.73,    204,    0.11,    4,    0.00,  2,    0.00
    21,    1 623 283,    116 616,    71.84,    110 307,    67.95,    5 879,    3.62,    392,    0.24,    32,    0.02,    6,    0.00
    22,    1 377 118,    158 061,    114.78,    147 642,    107.21,    9 562,    6.94,    778,    0．56,      69,    0.05,    10,    0.01
    23,    1 537 718,    260 683,    169.53,    242 957,    158.00,    16 054,    10.44,    1 522,    0．99,    133,    0．09,    17,    0．01
    24,    1 556 695,    291 193,    187.06,    267 589,    171.90,    20 825,    13.38,    2 522,    1.62,    229,    0.15,    28,    0.02
  25—29岁,    6 569 732,    648 869,    98.77,    534 362,    81.34,    96110,    14.63,    15 370,    2.34,    2 601,    0.40,    426,    0.06
    25,    1 736 920,    259 988,    149.68,    231 821,    133.47,    24 356,    14.02,    3 377,    1.94,    390,    0.22,    44,    0.03
    26,    1 811 066,    205 433,    113.43,    172 816,    95.42,    27 563,    15.22,    4 304,    2.38,    664,    0.37,    86,    0.05
    27,    999 945,    85 852,    85.86,    65 541,    65.54,    16 574,    16.57,    3 126,    3.13,    532,    0.53,    79,    0.08
    28,    914 140,    51 798,    56.66,    37 313,    40.82,    11 932,    13.05,    2 015,    2.20,    454,    0.50,    84,    0．09
