表9—11  全国县1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    47,    250 293,    356,    1.42,    29,    0.12,    43,    0.17,    56,    0.22,    90,    0.36,    138,    0.55
    48,    197 1 19,    276,    1.40,    24,    0.12,    33,    0.17,    60,    0.30,    82,    0.42,    77,    0.39
    49,    148 362,    193,    1．30,    18,    0.12,    19,    0.13,    33,    0.22,    43,    0.29,    80,    0.54
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9--11全国县1989年育龄妇女分年龄、文化程度和孩次的生育状况(续05),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
