表9—8  全国1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
初中,    89 520 290,    8 143 871,    90.97,    4 648 604,    51.93,    2 521 191,    28.16,    747 840,    8.35,    170 194,    1.90,    56 042,    0.63
  15-19岁,    23 932 925,    338 251,    14.13,    314 679,    13．15,    22 347,    0.93,    1 116,    0.05,    78,    0.00,    31,    0.00
    15,    5 055 906,    973,    0.19,    910,    0．18,    43,    0．01,    11,    0．00,    5,    0.00,    4,    0．00
    16,    4 852 536,    5 653,    1.16,    5 482,    1.13,    157,    0．03,    9,    0.00,    2,    0.00,    3,    0.00
    17,    4 551 051,    24 527,    5.39,    23 607,    5.19,    870,    0.19,    42,    0.01,    3,    0.00,    5,    0.00
    18,    4 739 045,    81 191,    17.13,    76 898,    16.23,    4 128,    0.87,    150,    0．03,    7,    0.00,8,    0.00
    19,    4 734 387,    225 907,    47.72,    207 782,    43.89,    17 149,    3.62,    904,    0.19,    61,    0.01,    1 1,    0.00
  20-24岁,    24 260 671,    4 647 862,    191.58,    3 425 232,    141.18,    1 059 523,    43.67,    147 502,    6.08,    14 086,    0.58,    1 519,    0.06
    20,    4 996 953,    535 835,    107.23,    479 966,    96.05,    52 494,    10.51,    3 124,    0.63,    222,    0.04,    29,    0.01
    21,    4 615 407,    769 780,    166.78,    656 663,    142.28,    104 541,    22.65,    7 967,    1.73,    550,    0.12,    59,    0.01
    22,    4 459 830,    961 005,    215.48,    745 800,    167.23,    194 137,    43.53,    19 488,    4.37,    1 430,    0.32,    150,    0.03
    23,    5 140 122,    1 231 223,    239.53,    862 300,    167.76,    322 002,    62.64,    42 872,    8.34,    3 708,    0．72,    341,    0．07
    24,    5 048 359,    1 150 019,    227.80,    680 503,    134.80,    386 349,    76.53,    74 051,    14.67,    8 176,    1.62,    940,    0.19
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  25-29岁,    16 359 202,    2 496 864,    152.63,    842 201,    51.48,  1137 878,    69.56,    420 498,    25.70,    81 793,    5.00,    14 494,    0.89
    25,    5 070 148,    962 612,    189.86,    433 497,    85.50,    403 964,    79.67,    108 406,    21.38,    14 905,    2.94,    1 840,    0.36
    26,    5 032 615,    803 719,    159.70,    260 679,    51.80,    378 563,    75.22,    137 760,    27.37,    23 405,    4.65,    3 312,    0.66
    27,    2 591 930,    365 935,    141.18,    84 826,    32.73,    177 279,    68.40,    82 442,    31.81,    18 167,    7.01,    3 221,    1.24
    28,    1 702 849,    184 932,    108.60,    36 275,    21.30,    88 966,    52.25,    45 409,    26.67,    11 844,    6.96,    2 438,    1.43
    29,    1 961 660,    179 666,    91.59,    26 924,    13.73,    89 106,    45.42,    46 481,    23.69,    13 472,    6.87,    3 683,    1.88
  30-34岁,    10 318 288,    533 562,    51.71,    52 821,    5.12,    255 104,    24.72,    146 668,    14.21,    55 947,    5.42,    23 022,    2.23
    30,    1 826 293,    140 648,    77.01,    15 775,    8.64,    70 185,    38.43,    38 148,    20.89,    12 733,    6.97,    3 807,    2.08
    31,    2 285 703,    144 439,    63.19,    13 602,    5.95,    71 389,    31.23,    39 678,    17.36,    14 601,    6.39,    5 169,    2.26
    32,    2 127 100,    107 751,    50.66,    9 705,    4.56,    50 774,    23.87,    30 181,    14.19,    12 042,    5.66,    5 049,    2.37
    33,    1 990 402,    78 149,    39.26,    7 423,    3.73,    35 537,    17.85,    21 721,    10.91,    9 076,    4.56,    4 392,    2.21
    34,    2 088 790,    62 575,    29.96,    6 316,    3.02,    27 219,    13.03,    16 940,    8.11,    7 495,    3.59,    4 605,    2.20
  35-39岁,    7 681 617,    111 762,    14.55,    12 109,    1.58,    43 369,    5.65,    28 544,    3.72,    15 104,    1.97,    12 636,    1.64
    35,    1 904 548,    42 589,    22.36,    4 402,    2.31,    17 895,    9.40,    11 162,    5.86,    5 363,    2.82,    3 767,    1.98
    36,    1 665 529,    28 521,    17.12,    3 121,    1.87,    11 543,    6.93,    7 279,    4.37,    3 673,    2.21,    2 905,    1.74
    37,    1 554 684,    19 769,    12.72,    2 174,    1.40,    7 312,    4.70,    4 963,    3.19,    2 826,    1.82,    2 494,    1.60
    38,    1 311 166,    12 051,    9．19,    1 408,    1.07,    4 147,    3.16,    3 025,    2.31,    1 834,    1.40,    1 637,    1.25
    39,    1 245 690,    8 832,7.09,    1 004,    0.81,    2 472,    1.98,    2 115,    1.70,    1 408,    1.13,    1 833,    1.47
  40-44岁,    4 178 136,    12 767,    3.06,    1 329,    0.32,    2 566,    0．61,    2 920,    0．70,    2 494,    0.60,    3 458,    0.83
    40,    906 818,    4 403,    4.86,    469,    0.52,    1 018,    1.12,    1 072,    1.18,    850,    0.94,    994,    1.10
    41,    819 912,    2 969,    3.62,    279,    0.34,    584,    0.71,    734,    0．90,    569,    0.69,    803,    0.98
    42,    837 889,    2 230,    2.66,    255,    0.30,    423,    0.50,    491,    0.59,    443,    0.53,    618,    0.74
    43,    829 999,    1 752,    2.11,    201,    0.24,    316,    0.38,    360,    0.43,    359,    0.43,    516,    0.62
    44,    783 518,    1 413,1.8,    125,    0.16,    225,    0.29,    263,    0.34,    273,    0.35,    527,    0.67
  45-49岁,    2 789 451,    2 803,    1．00,    233,    0.08,    404,    0．14,    592,    0．21,    692,    0.25,    882,    0.32
    45,    698 528,    858,    1.23,    74,    0.11,    136,    0.19,    164,    0.23,    187,    0.27,    297,    0.43
    46,    626 230,    654,        1.04,    47,    0.08,    90,    0.14,    1 50,    0.24,    164,    0.26,    203,    0.32
    47,    569 089,    551,    0.97,    45,    0.08,    82,    0.14,    114,    0.20,    134,    0.24,    176,    0.31
    48,    488 065,    430,    0.88,    41,    0.08,    58,    0.12,    99,    0.20,    129,    0.26,    103,    0.21
    49,    407 539,    310,    0.76,    26,    0.06,    38,    0．09,    65,    0．16,    78,    0.19,    103,    0.25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9-8全国1 989年育龄妇女分年龄、文化程度和孩次的生育状况(续05),,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
