表9—9  全国市1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    26,    313 197,    45 892,    146.53,    14 054,    44.87,    21 556,    68.83,    8 149,    26.02,    1 824,    5.82,    309,    0．99
    27,    198 702,    25 669,    129.18,    5 956,    29.97,    12 240,    61.60,    5 630,    28.33,    1 493,    7.51,    350,    1.76
    28,    168 759,    16 421,    97.30,    3 154,    18.69,    8 006,    47.44,    3 734,    22.13,    1 225,    7.26,    302,    1.79
    29,    240 862,    19 877,    82.52,    2 885,    11.98,    10 387,    43.12,    4 487,    18.63,    1 642,    6.82,    476,    1.98
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    和年龄别,  妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  30-34岁,    1 916 243,    86 702,    45.25,    7 086,    3.70,    46 625,    24.33,    20 160,    10.52,    8 465,    4.42,    4 366,    2.28
    30,    265 821,    19 137,    71.99,    2 016,    7.58,    10 536,    39.64,    4 300,    16.18,    1 654,    6.22,    631,    2.37
    31,    371 291,    21 851,    58.85,    1 781,    4.80,    12 272,    33.05,    4 939,    13.30,    1 994,    5.37,    865,    2.33
    32,    383 553,    18 009,    46.95,    1 307,    3.41,    9 751,    25.42,    4 205,    10.96,    1 817,    4.74,    929,    2.42
    33,    408 635,    14 793,    36.20,    1 084,    2.65,    7 720,    18.89,    3 543,    8.67,    1 521,    3.72,    925,    2.26
    34,    486 943,    12 912,    26.52,    898,    1.84,    6 346,    13.03,    3 173,    6.52,    1 479,    3.04,    1 016,    2.09
  35-39岁,    2 584 788,    28 880,    11.17,    2 180,    0．84,    12 122,    4.69,    7 240,    2.80,    3 891,    1.51,    3 447,    1.33
    35,    503 919,    9 866,    19.58,    715,    1.42,    4 655,    9.24,    2 418,    4.80,    1 212,    2.41,    866,    1.72
    36,    520 672,    7 331,    14.08,    527,    1.01,    3 221,    6.19,    1 8 1 5,    3.49,    931,    1.79,    837,    1.61
    37,    530 587,    5 387,    10.15,    406,    0.77,    2 156,    4.06,    1 405,    2.65,    738,    1.39,    682,    1.29
    38,    490 295,    3 647,    7.44,    305,    0.62,    1 291,    2.63,    944,    1.93,    572,    1.17,    535,    1.09
    39,    539 315,    2 649,    4.91,    227,    0.42,    799,    1.48,    658,    1.22,    438,    0.81,    527,    0．98
  40-44岁,    2 140 180,    4 139,    1.93,    398,    0．19,    899,    0.42,    924,    0.43,    882,    0.41,    1 036,    0．48
    40,    482 014,    1 520,    3.15,    165,    0.34,    381,    0．79,    379,    0.79,    286,    0.59,    309,    0.64
    41,    468 819,    1 034,    2.21,    87,    0.19,    226,    0.48,    230,    0.49,    228,    0.49,    263,    0.56
    42,    447 652,    723,    1.62,    70,    0.16,    149,0.33,    151,    0.34,    161,    0.36,    192,    0.43
    43,    389 931,    514,    1.32,44,    0.1 1,    82,    0.21,    98,    0.25,    130,    0.33,    160,    0．41
    44,    351 764,    348,    0.99,    32,    0.09,    61,    0.17,    66,    0．19,    77,    0．22,    112,    0．32
  45-49岁,    1 690 188,    983,    0.58,    49,    0.03,    140,    0.08,    250,    0.15,    274,    0.16,    270,    0．16
    45,    321 999,    245,    0.76,    15,    0.05,    40,    0.12,    53,    0.16,    64,    0.20,    73,    0．23
    46,    318 414,    206,    0．65,    10,    0．03,    33,    0.10,    57,    0.18,    45,    0.14,    61,    0．19
    47,    339 552,    184,    0.54,    11,    0.03,    26,    0.08,    50,    0.15,    52,    0.15,    45,    0.13
    48,    352 496,    189,    0.54,    8,    0.02,    29,    0.08,    48,    0.14,    54,    0.15,    50,    0.14
    49,    357 727,    159,    0．44,    5,    0.01,    12,    0．03,    42,    0．12,    59,    0.16,    41,    0.11
初中,    23 901 826,    1 401 966,    58.66,    1 034 314,    43.27,    294 822,    12.33,    57 912,    2.42,    11 551,    0.48,    3 367,    0.14
  15-19岁,    4 825 654,    44 242,    9.17,    42 046,    8.71,    2 118,    0.44,    72,    0.01,    4,    0.00,    2,    0.00
    15,    949 584,    121,    0．13,    113,    0.12,    6,    0.01,    1,    0.00,-,-,    1,    0.00
    16,    911 546,    708,    0.78,    687,    0.75,    21,    0．02,-,-,-,-,-,-
    17,    916 514,    3 017,    3.29,    2 932,    3.20,    81,    0.09,    4,    0.00,-,-,-,-
    18,    1 010 231,    10 473,    10.37,    10 036,    9.93,    424,    0.42,    12,    0.01,-,-,    1,    0.00
    19,    1 037 779,    29 923,    28.83,    28 278,    27.25,    1 586,    1.53,    55,    0.05,    4,    0.00,-,-
  20-24岁,    5 194 778,    808 943,    155.72,    696 934,    134.16,    100 739,    19.39,    10 267,    1.98,    913,    0.18,    90,    0.02
    20,    1 120 293,    80 896,    72.21,    75 536,    67.43,    5 103,    4.56,    238,    0.21,    17,    0.02,    2,    0.00
    21,    1 003 578,    123 095,    122.66,    112 606,    112.20,    9 849,    9.81,    599,    0.60,    37,    0.04,    4,    0.00
    22,    910 714,    154 332,    169.46,    134 814,    148.03,    18 062,    19.83,    1 351,    1.48,    95,    0.10,    10,    0.01
    23,    1 076 219,    228 216,    212.05,    194 458,    180.69,    30 541,    28.38,    2 948,    2.74,    253,    0.24,    16,    0．01
    24,    1 083 974,    222404,    205.17,    179 520,    165.61,    37 184,    34.30,    5 131,    4.73,    511,    0.47,    58,    0.05
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9-9全国市1989年育龄妇女分年龄、文化程度和孩次的生育状况(续04),,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
,,,,  出生数,    生育率,,,,,,,,
  25-29岁,    3 886 010,    419 774,    108.02,    258 611,    66.55,    125 067,    32.18,    30 144,    7.76,    5 131,    1.32,    821,    0.21
    25,    1 142 220,    174 984,    153.20,    126 609,    110.84,    39 967,    34.99,    7 428,    6.50,    872,    0.76,    108,    0．09
    26,    1 116 211,    131 314,    117.64,    80 291,    71.93,    39 791,    35.65,    9 615,    8.61,    1 433,    1.28,    184,    0.16
    27,    547 353,    51 855,    94.74,    25 695,    46.94,    19 120,    34.93,    5 782,    10.56,    1 083,    1.98,    175,    0.32
    28,    478 945,    30 517,    63.72,    14 263,    29.78,    11 837,    24.71,    3 501,    7.31,    775,    1.62,    141,    0．29
    29,    601 281,    31 104,    51.73,    11753,    19.55,    14 352,    23.87,    3 818,    6.35,    968,    1.61,    213,    0.35
  30-34岁,    3 730 002,    100 333,    26.90,    28 200,    7.56,    53 105,    14.24,    13 594,    3.64,    4 001,    1.07,    1 433,    0.38
    30,    589 518,    25 234,    42.80,    7 714,    13.09,    12 967,    22.00,    3 408,    5.78,    896,    1.52,    249,    0．42
    31,    762 191,    26 151,    34.31,    6 958,    9.13,    14 186,    18.61,    3 623,    4.75,    1 085,    1.42,    299,    0.39
    32,    744 274,    20 017,    26.89,    5 245,    7.05,    10 878,    14.62,    2 770,    3.72,    819,    1.10,    305,    0.41
    33,    764 528,    15 605,    20.41,    4 350,    5.69,    8 272,    10．82,    2 058,    2.69,    641,    0.84,    284,    0.37
    34,    869 491,    13 326,    15.33,    3 933,    4.52,    6 802,    7.82,    1 735,    2.00,    560,    0．64,    296,    0.34
  35-39岁,    3 51 1 943,    26 030,    7.41,    7 867,    2.24,    13 015,    3.71,    3 282,    0.93,    1 124,    0.32,    742,    0.21
    35,    851 204,    9 725,    11.42,    2 824,    3.32,    5 107,    6.00,    1 177,    1.38,    368,    0.43,    249,    0.29
    36,    756 596,    6 927,    9.16,    2 037,    2.69,    3 563,    4.71,    883,    1.17,    283,    0．37,    161,    0.21
    37,    715 202,    4 646,    6.50,    1 472,    2.06,    2 236,    3.13,    576,    0.81,    217,    0.30,    145,    0.20
    38,    618 880,    2 905,    4.69,    918,    1.48,    1 357,    2.19,    372,    0.60,    144,    0．23,    114,    0.18
    39,    570 061,    1 827,    3.20,    616,    1.08,    752,    1.32,    274,    0.48,    112,    0．20,    73,    0．13
  40-44岁,    1 628 577,    2 127,    1.31,    607,    0.37,    667,    0.41,    404,    0.25,    250,    0．15,    199,    0.12
    40,    379 970,    776,    2.04,    247,    0.65,    272,    0.72,    127,    0.33,    70,    0.18,    60,    0.16
    41,    327 705,    531,    1.62,    147,    0.45,    169,    0.52,    98,    0.30,    67,    0.20,    50,    0.15
    42,    324 430,    367,    1.13,    97,    0.30,    114,    0.35,    80,    0.25,    48,    0.15,    28,    0.09
    43,    310 039,    267,    0．86,    72,    0.23,    67,    0.22,    63,    0．20,    36,    0．12,    29,    0．09
    44,    286 433,    186,    0.65,    44,    0.15,    45,    0.16,    36,    0.13,    29,    0.10,    32,    0.11
  45-49岁,    1 124 862,    517,    0.46,    49,    0.04,    111,    0.10,    149,    0.13,    128,    0.11,    80,    0.07
    45,    255 180,    124,    0.49,    18,    0.07,    33,    0.13,    23,    0.09,    32,    0.13,    18,    0.07
    46,    240 407,    115,    0.48,    8,    0.03,    22,    0.09,    40,    0.17,    24,    0．10,    21,    0.09
    47,    228 913,    119,    0.52,    9,    0.04,    27,    0.12,    38,    0.17,    27,    0.12,    18,    0．08
    48,    210 957,    82,    0．39,    11,    0.05,    15,    0．07,    25,    0.12,    21,    0.10,    10,    0．05
    49,    189 405,    77,    0.41,    3,    0．02,    14,    0.07,    23,    0.12,    24,    0.13,    13,    0.07
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
,,,,  出生数,    生育率,,,,,,,,
高中,    12 643 817,    747 991,    59.16,    637 145,    50.39,    92 073,    7.28,    15 119,    1.20,    2 917,    0.23,    737,    0.06
  15-19岁,    2 438 199,    3 063,    1.26,    2 960,    1.21,    95,    0.04,    4,    0.00,    2,    0．00,    2,    0.00
    15,    335 594,    9,    0.03,    7,    0.02,-,-,    1,    0.00,-,-,    1,    0.00
    16,    534 363,    27,    0．05,    24,    0.04,    2,    0.00,-,-,    1,    0.00,-,-
    17,    549 757,    131,    0.24,    128,    0.23,    2,    0.00,-,-,-,-,    1,    0．00
    18,    527 676,    543,    1.03,    523,    0.99,    20,    0．04,-,-,-,-,-,-
    19,    490 809,    2 353,    4.79,    2 278,    4.64,    71,    0.14,    3,    0.01,    1,    0.00,-,-
  20-24岁,    2 322 970,    258 510,    111.28,    246 878,    106.28,    10 726,    4.62,    818,    0.35,    80,    0.03,    8,    0.00
    20,    513 131,    8 845,    17.24,    8 567,    16.70,    260,    0.51,    16,    0.03,    1,    0.00,    1,    0.00
    21,    430 942,    18 566,    43.08,    17 927,    41.60,    594,    1.38,    43,    0.10,    1,    0.00,    1,    0.00
    22,    356 066,    32 890,    92.37,    31 631,    88.83,    1 181,    3.32,    68,    0.19,    10,    0.03,-,-
    23,    451 052,    77 093,    170.92,    73 950,    163.95,    2 910,    6.45,    204,    0.45,    26,    0.06,    3,    0．01
    24,    571 779,    121 116,    211.82,    1 14 803,    200.78,    5 781,    10.11,    487,    0.85,    42,    0．07,    3,    0.01
  25-29岁,    3 814 523,    410 436,    107.60,    350 591,    91.91,    49 736,    13.04,    8 606,    2.26,    1 303,    0.34,    200,    0.05
    25,    832 181,    145 232,    174.52,    134 026,    161.05,    9 81 5,    11.79,    1 247,    1.50,    130,    0.16,    14,    0.02
