表9—5  全国市按妇女的年龄和生育孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,表9-5全国市按妇女的年龄和生育孩次分的出生人口数(1989．1．1．-1990．6．30．)(续01),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1989年下半年,,,,,,,,,    1990年上半年,,,,,,,,,    1990年 上半年,,,,,,,,,,,
,,,,    1989年 上半年,,,,,,,,,,,,,,,    1989年上半年,,,,,,    1989年下半年,,,,,,,,,,,    年龄别,    三孩,,,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,,,    年龄别,    二孩,,,    三孩,,,    四孩,,,    五孩及以上,,
,,,,,,,,,,,,,,,,,,    年龄别,    四孩,,,    五孩及以上,,,    合计,,,    一孩,,,    二孩,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    年龄别,    合,    男,    女,    合计,,,    一孩,,,    二孩,,,    三孩,,,,,,  小计,    男,    女,  小计,    男,    女,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    92 189,    52 108,    40 081,    26 171,    1 5 141,    11 030,    13 225,    7 716,    5 509,  1 417 077,    745 748,    671 329,  1 023 624,    527 222,  496 402,,,总计,    291 453,    160 162,    131 291,    71 133,    40 546,    30 587,    20 087,    11690,    8 397,    10 780,    6 128,    4 652
  35,    54 065,    28 798,    25 267,    21 573,    11538,    10 035,    4 688,    2 284,    2 404,    10 184,    5 442,    4 742,    3 840,    2 084,    1 756,,,  37,    992,    606,    386,    985,    571,    414,    9 615,    4 941,    4 674,    1 969,    895,    1 074,    4 121,    2 095,    2 026,,,  38,    1 256,    650,    606,    708,    388,    320,    783,    441,    342,    4 951,    2 553,    2 398,    998,    471,    527,,,  38,    2 037,    1 048,    989,    877,    453,    424,    474,    258,    216,    565,    323,    242
  36,    39 580,    20 975,    18 605,    15 857,    8 430,    7 427,    3 269,    1 545,    1 724,    7 393,    3 939,    3 454,    2 780,    1 533,    1 247,,,  38,    831,    466,    365,    842,    481,    361,    6 712,    3 456,    3 256,    1 293,    590,    703,    2 672,    1 387,    1 285,,,  39,    801,    407,    394,    498,    279,    219,    575,    337,    238,    3 167,    1 671,    1 496,    690,    321,    369,,,  39,    1 132,    583,    549,    569,    316,    253,    320,    187,    133,    456,    264,    192
  37,    27 971,    14 590,    13 381,    11 295,    5 949,    5 346,    2 033,    954,    1 079,    5 126,    2 677,    2 449,    2 159,    1 141,    1 018,,,  39,    656,    362,    294,    698,    408,    290,    4 316,    2 245,    2 071,    870,    415,    455,    1 572,    807,    765,,,40-44岁,    1 311,    689,    622,    1 002,    533,    469,    1 532,    877,    655,    4 965,    2 488,    2 477,    1 01 5,    431,    584,,,40-44岁,    1 289,    657,    632,    900,    436,    464,    637,    351,    286,    1 124,    613,    511
  38,    19 897,    10 276,    9 621,    8 234,    4 267,    3 967,    1 554,    716,    838,    3 366,    1 746,    1 620,    1 641,    858,    783,,,40--44岁,    1 475,    821,    654,    2 022,    1 135,    887,    7 034,    3 648,    3 386,    1 435,    666,    769,    1 754,    883,    871,,,  40,    571,    294,    277,    356,    196,    160,    538,    321,    217,    2 138,    1 090,    1 048,    456,    190,    266,,,  40,    655,    346,    309,    407,    204,    203,    247,    135,    112,    373,    215,    158
  39,    12 990,    6 828,    6 162,    5 507,    2 912,    2 595,    1 008,    486,    522,    2 049,    1 085,    964,    1 096,    571,    525,,,  40,    516,    302,    214,    659,    371,    288,    2 981,    1 571,    1 410,    606,    288,    318,    910,    472,    438,,,  41,    332,    175,    157,    244,    134,    110,    340,    1 76,    164,    1 178,    593,    585,    243,    101,    142,,,  41,    304,    149,    155,    200,    99,    101,    142,    76,    66,    289,    168,    121
40-44岁,    21 856,    11 320,    10 536,    9 857,    5 184,    4 673,    1 743,    800,    943,    2 708,    1 468,    1 240,    1 909,    960,    949,,,  41,    319,    182,    137,    427,    240,    187,    1 691,    849,    842,    369,    178,    191,    406,    186,    220,,,  42,    197,    111,    86,    187,    96,    91,    266,    152,    114,    766,    381,    385,    1 58,    71,    87,,,  42,    173,    90,    83,    138,    62,    76,    107,    64,    43,    190,    94,    96
  40,    9 091,    4 740,    4 351,    3 972,    2 079,    1 893,    749,    353,    396,    1 282,    664,    618,    766,    389,    377,,,  42,    259,    142,    117,    382,    21 3,    169,    1 083,    572,    511,    234,    105,    129,    199,    108,    91,,,  43,    127,    70,    57,    133,    69,    64,    203,    1 15,    88,    521,    249,    272,    92,    42,    50,,,  43,    92,    42,    50,    99,    46,    53,    85,    46,    39,    153,    73,    80
  41,    5 043,    2 583,    2 460,    2 174,    1 141,    1 033,    419,    181,    238,    582,    325,    257,    427,    213,    214,,,  43,    206,    105,    101,    303,    178,    125,    747,    388,    359,    136,    57,    79,    148,    77,    71,,,  44,    84,    39,    45,    82,    38,    44,    185,    113,    72,    362,    175,    187,    66,    27,    39,,,  44,    65,    30,    35,    56,    25,    31,    56,    30,    26,    119,    63,    56
  42,    3 477,    1 811,    1 666,    1 628,    858,    770,    267,    122,    145,    415,    233,    182,    305,    148,    157,,,  44,    175,    90,    85,    251,    133,    118,    532,    268,    264,    90,    38,    52,    91,    40,    51,,,45-49岁,    197,    125,    72,    195,    1 10,    85,    440,    261,    179,    722,    320,    402,    98,    29,    69,,,45-49岁,    1 19,    58,    61,    135,    49,    86,    123,    60,    63,    247,    124,    123
  43,    2 471,    1 279,    1 192,    1 203,    642,    561,    190,    87,    103,    263,    146,    117,    241,    126,    115,,,45-49岁,    553,    285,    268,    655,    358,    297,    1 148,    634,    514,    149,    56,    93,    167,    82,    85,,,  45,    60,    31,    29,    68,    34,    34,    142,    81,    61,    246,    11 3,    133,    41,    8,    33,,,  45,    37,    18,    19,    40,    16,    24,    38,    21,    17,    90,    50,    40
