表9—13  全国市1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
,,,,  出生数,    生育率,,,,,,,,
    20,    224 477,    3 721,    16.58,    3 630,    16.17,    88,    0.39,    3,    0.01,-,-,-,-
    21,    236 664,    8 099,    34.22,    7 933,    33.52,    160,    0.68,    4,    0.02,    2,    0.01,-,-
    22,    231 315,    15181,    65.63,    14 850,    64.20,    316,    1.37,    14,    0.06,    1,    0．00,-,-
    23,    300 591,    37 933,    126.19,    37 149,    123.59,    734,    2.44,    46,    0.15,    3,    0.01,    1,    0.00
    24,    343 185,    62 675,    182.63,    61 297,    178.61,    1 298,    3.78,    68,    0.20,    10,    0.03,    2,    0.01
  25-29岁,    1 657 490,    223 219,    1 34.67,    213 581,    128.86,    8 815,    5.32,    705,    0.43,    99,    0.06,    19,    0.01
    25,    436 388,    81 387,    186.50,    79 423,    182.00,    1 824,    4.18,    125,    0.29,    13,    0.03,    2,    0.00
    26,    466 085,    75 019,    160.96,    72 505,    155.56,    2 310,    4.96,    176,    0.38,    26,    0.06,     2,    0.00
    27,    263 657,    32 596,    123.63,    30 899,    117.19,    1 545,    5.86,    132,    0.50,    17,    0.06,    3,    0.01
    28,    234 642,    19 623,    83.63,    18 138,    77.30,    1 347,    5.74,    116,    0.49,    19,    0.08,    3,    0.01
    29,    256 718,    14 594,    56.85,    12 616,    49.14,    1 789,    6.97,    156,    0.61,    24,    0.09,    9,    0.04
  30-34岁,    1 483 085,    34 095,    22.99,    22 694,    15.30,    10 438,    7.04,    783,    0.53,    137,    0.09,    43,    0.03
    30,    232 248,    8 974,    38.64,    6 929,    29.83,    1 854,    7.98,    155,    0.67,    29,    0.12,      7,    0．03
    31,    310 697,    8 789,    28.29,    6 274,    20.19,    2 314,    7.45,    170,    0.55,    26,    0.08,        5,    0.02
    32,    307 700,    6 809,    22.13,    4 267,    13.87,    2 322,    7.55,    172,    0.56,    34,    0.1 1,    14,    0.05
    33,    306 929,    5 293,    17.25,    3 071,    10.01,    2 041,    6.65,    145,    0.47,    29,    0.09,     7,    0.02
    34,    325 511,    4 230,    12.99,    2 153,    6.61,    1 907,    5.86,    141,    0.43,    19,    0.06,    10,    0.03
  35-39岁,    1 234 536,    8 800,    7.13,    4 064,    3.29,    4 300,    3.48,    346,    0.28,    55,    0.04,    35,    0.03
    35,    303 793,    3 253,    10.71,    1 547,    5.09,    1 575,    5.18,    98,    0.32,    19,    0.06,    14,    0.05
    36,    256 956,    2 234,    8.69,    1 007,    3.92,    1137,    4.42,    79,    0.31,    9,    0．04,     2,    0.01
    37,    241 940,    1 574,    6.51,    699,    2.89,    788,    3.26,    68,    0.28,    13,    0.05,    6,    0.02
    38,    212 698,    1 006,    4.73,    457,    2.15,    480,    2.26,    53,    0.25,    7,    0.03,    9,    0.04
    39,    219 149,    733,3.34,    354,    1.62,    320,    1.46,    48,    0.22,    7,    0.03,    4,    0.02
  40-44岁,    902 765,    1 019,    1.13,    524,    0.58,    360,    0.40,    90,    0.10,    34,    0.04,    11,    0.01
    40,    191 278,    413,    2.16,    224,    1.17,    145,    0.76,    29,    0.1 5,    10,    0.05,    5,    0.03
    41,    186 528,    260,    1.39,    140,    0.75,    91,    0.49,    24,    0．13,    3,    0.02,    2,    0.01
    42,    183 947,    166,    0.90,    79,    0.43,    64,    0.35,    13,    0．07,    8,    0.04,        2,    0.01
    43,    174 365,    105,    0.60,    47,    0.27,    38,    0.22,    13,    0.07,    6,    0.03,    1,    0.01
    44,    166 647,    75,    0.45,    34,    0.20,    22,    0.13,    11,    0．07,     7,    0.04,    1,    0．01
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    职业和,1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    年龄别,妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,  生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45—49岁,    782 331,    271,    0.35,    63,    0.08,    93,    0．12,    63,    0．08,    43,    0．05,    9,    0．01
    45,    161 672,    67,    0.41,    23,    0.14,    24,    0.15,    13,    0.08,    7,    0.04,    -,    -
    46,    165 187,    55,    0.33,    11,    0．07,    23,    0.14,    10,    0.06,    9,    0.05,    2,    0.01
    47,      163 086,    62,    0.38,    15,    0．09,    20,    0．12,    17,    0.10,    8,    0.05,    2,    0.01
    48,    153 583,    46,    0.30,    7,    0.05,    11,    0.07,    14,    0.09,    10,    0.07,    4,    0.03
    49,    138 803,    41,    0．30,    7,    0.05,    15,    0.11,    9,    0.06,    9,    0.06,    1,    0.01
国家机关党群组织、企事业单位负责人,    713 167,    10 767,    15.10,    9 072,    12.72,    1 487,    2.09,    151,    0.21,    42,    0.06,    15,    0．02
  15—19岁,    2 944,    34,    11.55,    32,    10.87,2,    0.68,-,-,-,-,-,-
    15,    37,-,-,-,-,-,-,-,-,-,-,-,-
    16,    145,    1,    6.90,    1,    6.90,-,-,-,-,-,-,-,-
    17,    346,    2,    5.78,2,    5.78,-,-,-,-,-,-,-,-
    18,    844,    7,    8.29,    6,    7.11,    1,    1.18,-,-,-,-,-,-
    19,    1 572,    24,    15.27,    23,    14.63,    1,    0.64,-,-,-,-,-,-
  20—24岁,    21 560,    2 004,    92.95,    1 927,    89.38,    72,    3.34,    4,    0．19,    1,    0.05,-,-
    20,    2 743,    66,    24.06,    62,    22.60,    4,    1.46,-,-,-,-,-,-
    21,    3 340,    143,    42.81,    134,    40.12,    8,    2.40,    1,    0.30,-,-,-,-
    22,    3 553,    225,    63.33,    209,    58.82,    16,    4.50,-,-,-,-,-,-
    23,    5 181,    551,    106.35,    529,    102.10,    19,    3.67,2,    0.39,    1,    0.19,-,-
    24,    6 743,    1 019,    151.12,    993,    147.26,    25,    3.71,    1,    0.15,-,-,-,-
  25—29岁,    53 537,    5 637,    105.29,    5 303,    99.05,    302,    5.64,    26,    0.49,    6,    0.11,-,-
    25,    10 726,    1 678,    156.44,    1 634,    152.34,    40,    3.73,    3,    0.28,    1,    0．09,-,-
    26,    13 733,    1 831,    133.33,    1 748,    127.28,    76,    5.53,    7,    0.51,-,-,-,-
    27,    8 846,    920,    104.00,    864,    97.67,    49,    5.54,    6,    0．68,    1,    0.1 1,-,-
    28,    9 044,    666,    73.64,    598,    66．12,    62,    6.86,    5,    0.55,    1,    0.11,-,-
    29,    11 188,    542,    48.44,    459,    41.03,    75,    6.70,    5,    0.45,    3,    0.27,-,-
  30-34岁,    115 070,    1 906,    16.56,    1 278,    11．11,    582,    5.06,    40,    0.35,    5,    0.04,    1,    0.01
    30,    12 071,    370,    30.65,    292,    24.19,    68,    5.63,    8,    0.66,    2,    0.17,-,-
    31,    18 626,    465,    24.97,    327,    17.56,    131,    7.03,    7,    0.38,-,-,-,-
    32,    22 690,    407,    17.94,    266,    11.72,    132,    5.82,    8,    0.35,    1,    0.04,-,-
    33,    27 1 11,    355,    13.09,    232,    8.56,    1 15,    4.24,    6,    0.22,    1,    0.04,    1,    0.04
    34,    34 572,    309,    8.94,    161,    4.66,    136,    3.93,    11,    0.32,    1,    0.03,-,-
  35—39岁,    185 512,    954,    5.14,    448,    2.41,    452,    2.44,    42,    0.23,    9,    0.05,    3,    0.02
