表9—12  全国1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    职业和,1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    年龄别,妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,  生育率,  出生率,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以1二,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45—49岁,    1 261 182,    588,    0.47,    101,    0．08,    160,    0．13,    156,    0.12,    114,    0.09,    57,    0.05
    45,    267 160,    154,    0.58,    36,    0.13,    45,    0.17,    34,    0.13,    25,    0．09,    14,    0.05
    46,    270 117,    123,    0.46,    17,    0.06,    40,    0．15,    37,    0.14,    20,    0.07,    9,    0．03
    47,    263 786,    139,    0.53,    24,    0.09,    40,    0．15,    36,    0.14,    22,    0.08,    17,    0.06
    48,    244 851,    94,    0.38,    10,    0.04,    16,0.07,    29,    0．12,    28,    0.11,    11,    0.04
    49,    215 268,    78,    0.36,    14,    0.07,    19,    0.09,    20,    0．09,    19,    0.09,    6,    0.03
国家机关党群组织、企事业单位负责人,    1 063 547,    21 710,    20.41,    16 236,    15.27,    4 709,    4.43,    563,    0．53,    140,    0.13,    62,    0.06
  15—19岁,    6 913,    96,    13.89,    92,    13.31,    3,0.43,    1,    0.14,-,-,-,-
    15,    131,-,-,-,-,-,-,-,-,-,-,-,-
    16,    359,    2,    5.57,    1,    2.79,-,-,    1,    2.79,-,-,-,-
    17,    918,    3,    3.27,    3,    3.27,-,-,-,-,-,-,-,-
    18,    1 908,    20,    10.48,    18,    9.43,    2,    1.05,-,-,-,-,-,-
    19,    3 597,    71,    19.74,    70,    19.46,    1,    0.28,-,-,-,-,-,-
  20—24岁,    48 175,    5 638,    117.03,    5 267,    109.33,    335,    6.95,    31,    0.64,    5,    0.10,-,-
    20,    5 817,    200,    34.38,    192,    33.01,    8,    1.38,-,-,-,-,-,-
    21,    7 000,    398,    56.86,    375,    53.57,    20,    2.86,    3,    0.43,-,-,-,-
    22,    8 024,    731,    91.10,    676,    84.25,    50,    6.23,    5,    0．62,-,-,-,-
    23,    12 013,    1 700,    141.51,        1 583,    131.77,    103,    8.57,    12,    1.00,    2,    0．17,-,-
    24,    15 321,    2 609,    170.29,    2 441,    159.32,    154,    10.05,    11,    0.72,    3,    0．20,-,-
  25—29岁,    94 874,    10 131,    106.78,    8 741,    92.13,    1 238,    13.05,    119,    1.25,    29,    0.31,    4,    0.04
    25,    21 267,    3 442,    161.85,    3 185,    149.76,    228,    10.72,    24,    1.13,    5,    0.24,-,-
    26,    25 360,    3 265,    128.75,    2 904,    114.51,    330,    13．01,    27,    1.06,    3,    0．12,    1,    0.04
    27,    15 745,    1 551,    98.51,    1 312,    83.33,    210,    13.34,    21,    1.33,    8,    0.51,-,-
    28,    14 371,    990,    68.89,    759,    52.81,    204,    14.20,    21,    1．46,    5,    0.35,    1,    0.07
    29,    18 131,    883,    48.70,    581,    32.04,    266,    14.67,    26,    1.43,    8,    0.44,    2,    0.11
  30—34岁,    176 071,    3 624,    20.58,    1 516,    8.61,    1 865,    10.59,    195,    1.11,    39,    0.22,    9,    0．05
    30,    19 475,    689,    35.38,    368,    18.90,    274,    14.07,    37,    1.90,    8,    0.41,    2,    0.10
    31,    29 560,    816,    27.60,    386,    13.06,    385,    13.02,    38,    1.29,    6,    0.20,    1,    0.03
    32,    35 016,    769,    21.96,    307,    8.77,    405,    11.57,    48,    1.37,    8,    0.23,    1,    0.03
    33,    40 708,    710,    17.44,    272,    6.68,    397,    9.75,    31,    0.76,    7,    0.17,    3,    0.07
    34,    51 312,    640,    12.47,    183,    3.57,    404,    7.87,    41,    0．80,    10,    0.19,    2,    0.04
  35—39岁,    268 980,    1 849,    6.87,    521,    1.94,    1 128,    4.19,    146,    0.54,      33,    0．12,    21,    0.08
    35,    55 042,    608,    11.05,    156,    2.83,    393,    7.14,    46,    0.84,    11,    0.20,    2,    0.04
    36,    52 220,    484,    9.27,    139,    2.66,    299,    5.73,    37,    0.71,    7,    0.13,    2,    0.04
    37,    53 023,    363,    6.85,    103,    1.94,    221,    4.17,    26,    0．49,    8,    0.15,    5,    0．09
    38,    51125,    219,    4.28,    69,    1.35,    127,    2.48,    17,    0.33,    3,    0.06,    3,    0.06
    39,    57 570,    175,    3.04,    54,    0.94,    88,    1.53,    20,    0．35,    4,    0.07,    9,    0.16
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40-44岁,    253 818,    290,    1.14,    91,    0.36,    117,    0.46,    49,    0.19,    17,    0.07,    16,    0.06
    40,    50 365,    106,    2.10,    29,    0.58,    51,    1.01,    17,    0.34,    5,    0.10,    4,    0.08
    41,    51 198,    72,    1.41,    25,    0．49,    29,    0.57,    10,    0.20,    4,    0.08,    4,    0.08
    42,    52 237,    53,    1.01,    20,    0.38,    22,    0.42,    9,    0．17,    1,    0．02,    1,    0.02
    43,    51 416,    31,    0.60,    12,    0.23,7,    0．14,    5,    0．10,    3,    0.06,    4,    0.08
    44,    48 602,    28,    0.58,    5,    0.10,    8,    0.16,    8,    0．16,    4,    0．08,    3,    0.06
  45-49岁,    214 716,    82,    0．38,    8,    0.04,    23,    0.11,    22,    0.10,    17,    0.08,    12,    0.06
    45,    46 105,    16,    0.35,         5,    0．11,    4,    0．09,    3,    0.07,    2,    0.04,    2,    0．04
    46,    44 975,    21,0.47,-,-,    8,    0.18,    3,    0.07,    7,    0.16,      3,    0.07
    47,    43 262,    18,    0.42,-,-,    5,    0.12,    7,    0.16,    3,    0.07,    3,    0.07
    48,    41 294,    12,    0.29,    2,    0.05,    3,    0．07,    3,    0.07,    2,    0.05,    2,    0.05
    49,    39 080,    15,    0.38,    1,    0.03,    3,    0.08,    6,    0.15,    3,    0.08,    2,    0.05
办事人员和有关人员,    2 742 975,    135 478,    49.39,    119 078,    43.41,    14 769,    5.38,    1 322,    0.48,    216,    0.08,    93,    0.03
