34.人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
  1 8,"    25,131,408","    12,726,845","    12,404,563",    2.50,    1.27,    1.24,    102.60
  1 9,"    27,379,596","    13,669,206","    13,710,390",    2.73,    1.36,    1.37,    99.70
2 0-2 4岁,"    74,363,020","    37,880,114","    36,482,906",    7.41,    3.77,    3.63,    103.83
  2 0,"    15,620,970","    7,693,607",7927363,    1.56,    0．77,    0.79,    97.05
  2 1,"    10,690,834","    5,320,423","    5,370,411",    1.06,    0.53,    0.53,    99.07
  2 2,"    14,307,196","    7,337,219",6969977,    1.43,    0.73,    0.69,    105.27
  2 3,"    14,284,240","    7,396,047","    6,888,193",    1.42,    0.74,    0.69,107.37
  2 4,"    19,459,780","    10,132,818",9326962,    1.94,    1.01,0.93,    108.64
2 5—2 9岁,"    92,563,882",47746258,"    44,817,624",    9.22,    4.76,    4.46,    106.53
  2 5,"    18,876,181","    9,773,764","    9,102,417",    1.88,    0.97,    0.91,    107.38
  2 6,"    17,932,830","    9,247,831","    8,684,999",    1.79,    0．92,    0.87,    106.48
  2 7,"    19,662,511","    10,169,169","    9,493,342",    1.96,    1.01,    0.95,    107.12
  2 8,"    18,604,868","    9,573,341","    9,031,527",    1.85,    0.95,    0.90,    106.00
  2 9,"    17,487,492","    8,982,153","    8,505,339",    1.74,    0.89,    0．85,    105.61
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
(续),,,,,,,
3 0-3 4岁,"    72,958,237","    37,930,244",35027993,    7.27,    3.78,    3.49,    108.29
  3 0,"    17,351,297","    8,910,451","    8,440，846",1.73,    0．89,    0.84,    105.56
  3 1,"    1 4,628,858","    7,545,721","    7,083,137",    1.46,    0．75,    0.71,    106.53
  3 2,"    15,269,938","    8,007,225","    7,262,713",    1.52,    0．80,    0．72,    110.25
  3 3,"    13,149,025","    6,881,142",6267883,    1.31,    0.69,    0.62,    109.78
