表6—1    省、自治区、直辖市分性别、年龄的死亡人口（1999.11.1-2000.10.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人,
地   区   别,死亡人口,,,0     岁,,,1-4 岁 ,,,5-9 岁,,,10-14 岁 ,,,15-19 岁,,,20-24 岁 ,,,25-29 岁,,,30-34 岁 ,,,35-39 岁,,,40-44 岁 ,,,45-49 岁,,,50-54 岁 ,,,55-59 岁,,,60-64 岁 ,,,65-69 岁,,,70-74 岁 ,,,75-79 岁,,,80-84 岁 ,,,85-89 岁,,,90-94 岁 ,,,95-99 岁,,,100岁及100岁以上,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,300155,162147,138008,5290,2580,2710,1791,1043,748,1354,853,501,1370,859,511,1439,842,597,2128,1279,849,3361,1915,1446,5424,3260,2164,5393,3422,1971,7403,4893,2510,11408,7417,3991,13473,8693,4780,16453,10721,5732,23442,15189,8253,32386,20129,12257,42284,24455,17829,47027,24372,22655,42209,18300,23909,23952,8642,15310,10032,2746,7286,2276,491,1785,260,46,214,
浙江省,184097,105143,78954,3474,1728,1746,1241,741,500,798,515,283,735,465,270,1106,737,369,1705,1069,636,2474,1578,896,3495,2308,1187,3862,2583,1279,4991,3424,1567,6834,4587,2247,7822,5210,2612,7857,5211,2646,12685,8574,4111,19586,12632,6954,26332,16104,10228,29183,16259,12924,26022,12445,13577,16112,6441,9671,6328,2136,4192,1312,361,951,143,35,108,
安徽省,277439,153846,123593,16748,7531,9217,2913,1691,1222,2283,1500,783,1865,1150,715,1979,1180,799,3249,1821,1428,5015,2857,2158,6715,3901,2814,5990,3686,2304,4831,3066,1765,9735,6095,3640,12451,7997,4454,15985,10552,5433,22771,15293,7478,32093,20750,11343,42322,24871,17451,40665,20990,19675,31538,13248,18290,12946,4327,8619,3934,1020,2914,1267,299,968,144,21,123,
福建省,116963,65790,51173,4769,2083,2686,979,558,421,803,502,301,1062,678,384,1370,805,565,1891,1136,755,2624,1543,1081,3010,1886,1124,2895,1849,1046,3642,2487,1155,4656,3058,1598,4856,3354,1502,5634,3848,1786,8961,6032,2929,12475,8026,4449,16270,9620,6650,15633,8355,7278,13232,6027,7205,8229,2920,5309,3191,869,2322,703,138,565,78,16,62,
江西省,191639,103089,88550,22119,7330,14789,3398,1823,1575,2080,1324,756,1740,945,795,1748,1058,690,2919,1724,1195,3853,2231,1622,4512,2774,1738,4259,2771,1488,5035,3291,1744,6397,4124,2273,7580,4832,2748,8916,5722,3194,14867,9472,5395,19147,11843,7304,25231,14652,10579,26172,13799,12373,19619,9039,10580,8857,3404,5453,2604,800,1804,527,121,406,59,10,49,
山东省,402721,221006,181715,10243,4837,5406,2244,1207,1037,1401,929,472,2219,1391,828,2827,1782,1045,3904,2534,1370,5439,3461,1978,7768,4752,3016,8126,5189,2937,9921,6558,3363,15100,9794,5306,17456,11348,6108,19252,12581,6671,29286,18568,10718,44836,27024,17812,58638,32993,25645,62233,32552,29681,55334,26083,29251,31182,12753,18429,12192,3928,8264,2891,700,2191,229,42,187,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,454397,246691,207706,21518,9101,12417,3372,1973,1399,2915,1928,987,3324,2132,1192,3605,2384,1221,4985,3230,1755,7317,4490,2827,9425,5821,3604,9211,5729,3482,9853,6155,3698,17103,10544,6559,20739,13085,7654,23360,14810,8550,34455,21856,12599,51383,31359,20024,69173,39382,29791,68256,34979,33277,57424,25115,32309,24857,9328,15529,9416,2695,6721,2500,563,1937,206,32,174,
湖北省,234462,131132,103330,6503,3192,3311,2046,1177,869,1924,1265,659,2073,1264,809,2244,1348,896,2902,1772,1130,4378,2499,1879,5890,3509,2381,6411,4024,2387,6452,4039,2413,9061,5539,3522,11293,6879,4414,14267,8982,5285,21550,13631,7919,29385,17879,11506,35688,20601,15087,34743,17970,16773,23941,10626,13315,10391,3949,6442,2600,802,1798,655,173,482,65,12,53,
湖南省,307295,173839,133456,13834,6556,7278,3788,2103,1685,2286,1414,872,2649,1552,1097,2723,1677,1046,3538,2075,1463,5733,3449,2284,8106,4906,3200,7929,5009,2920,8361,5347,3014,12034,7577,4457,13559,8432,5127,15906,10057,5849,26743,16884,9859,35946,21934,14012,44291,26070,18221,42318,23309,19009,33236,16027,17209,17356,7170,10186,5502,1862,3640,1341,404,937,116,25,91,
广东省,227775,125115,102660,8955,3942,5013,3214,1847,1367,2319,1521,798,1798,1076,722,2205,1425,780,2734,1745,989,3725,2313,1412,4731,2943,1788,5268,3432,1836,6051,4107,1944,7891,5389,2502,8441,5864,2577,10295,7045,3250,16788,11262,5526,23198,14598,8600,30458,17850,12608,31237,16537,14700,27720,12428,15292,18965,6900,12065,8683,2227,6456,2747,613,2134,352,51,301,
广西壮族自治区,197788,113440,84348,12598,5184,7414,2781,1530,1251,1804,1137,667,1745,1022,723,2266,1457,809,3145,2105,1040,3918,2619,1299,5194,3587,1607,5462,3858,1604,5800,4059,1741,7808,5316,2492,8500,5879,2621,10607,7069,3538,15515,10175,5340,19800,12569,7231,23931,14287,9644,23825,12971,10854,21337,10260,11077,13524,5703,7821,5977,2056,3921,1944,532,1412,307,65,242,
海南省,24209,13444,10765,1319,566,753,403,226,177,311,188,123,232,141,91,316,196,120,367,238,129,448,274,174,459,303,156,604,390,214,612,384,228,826,550,276,915,624,291,1089,732,357,1961,1281,680,2464,1599,865,3278,1952,1326,3220,1707,1513,2644,1192,1452,1663,605,1058,768,227,541,259,59,200,51,10,41,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,160707,90220,70487,5529,2920,2609,2949,1622,1327,1556,964,592,1276,791,485,1189,764,425,1846,1069,777,4035,2391,1644,4439,2794,1645,3805,2508,1297,3916,2571,1345,7123,4477,2646,8011,4941,3070,10323,6453,3870,13899,8593,5306,18239,10981,7258,22157,12897,9260,20442,10694,9748,17115,8084,9031,8846,3553,5293,3143,950,2193,803,196,607,66,7,59,
四川省,454688,253781,200907,15388,8030,7358,9417,5159,4258,4896,2984,1912,4032,2485,1547,3960,2382,1578,6420,3849,2571,11222,6887,4335,12582,7756,4826,10671,6775,3896,11746,7594,4152,20007,12189,7818,23143,14315,8828,29513,18303,11210,40424,24967,15457,50517,30375,20142,62984,36385,26599,57782,30226,27556,45152,20741,24411,23754,9136,14618,8472,2576,5896,2297,610,1687,309,57,252,
贵州省,214857,118611,96246,35766,16377,19389,11127,5429,5698,3705,2072,1633,2612,1519,1093,3399,2148,1251,4942,3075,1867,6340,4050,2290,6593,4245,2348,5511,3654,1857,5077,3259,1818,7243,4558,2685,8546,5315,3231,10726,6614,4112,15830,9704,6126,18762,11275,7487,21414,12294,9120,18655,10108,8547,16585,8023,8562,8772,3784,4988,2608,910,1698,580,178,402,64,20,44,
云南省,260005,140535,119470,41143,19000,22143,8106,4298,3808,3388,2067,1321,2749,1631,1118,4070,2412,1658,6247,3740,2507,7030,4247,2783,7381,4620,2761,6960,4456,2504,6302,4044,2258,8453,5206,3247,9706,5906,3800,12171,7385,4786,18352,11088,7264,24208,14094,10114,28800,16049,12751,27766,14373,13393,21377,9773,11604,11615,4786,6829,3388,1113,2275,696,219,477,97,28,69,
西藏自治区,16435,8390,8045,1798,923,875,973,481,492,393,183,210,301,165,136,378,201,177,492,254,238,535,265,270,545,280,265,591,297,294,564,307,257,648,354,294,874,469,405,1136,620,516,1538,791,747,1559,834,725,1617,827,790,1277,629,648,789,347,442,321,131,190,62,17,45,34,14,20,10,1,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,164699,93078,71621,7677,3614,4063,1365,743,622,1292,807,485,1482,951,531,1785,1154,631,2404,1497,907,3560,2271,1289,4029,2616,1413,4267,2811,1456,4848,3134,1714,6555,3928,2627,7496,4352,3144,9980,5759,4221,14305,8435,5870,18608,10740,7868,22830,13209,9621,24020,13143,10877,18901,9793,9108,7303,3380,3923,1686,639,1047,289,95,194,17,7,10,
甘肃省,125403,68751,56652,12955,5929,7026,2091,1063,1028,1193,682,511,1054,636,418,1245,789,456,1804,1003,801,3115,1768,1347,3493,2071,1422,3007,1884,1123,2728,1622,1106,4347,2488,1859,6221,3648,2573,8450,5031,3419,12272,7224,5048,15456,8851,6605,15190,8667,6523,14936,7952,6984,10731,5272,5459,4097,1823,2274,847,290,557,158,54,104,13,4,9,
青海省,21730,11961,9769,2739,1393,1346,728,379,349,330,178,152,264,156,108,396,251,145,622,351,271,681,395,286,770,478,292,672,409,263,541,332,209,837,541,296,1143,664,479,1443,847,596,2008,1186,822,2539,1419,1120,2346,1218,1128,1925,977,948,1192,570,622,416,170,246,95,36,59,32,9,23,11,2,9,
宁夏回族自治区,19029,10824,8205,1877,985,892,576,293,283,341,214,127,223,131,92,423,263,160,486,298,188,517,316,201,527,341,186,479,310,169,469,295,174,643,401,242,763,438,325,959,569,390,1352,797,555,1859,1048,811,2288,1262,1026,2283,1229,1054,1925,1060,865,783,433,350,203,112,91,45,27,18,8,2,6,
新疆维吾尔自治区,67295,38692,28603,6847,3739,3108,2762,1473,1289,1034,596,438,1011,569,442,1309,723,586,1731,999,732,1817,1071,746,1767,1051,716,1895,1144,751,2020,1166,854,2835,1565,1270,3587,1987,1600,4661,2576,2085,6217,3476,2741,6764,3858,2906,7057,4256,2801,5805,3544,2261,4328,2595,1733,2071,1256,815,1003,572,431,479,299,180,295,177,118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—2    省、自治区、直辖市分性别、受教育程度的6岁及6岁以上死亡人口（1999.11.1-2000.10.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地  区  别,合      计,,,未上过学,,,扫   盲   班,,,小      学,,,初      中,,,高      中,,,中      专,,,大学专科,,,大学本科,,,研   究   生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,男,女,合计,男,女,合计,男,女,合计,男,女,合计,男,女,合计,男,女,合计,男,女,合计,男,女,合计,男,女,合计,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,6875388,3897389,2977999,2951031,1121360,1829671,361241,170688,190553,2425702,1714347,711355,860207,668794,191413,165344,133151,32193,55412,41935,13477,35202,29480,5722,20526,17057,3469,723,577,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,69282,38890,30392,24952,7635,17317,1944,926,1018,21311,14973,6338,12248,9021,3227,3759,2668,1091,1326,853,473,1454,1058,396,2193,1679,514,95,77,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,56640,31331,25309,21174,6501,14673,1983,893,1090,19397,13359,6038,9355,7063,2292,2289,1692,597,874,559,315,839,680,159,715,573,142,14,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,399631,226408,173223,140329,51719,88610,28452,12260,16192,169137,114249,54888,49452,38349,11103,7629,6161,1468,2584,1953,631,1359,1153,206,672,550,122,17,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,177759,102422,75337,66310,26033,40277,13563,6466,7097,65087,44380,20707,26064,20129,5935,3917,3145,772,1588,1225,363,861,724,137,363,315,48,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,122543,74632,47911,61451,29175,32276,3043,1849,1194,33467,24017,9450,17482,13851,3631,4221,3367,854,1655,1316,339,843,724,119,361,317,44,20,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,248600,142954,105646,96008,35330,60678,6412,3147,3265,90299,62188,28111,41870,31225,10645,7737,6099,1638,2686,1966,720,2320,1926,394,1227,1042,185,41,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,137961,81198,56763,51428,22575,28853,5773,2965,2808,47834,30961,16873,22999,17002,5997,6399,4875,1524,1767,1342,425,1078,898,180,658,565,93,25,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,169503,101875,67628,61821,26927,34894,3712,1961,1751,60465,39660,20805,31963,24211,7752,7170,5664,1506,2080,1537,543,1594,1331,263,685,574,111,13,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,94337,49510,44827,30532,7652,22880,6065,2131,3934,29799,19259,10540,17562,12855,4707,5622,4098,1524,1205,719,486,1555,1226,329,1937,1521,416,60,49,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,424931,231220,193711,179368,56338,123030,28307,11981,16326,146923,106471,40452,53698,42878,10820,10619,8702,1917,2705,2067,638,2081,1753,328,1192,997,195,38,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,274403,156903,117500,115614,41763,73851,21056,10852,10204,102830,76734,26096,27184,21389,5795,4867,3928,939,1275,895,380,1012,859,153,553,473,80,12,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,317816,179783,138033,173721,71091,102630,12855,6857,5998,86445,65116,21329,35537,28930,6607,5315,4553,762,2062,1634,428,1174,996,178,676,585,91,31,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,163544,93354,70190,62076,21187,40889,11038,4661,6377,62887,44764,18123,20600,16938,3662,4212,3557,655,1393,1078,315,743,660,83,578,495,83,17,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,212943,121833,91110,83211,29247,53964,11648,5330,6318,82833,58568,24265,26113,20922,5191,5681,4817,864,1918,1568,350,1065,949,116,461,420,41,13,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,546718,303307,243411,276954,106296,170658,28262,13947,14315,165323,122081,43242,59611,47299,12312,9949,8292,1657,3621,2875,746,2097,1775,322,862,715,147,39,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,511231,282171,229060,239535,93831,145704,33463,16375,17088,152687,104918,47769,69160,53435,15725,10851,9007,1844,2889,2322,567,1867,1602,265,751,659,92,28,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,317823,178872,138951,149795,56895,92900,13700,7186,6514,103071,75018,28053,38118,29392,8726,7856,6241,1615,2641,1927,714,1778,1502,276,831,684,147,33,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,361489,207336,154153,128114,47549,80565,15862,7702,8160,159315,108203,51112,44883,33403,11480,8805,6954,1851,2365,1689,676,1453,1237,216,667,580,87,25,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,374501,210325,164176,124677,34514,90163,23888,9593,14295,155429,110229,45200,52713,41500,11213,11996,9858,2138,2682,2028,654,1995,1678,317,1057,871,186,64,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,226880,133430,93450,68755,23277,45478,14934,6006,8928,104225,72418,31807,29791,24062,5729,5696,4794,902,1983,1571,412,1023,889,134,457,402,55,16,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,31805,18188,13617,14184,4950,9234,1526,729,797,9879,7469,2410,4498,3571,927,1108,932,176,319,281,38,225,197,28,63,56,7,3,3,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,199599,113304,86295,81723,29220,52503,7818,3763,4055,82312,58952,23360,21734,16736,4998,3554,2763,791,1373,985,388,682,561,121,398,320,78,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,516530,291955,224575,218552,82270,136282,30429,14973,15456,202368,144630,57738,51725,39470,12255,7499,5997,1502,3300,2399,901,1710,1431,279,923,765,158,24,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,201265,117155,84110,107079,45717,61362,4950,2485,2465,63000,47384,15616,20407,16760,3647,3063,2565,498,1690,1328,362,659,562,97,408,348,60,9,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,252924,142263,110661,139030,59058,79972,7613,3671,3942,78008,57046,20962,21616,17153,4463,3412,2738,674,1981,1554,427,838,699,139,419,337,82,7,7,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,15137,7870,7267,11715,5462,6253,726,467,259,2223,1572,651,293,226,67,60,46,14,81,65,16,28,22,6,9,8,1,2,2,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,197224,113006,84218,93015,40020,52995,11248,5574,5674,58475,40850,17625,25431,19303,6128,5473,4355,1118,1870,1453,417,1020,859,161,663,567,96,29,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,131007,74517,56490,76754,34648,42106,5653,3018,2635,31717,23163,8554,12067,9720,2347,2909,2425,484,1041,828,213,540,441,99,299,251,48,27,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,23060,13194,9866,12851,5453,7398,700,321,379,5651,4288,1363,2661,2168,493,642,518,124,334,255,79,151,129,22,66,59,7,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,22316,13088,9228,12476,5731,6745,789,416,373,5058,3739,1319,2846,2240,606,660,560,100,273,219,54,148,128,20,66,55,11,          ,          ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,75986,45095,30891,27827,13296,14531,3829,2183,1646,28247,17688,10559,10526,7593,2933,2374,1780,594,1851,1444,407,1010,831,179,316,274,42,6,6,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
