表6—1    省、自治区、直辖市分性别、年龄的死亡人口（1999.11.1-2000.10.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人,
地   区   别,死亡人口,,,0     岁,,,1-4 岁 ,,,5-9 岁,,,10-14 岁 ,,,15-19 岁,,,20-24 岁 ,,,25-29 岁,,,30-34 岁 ,,,35-39 岁,,,40-44 岁 ,,,45-49 岁,,,50-54 岁 ,,,55-59 岁,,,60-64 岁 ,,,65-69 岁,,,70-74 岁 ,,,75-79 岁,,,80-84 岁 ,,,85-89 岁,,,90-94 岁 ,,,95-99 岁,,,100岁及100岁以上,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,43422,24693,18729,215,109,106,110,58,52,72,47,25,113,70,43,218,149,69,489,341,148,624,439,185,746,551,195,1009,727,282,1265,886,379,1617,1083,534,1517,974,543,1833,1089,744,3866,2079,1787,6137,3677,2460,6997,4047,2950,6483,3606,2877,5111,2676,2435,3191,1438,1753,1376,510,866,380,125,255,53,12,41,
天津市,31167,17295,13872,96,45,51,27,12,15,36,19,17,54,34,20,93,58,35,148,113,35,197,141,56,228,157,71,511,342,169,802,552,250,1044,667,377,1179,735,444,1471,898,573,2623,1353,1270,4747,2688,2059,5883,3297,2586,5150,2840,2310,3822,1996,1826,2065,982,1083,777,307,470,195,52,143,19,7,12,
河北省,50746,29252,21494,867,420,447,166,93,73,142,90,52,218,139,79,295,189,106,456,304,152,619,418,201,793,537,256,1136,796,340,1579,1100,479,2344,1611,733,2602,1671,931,3032,1876,1156,5100,3031,2069,7009,4133,2876,8158,4766,3392,7086,3932,3154,5104,2550,2554,2746,1152,1594,1041,372,669,232,66,166,21,6,15,
山西省,27143,16403,10740,598,324,274,99,51,48,118,65,53,115,82,33,157,102,55,220,159,61,401,293,108,527,363,164,732,533,199,909,624,285,1140,702,438,1248,766,482,1580,918,662,3029,1815,1214,4117,2559,1558,4709,2881,1828,3565,2161,1404,2374,1313,1061,1099,543,556,332,124,208,70,25,45,4,          ,4,
内蒙古自治区,22074,13548,8526,1055,570,485,106,51,55,78,50,28,99,66,33,148,99,49,241,171,70,387,272,115,531,382,149,745,559,186,805,571,234,1011,688,323,1109,665,444,1539,896,643,2651,1588,1063,3063,1912,1151,3175,2011,1164,2412,1485,927,1712,945,767,864,445,419,276,101,175,60,19,41,7,2,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,93804,55097,38707,1085,552,533,378,189,189,198,122,76,278,176,102,398,261,137,655,447,208,896,631,265,1475,1052,423,2667,1947,720,3570,2564,1006,4172,2842,1330,3862,2515,1347,5001,3110,1891,9022,5050,3972,14289,8488,5801,15767,9301,6466,13043,7576,5467,8773,4676,4097,5185,2483,2702,2386,916,1470,625,182,443,79,17,62,
吉林省,44391,26263,18128,934,501,433,102,58,44,100,61,39,172,117,55,229,137,92,344,230,114,535,351,184,873,611,262,1381,971,410,1746,1217,529,2342,1592,750,2322,1401,921,3038,1847,1191,5059,2951,2108,6724,3893,2831,7192,4207,2985,5339,3054,2285,3264,1777,1487,1779,887,892,699,303,396,186,84,102,31,13,18,
黑龙江省,55786,33616,22170,615,320,295,102,53,49,136,79,57,211,142,69,309,188,121,486,342,144,816,557,259,1291,888,403,1898,1385,513,2423,1696,727,3024,2057,967,3234,2057,1177,3848,2259,1589,7079,4117,2962,8952,5433,3519,8680,5188,3492,6073,3606,2467,3678,1928,1750,1962,907,1055,739,317,422,198,83,115,32,14,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,71801,37810,33991,254,125,129,105,68,37,107,66,41,144,85,59,248,144,104,333,211,122,380,239,141,454,302,152,931,642,289,1890,1238,652,2231,1458,773,2205,1375,830,2109,1314,795,3477,2095,1382,7506,4500,3006,10945,6169,4776,13252,7000,6252,12255,5826,6429,8360,3525,4835,3702,1202,2500,822,205,617,91,21,70,
江苏省,78288,43191,35097,718,388,330,283,164,119,238,137,101,244,179,65,307,198,109,546,352,194,712,454,258,1251,798,453,1459,984,475,2113,1399,714,3068,2011,1057,3736,2414,1322,3993,2585,1408,5745,3629,2116,8611,5404,3207,11410,6869,4541,12665,6793,5872,10968,4968,6000,6785,2529,4256,2719,782,1937,648,148,500,69,6,63,
浙江省,53914,30489,23425,815,401,414,345,205,140,191,120,71,190,118,72,318,198,120,558,379,179,794,557,237,1115,771,344,1250,865,385,1622,1069,553,1985,1341,644,2323,1535,788,2224,1477,747,3423,2256,1167,5560,3542,2018,7603,4665,2938,8200,4467,3733,7607,3652,3955,5190,2063,3127,2075,671,1404,476,125,351,50,12,38,
安徽省,32050,18650,13400,803,380,423,250,141,109,178,123,55,168,120,48,216,139,77,359,223,136,554,353,201,719,468,251,814,519,295,903,573,330,1309,843,466,1454,920,534,1947,1221,726,2840,1860,980,3941,2542,1399,4853,3049,1804,4429,2438,1991,3541,1699,1842,1837,755,1082,723,231,492,187,50,137,25,3,22,
