　　,,,,,,,,,,
表5—1    全国不同规模的家庭户类别,,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
湖南省,2116550,452028,504808,665834,493880,,,,,
广东省,5382115,1336777,1439980,1391250,1214108,,,,,
广西壮族自治区,1263222,274090,292376,376019,320737,,,,,
海南省,374695,90176,101113,98676,84730,,,,,
,,,,,,,,,,
重庆市,1224696,255732,290615,365020,313329,,,,,
四川省,2297311,529022,574140,681832,512317,,,,,
贵州省,974773,264068,254936,266067,189702,,,,,
云南省,850310,240288,205052,215948,189022,,,,,
西藏自治区,45967,9831,10999,12814,12323,,,,,
,,,,,,,,,,
陕西省,1420113,288144,354895,446290,330784,,,,,
甘肃省,816623,192751,207489,236921,179462,,,,,
青海省,214334,53239,57687,61292,42116,,,,,
宁夏回族自治区,273214,65021,69410,78916,59867,,,,,
新疆维吾尔自治区,904418,234406,241942,250228,177842,,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—3b    省、自治区、直辖市有0-19岁青少年人口的家庭户户数（镇）,,,,,,,,,,
,,,,,,,,,,
,,,,,单位:户,,,,,
地   区   别,合    计,有0-4岁,有5-9岁,有10-14岁,有15-19岁,,,,,
,,人口的户,人口的户,人口的户,人口的户,,,,,
,,,,,,,,,,
合计,38891197,8278343,9991605,12276385,8344864,,,,,
,,,,,,,,,,
北京市,213511,39193,47454,71210,55654,,,,,
天津市,403086,85852,99849,122586,94799,,,,,
河北省,1476430,321495,333393,490198,331344,,,,,
山西省,1180186,262712,333400,345376,238698,,,,,
内蒙古自治区,1081110,215973,283060,336195,245882,,,,,
,,,,,,,,,,
辽宁省,1063523,194228,254882,358196,256217,,,,,
吉林省,932360,159910,225540,318498,228412,,,,,
黑龙江省,1371168,254660,337276,449824,329408,,,,,
,,,,,,,,,,
上海市,317791,62644,81333,105416,68398,,,,,
江苏省,2640177,485705,714366,918627,521479,,,,,
浙江省,1976680,425591,511783,598157,441149,,,,,
安徽省,1819928,375238,520288,570647,353755,,,,,
福建省,1548129,287098,397131,490879,373021,,,,,
江西省,1344295,317951,348066,404270,274008,,,,,
山东省,2857520,622472,592563,1010095,632390,,,,,
,,,,,,,,,,
河南省,2035760,419156,506947,687434,422223,,,,,
湖北省,1745465,310026,476593,587198,371648,,,,,
湖南省,1612799,341301,378123,516806,376569,,,,,
广东省,3478980,792158,964151,960124,762547,,,,,
广西壮族自治区,1539326,319043,367951,480910,371422,,,,,
海南省,363958,77439,98186,103311,85022,,,,,
,,,,,,,,,,
重庆市,844201,197454,229823,261337,155587,,,,,
四川省,2177072,510457,586982,691861,387772,,,,,
贵州省,1102663,296865,300169,309909,195720,,,,,
云南省,1254071,340675,329095,338492,245809,,,,,
西藏自治区,74361,17031,18916,20416,17998,,,,,
,,,,,,,,,,
陕西省,1111062,224339,297418,352131,237174,,,,,
甘肃省,501959,118085,137833,143288,102753,,,,,
青海省,138058,34826,37946,37891,27395,,,,,
宁夏回族自治区,152590,39434,41567,41095,30494,,,,,
