　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1    全国按现住地、户口登记地分的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,274285,16623,43368,63,2336,12779,16348,40197,142571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,410354,24743,7975,1133,4546,21699,139923,9963,200372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,859701,264010,213744,17826,1493,4740,6115,207879,143894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,586550,243365,96809,18629,12143,4382,32429,102303,76490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,885791,392382,105448,12109,9309,9617,11768,210045,135113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,589407,104674,110719,44791,8495,10394,62995,142982,104357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,388584,94548,88685,37574,6813,9586,19278,91253,40847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,552804,166505,104315,12719,3068,2855,6192,198176,58974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,503199,9364,97724,,,29378,2832,61735,302166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,1635697,170447,617812,9461,7809,11554,20148,374419,424047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,2270076,376966,603655,1,18087,26979,7828,325715,910845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,777026,228908,244414,20397,19882,25261,49968,148409,39787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
