表2-3省自治区直辖市的市按街道乡镇分的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,    街道,,,    镇,,,    乡,,
    市名,    合计,    男,    女,,,,,,,,,
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    郊区,    312 364,    168 588,    143 776,-,-,-,    27 242,    16 675,    10 567,    285 122,    151 913,    133 209
  包头市,    1 228 772,    634 147,    594 625,    1 033 857,    530 814,    503 043,    12 158,    6 278,    5 880,    182 757,    97 055,    85 702
    东河区,    347 002,    177 150,    169 852,    347 002,    177 150,    169 852,-,-,-,-,-,-
    昆都伦区,    347 341,    179 167,    168 174,    347 341,    179 167,    168 174,-,-,-,-,-,-
    青山区,    256 367,    130 973,    125 394,    256 367,    130 973,    125 394,-,-,-,-,-,-
    石拐矿区,    60 412,    31 646,    28 766,    60 412,    31 646,    28 766,-,-,-,-,-,-
    白云矿区,    22 735,    11 878,    10 857,    22 735,    11 878,    10 857,-,-,-,-,-,-
    郊区,    194 915,    103 333,    91 582,-,-,-,    12 158,    6 278,    5 880,    182 757,    97 055,    85 702
  乌海市,    310 037,    162 288,    147 749,    310 037,    162 288,    147 749,-,-,-,-,-,-
    海勃湾区,    119 876,    62 780,    57 096,    119 876,    62 780,    57 096,-,-,-,-,-,-
    海南区,    71 104,    37 726,    33 378,    71 104,    37 726,    33 378,-,-,-,-,-,-
    乌达区,    119 057,    61 782,    57 275,    119 057,    61 782,    57 275,-,-,-,-,-,-
  赤峰市,    987 301,    505 296,    482 005,    216 241,    108 593,    107 648,    348 665,    179 759,    168 906,    422 395,    216 944,  205 451
    红山区,    234 989,    118 466,    116 523,    174 439,    87 453,    86 986,    27 835,    14 079,    13 756,    32 715,    16 934,    15 781
    元宝山区,    254 527,    129 796,    124 731,    41 802,    21 140,    20 662,    169 041,    86 407,    82 634,    43 684,    22 249,    21 435
    郊区,    497 785,    257 034,    240 751,-,-,-,    151 789,    79 273,    72 516,    345 996,    177 761,    168 235
  呼伦贝尔盟,    1 155 851,    592 564,    563 287,    523 802,    266 498,    257 304,    404 740,    208 575,    196 165,    227 309,    117 491,    109 818
    海拉尔市,    199 600,    101 032,    98 568,    145 039,    73 517,    71 522,-,-,-,    54 561,    27 515,    27 046
    满州里市,    137 790,    70 893,    66 897,    137 790,    70 893,    66 897,-,-,-,-,-,-
    扎兰电市,    402 418,    208 103,    194 315,    125 080,    63 690,    61 390,    104 590,    54 437,    50 153,    172 748,    89 976,    82 772
    牙克石市,    416 043,    212 536,    203 507,    115 893,    58 398,    57 495,    300 150,    154 138,    146 012,-,-,-
  兴安盟,    229 136,    115 743,    113 393,    142 376,    71 225,    71 151,-,-,-,    86 760,    44 518,    42 242
    乌兰浩特市,    229 136,    115 743,    113 393,    142 376,    71 225,    71 151,-,-,-,    86 760,    44 518,    42 242
  哲里木盟,    720 498,    367 758,    352 740,    253 146,    128 413,    124 733,    140 221,    71 611,    68 610,    327 131,    167 734,    159 397
    通辽市,    673 606,    343 531,    330 075,    212 095,    107 219,    104 876,    140 221,    71 611,    68 610,    321 290,    164 701,    156 589
    霍林郭勒市,    46 892,    24 227,    22 665,    41 051,    21 194,    19 857,-,-,-,    5 841,    3 033,    2 808
  锡林郭勒盟,    110 806,    57 198,    53 608,    100 240,    51 705,    48 535,-,-,-,    10 566,    5 493,    5 073
    二连浩特市,    11 628,    6 370,    5 258,    11 628,    6 370,    5 258,-,-,-,-,-,-
    锡林浩特市,    99 178,    50 828,    48 350,    88 612,    45 335,    43 277,-,-,-,    10 566,    5 493,    5 073
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表2-3单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,    街道,,,    镇,,,    乡,,
    市名,  合计,    男,    女,,,,,,,,,
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  乌兰察布盟,    193 085,    98 903,    94 182,    167 625,    85 572,    82 053,-,-,-,    25 460,    13 331,    12 129
    集宁市,    193 085,    98 903,    94 182,    167 625,    85 572,    82 053,-,-,-,    25 460,    13 331,    12 129
  伊克昭盟,    147 026,    77 263,    69 763,    72 597,    37 773,    34 824,-,-,-,    74 429,    39 490,    34 939
    东胜市,    147 026,    77 263,    69 763,    72 597,    37 773,    34 824,-,-,-,    74 429,    39 490,    34 939
  巴彦淖尔盟,    425 973,    221 779,    204 194,    136 692,    69 851,    66 841,    36 806,    19 231,    17 575,    252 475,    132 697,    119 778
    临河市,    425 973,    221 779,    204 194,    136 692,    69 851,    66 841,    36 806,    19 231,    17 575,    252 475,    132 697,    119 778
辽宁省,  20 150 437,    10 262 039,    9 888 398,    12 776 999,  6 481 692,    6 295 307,    3 854 038,  1 976 680,    1 877 358,    3 519 400,  1 803 667,  1 715 733
  沈阳市,    4 655 280,    2 364 440,    2 290 840,  3 528 690,  1 785 644,    1 743 046,    470 497,    241 611,    228 886,    656 093,    337 185,    318 908
    和平区,    581 313,    290 995,    290 318,    581 313,    290 995,    290 318,-,-,-,-,-,-
    沈河区,    533 564,    272 451,    261 113,    533 564,    272 451,    261 113,-,-,-,-,-,-
    大东区,    575 357,    289 474,    285 883,    575 357,    289 474,    285 883,-,-,-,-,-,-
    皇姑区,    629 784,    317 169,    312 615,    629 784,    317 169,    312 615,-,-,-,-,-,-
    铁西区,    726 364,    368 466,    357 898,    726 364,    368 466,    357 898,-,-,-,-,-,-
    苏家屯区,    421 101,    215 257,    205 844,    155 885,    78 458,    77 427,    177 915,    91 567,    86 348,    87 301,    45 232,    42 069
    东陵区,    455 625,    234 847,    220 778,    154 041,    79 736,    74 305,    90 483,    46 399,    44 084,211 101,    108 712,    102 389
    新城子区,    304 038,    156 174,    147 864,    55 568,    28 409,    27 159,    108 417,    55 779,    52 638,    140 053,    71 986,    68 067
    于洪区,    428 134,    219 607,    208 527,    116 814,    60 486,    56 328,    93 682,    47 866,    45 816,    217 638,    111 255,    106 383
  大连市,    3 473 832,    1 778 414,    1 695 418,    1 968 921,  1 004 456,    964 465,    928 875,    480 026,    448 849,    576 036,    293 932,    282 104
    中山区,    349 143,    176 750,    172 393,    349 143,    176 750,    172 393,-,-,-,-,-,-
    西岗区,    322 183,    165 565,    156 618,    322 183,    165 565,    156 618,-,-,-,-,-,-
    沙河口区,    486 525,    248 306,    238 219,    486 525,    248 306,    238 219,-,-,-,-,-,-
    甘井子区,    503 276,    266 319,    236 957,    304 531,    159 330,    145 201,    198 745,    106 989,    91 756,-,-,-
    旅顺口区,    212 143,    106 738,    105 405,    70 901,    34 700,    36 201,    133 809,    68 222,    65 587,    7 433,    3 816,    3 617
    金州区,    599 202,    302 511,    296 691,    199 460,    98 969,    100 491,    217 698,    110 899,    106 799,    182 044,    92 643,    89 401
    瓦房店市,    1 001 360,    512 225,    489 135,    236 178,    120 836,    115 342,    378 623,    193 916,    184 707,    386 559,    197 473,    189 086
  鞍山市,    2 478 650,    1 266 330,    1 212 320,    1 392 262,    708 316,    683 946,    942 316,    484 151,    458 165,    144 072,    73 863,    70 209
    铁东区,    398 696,    201 147,    197 549,    398 696,    201 147,    197 549,-,-,-,-,-,-
    铁西区,    283 540,    143 545,    139 995,    283 540,    143 545,    139 995,-,-,-,-,-,-
    立山区,    417 860,    215 081,    202 779,    417 860,    215 081,    202 779,-,-,-,-,-,-
    旧堡区,    342 124,    175 292,    166 832,    114 686,    58 957,    55 729,    83 366,    42 472,    40 894,    144 072,    73 863,    70 209
    海城市,    1 036 430,    531 265,    505 165,    177 480,    89 586,    87 894,    858 950,    441 679,    417 271,-,-,-
  抚顺市,    1 388 011,    703 013,    684 998,    1 271 025,    643 395,    627 630,    57 784,    29 255,    28 529,    59 202,    30 363,    28 839
    新抚区,    525 072,    264 735,    260 337,    525 072,    264 735,    260 337,-,-,-,-,-,-
    露天区,    382 900,    194 769,    188 131,    382 900,    194 769,    188 131,-,-,-,-,-,-
    望花区,    313 100,    158 971,    154 129,    313 100,    158 971,    154 129,-,-,-,-,-,-
    顺城区,    166 939,    84 538,    82 401,    49 953,    24 920,    25 033,    57 784,    29 255,    28 529,    59 202,    30 363,    28 839
  本溪市,    937 805,    475 743,    462 062,    674 036,    340 170,    333 866,    157 437,81 050,    76 387,    106 332,    54 523,    51 809
    平山区,    318 779,    160 671,    158 108,    271 173,    136 277,    134 896,    47 606,    24 394,    23 212,-,-,-
    溪湖区,    247 247,    127 238,    120 009,    166 321,    85 281,    81 040,    56 569,    29 485,    27 084,    24 357,    12 472,11 885
    明山区,    272 711,    137 533,    135 178,    188 843,    94 544,    94 299,    29 684,    15 229,    14 455,    54 184,    27 760,    26 424
    南芬区,    99 068,    50 301,    48 767,    47 699,    24 068,    23 631,    23 578,    11 942,    11 636,    27 791,    14 291,    13 500
