表2-2省自治区直辖市的市按居委会村委会分的人口数,,,,,,,,,
,,,,,,,,,
单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
    矿区,    189 968,    107 059,    82 909,    189 968,    107 059,    82 909,-,-,-
    郊区,    253 300,    135 839,    117 461,    22 433,    16 218,    6 215,    230 867,    119 621,    111 246
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  长治市,    552 255,    292 414,    259 841,    373 226,    200 257,    172 969,    179 029,    92 157,    86 872
    城区,    290 385,    153 196,    137 189,    290 385,    153 196,    137 189,-,-,-
    郊区,    261 870,    139 218,    122 652,    82 841,    47 061,    35 780,    179 029,    92 157,    86 872
  晋城市,    677 045,    349 741,    327 304,        128 961,    75 459,    53 502,    548 084,    274 282,    273 802
    城区,    190 048,    102 964,    87 084,    114 323,    64 861,    49 462,    75 725,    38 103,    37 622
    郊区,    486 997,    246 777,    240 220,    14 638,    10 598,    4 040,    472 359,    236 179,    236 180
  朔州市,    469 903,    247 339,    222 564,    78 091,    42 321,    35 770,    391 812,    205 018,    186 794
    朔城区,    301 966,    159 410,    142 556,    50 112,    27 834,    22 278,    251 854,    131 576,    120 278
    平鲁区,    167 937,    87 929,    80 008,    27 979,    14 487,    13 492,    139 958,    73 442,    66 516
  忻州地区,    434 062,    226 311,    207 751,    132 842,    71 362,    61 480,    301 220,    154 949,    146 271
    忻州市,    434 062,    226 311,    207 751,    132 842,    71 362,    61 480,    301 220,    154 949,    146 271
  晋中地区,    467 127,    241 540,    225 587,    191 461,    98 330,    93 131,    275 666,    143 210,    132 456
    榆次市,    467 127,    241 540,    225 587,    191 461,    98 330,    93 131,    275 666,    143 210,    132 456
  临汾地区,    1 009 333,    521 973,    487 360,    334 733,    184 038,    150 695,    674 600,    337 935,    336 665
    临汾市,    582 690,    297 736,    284 954,    187 697,    100 471,    87 226,    394 993,    197 265,    197 728
    侯马市,    178 480,    91 977,    86 503,    74 625,    40 344,    34 281,    103 855,    51 633,    52 222
    霍州市,    248 163,    132 260,    115 903,    72 411,    43 223,    29 188,    175 752,    89 037,    86 715
  运城地区,    492 291,    251 059,    241 232,    161 584,    87 135,    74 449,    330 707,    163 924,    166 783
    运城市,    492 291,    251 059,    241 232,    161 584,    87 135,    74 449,    330 707,    163 924,    166 783
内蒙古自治区,    6 446 955,    3 323 731,    3 123 224,    4 084 068,    2 095 323,    1 988 745,    2 362 887,    1 228 408,    1 134 479
  呼和浩特市,    938 470,    490 792,    447 678,    634 514,    328 533,    305 981,    303 956,    162 259,    141 697
    新城区,    346 854,    179 628,    167 226,346 854,    179 628,    167 226,-,-,-
    回民区,    171 776,    87 684,    84 092,    171 776,    87 684,     84 092,-,-,-
