表2-4省自治区直辖市的市按非农业户口和农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
    叠彩区,    94 438,    49 498,    44 940,    82 342,    43 874,    38 468,    10 931,    5 031,    5 900,    1 165,    593,    572,    87.19
    象山区,    152 588,    77 404,    75 184,    132 377,    68 402,    63 975,    18 413,    8 074,    10 339,    1 798,    928,    870,    86.75
    七星区,    79 965,    43 708,    36 257,    70 707,    39 253,    31 454,    8 441,    4 035,    4 406,    817,    420,    397,    88.42
    市郊区,    166 882,    86 628,    80 254,    24 152,    16 247,    7 905,    140 361,    69 228,    71 133,    2 369,    1 153,    1 216,    14.47
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,       农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  梧州市,    298 915,    152 592,    146 323,    212 948,  112 147,    100 801,    81 746,    38 319,    43 427,    4 221,    2 126,    2 095,    71.24
    白云区,    77 668,    40 636,    37 032,    72 941,    38 412,    34 529,    3 351,    1 504,    1 847,1 376,    720,    656,    93.91
    万秀区,    53 745,    27 226,    26 519,    51 165,    26 215,    24 950,    1 860,    652,    1 208,    720,    359,    361,    95.20
    蝶山区,    93 838,    49 700,    44 138,    86 898,    46 254,    40 644,    5 802,    2 841,    2 961,    1 138,    605,    533,    92.60
    市郊区,    73 664,    35 030,    38 634,    1 944,    1 266,    678,    70 733,    33 322,    37 411,    987,    442,    545,    2.64
  北海市,    229 907,    119 271,    110 636,    115 716,60636,    55 080,    104 497,    53 899,    50 598,    9 694,    4 736,    4 958,    50.33
    海城区,    119 053,    62 112,    56 941,    96 952,    50 457,    46 495,    19 792,    10 506,    9 286,    2 309,    1 149,    1 160,    81．44
    市郊区,    110 854,    57 159,    53 695,    18 764,    10 179,    8 585,    84 705,    43 393,    41 312,    7 385,    3 587,    3 798,    16.93
  南宁地区,    88 762,    45 303,    43 459,    16 260,    9 096,    7 164,    72 341,    36 125,    36 216,    161,    82,    79,    18.32
    凭祥市,    88 762,    45 303,    43 459,    16 260,    9 096,    7 164,    72 341,    36 125,    36 216,    161,    82,    79,    18.32
  柳州地区,    135 071,    70 442,    64 629,    53 957,    29 312,    24 645,    80 547,    40 835,    39 712,    567,    295,    272,    39.95
    合山市,    135 071,    70 442,    64 629,    53 957,    29 312,    24 645,    80 547,    40 835,    39 712,    567,    295,    272,    39.95
  玉林地区,  2 711 349,    1 426 299,    1 285 050,    240 852,    140 023,    100 829,    2 433 938,    1 266 515,1 167 423,    36 559,    19 761,    16 798,    8.88
    玉林市,  1 323 410,    709 550,    613 860,    130 295,    75 928,    54 367,    1 161 420,616 126,    545 294,    31 695,    17 496,    14 199,    9.85
    贵港市,  1 387 939,    716 749,    671 190,    110 557,    64 095,    46 462,    1 272 518,    650 389,    622 129,    4 864,    2 265,    2 599,    7.97
  百色地区,    302 517,    156 684,    145 833,    91 198,    50 994,    40 204,    209 508,    104 765,    104 743,    1 811,    925,    886,    30.15
    百色市,    302 517,    156 684,    145 833,    91 198,    50 994,    40 204,    209 508,    104 765,    104 743,    1 811,    925,    886,    30.15
  河池地区,    289 844,    150 507,    139 337,    79 999,    45 004,    34 995,    208 168,    104 683,    103 485,    1 677,    820,    857,    27.60
    河池市,    289 844,    150 507,    139 337,    79 999,    45 004,    34 995,    208 168,    104 683,    103 485,    1 677,    820,    857,    27.60
  钦州地区,    1 005 999,    553 045,    452 954,    105 431,    60 707,    44 724,    896 565,    490 151,    406 414,    4 003,    2 187,    1 816,    10.48
    钦州市,    1 005 999,    553 045,    452 954,    105 431,    60 707,    44 724,    896 565,    490 151,    406 414,    4 003,    2 187,    1 816,    10.48
海南省,    874 411,    459 371,    415 040,    390 127,    210 726,    179 401,    470 903,    241 757,    229 146,    1 3 381,    6 888,    6 493,    44.62
  海口市,    410 050,    218 324,    191 726,    271 347,    147 530,    123 817,    131 893,67 168,    64 725,    6 810,    3 626,    3 184,    66.17
    海口市辖区,    326 370,    176 087,    150 283,    262 394,    142 262,    120 132,    59 531,    31 396,    28 135,    4 445,    2 429,    2 016,    80.40
    海口空缺区,    83 680,    42 237,    41 443,    8 953,    5 268,    3 685,    72 362,    35 772,    36 590,    2 365,    1 197,    1 168,    10.70
  三亚市,  370 244,    192 106,    178 138,    88 375,    46 932,  41 443,    276 006,    142 267,    1 33 739,    5 863,    2 907,    2 956,    23.87
    三亚市辖区,    79 926,    42 046,    37 880,    54 335,    28 263,  26 072,    24 577,    13 280,    11 297,    1 014,    503,    511,    67.98
    三亚空缺区,    290 318,    150 060,    140 258,    34 040,    18 669,  15 371,    251 429,    128 987,    122 442,    4 849,    2 404,    2 445,    11.73
  省辖行政单位,    94 117,    48 941,    45 176,    30 405,    16 264,  14 141,    63 004,    32 322,    30 682,    708,    355,    353,    32.31
    通什市,94 117,    48 941,    45 176,    30 405,    16 264,  14 141,    63 004,    32 322,    30 682,    708,    355,    353,    32.31
四川省,  20 293 313,  10 532 715,    9 760 598,    8 033 153, 4 358 393, 3 674 760,    12 148 271,  6 118 440,    6 029 831,    111 889,    55 882,    56 007,    39.59
  成都市,    3 493 667,    1 817 086,    1 676 581,    1 835 270,    987 562,    847 708,    1 640 811,    820 321,    820 490,    17 586,    9 203,    8 383,    52.53
    东城区,    824 430,    443 749,    380 681,    779 643,    417 433,    362 210,    42 059,    24 765,    17 294,    2 728,    1 551,    1 177,    94.57
    西城区,    759 228,    400 855,    358 373,    717 866,    376 658,    341 208,    38 697,    22 645,    16 052,    2 665,    1 552,    1 113,    94.55
    金牛区,    624 393,    312 188,    312 205,    121 844,    70 213,    51 631,    497 688,    239 431,    258 257,    4 861,    2 544,    2 317,    19.51
    龙泉驿区,    372 955,    190 880,    182 075,    32 313,    19 045,    13 268,    337 288,    170 153,    167 135,    3 354,    1 682,    1 672,    8.66
    青白江区,    373 866,    195 141,    178 725,    67 786,    39 152,    28 634,    304 270,    155 124,    149 146,    1 810,    865,    945,    18.13
    都江堰市,    538 795,    274 273,    264 522,    115 818,    65 061,    50 757,    420 809,    208 203,    212 606,2 168,    1 009,    1 159,    21.50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户门占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,   男,    女,    的比例
  重庆市,    3 127 178,    1 630 684,  1 496 494,    2 265 137,  1 201 576,1 063 561,    847 494,    421 928,    425 566,    14 547,    7 180,    7 367,    72.43
    市中区,    499 687,    258 381,    241 306,    466 491,    237 061,  229 430,    30 261,    19 886,    10 375,    2 935,    1 434,    1 501,    93.36
    大渡口区,    114 664,    60 115,    54 549,    110 399,    57 879,    52 520,    3 975,    2 095,    1 880,    290,    141,    149,    96.28
    江北区,    343 951,    178 049,    165 902,    276 910,    144 701,    132 209,    65 803,    32 717,    33 086,    1 238,    631,    607,    80.51
    沙坪坝区,    622 178,    330 533,    291 645,    505 965,    271 703,    234 262,    113 418,    57 370,    56 048,    2 795,    1 460,    1 335,    81．32
    九龙坡区,    515 873,    269 413,    246 460,    354 752,    191 467,    163 285,    158 941,    76 850,    82 091,    2 180,    1 096,    1 084,    68.77
    南岸区,    337 125,    174 843,    162 282,    244 868,    130 156,    114 712,    90 986,    44 048,    46 938,    1 271,    639,    632,    72.63
    北碚区,    391 787,    203 001,    188 786,    189 406,    104 575,    84 831,    200 841,    97 674,    103 167,    1 540,752,    788,    48.34
    南桐矿区,    265 257,    137 099,128 158,    103 349,    56 678,    46 671,160 034,    79 569,    80 465,    1 874,    852,    1 022,    38.96
    双桥区,    36 656,    19 250,    17 406,    12 997,    7 356,    5 641,    23 235,    11 719,    11 516,    424,    175,    249,    35.46
  自贡市,    977 147,    500 878,    476 269,    385 117,    202 547,    182 570,    587 000,    295 967,    291 033,    5 030,    2 364,    2 666,    39.41
    自流井区,    176 786,    90 728,    86 058,    171 545,    87 914,    83 631,    4 479,    2 395,    2 084,    762,    419,    343,    97.04
    贡井区,    129 980,    65 342,    64 638,    65 310,    34 025,    31 285,    64 124,    31 083,    33 041,    546,    234,    312,    50.25
    大安区,    316 292,161 731,    154 561,    112 562,    59 872,    52 690,    201 709,    100 934,    100 775,    2 021,    925,    1 096,    35.59
    沿滩区,    354 089,    183 077,    171 012,    35 700,    20 736,    14 964,    316 688,    161 555,    155 133,    1 701,    786,    91 5,    10.08
  攀枝花市,    631 752,    351 281,    280 471,    407 453,    234 531,    172 922,    221 095,    115 037,    106 058,    3 204,1 713,    1 491,    64.50
    东区,    294 146,    170 682,    123 464,    266 546,    154 604,    111 942,    26 198,    15 277,    10 921,    1 402,    801,    601,    90.62
    西区,    130 988,    73 902,    57 086,    122 973,    69 322,    53 651,    7 404,    4 265,    3 139,    611,    315,    296,    93.88
    仁和区,    206 618,    106 697,    99 921,    17 934,    10 605,    7 329,    187 493,    95 495,    91 998,    1 191,    597,    594,    8.68
  泸州市,    412 211,    210 115,    202 096,    262 479,    137 928,    124 551,    146 143,    70 485,    75 658,    3 589,    1 702,    1 887,    63.68
    市中区,    412 211,    210 115,    202 096,    262 479,    137 928,    124 551,    146 143,    70 485,    75 658,    3 589,    1 702,    1 887,    63.68
  德阳市,  1 286 664,    661 950,    624 714,    245 809,    138 026,    107 783,    1 033 261,    520 150,    513 111,    7 594,    3 774,    3 820,    19.10
    市中区,    762 215,    396 893,    365 322,    170 708,    95 955,    74 753,585 098,    297 821,    287 277,    6 409,    3 117,    3 292,    22.40
    广汉市,    524 449,    265 057,    259 392,    75 101,    42 071,    33 030,    448 163,    222 329,    225 834,    1 185,    657,    528,    14.32
  绵阳市,    1 733 196,    910 571,    822 625,    416 221,    233 327,    182 894,    1 310 800,    674 135,    636 665,    6 175,    3 109,    3 066,    24.01
    市中区,    907 675,    479 538,    428 137,    249 997,    139 325,    110 672,    654 945,    338 827,    316 118,    2 733,    1 386,    1 347,    27.54
    江油市,    825 521,    431 033,    394 488,166 224,    94 002,    72 222,    655 855,    335 308,    320 547,    3 442,    1 723,    1 719,    20.14
  广元市,    859 991,    447 986,    412 005,    173 236,    100 363,    72 873,    677 503,    342 913,    334 590,    9 252,    4 710,    4 542,    20.14
    市巾区,    445 944,    235 219,    210 725,    159 383,    90 973,    68 410,    279 490,    140 624,    1 38 866,    7 071,    3 622,    3 449,    35.74
    元坝区,    225 179,    115 533,    109 646,    8 961,    5 918,    3 043,    214 502,    108 755,    105 747,    1 716,    860,    856,    3.98
    朝天区,    188 868,    97 234,    91 634,    4 892,    3 472,    1 420,    1 83 511,    93 534,    89 977,    465,    228,    237,    2.59
  遂宁市,    1 259 604,    644 356,    615 248,    134 367,    78 138,    56 229,    1 119 710,    563 624,    556 086,    5 527,    2 594,    2 933,    10.67
    市中区,    1 259 604,    644 356,    615 248,    134 367,    78 138,    56 229,    1 119 710,    563 624,    556 086,    5 527,    2 594,    2 933,    10.67
  内江市,    1 289 184,    662 359,    626 825,    240 159,    129 152,  111 007,    1 034 909,    526 488,    508 421,    14 116,    6 719,    7 397,    18.63
    市中区,    326 935,    165 732,    161 203,    191 764,    100 541,    91 223,    131 753,    63 533,    68 220,    3 418,    1 658,    1 760,    58.66
    东兴区,    962 249,    496 627,    465 622,    48 395,    28 611,    19 784,    903 156,    462 955,    440 201,    10 698,    5 061,    5 637,    5.03
  乐山市,  1 466 540,    752 520,    714 020,    426 483,    237 836,    188 647,    1 034 082,    511 415,    522 667,    5 975,    3 269,    2 706,    29.08
    市中区,    488 522,    246 032,    242 490,    149 184,    79 729,    69 455,    337 348,    165 324,    172 024,    1 990,    979,    1 011,    30.54
    沙湾区,    210 113,    112 658,    97 455,    66 251,    40 636,    25 615,    142 754,    71 184,    71 570,    1 108,    838,    270,    31.53
    五通桥区,    315 674,    159 158,    156 516,    103 685,    55 892,    47 793,    210 966,    102 781,    108 185,    1 023,    485,    538,    32.85
    金口河区,    55 786,    29 054,    26 732,    14 071,    7 986,    6 085,    41 512,    20 984,    20 528,    203,    84,    119,    25.22
    峨眉山市,    396 445,    205 618,    190 827,    93 292,    53 593,    39 699,    301 502,151 142,    150 360,    1 651,    883,    768,    23.53
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口侍定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  万县地区,    314 392,    158 586,    155 806,    156 229,82 136,    74 093,    157 117,    75 916,    81 201,    1 046,    534,    512,    49.69
    万县市,    314 392,    158 586,    155 806,    156 229,    82 136,    74 093,    157 117,    75 916,    81 201,    1 046,    534,    512,    49.69
  涪陵地区,    1 018 146,    522 340,    495 806,    164 020,    91 172,    72 848,    848 797,    428 541,    420 256,    5 329,    2 627,    2 702,    16.11
    涪陵市,    1 018 146,    522 340,    495 806,    164 020,    91 172,    72 848,    848 797,    428 541,    420 256,    5 329,    2 627,    2 702,    16.11
  宜宾地区,    699 420,    359 961,    339 459,    240 918,    127 581,  113 337,    455 088,    230 794,    224 294,    3 414,    1 586,    1 828,    34.45
    宜宾市,    699 420,    359 961,    339 459,    240 918,    127 581,  113 337,    455 088,    230 794,    224 294,    3 414,    1 586,    1 828,    34.45
  南充地区,    618 549,    326 094,    292 455,    263 430,    147 175,  116 255,    352 937,    177 830,    175 107,    2 182,    1 089,    1 093,    42.59
    南允市,    279 178,    144 491,    134 687,    179 013,    96 810,    82 203,    98 622,    46 927,    51 695,    1 543,    754,    789,    64.12
    华鉴市,    339 371,    181 603,    157 768,    84 417,    50 365,    34 052,    254 315,    130 903,    123 412,    639,    335,    304,    24.87
  达县地区,    326 886,    173 357,    153 529,    185 245,    101 532,    83 713,    138 629,    70 338,    68 291,    3 012,    1 487,    1 525,    56.67
    达县市,    326 886,    173 357,    153 529,    185 245,    101 532,    83 713,    138 629,    70 338,    68 291,    3 012,1 487,    1 525,    56.67
  雅安地区,    297 590,    153 507,    144 083,    98 089,    53 615,    44 474,    198 405,    99 326,    99 079,    1 096,    566,    530,    32.96
    雅安市,    297 590,    153 507,    144 083,    98 089,    53 615,    44 474,    198 405,    99 326,    99 079,    1 096,    566,    530,    32.96
  凉山彝族自治州,    481 196,    249 084,    232 112,    133 491,    74 196,    59 295,    344 490,    173 232,    171 258,    3 215,    1 656,    1 559,    27.74
    西昌市,    481 196,    249 084,    232 112,    133 491,    74 196,    59 295,    344 490,    173 232,    171 258,    3 215,    1 656,    1 559,    27.74
贵州省,    6 294 978,    3 290 035,  3 004 943,    2 156 652,  1 178 996,    977 656,    4 051 503,    2 068 217,    1 983 286,    86 823,    42 822,    44 001,    34.26
  贵阳市,    1 664 709,    880 037,    784 672,    1 009 399,    537 975,    471 424,    611 578,    320 162,291 416,    43 732,    21 900,    21 832,    60.64
    南明区,    514 415,    274 527,    239 888,    430 665,    229 761,    200 904,    73 819,    39 940,    33 879,    9 931,    4 826,    5 105,    83.72
    云岩区,    458 552,    237 951,    220 601,    377 522,    193 810,    183 712,    71 880,    39 622,    32 258,    9 150,    4 519,    4 631,    82.33
    花溪区,    304 172,    160 431,  143 741,    73 223,    40 963,    32 260,    219 320,    113 571,    105 749,11 629,    5 897,    5 732,    24.07
    乌当区,    243 840,    128 571,    115 269,    56 861,    31 951,    24 910,    179 136,    92 622,    86 514,    7 843,    3 998,    3 845,    23.32
    白云区,    143 730,    78 557,    65 173,    71 128,    41 490,    29 638,    67 423,    34 407,    33 016,    5 179,    2 660,    2 519,    49.49
  六盘水市,    1 844 471,    963 211,    881 260,    342 215,    196 772,    145 443,    1 487 932,    759 219,    728 713,    14 324,    7 220,    7 104,    18.55
    钟山区,    350 287,    189 757,    160 530,    174 124,    99 903,    74 221,    169 316,    86 370,    82 946,    6 847,    3 484,    3 363,    49.71
    盘县特区,    962 394,    496 735,    465 659,    86 479,    51 429,    35 050,    871 498,    443 142,    428 356,    4 417,    2 164,    2 253,    8.99
    六枝特区,    531 790,    276 719,    255 071,    81 612,    45 440,    36 172,    447 118,    229 707,    217 411,    3 060,    1 572,    1 488,    15.35
  遵义地区,    435 146,    229 929,    205 217,    269 083,    147 446,    121 637,    156 325,    77 938,    78 387,    9 738,    4 545,    5 193,    61.84
    遵义市,    435 146,    229 929,    205 217,    269 083,    147 446,    121 637,    156 325,    77 938,    78 387,    9 738,    4 545,    5 193,    61.84
  铜仁地区,    284 344,    151 482,    132 862,    65 618,    36 780,    28 838,    215 787,    113 419,    102 368,    2 939,    1 283,    1 656,    23.08
    铜仁市,    284 344,    151 482,    132 862,    65 618,    36 780,    28 838,    215 787,    113 419,    102 368,    2 939,    1 283,    1 656,    23.08
  黔西南布依族苗族自治州,    593 451,    303 042,    290 409,    56 975,    32 278,    24 697,    535 175,    270 165,    265 010,    1 301,    599,    702,    9.60
    兴义市,    593 451,    303 042,    290 409,    56 975,    32 278,    24 697,    535 175,    270 165,    265 010,    1 301,    599,    702,    9.60
  安顺地区,    673 677,    344 103,    329 574,    174 819,    94 973,    79 846,    488 154,    243 838,    244 316,    10 704,    5 292,    5 412,    25.95
    安顺市,    673 677,    344 103,    329 574,    174 819,    94 973,    79 846,    488 154,    243 838,    244 316,    10 704,    5 292,    5 412,    25.95
  黔东南苗族侗族自治州,    382 026,    202 707,    179 319,    108 790,    62 249,    46 541,    271 590,    139 642,    131 948,    1 646,    816,    830,    28.48
    凯里市,    382 026,    202 707,    179 319,    108 790,    62 249,    46 541,    271 590,    139 642,    131 948,    1 646,    816,    830,    28.48
  黔南布依族苗族自治州,417 154,    215 524,    201 630,    129 753,    70 523,    59 230,    284 962,    143 834,    141 128,    2 439,    1 167,    1 272,    31．10
    都匀市,    417 154,    215 524,    201 630,    129 753,    70 523,    59 230,    284 962,    143 834,    141 128,    2 439,    1 167,    1 272,    31.10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
,,,,,,,,,,,,,
云南省,  5 871 751,  3 033 656,  2 838 095,  2 064 229, 1 125 295,  938 934,    3 789 877,    1 899 321,    1 890 556,    17 645,    9 040,    8 605,    35.16
  昆明市,  1 611 969,    851 266,    760 703,  1 107 673,  594 992,  512 681,    495 941,    251 938,    244 003,    8 355,    4 336,    4 019,    68.72
    五华区,    356 546,    184 667,    171 879,    330 665,  170 581,  160 084,    23 712,    12 939,    10 773,    2 169,    1 147,    1 022,    92.74
    盘龙区,    374 070,    190 421,   183 649,    352 711,  179 268,  173 443,    19 073,    9 980,    9 093,    2 286,    1 173,    1 113,    94.29
    官渡区,    548 519,    297 666,    250 853,    240 250,  141 261,    98 989,    305 694,    155 042,    150 652,    2 575,    1 363,    1 212,    43.80
    西山区,    332 834,    178 512,    154 322,    184 047,  103 882,    80 165,    147 462,    73 977,    73 485,    1 325,    653,    672,    55.30
  东川市,    279 456,    147 301,    132 155,    62 190,    34 959,    27 231,    216 915,    112 177,    104 738,    351,    165,    186,    22.25
    市辖区,    279 456,    147 301,    132 155,    62 190,    34 959,    27 231,    216 915,    112 177,    104 738,    351,    165,    186,    22.25
  昭通地区,    619 521,    319 331,    300 190,    83 931,    47 223,    36 708,    533 548,    271 074,    262 474,    2 042,    1 034,    1 008,    13.55
    昭通市,    619 521,    319 331,    300 190,    83 931,    47 223,    36 708,    533 548,    271 074,    262 474,    2 042,    1 034,    1 008,    13.55
  曲靖地区,    824 137,    422 491,    401 646,    163 408,    92 217,    71 191,    659 284,    329 563,    329 721,    1 445,    711,    734,    19.83
    曲靖市,    824 137,    422 491,    401 646,    163 408,    92 217,    71 191,    659 284,    329 563,    329 721,    1 445,    711,    734,    19.83
  楚雄彝族自治州,    410 530,    213 062,    197 468,    77 886,    44 508,    33 378,    332 084,    168 270,    163 814,    560,    284,    276,    18.97
    楚雄市,    410 530,    213 062,    197 468,    77 886,    44 508,    33 378,    332 084,    168 270,    163 814,    560,    284,    276,    18.97
  玉溪地区,    321 271,160 174,    161 097,    64 544,    37 272,    27 272,    256 495,    122 773,    133 722,    232,    129,    103,    20.09
    玉溪市,    321 271,    160 174,    161 097,    64 544,    37 272,    27 272,    256 495,    122 773,    133 722,    232,    129,    103,    20.09
  红河哈尼族彝族自治州,    632 872,    331 064,    301 808,    303 734,  163 047,  140 687,    327 681,    167 295,    160 386,    1 457,    722,    735,    47.99
    个旧市,    384 569,    200 622,    183 947,    212 222,  111 535,  100 687,    171 377,    88 600,    82 777,    970,    487,    483,    55.18
    开远市,    248 303,    130 442,    117 861,    91 512,    51 512,  40 000,    156 304,    78 695,    77 609,    487,    235,    252,    36.85
  大理白族自治州,    432 235,    216 538,    215 697,    134 466,    72 723,  61 743,    295 279,    142 510,    152 769,    2 490,    1 305,    1 185,    31.11
    大理市,    432 235,    216 538,    215 697,    134 466,    72 723,  61 743,    295 279,    142 510,    152 769,    2 490,    1 305,    1 185,    31.11
    保山地区,    728 950,    366 727,    362 223,    62 982,    36 407,  26 575,    665 499,    330 095,    335 404,    469,    225,    244,    8.64
    保山市,    728 950,    366 727,    362 223,    62 982,    36 407,  26 575,    665 499,    330 095,    335 404,    469,    225,    244,    8.64
  德宏傣族景颇族自治州,    10 810,    5 702,    5 108,    3 415,    1 947,    1 468,    7 151,    3 626,    3 525,    244,    129,    115,    31.59
    畹町市,    10 810,    5 702,    5 108,    3 415,    1 947,    1 468,    7 151,    3 626,    3 525,    244,    129,    115,    31.59
西藏自治区,    219 157,    116 524,    102 633,    121 158,    64 748,    56 410,    94 280,    49 627,    44 653,    3 719,    2 149,    1 570,    55.28
  拉萨市,    139 822,    76 338,    63 484,    99 258,    53 276,    45 982,    37 511,    21 194,    16 317,    3 053,    1 868,    1 185,    70.99
    城关区,    139 822,    76 338,    63 484,    99 258,    53 276,    45 982,    37 511,    21 194,    16 317,    3 053,    1 868,    1 185,    70.99
  日喀则地区,    79 335,    40 186,    39 149,    21 900,    11 472,    10 428,    56 769,    28 433,    28 336,    666,    281,    385,    27.60
    日喀则市,    79 335,    40 186,    39 149,    21 900,    11 472,    10 428,    56 769,    28 433,    28 336,    666,    281,    385,    27.60
陕西省,    8 086 340,  4 221 117,  3 865 223,  3 593 179, 1 952 696,  1 640 483,    4 402 502,  2 221 422,  2 181 080,    90 659,    46 999,    43 660,    44.44
  西安市,    2 872 539,  1 502 620,  1 369 919,  1 953 962, 1 044 221,  909 741,    896 310,    446 916,    449 394,    22 267,    11 483,    10 784,    68.02
    新城区,    446 855,    231 593,    215 262,    407 784,  210 904,  196 880,    34 294,    18 333,    15 961,    4 777,    2 356,    2 421,    91.26
    碑林区,    510 828,    274 318,    236 510,    472 437,  254 067,  218 370,    34 229,    18 049,    16 180,    4 162,    2 202,    1 960,    92.48
    莲湖区,    548 072,    285 163,    262 909,    487 706,  254 394,  233 312,    54 923,    28 086,    26 837,    5 443,    2 683,    2 760,    88.99
    灞桥区,    411 430,    207 875,    203 555,    145 701,    76 962,    68 739,    262 935,    129 355,    133 580,    2 794,    1 558,    1 236,    35.41
    未央区,    339 335,    175 040,    164 295,    135 535,    74 492,    61 043,    201 578,    99 433,    102 145,    2 222,    1 115,    1 107,    39.94
    雁塔区,    406 826,    221 435,    185 391,    251 554,  143 407,  108 147,    153 131,    76 833,    76 298,    2 141,1 195,    946,    61.83
    阎良区,    209 193,    107 196,    101 997,    53 245,    29 995,    23 250,    155 220,    76 827,    78 393,    728,    374,    354,    25.45
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小汁,    男,    女,    小计,    男,    女,    的比例
  铜川市,    414 031,    221 477,    192 554,    259 403,  142 968,  116 435,    147 682,    75 127,    72 555,    6 946,    3 382,    3 564,    62.65
    城区,    184 975,    96 048,    88 927,    137 229,    72 211,    65 018,    44 630,    22 345,    22 285,    3 116,    1 492,    1 624,    74.19
    郊区,    229 056,    125 429,    103 627,    122 174,    70 757,    51 417,    103 052,    52 782,    50 270,    3 830,    1 890,    1 940,    53.34
  宝鸡市,    452 286,    237 906,    214 380,    324 713,  173 973,  150 740,    122 722,    61 643,    61 079,    4 851,    2 290,    2 561,    71.79
    渭滨区,    243 036,    127 005,    116 031,    158 581,    84 181,    74 400,    82 149,    41 752,    40 397,    2 306,    1 072,    1 234,    65.25
    金台区,    209 250,    110 901,    98 349,    166 132,    89 792,    76 340,    40 573,    19 891,    20 682,    2 545,    1 218,    1 327,    79.39
  成阳市,    736 869,    381 686,    355 183,    328 283,    178 376,    149 907,    404 168,    200 651,    203 517,    4 418,    2 659,    1 759,    44.55
    秦都区,    332 066,    170 320,    161 746,    151 679,    80 947,    70 732,    179 321,    88 767,    90 554,    1 066,    606,    460,    45.68
    渭城区,    300 917,    156 264,    144 653,    153 183,    82 931,    70 252,    145 660,    71 936,    73 724,    2 074,    1 397,    677,    50.91
    杨陵区,    103 886,    55 102,    48 784,    23 421,    14 498,    8 923,    79 187,    39 948,    39 239,    1 278,    656,    622,    22.54
  渭南地区,  1 111 770,  567 004,    544 766,    207 883,  124 611,    83 272,    889 425,    435 053,    454 372,    14 462,    7 340,    7 122,    18.70
    渭南市,    766 268,  386 603,    379 665,    135 002,    78 425,    56 577,    619 839,    302 365,    317 474,11 427,    5 813,    5 614,    17.62
    韩城市,    345 502,  180 401,    165 101,    72 881,    46 186,    26 695,    269 586,    132 688,    136 898,    3 035,    1 527,    1 508,    21.09
  汉中地区,    441 706,  227 833,    213 873,    157 381,    87 258,    70 123,    281 613,    1 39 225,    142 388,    2 712,    1 350,    1 362,    35.63
    汉中市,    441 706,  227 833,    213 873,    157 381,    87 258,    70 123,    281 613,    139 225,    142 388,    2 712,    1 350,    1 362,    35.63
  安康地区,    859 165,  458 570,    400 595,    129 484,    71 368,    58 116,711 038,    376 961,    334 077,    18 643,    10 241,    8 402,    15.07
    安康市,    859 165,  458 570,    400 595,    129 484,    71 368,    58 116,711 038,    376 961,    334 077,    18 643,    10 241,    8 402,    15.07
  商洛地区,    511 326,  268 280,    243 046,    51 137,    32 224,    18 913,    458 298,    235 145,    223 153,    1 891,    911,    980,    10.00
    商州市,    511 326,  268 280,    243 046,    51 137,    32 224,    18 913,    458 298,    235 145,    223 153,    1 891,    911,    980,    10.00
  延安地区,    317 313,  165 672,    151 641,    106 221,    57 691,    48 530,    207 292,    106 043,    101 249,    3 800,    1 938,    1 862,    33.48
    延安市,    317 313,  165 672,    151 641,    106 221,    57 691,    48 530,    207 292,    106 043,    101 249,    3 800,    1 938,    1 862,    33.48
