,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续03),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,    -10岁及以上
  56,    171 092,    68 542,    98 609,    127 996,    1 56 455,    189 808,    227 826,    250 374,    271 629,    252 483,    236 939,,,  56,    175 962,    126 028,    81 350,    50 273,    25 420,    14 650,    7 753,    4 954,    3 494,    6 695
  57,    166 756,    72 537,    97 006,    123 304,    153 155,    193 681,    227 899,    241 820,    234 723,    248 129,    245 457,,,  57,    165 997,    122 426,    84 511,    46 089,    26 382,    13 141,    7 959,    5 504,    3 382,    6 215
  58,    156 900,    65 667,    88 622,    111 314,    141 027,    170 059,    192 632,    206 499,    229 778,    229 162,    197 791,,,  58,    148 870,    115 614,    69 497,    44 301,    22 337,    12 199,    7 860,    4 660,    2 756,    5 690
  59,    158 564,    67 144,    87 515,    108 543,    130 502,    165 631,    188 732,    208 070,    217 010,    202 689,    190 118,,,  59,    143 461,    99 530,    72 387,    41 578,    21 095,    12 109,    7 591,    4 169,    2 749,    5 074
60-64岁,    801 990,    321 860,    415 041,    505 742,    587 963,    690 673,    762 560,    782 148,    812 124,    825 932,    786 422,,,60-64岁,    573 511,    428 103,    273 363,    167 623,    102 488,    58 488,    32 860,    19 754,    12 028,    21 159
  60,    174 906,    66 158,    86 800,    108 703,    136 239,    168 659,    188 354,    199 761,    195 411,    193 646,    195 509,,,  60,    142 722,    111 674,    61 138,    34 733,    24 767,    14 530,    7 574,    4 865,    3 190,    5 285
  61,    148 894,    64 067,    83 000,    103 704,    123 094,    151 114,    166 327,    162 626,    166 409,    187 356,    172 119,,,  61,    121 950,    78 638,    56 656,    40 922,    23 136,    11 943,    7 357,    4 633,    2 719,    4 556
  62,    166 171,    68 241,    89 000,    108 509,    126 908,    148 376,    157 732,    163 329,    181 489,    164 355,    155 312,,,  62,    112 545,    89 157,    62 098,    35 246,    18 954,    11 224,    7 189,    4 260,    2 266,    4 387
  63,    156 137,    62 480,    79 644,    94 966,    106 713,    118 142,    137 024,    137 224,    130 324,    149 950,    140 612,,,  63,    100 283,    76 501,    48 314,    26 820,    18 301,    11 622,    6 338,    3 226,    2 016,    3 630
  64,    155 882,    60 914,    76 597,    89 860,    95 009,    104 382,    1 13 123,    119 208,    138 491,    130 625,    122 870,,,  64,    96 01 1,    72 133,    45 157,    29 902,    17 330,    9 169,    4 402,    2 770,    1 837,    3 301
