表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续13),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,单位：人,,,,,,,,,,,,
    和年龄别,,,,,,,,,,,,,,,,,,
,    合计,    男,    女,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    59,    3 571 526,    1 257 599,    2 313 927,,,    59,    79 482,    75 410,    4 072,    2 767 108,    989 513,    1 777 595,    690 239,    164 754,    525 485,    34 697,    27 922,    6 775
  60岁及以上,    55 141 701,    19 329 717,    35 811 984,,,  60岁及以上,    817 319,    742 604,    74 715,    29 384 055,    12 800 407,    16 583 648,    24 544 115,    5 494 407,    19 049 708,    396 212,    292 299,    103 913
小学,    232 093 205,    121 388 847,    110 704 358,,,小学,    61 874 765,    33 767 637,    28 107 128,    161 793 082,    81 574 084,    80 218 998,    7 082 148,    4 906 264,    2 175 884,    1 343 210,    1 140 862,    202 348
  15—19岁,    39 322 839,    17 625 056,    21 697 783,,,  15-19岁,    37 524 903,    17 193 520,    20 331 383,    1 774 642,    426 055,    1 348 587,    2 481,    1 117,    1 364,    20 813,    4 364,    16 449
    15,    8 029 102,    3 795 757,    4 233 345,,,    15,    8 011 905,    3 790 290,    4 221 615,    16 688,    5 297,    11 391,    107,    65,    42,    402,    105,    297
    16,    7 796 661,    3 518 009,    4 278 652,,,    16,    7 741 527,    3 504 753,    4 236 774,    53 955,    12 993,    40 962,    180,    110,    70,    999,    153,    846
    17,    7 685 154,    3 392 183,    4 292 971,,,    17,    7 514 634,    3 354 263,    4 160 371,    167 845,    37 378,    130 467,    325,    180,    145,    2 350,    362,    1 988
    18,    7 625 137,    3 338 388,    4 286 749,,,    18,    7 150 944,    3 232 371,    3 918 573,   465 929,    104 478,    361 451,    651,    284,    367,    7 613,    1 255,    6 358
    19,    8 186 785,    3 580 719,    4 606 066,,,    19,    7 105 893,    3 311 843,    3 794 050,    1 070 225,    265 909,    804 316,    1 218,    478,    740,    9 449,    2 489,    6 960
  20—24岁,    38 725 069,    17 158 436,    21 566 633,,,  20—24岁,    17 710 583,    10 294 256,    7 416 327,    20 873 333,    6 790 436,    14 082 897,    31 082,    15 770,    15 312,    110 071,    57 974,    52 097
