表7—8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,表7-8全国县15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续13),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,单位：人,,,,,,,,,,,,
    和年龄别,,,,,,,,,,,,,,,,,,
,    合计,    男,    女,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
  50-54岁,    31 275,    28 493,    2 782,,,    47,    41,    36,    5,    5 208,    4 546,    662,    34,    23,    11,    54,    47,    7
    50,    6 620,    5 873,    747,,,    48,    46,    42,    4,    5 517,    4 821,    696,    34,    22,    12,    53,    39,    14
    51,    6 778,    6 160,    618,,,,,,,,,,,,,,,
    52,    6 907,    6 309,    598,,,    49,    42,    40,    2,    5 970,    5 232,    738,    37,    31,    6,    42,    33,    9
    53,    6 026,    5 562,    464,,,  50-54岁,    351,    331,    20,    30 279,    27 625,    2 654,    371,    298,    73,    274,    239,    35
    54,    4 944,    4 589,    355,,,    50,    64,    61,    3,    6 442,    5 728,    714,    51,    38,    13,    63,    46,    17
  55—59岁,    12 751,    11 997,    754,,,    51,    67,    62,    5,    6 580,    5 990,    590,    74,    58,    16,    57,    50,    7
    55,    3 727,    3 464,    263,,,    52,    71,    67,    4,    6 706,    6 134,    572,    74,    57,    17,    56,    51,    5
    56,    2 945,    2 752,    193,,,    53,    74,    70,    4,    5 826,    5 379,    447,    74,    65,    9,    52,    48,    4
    57,    2 324,    2 206,    118,,,    54,    75,    71,    4,    4 725,    4 394,    331,    98,    80,    18,    46,    44,    2
    58,    1 990,    1 907,    83,,,  55—59岁,    230,    220,    10,    11 972,    11 299,    673,    329,    281,    48,    220,    197,    23
    59,    1 765,    1 668,    97,,,    55,    56,    53,    3,    3 538,    3 296,    242,    81,    68,    13,    52,    47,    5
  60岁及以上,    16 893,    16 207,    686,,,    56,    54,    52,    2,    2 793,    2 619,    174,    49,    39,    10,    49,    42,    7
,,,,,,,,,,,,,,,,,,
,,,,,,    57,    51,    49,    2,    2 170,    2 066,    104,    64,    57,    7,    39,    34,    5
,,,,,,    58,    30,    29,    1,    1 844,    1 778,    66,    82,    69,    13,    34,    31,    3
,,,,,,    59,    39,    37,    2,    1 627,    1 540,    87,    53,    48,    5,    46,    43,    3
,,,,,,  60岁及以上,    484,    453,    31,    13 088,    12 648,    440,    2 740,    2 540,    200,    581,    566,    15
