,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
    22,    392 772,    211 285,    181 487,    253 609,    142 080,    111 529,    138 550,    68 927,    69 623,    116,    51,    65,,,    21,    299,    139,    160
    23,    405 891,    230 539,    175 352,    198 395,    119 946,    78 449,    206 566,    110 117,    96 449,    174,    86,    88,,,    22,    497,    227,    270
    24,    476 1 16,    277 600,    198 516,    161 516,    102 197,    59 319,    313 003,    174 576,    138 427,    338,    188,    150,,,    23,    756,    390,    366
  25-29岁,    2 069 182,    1 269 412,    799 770,    224 637,    152 646,    71 991,    1 832 138,    1 110 531,    721 607,    2 981,    1 476,    1 505,,,    24,    1 259,    639,    620
    25,    483 712,    289 303,    194 409,    102 563,    67 885,    34 678,    378 966,    220 326,    158 640,    495,    274,    221,,,  25-29岁,    9 426,    4 759,    4 667
    26,    505 840,    306 520,    199 320,    61 350,    41 992,    19 358,    441 660,    263 104,    178 556,    633,    313,    320,,,    25,    1 688,    818,    870
    27,    549 127,    341 257,    207 870,    38 782,    27 021,    11 761,    506 871,    312 485,194386,    832,    403,    429,,,    26,    2 197,    1 111,    1 086
    28,    316 469,    200 187,    116 282,    15 086,    10 861,    4 225,    299 065,    188 135,    110 930,    595,    287,    308,,,    27,    2 642,    1 348,    1 294
    29,    214 034,    132 145,    81 889,    6 856,    4 887,    1 969,    205 576,    126 481,    79 095,    426,    199,    227,,,    28,    1 723,    904,    819
  30-34岁,    1 619 895,    1 080 108,    539 787,    20 503,    15 383,    5 120,    1 586 669,    1 058 206,    528 463,    4 521,    2 374,    2 147,,,    29,    1 176,    578,    598
    30,    265 662,    167 894,    97 768,    5 478,    3 947,    1 531,    257 992,    162 900,    95 092,    636,    294,    342,,,  30-34岁,    8 202,    4 145,    4 057
    31,    267 259,    172 584,    94 675,    4 338,    3 207,    1 131,    260 734,    168 284,    92 450,    712,    350,    362,,,    30,    1 556,    753,    803
    32,    369 090,    246 241,    122 849,    4 121,    3 111,    1 010,    362 165,    241 688,    120 477,    958,    514,    444,,,    31,    1 475,    743,    732
    33,    369 457,    251 998,    117 459,    3 508,    2 724,    784,    363 149,    247 800,    11 5 349,    1 081,    574,    507,,,    32,    1 846,    928,    918
    34,    348 427,    241 391,    107 036,    3 058,    2 394,    664,    342 629,    237 534,    105 095,    1 134,    642,    492,,,    33,    1 719,    900,    819
  35-39岁,    1 496 473,    1 083 562,    412 911,    11 472,    9 538,    1 934,    1 470 589,    1 065 983,    404 606,    7 379,    4 312,    3 067,,,    34,    1 606,    821,    785
    35,    367 404,    261 058,    106 346,    2 934,    2 388,    546,    361 346,    256 970,    104 376,    1 378,    812,    566,,,  35-39岁,    7 033,    3 729,    3 304
    36,    320 077,    228 959,    91 118,    2 575,    2 130,    445,    314 575,    225 268,    89 307,    1 399,    754,    645,,,    35,    1 746,    888,    858
    37,    283 758,    205 615,    78 143,    2 216,    1 846,    370,    278 721,    202 153,    76 568,    1 424,    875,    549,,,    36,    1 528,    807,    721
    38,    276 468,    203 404,    73 064,    2 061,    1 729,    332,    271 599,    200 103,    71 496,    1 523,    884,    639,,,    37,    1 397,    741,    656
    39,    248 766,    184 526,    64 240,    1 686,    1 445,    241,    244 348,    181 489,    62 859,    1 655,    987,    668,,,    38,    1 285,    688,    597
  40-44岁,    1 262 451,    970 161,    292 290,    8 764,    7 673,    1 091,    1 234 896,    950 770,    284 126,    12 860,    8 087,    4 773,,,    39,    1 077,    605,    472
    40,    286 925,    217 661,    69 264,    1 949,    1 685,    264,    281 384,    213 781,    67 603,    2 238,    1 401,    837,,,  40-44岁,    5 931,    3 631,    2 300
    41,    251 517,    192 932,    58 585,    1 715,    1 489,    226,    246 414,    189 346,    57 068,    2 256,    1 423,    833,,,    40,    1 354,    794,    560
    42,    246 572,    190 157,    56 415,    1 657,    1 452,    205,    241 169,    186 376,    54 793,  2 535,    1 607,    928,,,    41,    1 132,    674,    458
    43,    245 583,    189 688,    55 895,    1 719,    1 499,    220,    239 969,    185 743,    54 226,    2 767,    1 748,    1 019,,,    42,    1 211,    722,    489
    44,    231 854,    179 723,    52 13 1,    1 724,    1 548,    176,    225 960,    175 524,    50 436,    3 064,    1 908,    1156,,,    43,    1 128,    698,    430
  45-49岁,    1 082 306,    869 716,    212 590,    8 592,    7 891,    701,    1 048 274,    844 914,    203 360,    20 123,    13171,    6 952,,,    44,    1 106,    743,    363
    45,    226 11 1,    177 842,    48 269,    1 754,    1 591,    163,    219 804,    173 356,    46 448,    3 409,    2 145,    1 264,,,  45-49岁,    5 317,    3 740,    1 577
    46,      222 168,    177 003,    45 165,    1 710,    1 554,    156,    215 764,    172 376,    43 388,    3 642,    2 326,    1 316,,,    45,    1 144,    750,    394
