,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
    28,    895 095,    650 000,    245 095,    55 336,    47 371,    7 965,    833 371,    598 126,    235 245,    1 906,    1 350,    556,,,    28,    4 482,    3 153,    1 329
    29,    627 267,    450 147,    177 120,    31 408,    28 091,    3 317,    590 949,    418 544,    172 405,    1 439,    977,    462,,,    29,    3 471,    2 535,    936
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续13),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续29)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  30-34岁,    4 459 145,    3 222 998,    1 236 147,    144 258,    136 841,    7 417,    4 275 687,    3 057 045,    1 218 642,    15 055,    10 398,    4 657,,,  30-34岁,    24 145,    18 714,    5 431
    30,    802 313,    578 442,    223 871,    32 403,    29 868,    2 535,    763 254,    543 734,    219 520,    2 130,    1 472,    658,,,    30,    4 526,    3 368,    1 158
    31,    783 307,    568 936,    214 371,    28 418,    26 758,    1 660,    748 130,    537 112,    211 018,    2 304,    1 640,    664,,,    31,    4 455,    3 426,    1 029
    32,    1 028 073,    746 935,    281 138,    32 794,    31 326,    1 468,    986 253,    708 827,    277 426,    3 438,    2 418,    1 020,,,    32,    5 588,    4 364,    1 224
    33,    962 688,    693 529,    269 159,    27 174,    26 205,    969,    927 147,    661 114,    266 033,    3 492,    2 381,    1 111,,,    33,    4 875,    3 829,    1 046
    34,    882 764,    635 156,    247 608,    23 469,    22 684,    785,    850 903,    606 258,    244 645,    3 691,    2 487,    1 204,,,    34,    4 701,    3 727,    974
  35-39岁,    4 154 377,    2 995 314,    1 159 063,    94 750,    92 527,    2 223,    4 011 129,    2 867 660,    1 143 469,    25 493,    16 444,    9 049,,,  35-39岁,    23 005,    18 683,    4 322
    35,    977 068,    704 509,    272 559,    24 609,    23 978,    631,    942 728,    673 323,    269 405,    4 508,    3 020,    1 488,,,    35,    5 223,    4 188,    1 035
    36,    890 336,    640 410,    249 926,    21 085,    20 584,    501,    859 646,    612 810,    246 836,    4 729,    3 081,    1 648,,,    36,    4 876,    3 935,    941
    37,    825 431,    596 273,    229 158,    18 735,    18 297,    438,    796 959,    570 996,    225 963,    5 166,    3 325,    1 841,,,    37,    4 571,    3 655,    916
    38,    802 670,    578 653,    224 017,    17 062,    16 675,    387,    775 352,    554 638,    220 714,    5 723,    3 641,    2 082,,,    38,    4 533,    3 699,    834
    39,    658 872,    475 469,    183 403,    13 259,    12 993,    266,    636 444,    455 893,    180 551,    5 367,    3 377,    1 990,,,    39,    3 802,    3 206,    596
  40-44岁,    2 610 938,    1 937 210,    673 728,    53 624,    52 521,    1 103,    2 507 669,    1 849 999,    657 670,    32 485,    19 821,    12 664,,,  40-44岁,    17 160,    14 869,    2 291
    40,    674 835,    495 982,    178 853,    13 921,    13 648,    273,    650 025,    474 625,    175 400,    6 664,    4 129,    2 535,,,    40,    4 225,    3 580,    645
    41,    563 125,    412 431,    150 694,    11 400,    11 176,    224,    541 748,    394 276,    147 472,    6 431,    3 910,    2 521,,,    41,    3 546,    3 069,    477
    42,    515 182,    379 829,    135 353,    10 578,    10 312,    266,    494 630,    362 610,    132 020,    6 582,    3 966,    2 616,,,    42,    3 392,    2 941,    451
    43,    461 988,    347 617,    114 371,    9 358,    9 146,    212,    442 919,    331 652,    11 1 267,    6 506,    4 029,    2 477,,,    43,    3 205,    2 790,    415
    44,    395 808,    301 351,    94 457,    8 367,    8 239,    128,    378 347,    286 836,    91 511,    6 302,    3 787,    2 515,,,    44,    2 792,    2 489,    303
  45-49岁,    1 399 317,    1 117 119,    282 198,    32 646,    32 135,    511,    1 322 819,    1 053 511,    269 308,    32 143,    20 782,    11 361,,,  45-49岁,    11709,    10 691,    1 018
    45,    347 100,    269 982,    77 118,    7 651,    7 543,    108,    330 279,    256 001,    74 278,    6 530,    4 070,    2 460,,,    45,    2 640,    2 368,    272
    46,    307 173,    242 856,    64 317,    7 024,    6 908,    116,    291 317,    229 572,    61 745,    6 291,    4 072,    2 219,,,    46,    2 541,    2 304,    237
    47,    262 871,    211 429,    51 442,    6 262,    6 174,    88,    248 172,    199 238,    48 934,    6 216,    3 987,    2 229,,,    47,    2 221,    2 030,    191
    48,    250 930,    203 581,    47 349,    6 007,    5 908,    99,    236 169,    191 284,    44 885,    6 547,    4 352,    2 195,,,    48,    2 207,    2 037,    170
    49,    231 243,    189 271,    41 972,    5 702,    5 602,    100,    216 882,    177 416,    39 466,    6 559,    4 301,    2 258,,,    49,    2 100,    1 952,    148
  50-54岁,    849 990,    725 241,    124 749,    21 867,    21 407,    460,    784 408,    670 215,    114 193,    34 483,    24 724,    9 759,,,  50-54岁,    9 232,    8 895,    337
    50,    201 947,    169 907,    32 040,    5 115,    5 040,    75,    188 377,    158 502,    29 875,    6 488,    4 492,    1 996,,,    50,    1 967,    1 873,    94
    51,    182 094,    155 034,    27 060,    4 770,    4 687,    83,    168 923,    143 860,    25 063,    6 539,    4 683,    1 856,,,    51,    1 862,    1 804,    58
    52,    173 173,    148 168,    25 005,    4 650,    4 500,    150,    159 398,    136 598,    22 800,    7 194,    5 213,    1 981,,,    52,    1 931,    1 857,    74
    53,    151 883,    130 815,    21 068,    3 911,    3 790,    121,    139 249,    120 259,    18 990,    6 983,    5 076,    1 907,,,    53,    1 740,    1 690,    50
    54,    140 893,    121 317,    19 576,    3 421,    3 390,    31,    128 461,    110 996,    17 465,    7 279,    5 260,    2 019,,,    54,    1 732,    1 671,    61
  55-59岁,    467 509,    401 484,    66 025,    10 702,    10 426,    276,    416 015,    359 359,    56 656,    34 142,    25 226,    8 916,,,  55-59岁,    6 650,    6 473,    177
    55,    119 936,    103 091,    16 845,    2 839,    2 795,    44,    108 308,    93 432,    14 876,    7 213,    5 330,    1 883,,,    55,    1 576,    1 534,    42
    56,    106 451,    91 747,    14 704,    2 604,    2 544,    60,    95 183,    82 383,    12 800,    7 087,    5 289,    1 798,,,    56,    1 577,    1 531,    46
    57,    96 259,    82 706,    13 553,    2 140,    2 071,    69,    85 704,    74 062,    11 642,    7 067,    5 253,    1 814,,,    57,    1 348,    1 320,    28
    58,    78 910,    67 237,    11 673,    1 707,    1 646,    61,    69 304,    59 585,    9 719,    6 735,    4 872,    1 863,,,    58,    1 164,    1 134,    30
    59,    65 953,    56 703,    9 250,    1 412,    1 370,    42,    57 516,    49 897,    7 619,    6 040,    4 482,    1 558,,,    59,    985,    954,    31
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,        (第二口径)(续30)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  60-64岁,    210 426,    179 095,    31 331,    4 086,    3 808,    278,    176 901,    153 259,    23 642,    26 449,    19 161,    7 288,,,  60-64岁,    2 990,    2 867,    123
    60,    56 843,    48 943,    7 900,    1 185,    1 137,    48,    48 901,    42 586,    6 315,    5 948,    4 441,    1 507,,,    60,    809,    779,    30
    61,    46 720,    39 608,    7 112,    870,    829,    41,    39 671,    34 118,    5 553,    5 475,    3 979,    1 496,,,    61,    704,    682,    22
    62,    42 762,    36 357,    6 405,    909,    803,    106,    35 804,    31 048,    4 756,    5 467,    3 953,    1 514,,,    62,    582,    553,    29
    63,    34 058,    28 770,    5 288,    618,    559,    59,    28 115,    24 299,    3 816,    4 861,    3 470,    1 391,,,    63,    464,    442,    22
    64,    30 043,    25 417,    4 626,    504,    480,    24,    24 410,    21 208,    3 202,    4 698,    3 318,    1 380,,,    64,    431,    411,    20
  65岁及以上,    139 214,    119 582,    19 632,    2 868,    2 369,    499,    104 231,    93 353,    10 878,    30 306,    22 108,    8 198,,,  65岁及以上,    1 809,    1 752,    57
不便分类的其他劳动者,    44 569,    27 484,    17 085,    22 192,    13 910,    8 282,    21 712,    13115,    8 597,    343,    228,    115,,,不便分类的其他劳动者,    322,    231,    91
  15-19岁,    9 672,    5 363,    4 309,    9 504,    5 295,    4 209,    165,    66,    99,-,-,-,,,  15-19岁,    3,    2,    1
    15,    429,    234,    195,    429,    234,    195,-,-,-,-,-,-,,,    15,-,-,-
    16,    1 092,    585,    507,    1 090,    584,    506,    2,    1,    1,-,-,-,,,    16,-,-,-
    17,    2 01 3,    1 108,    905,    2 005,    1 103,    902,    8,    5,    3,-,-,-,,,    17,-,-,-
    18,    2 758,    1 532,    1 226,    2 716,    1 511,    1 205,    41,    20,    21,-,-,-,,,    18,    1,    1,-
    19,    3 380,    1 904,    1 476,    3 264,    1 863,    1 401,    114,    40,    74,-,-,-,,,    19,    2,    1,    1
  20-24岁,    15 356,    9 203,    6 153,    11 361,    7 534,    3 827,    3 951,    1 653,    2 298,    7,    2,    5,,,  20-24岁,    37,    14,    23
    20,    3 565,    2 024,    1 541,    3 280,    1 923,    1 357,    281,    99,    182,-,-,-,,,    20,    4,    2,    2
    21,    3 823,    2 354,    1 469,    3 248,    2 145,    1 103,    569,    208,    361,    3,-,    3,,,    21,    3,    1,    2
    22,    3 206,    2 010,    1 196,    2 353,    1 645,    708,    845,    362,    483,    1,-,    1,,,    22,7,    3,    4
    23,    2 496,    1 515,    981,    1 504,    1 092,    412,    989,    423,    566,-,-,-,,,    23,    3,-,    3
    24,    2 266,    1 300,    966,    976,    729,    247,    1 267,    561,    706,    3,     2,    1,,,    24,    20,    8,    12
  25-29岁,    5 868,    2 945,    2 923,    902,    689,    213,    4 885,    2 213,    2 672,    17,    7,    10,,,  25-29岁,    64,    36,    28
    25,    1 757,    897,    860,    434,    327,    107,    1 304,    562,    742,    1,    1,-,,,    25,    18,7,    11
    26,    1 438,    730,    708,    242,    185,    57,    1 184,    540,    644,    5,   2,    3,,,    26,    7,    3,    4
    27,    1 356,    660,    696,    151,    110,    41,    1 185,    542,    643,    4,    1,    3,,,    27,    16,    7,    9
    28,    765,    376,    389,    50,    44,    6,    698,    319,    379,    3,    2,    1,,,    28,    14,    11,    3
    29,    552,    282,    270,    25,    23,    2,    514,    250,    264,    4,    1,    3,,,    29,    9,    8,    1
  30-34岁,    3 394,    1 831,    1 563,    146,    129,    17,    3 165,    1 657,    1 508,    27,    9,    18,,,  30-34岁,    56,    36,    20
    30,    650,    339,    311,    36,    30,    6,    601,    302,    299,    3,-,    3,,,    30,    10,    7,    3
    31,    650,        341,    309,    28,    24,    4,    609,    311,    298,    3,    1,    2,,,    31,    10,    5,    5
    32,    761,    419,    342,    25,    21,    4,    720,    386,    334,    2,    1,    1,,,    32,    14,    11,    3
    33,    679,    370,    309,    33,    31,    2,    631,    331,    300,    7,    3,    4,,,    33,    8,    5,    3
    34,    654,    362,    292,    24,    23,    1,    604,    327,    277,    12,    4,    8,,,    34,    14,    8,    6
  35-39岁,    2 610,    1 478,    1 132,    101,    93,    8,    2 445,    1 339,    1 106,    23,    12,    11,,,  35-39岁,    41,    34,    7
    35,    661,    362,    299,    29,    26,    3,    616,    326,    290,    5,    1,    4,,,    35,    11,    9,    2
    36,    565,    321,    244,    23,21,    2,    528,    289,    239,    5,    4,    1,,,    36,    9,     7,    2
    37,    498,    275,    223,    9,    9,    -,    475,    257,    218,    5,    1,    4,,,    37,    9,    8,    1
    38,    507,    309,    198,    18,    17,    1,    480,    286,    194,    4,    2,    2,,,    38,    5,    4,    1
    39,    379,    211,    168,    22,    20,    2,    346,    181,    165,    4,    4,-,,,    39,    7,    6,    1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
,,,,,,,,,,,,,,,    (第二口径)(续31)单位：人,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,,,,
    年龄别,,,,,,,,,,,,,,,    职业和,    离婚,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    年龄别,,,
  40-44岁,    1 776,    1 198,    578,    62,    59,    3,    1 644,    1 098,    546,    39,    17,    22,,,,    小计,    男,    女
    40,    467,    297,    170,    23,    22,    1,    425,    261,    164,    9,    5,    4,,,  40-44岁,    31,    24,    7
    41,    388,    253,    135,    13,    12,    1,    355,    231,    124,    12,    4,    8,,,    40,    10,    9,    1
    42,    324,    230,    94,    7,    7,    -,    305,    217,    88,    8,    2,    6,,,    41,    8,    6,    2
    43,    304,    210,    94,    11,    10,    1,    282,    194,    88,    5,    2,    3,,,    42,    4,    4,    -
    44,    293,    208,    85,    8,    8,    -,    277,    195,    82,    5,    4,    1,,,    43,    6,    4,    2
  45-49岁,    1 195,    968,    227,    45,    45,-,    1 088,    878,    210,    36,    21,    15,,,    44,    3,    1,    2
    45,    257,    203,    54,    6,    6,    -,    238,    188,    50,    8,    4,    4,,,  45-49岁,    26,    24,    2
    46,    261,    206,    55,    10,    10,    -,    236,    186,    50,    8,    4,    4,,,    45,    5,    5,    -
    47,    198,    165,    33,    11,    11,    -,    179,    147,    32,    3,    2,    1,,,    46,    7,    6,    1
    48,    239,    190,    49,    12,    12,    -,    212,    167,    45,    10,    7,    3,,,    47,    5,    5,    -
    49,    240,    204,    36,    6,    6,    -,    223,    190,    33,    7,    4,,,,    48,    5,    4,    1
  50-54岁,    1 453,    1 329,    124,    32,    29,    3,    1 342,    1 238,    104,    47,    33,    14,,,    49,    4,    4,     -
    50,    254,    223,    31,    7,    7,   -,    230,    203,    27,    4,    2,    2,,,  50-54岁,    32,    29,     3
    51,    253,    230,    23,    8,    6,   2,    230,    210,    20,    11,    11,    -,,,    50,    13,    11,     2
    52,    295,    266,    29,    5,    5,   -,    278,    254,    24,    9,    4,    5,,,    51,    4,    3,    1
    53,    279,    260,    19,    6,    6,   -,    262,    245,    17,    9,    7,    2,,,    52,    3,    3,-
    54,    372,    350,    22,    6,    5,    1,    342,    326,    16,    14,    9,    5,,,    53,    2,    2,-
  55-59岁,    2 159,    2 107,    52,    25,    24,    1,    2 069,    2 028,    41,    52,    42,    10,,,    54,    10,    10,-
    55,    422,    407,    15,    8,    8,    -,    399,    386,    13,    11,    9,    2,,,  55-59岁,    13,    13,-
    56,    500,    488,    12,    10,    9,    1,    476,    467,    9,    11,    9,    2,,,    55,    4,    4,-
    57,    432,    419,    13,    2,    2,    -,    420,    411,    9,    9,    5,    4,,,    56,    3,    3,-
    58,    425,    417,    8,    1,    1,    -,    412,    406,    6,    11,    9,    2,,,    57,    1,    1,-
    59,    380,    376,    4,    4,    4,    -,    362,    358,    4,    10,    10,    -,,,    58,    1,    1,-
  60-64岁,    787,    775,    12,    7,    7,    -,    725,    716,    9,    43,    40,    3,,,    59,    4,    4,-
    60,    288,    285,    3,    1,    1,-,    272,    270,    2,    12,    11,    1,,,  60-64岁,    12,    12,-
    61,    188,    186,    2,    1,    1,-,    174,    172,    2,    9,    9,-,,,    60,    3,    3,-
    62,    162,    158,    4,    1,    1,-,    150,    146,    4,    9,    9,-,,,    61,    4,    4,-
    63,    85,    84,    1,    1,    1,-,    74,    73,    1,    8,    8,-,,,    62,    2,    2,-
    64,    64,    62,2,    3,    3,-,    55,    55,-,    5,    3,    2,,,    63,    2,    2,-
  65岁及以上,    299,    287,    12,    7,    6,    1,    233,    229,    4,    52,    45,    7,,,    64,    1,    1,-
,,,,,,,,,,,,,,,  65岁及以上,    7,    7,-
