,,,,,,,,,,,,,,,,,,
表7-1省、自治区、直辖市各种文化程度人口分性别的婚姻状况,,,,,,,,,,,,,,,    婚姻状况(续08)单位：人,,,
    单位：人,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    离婚,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    和地区别,,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
辽宁省,    12 267 126,    6 714 073,    5 553 053,    3 486 540,    1 982 934,  1 503 606,    8 586 638,    4 626 104,    3 960 534,    94 754,    52 449,    42 305,,,内蒙古自治区,    25 087,    16 304,    8 783
吉林省,    6 200 432,    3 504 302,    2 696 130,    1 996 695,    1 122 142,    874 553,    4 092 844,    2 320 261,    1 772 583,    59 536,    32 526,    27 010,,,辽宁省,    99 194,    52 586,    46 608
黑龙江省,    9 488 259,    5 415 144,    4 073 115,    3 124 615,    1 779 765,    1 344 850,    6 195 121,    3 540 131,    2 654 990,    91 061,    52 356,    38 705,,,吉林省,    51 357,    29 373,    21 984
上海市,    3 948 970,    2 205 988,    1 742 982,    828 065,    518 921,    309 144,    3 019 497,    1 637 892,    1 381 605,    61 303,    27 931,    33 372,,,黑龙江省,    77 462,    42 892,    34 570
江苏省,    16 587 710,    10 100 038,    6 487 672,    5 749 612,    3 453 927,  2 295 685,    10 659 483,    6 522 360,    4 137 123,    131 063,    91 084,    39 979,,,上海市,    40 105,    21 244,    18 861
浙江省,    8 906 608,    5 292 988,    3 613 620,    3 772 419,    2 291 941,  1 480 478,    5 033 962,    2 937 384,    2 096 578,    63 717,    38 302,    25 415,,,江苏省,    47 552,    32 667,    14 885
安徽省,    10 467 729,    7 133 916,    3 333 813,    4 194 008,    2 855 891,  1 338 117,    6 141 072,    4 174 583,    1 966 489,    96 476,    75 362,    21 1 14,,,浙江省,    36 510,    25 361,    11 149
福建省,    4 624 234,    3 165 624,    1 458 610,    1 826 590,    1 238 695,    587 895,    2 730 291,    1 882 272,    848 019,    49 931,    31 402,    18 529,,,安徽省,    36 173,    28 080,    8 093
江西省,    6 330 597,    4 237 463,    2 093 134,    2 558 845,    1 739 416,    819 429,    3 690 579,    2 441 293,    1 249 286,    54 678,    37 197,    17 481,,,福建省,    17 422,    13 255,    4 167
山东省,    19 954 720,    12 410 218,    7 544 502,    7 485 476,    4 459 550,  3 025 926,    12 291 292,    7 816 839,    4 474 453,    128 325,    96 764,    31 561,,,江西省,    26 495,    19 557,    6 938
