,,,,,,,,,,,,,,,,,,,,,,,,
表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数,,,,,,,,,,,,,,表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数(续03),,,,,,,,,,
        单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
    53,    259 188,    112 466,    157 023,    208 668,    254 202,    333 160,    389 550,    402 184,    396 024,    387 674,    341 529,,,  52,    221 839,    147 595,    90 360,    53 785,    31 105,    16 301,    9 756,    6 420,    3 826,    8 909
    54,    257 044,    108 708,    149 486,    195 384,    260 684,    322 771,    360 941,    380 519,    404 234,    388 768,    353 006,,,  53,    230 816,    148 850,    94 842,    58 139,    29 764,    15 697,    10 120,    5 975,    4 118,    8 632
  55-59岁,    1 209 524,    514 085,    705 284,    918 096,    1 135 250,    1 383 292,    1 576 126,    1 697 878,    1 749 361,    1 688 174,    1 525 092,,,  54,    231 107,    158 187,    96 919,    50 656,    32 597,    19 240,    9 930,    6 515,    3 716,    8 032
    55,    253 586,    103 273,    139 337,    192 722,    243 156,    297 771,    331 528,    367 453,    380 856,    382 216,    344 829,,,55-59岁,    1 064 426,    752 353,    490 161,    288 821,    152 432,    78 793,    46 955,    28 081,    18 099,    35 459
    56,    245 907,    100 418,    145 649,    192 470,    238 968,    288 013,    339 493,    367 501,    392 047,    359 773,    325 072,,,  55,    220 148,    146 449,    94 147,    60 043,    35 477,    16 302,    10 047,    5 477,    3 605,    7 747
    57,    241 681,    106 001,    145 730,    188 515,    234 376,    290 487,    335 441,    355 333,    342 166,    348 232,    331 690,,,  56,    235 087,    163 490,    103 648,    63 209,    31 262,    17 478,    9 200,    5 813,    4 014,    7 788
    58,    229 415,    99 060,    136 010,    172 844,    216 151,    255 696,    287 878,    305 310,    328 348,    319 632,    268 056,,,  57,    219 488,    159 117,    108 928,    57 665,    32 190,    15 797,    9 380,    6 409,    3 950,    7 318
    59,    238 935,    105 333,    138 558,    171 545,    202 599,    251 325,    281 786,    302 281,    305 944,    278 321,    255 445,,,  58,    197 661,    152 157,    89 529,    55 650,    27 412,    14 603,    9 351,    5 480,    3 262,    6 650
  60-64岁,    1 214 250,    497 528,    634 557,    765 299,    878 352,    1 009 504,    1 095 364,    1 106 431,    1 124 492,    1 124 017,    1 048 511,,,  59,    192 042,    131 140,    93 909,    52 254,    26 091,    14 613,    8 977,    4 902,    3 268,    5 956
    60,    259 602,    105 810,    137 610,    169 487,    209 442,    252 563,    276 209,    287 577,    272 368,    265 497,    263 753,,,60-64岁,    754 397,    558 923,    352 676,    211 621,    126 779,    71 396,    39 582,    23 407,    14 291,    25 071
    61,    225 825,    99 961,    127 768,    158 198,    186 464,    221 856,    240 479,    230 217,    231 196,    256 503,    229 478,,,  60,    189 044,    146 539,    78 951,    43 719,    30 310,    17 689,    9 095,    5 715,    3 773,    6 193
    62,    252 460,    104 105,    134 786,    163 052,    187 550,    215 264,    223 736,    228 363,    250 633,    221 943,    205 599,,,  61,    160 158,    102 195,    73 273,    51 395,    28 510,    14 661,    8 869,    5 517,    3 210,    5 386
    63,    237 951,    95 283,    120 033,    141 477,    156 842,    169 569,    193 517,    192 874,    179 316,    203 382,    186 751,,,  62,    148 057,    116 922,    79 617,    44 216,    23 577,    13 652,    8 682,    5 005,    2 707,    5163
    64,    238 412,    92 369,    114 360,    133 085,    138 054,    150 252,    161 423,    167 400,    190 979,    176 692,    162 930,,,  63,    131 739,    99 308,    62 038,    34 047,    22 891,    14 262,    7 627,    3 826,    2 392,    4 357
  65-69岁,    1 122 564,    375 805,    441 285,    489 091,    518 707,    582 977,    624 771,    644 205,    652 301,    657 768,    618 049,,,  64,    125 399,    93 959,    58 797,    38 244,    21 491,    11 132,    5 309,    3 344,    2 209,    3 972
    65,    255 426,    93 599,    114 957,    119 430,    120 885,    148 585,    159 972,    171 175,    160 048,    167 873,    171 419,,,65-69岁,    453 957,    338 508,    210 398,    119 656,    66 829,    36 253,    21 989,    13 337,    8 020,    13 152
    66,    239 457,    84 095,    92 016,    103 556,    121 097,    133 340,    146 650,    137 985,    146 799,    161 990,    148 407,,,  65,    125 608,    89 727,    57 796,    32 100,    17 048,    7 848,    5 310,    3 557,    2 174,    3 514
    67,    212 352,    67 571,    80 369,    95 220,    99 825,    116 205,    111 002,    118 001,    135 072,    131 778,    110 125,,,  66,    101 806,    79 586,    47 621,    25 681,    13 993,    8 576,    5 041,    2 938,    1 834,    3 172
    68,    212 968,    66 101,    81 487,    88 814,    97 697,    97 445,    106 721,    120 184,    122 725,    102 259,    94 785,,,  67,    79 923,    60 276,    38 875,    22 171,    12 763,     6 876,    4 145,    2 562,    1 616,    2 533
    69,    202 361,    64 439,    72 456,    82 071,    79 203,    87 402,    100 426,    96 860,    87 657,    93 868,    93 313,,,  68,    76 530,    60 803,    35 547,    21352,    11636,    6 805,    3 852,    2 372,    1 298,    2 190
,,,,,,,,,,,,,,  69,    70 090,    48 116,    30 559,    18 352,    11 389,    6 148,    3 641,    1 908,    1 098,    1 743
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
        单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,      丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
  70-74岁,    804 708,  217 840,    240 271,    246 376,    255 622,    283 566,    293 771,    294 345,    308 941,    302 657,    275 996,,,70-74岁,    198 029,    150 914,    97 565,    58 088,    32 822,    17 818,    9 524,    5 466,    3 147,    5 254
    70,    201 965,    57 748,    67 459,    66 720,    71 305,    82 216,    81 595,    79 076,    87 015,    87 368,    83 341,,,  70,    55 01 1,    42 214,    30 324,    18 722,    10 038,    5 844,    2 783,    1 600,    999,    1 796
    71,    163 646,    49 088,    50 780,    51 747,    54 353,    61 760,    63 466,    66 792,    67 618,    68 527,    58 299,,,  71,    45 376,    36 955,    23 438,    12 641,    7 664,    3 709,    2 1 15,    1 280,    789,    1 250
    72,    160 671,    40 406,    42 805,    48 817,    50 667,    52 309,    58 038,    57 346,    61 608,    56 238,    52 691,,,  72,    40 562,    29 254,    15 821,    10 038,    5 991,    3 288,    1 945,    1 122,    575,    887
