,,,,,,,,,,,,,,,,,,
  表7-4省、自治区、直辖市的县各科文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
新疆维吾尔自治区,    2 765 170,    1 431 664,    1 333 506,    660 725,    431 189,    229 536,    1 934 881,    921 325,    1 013 556,    61 293,    24 146,    37 147,,,宁夏回族自治区,    2 109,    1 635,    474
,,,,,,,,,,,,,,,新疆维吾尔自治区,    108 271,    55 004,    53 267
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-4省、自治区、直辖市的县各种文化程度人口分性别的婚姻状况(第二口径)(续03),,,,,,,,,,,,,,,表7—4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续11)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,    合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
初中,  163 621 690,  104 019 554,    59 602 136,    62 424 255,  39 445 532,    22 978 723,    99 365 031,    63 122 311,    36 242 720,    1 285 704,    1 017 300,    268 404,,,初中,    546 700,    434 411,    112 289
北京市,    952 031,    51 1 046,    440 985,    282 731,    1 50 208,    132 523,    661 418,    355 601,    305 817,    4 304,    2 824,    1 480,,,北京市,    3 578,    2 413,    1 165
天津市,    653 661,    376 029,    277 632,    219 645,    118 429,    101 216,    428 504,    253 318,    175 186,    3 917,    3 054,    863,,,天津市,    1 595,    1 228,    367
河北省,    10 913 777,    6 565 529,    4 348 248,    3 622 369,    2 087 404,    1 534 965,    7 182 350,    4 393 302,    2 789 048,    75 037,    57 139,    17 898,,,河北省,    34 021,    27 684,    6 337
山西省,    5 218 328,    3 027 597,    2 190 731,    1 819 577,    1 080 960,    738 617,    3 336 117,    1 897 980,    1 438 137,    36 129,    26 867,    9 262,,,山西省,    26 505,    21 790,    4 715
内蒙古自治区,    2 692 756,    1 723 450,    969 306,    1 061 431,    647 406,    414 025,    1 601 389,    1 051 682,    549 707,    20 414,    16 578,    3 836,,,内蒙古自治区,    9 522,    7 784,    1 738
辽宁省,    5 116 713,    2 942 440,    2 174 273,    1 728 349,    954 433,    773 916,    3 333 880,    1 948 125,    1 385 755,    33 642,    25 394,    8 248,,,辽宁省,    20 842,    14 488,    6 354
吉林省,    3 166 419,    1 896 437,    1 269 982,    1 086 910,    615 953,    470 957,    2 038 437,    1 250 634,    787 803,    24 239,    17 504,    6 735,,,吉林省,    16 833,    12 346,    4 487
