,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
河南省,    1 183 240,    631 772,    551 468,    152 325,    99 952,    52 373,    966 975,    499 099,    467 876,    54 921,    26 913,    28 008,,,山东省,    14 554,    10 653,    3 901
湖北省,    1 846 479,    940 754,    905 725,    275 190,    140 884,    134 306,    1 465 190,    741 842,    723 348,    93 337,    49 092,    44 245,,,河南省,    9 019,    5 808,    3 211
湖南省,    1 488 018,    800 536,    687 482,    201 705,    124 958,    76 747,    1 181 671,    624 018,    557 653,    89 626,    40 879,    48 747,,,湖北省,    12 762,    8 936,    3 826
广东省,    3 522 593,    1711132,    1 811 461,    780 552,    386 938,    393 614,    2 550 816,    1 242 776,    1 308 040,    172 382,    67 810,    104 572,,,湖南省,    15 016,    10 681,    4 335
广西壮族自治区,    563 655,    292 370,    271 285,    99 890,    57 674,    42 216,    422 528,    219 160,    203 368,    35 629,    12 308,    23 321,,,广东省,    18 843,    13 608,    5 235
海南省,    126 126,    61 549,    64 577,    33 931,    19 346,    14 585,    87 061,    39 860,    47 201,    4 437,    1 931,    2 506,,,广西壮族自治区,    5 608,    3 228,    2 380
四川省,    3 928 200,    2 158 222,    1 769 978,    811 514,    478 864,    332 650,    2 915 058,    1 569 272,    1 345 786,    165 601,    85 825,    79 776,,,海南省,    697,    412,    285
贵州省,    815 490,    493 653,    321 837,    228 895,    147 708,    81 187,    552 428,    328 111,    224 317,    25 455,    11 898,    13 557,,,四川省,    36 027,    24 261,    11766
云南省,    504 982,    288 193,    216 789,    101 259,    66 616,    34 643,    377 348,    209 021,    168 327,    19 065,    7 910,    11 155,,,贵州省,    8 712,    5 936,    2 776
西藏自治区,    33 099,    20 515,    12 584,    10 224,    6 878,    3 346,    21 630,    13 090,    8 540,    708,    310,    398,,,云南省,    7 310,    4 646,    2 664
