表7——6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  20—24岁,    370 364,    125 656,    244 708,,,  20—24岁,    166 557,    98 161,    68 396,    201 708,    26 694,    175 014,    621,    179,    442,    1 478,    622,    856
    20,    68 439,    25 561,    42 878,,,    20,    47 255,    23 451,    23 804,    20 927,    2 038,    18 889,    81,    24,    57,    176,    48,    128
    21,    74 125,    26 548,    47 577,,,    21,    41 202,    22 828,    18 374,    32 627,    3 622,    29 005,    88,    22,    66,    208,    76,    132
    22,    72 382,    24 569,    47 813,,,    22,    31 395,    19 227,    12 168,    40 607,    5 197,    35 410,    111,    39,    72,    269,    106,    163
    23,    72 161,    23 343,    48 818,,,    23,    24 023,    16 255,    7 768,    47 639,    6 884,    40 755,    139,    39,    100,    360,    165,    195
    24,    83 257,    25 635,    57 622,,,    24,    22 682,    16 400,    6 282,    59 908,    8 953,    50 955,    202,    55,    147,    465,    227,    238
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,表7-6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续15),,,,,,,,,,,,
    婚姻状况(第二口径)(续02)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  25—29岁,    418 971,    114 020,    304 951,,,  25—29岁,    73 562,    57 972,    15 590,    340 443,    53 803,    286 640,    1 469,    391,    1 078,    3 497,    1 854,    1 643
    25,    83 882,    25 189,    58 693,,,    25,    19 261,    14 742,    4 519,    63 810,    10 106,    53 704,    226,    61,    165,    585,    280,    305
    26,    88 763,    25 609,    63 154,,,    26,    18 219,    14 216,    4 003,    69 554,    10 962,    58 592,    295,    67,    228,    695,    364,    331
    27,    103 851,    27 358,    76 493,,,    27,    17 308,    13 682,    3 626,    85 327,    13 121,    72 206,    364,    110,    254,    852,    445,    407
    28,    75 892,    18 820,    57 072,,,    28,    10 047,    8 188,    1 859,    64 856,    10 163,    54 693,    310,    80,    230,    679,    389,    290
    29,    66 583,    17 044,    49 539,,,    29,    8 727,    7 144,    1 583,    56 896,    9 451,    47 445,    274,    73,    201,    686,    376,    310
  30-34岁,    741 217,    185 598,    555 619,,,  30—34岁,    61 813,    54 175,    7 638,    667 923,    125 975,    541 948,    4 685,    1 227,    3 458,    6 796,    4 221,    2 575
    30,    98 751,    26 161,    72 590,,,    30,    11 274,    9 562,    1 712,    85 984,    15 902,    70 082,    433,    110,    323,    1 060,    587,    473
    31,    114 895,    30 361,    84 534,,,    31,    11 262,    9 734,    1 528,    101 830,    19 722,    82 108,    635,    170,    465,    1 168,    735,    433
    32,    167 888,    43 087,    124 801,,,    32,    14 227,    12 504,    1 723,    151 099,    29 294,    121 805,    1 008,    297,    71 1,    1 554,    992,    562
    33,    175 394,    42 361,    133 033,,,    33,    12 728,    11 341,    1 387,    160 091,    29 819,    130 272,    1 160,    300,    860,    1 415,    901,    514
    34,    184 289,    43 628,    140 661,,,    34,    12 322,    11 034,    1 288,    168 919,    31 238,    137 681,    1 449,    350,    1 099,    1 599,    1 006,    593
  35—39岁,    1 150 375,    280 300,    870 075,,,  35—39岁,    64 659,    59 326,    5 333,    1 061 818,    211 569,    850 249,    14 058,    3 287,    10 771,    9 840,    6 118,    3 722
    35,    218 466,    51 469,    166 997,,,    35,    13 607,    12 322,    1 285,    201 009,    37 498,    163 511,    1 998,    489,    1 509,    1 852,    1 160,    692
    36,    228 699,    54 169,    174 530,,,    36,    13 482,    12 347,    1 135,    211 028,    40 137,    170 891,    2 266,    540,    1 726,    1 923,    1 145,    778
