　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表2—1    全国各民族分性别、行业的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,        ,                  ,                      ,                  ,      ,                ,    ,,                    ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
民     族,合      计,,,一、农、林、牧、渔业,,,二、采掘业,,,三、制造业,,,四、电力、煤气及水的生产和供应业,,,五、建筑业,,,六、地质堪查业、水利管理业,,,七、交通运输、仓储及邮电通信业,,,八、批发和零售贸易、餐饮业,,,九、金融、保险业,,,十、房地产业,,,十一、社会服务业,,,十二、卫生、体育和社会福利业,,,十三、教育、文化艺术及广播电影电视业,,,十四、科学研究和综合技术服务业,,,十五、国家机关、政党机关和社会团体,,,十六、其他行业,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  合      计,66874889,36550882,30324007,43051661,22175507,20876154,697862,573387,124475,8333044,4532607,3800437,418822,292141,126681,1794657,1595308,199349,84500,63891,20609,1724636,1411870,312766,4474040,2252730,2221310,394752,210056,184696,154814,98278,56536,1438738,823340,615398,709875,316536,393339,1710824,864574,846250,149861,95588,54273,1572764,1136260,436504,164039,108809,55230
  乌孜别克族                  ,504,344,160,175,126,49,1,1,          ,47,32,15,6,4,2,5,3,2,1,1,          ,11,10,1,80,68,12,9,5,4,          ,          ,          ,21,15,6,16,7,9,59,22,37,          ,          ,          ,67,45,22,6,5,1
  俄罗斯族                    ,604,318,286,128,83,45,16,10,6,68,33,35,21,10,11,13,10,3,2,2,          ,53,34,19,93,41,52,16,6,10,3,2,1,46,24,22,20,4,16,51,17,34,8,5,3,52,25,27,14,12,2
  鄂温克族                    ,1273,709,564,730,427,303,9,7,2,51,28,23,8,5,3,14,12,2,4,3,1,29,23,6,78,31,47,17,9,8,1,1,          ,43,19,24,41,13,28,91,32,59,1,          ,1,150,96,54,6,3,3
  德昂族                      ,1031,513,518,977,487,490,          ,          ,          ,9,2,7,1,1,          ,          ,          ,          ,          ,          ,          ,4,4,          ,12,2,10,          ,          ,          ,          ,          ,          ,3,1,2,1,1,          ,11,5,6,          ,          ,          ,12,10,2,1,          ,1
  保安族                      ,940,485,455,792,382,410,          ,          ,          ,21,15,6,3,2,1,3,3,          ,          ,          ,          ,10,8,2,31,20,11,2,2,          ,          ,          ,          ,4,2,2,12,6,6,11,6,5,1,          ,1,49,39,10,1,          ,1
  裕固族                      ,774,391,383,590,290,300,10,6,4,14,9,5,6,2,4,10,6,4,3,3,          ,17,15,2,32,9,23,2,1,1,2,1,1,9,5,4,17,7,10,25,10,15,          ,          ,          ,37,27,10,          ,          ,          
  京族                        ,1105,581,524,554,291,263,16,14,2,59,31,28,14,9,5,18,15,3,1,1,          ,52,34,18,174,74,100,14,6,8,2,          ,2,26,9,17,27,8,19,52,22,30,1,          ,1,85,59,26,10,8,2
  塔塔尔族                    ,175,102,73,57,40,17,5,3,2,6,2,4,2,2,          ,2,1,1,          ,          ,          ,8,6,2,22,12,10,4,3,1,1,          ,1,4,3,1,12,6,6,32,11,21,          ,          ,          ,16,11,5,4,2,2
  独龙族                      ,2307,1198,1109,2165,1106,1059,2,2,          ,9,4,5,4,4,          ,3,3,          ,          ,          ,          ,9,8,1,34,11,23,1,1,          ,          ,          ,          ,6,5,1,12,8,4,29,18,11,          ,          ,          ,33,28,5,          ,          ,          
  鄂伦春族                    ,305,163,142,122,69,53,4,3,1,22,15,7,2,2,          ,4,1,3,1,1,          ,16,13,3,25,10,15,6,3,3,1,          ,1,7,4,3,12,3,9,22,6,16,1,          ,1,58,31,27,2,2,          
  赫哲族                      ,249,133,116,98,64,34,2,1,1,21,13,8,5,2,3,6,5,1,1,1,          ,17,7,10,22,8,14,2,          ,2,1,1,          ,14,9,5,15,3,12,14,3,11,          ,          ,          ,29,16,13,2,          ,2
  门巴族                      ,449,243,206,370,196,174,          ,          ,          ,3,2,1,1,1,          ,4,4,          ,          ,          ,          ,5,3,2,9,5,4,3,2,1,          ,          ,          ,2,          ,2,8,1,7,13,11,2,          ,          ,          ,31,18,13,          ,          ,          
  珞巴族                      ,125,60,65,109,51,58,1,1,          ,          ,          ,          ,1,1,          ,          ,          ,          ,          ,          ,          ,1,1,          ,1,          ,1,          ,          ,          ,          ,          ,          ,1,          ,1,4,1,3,2,1,1,          ,          ,          ,5,4,1,          ,          ,          
  基诺族                      ,1213,641,572,1005,535,470,2,2,          ,20,9,11,5,2,3,6,5,1,1,1,          ,15,11,4,46,11,35,6,6,          ,          ,          ,          ,27,6,21,9,2,7,40,26,14,1,          ,1,30,25,5,          ,          ,          
  其他未识别的民族            ,40432,21302,19130,36444,18688,17756,331,284,47,1009,569,440,56,34,22,193,168,25,9,7,2,232,209,23,697,301,396,51,34,17,4,1,3,161,101,60,139,69,70,630,471,159,7,4,3,446,341,105,23,21,2
  外国人加入中国籍,46,17,29,29,5,24,          ,          ,          ,4,4,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,3,3,          ,4,2,2,          ,          ,          ,          ,          ,          ,3,2,1,3,1,2,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表2—2    全国各民族分性别、职业的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,    ,        ,                  ,                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,
民     族,合      计,,,一、国家机关、党群组织、企业、事业单位负责人,,,二、专业技术人员,,,三、办事人员和有关人员,,,四、商业、服务业人员,,,五、农、林、牧、渔、水利业生产人员,,,六、生产、运输设备操作人员及有关人员,,,七、不便分类的其他劳动者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  合      计,66874889,36550882,30324007,1115723,928812,186911,3814175,1841077,1973098,2071048,1444312,626736,6136967,3068981,3067986,43107741,22193028,20914713,10584962,7046429,3538533,44273,28243,16030,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  汉族                        ,61015128,33419773,27595355,1050440,875153,175287,3539252,1701356,1837896,1948930,1358766,590164,5811538,2917690,2893848,38491915,19809225,18682690,10132797,6731993,3400804,40256,25590,14666,,,,,,,,,,,,,,,,,,,,,,,,,,,
  蒙古族                      ,309510,164673,144837,6884,5349,1535,25663,10752,14911,11318,7400,3918,20960,8468,12492,218963,114263,104700,25554,18341,7213,168,100,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
  回族                        ,489307,269312,219995,10890,8565,2325,30744,13403,17341,18998,12567,6431,67595,35422,32173,291584,148854,142730,69123,50223,18900,373,278,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
  藏族                        ,290824,149034,141790,2906,2484,422,15382,9811,5571,5288,3433,1855,7311,3439,3872,252248,124514,127734,7476,5206,2270,213,147,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
  维吾尔族                    ,450784,246173,204611,3773,3216,557,24153,11063,13090,8757,6050,2707,24742,16610,8132,362210,190119,172091,26549,18645,7904,600,470,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
  苗族                        ,505894,264789,241105,2740,2383,357,13501,8106,5395,5749,4263,1486,14703,6229,8474,439298,224078,215220,29656,19578,10078,247,152,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
  彝族                        ,468497,241444,227053,2722,2406,316,11814,7082,4732,5100,3875,1225,10469,3820,6649,424172,213435,210737,14151,10779,3372,69,47,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
  壮族                        ,963389,501665,461724,6021,5090,931,37651,21032,16619,15667,11670,3997,48610,19996,28614,770301,391912,378389,83910,51221,32689,1229,744,485,,,,,,,,,,,,,,,,,,,,,,,,,,,
  布依族                      ,166212,85964,80248,1042,907,135,4655,2700,1955,2083,1574,509,4268,1758,2510,145884,73510,72374,8227,5483,2744,53,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
  朝鲜族                      ,86436,47961,38475,3175,2428,747,10356,4496,5860,4612,3138,1474,14736,5693,9043,40571,22602,17969,12800,9488,3312,186,116,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
  满族                        ,580815,334445,246370,12287,9805,2482,39730,17712,22018,18807,12978,5829,50109,24235,25874,382533,210882,171651,77105,58652,18453,244,181,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
  侗族                        ,164557,88689,75868,1304,1135,169,6386,3579,2807,2465,1836,629,6530,2691,3839,134303,70858,63445,13488,8538,4950,81,52,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
  瑶族                        ,158835,85015,73820,1113,946,167,5269,2889,2380,2259,1606,653,4973,2064,2909,135467,71549,63918,9603,5887,3716,151,74,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
  白族                        ,106982,55126,51856,1145,1016,129,5547,2942,2605,2335,1721,614,5816,2396,3420,84779,41390,43389,7330,5646,1684,30,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
  土家族                      ,451155,239714,211441,3664,3157,507,17880,10271,7609,7960,5812,2148,21772,9596,12176,361319,184484,176835,38405,26288,12117,155,106,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
  哈尼族                      ,83894,43565,40329,423,382,41,1929,1163,766,752,581,171,2180,671,1509,75933,38687,37246,2672,2078,594,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
  哈萨克族                    ,57308,35493,21815,1071,929,142,5540,2731,2809,1806,1274,532,1926,781,1145,44197,27832,16365,2744,1931,813,24,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
  傣族                        ,69512,35632,33880,439,369,70,2046,980,1066,792,547,245,2605,763,1842,61836,31717,30119,1781,1247,534,13,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
  黎族                        ,68856,36377,32479,389,331,58,2210,1265,945,1047,749,298,2214,632,1582,61075,32265,28810,1852,1103,749,69,32,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
  傈僳族                      ,39713,20673,19040,155,138,17,689,430,259,245,194,51,460,156,304,37674,19346,18328,485,406,79,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
  佤族                        ,24193,12584,11609,139,126,13,543,345,198,182,142,40,365,100,265,22502,11565,10937,459,305,154,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
  畲族                        ,37691,22395,15296,317,274,43,1479,828,651,634,472,162,2514,1191,1323,27171,15629,11542,5563,3991,1572,13,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
  高山族                      ,213,119,94,19,9,10,29,6,23,16,12,4,26,16,10,85,48,37,38,28,10,          ,          ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,
