　　,,,,,,,,,,,,,,,,,,,,,
表8—1   省、自治区、直辖市家庭户按住房用途、是否合住户、建筑层数、外墙墙体材料分的户数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,单位:户,,,,,,,,,
地   区   别,总家庭户数,住房用途,,本住房中有无其他合住户,,建筑层数,,,住宅外墙墙体材料,,,,,,,,,,,,
,,生活用房,兼做生产经营用房,有,无,平房,6层以下楼房,7层以上楼房,钢筋混凝土,砖、石,木、竹、草,其他,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
云南省,134309,98776,1417,34116,88189,18982,12649,10026,4463,125863,8446,6383,61129,2898,63899,55386,1453,19080,4297,54093,
西藏自治区,6000,3613,89,2298,5010,152,115,634,89,4542,1458,157,459,86,5298,1480,177,1052,727,2564,
,,,,,,,,,,,,,,,,,,,,,
陕西省,186408,145948,3180,37280,127025,2708,39611,15193,1871,141941,44467,11351,52526,2965,119566,92634,5376,34761,9447,44190,
甘肃省,115190,100639,1481,13070,77985,8276,25253,2771,905,106657,8533,5594,25770,1406,82420,68918,2440,16283,4670,22879,
青海省,29403,24862,139,4402,16670,6588,5734,313,98,27320,2083,2749,2814,172,23668,16842,631,3876,1571,6483,
宁夏回族自治区,36171,31993,130,4048,22309,1606,11668,375,213,31639,4532,2006,12166,1234,20765,20884,296,4725,886,9380,
新疆维吾尔自治区,134015,113070,994,19951,101756,291,29938,1210,820,117722,16293,6268,52186,2326,73235,87517,1431,8639,5617,30811,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,
表8—3b   省、自治区、直辖市家庭户住房设施状况（镇）,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位:户,
地   区   别,家庭户数,住房中有无厨房,,,主  要  炊  事  燃  料,,,,,是否饮用自来水,,住房内有无洗澡设施,,,,本住房中有无厕所,,,,,
,,本户独立使用  ,本户与其他户合用 ,    无    ,   燃气   ,    电    ,   煤炭   ,   柴草   ,   其他   ,    是    ,    否    ,统一供热水,家庭自装热水器 ,   其他   ,    无    ,独立使用抽水式 , 邻居合用抽水式 ,独立使用其他式样 ,邻居合用其他式样,    无    ,
,,,,,,,,,,,,,,,,,,,,,
合计,4405331,3682550,87198,635583,1804931,117144,1533831,901128,48297,3053551,1351780,64993,1080089,506754,2753495,1166519,34103,1564271,277412,1363026,
,,,,,,,,,,,,,,,,,,,,,
北京市,30790,27288,291,3211,21879,37,7337,1381,156,30137,653,1207,15074,2598,11911,14550,170,9750,1462,4858,
天津市,51010,40432,440,10138,33617,28,7785,9336,244,49250,1760,976,11099,3422,35513,10927,141,4243,384,35315,
河北省,153460,137185,1627,14648,54050,639,73448,24941,382,128556,24904,3902,28785,20008,100765,33441,450,78916,9520,31133,
山西省,112273,80325,1268,30680,13261,659,96865,1139,349,93202,19071,2427,11113,2895,95838,16450,632,53772,17786,23633,
内蒙古自治区,124484,101455,1567,21462,14388,3053,80555,25025,1463,72297,52187,3390,6167,2333,112594,12423,198,29193,4149,78521,
,,,,,,,,,,,,,,,,,,,,,
辽宁省,136337,130044,3685,2608,42088,3994,43700,46420,135,89685,46652,1396,11456,5255,118230,33001,573,72421,17224,13118,
吉林省,116549,107876,2699,5974,27857,3638,35393,49273,388,82208,34341,4942,4494,2767,104346,20469,355,43215,4218,48292,
黑龙江省,171622,164185,3592,3845,36637,9428,70082,55026,449,121928,49694,7911,7623,6097,149991,28452,473,69594,9544,63559,
,,,,,,,,,,,,,,,,,,,,,
上海市,57881,52284,881,4716,49243,316,434,7187,701,57003,878,510,28333,7004,22034,38876,375,6917,889,10824,
江苏省,333370,292656,3648,37066,181999,973,49331,98243,2824,264027,69343,1092,91253,62609,178416,116951,1364,92342,18834,103879,
浙江省,275166,241882,6728,26556,222053,1011,7388,40139,4575,230175,44991,1198,106487,34330,133151,141092,4430,42021,8416,79207,
安徽省,196223,165931,1979,28313,72798,728,74800,46240,1657,95017,101206,364,32218,21129,142512,42806,642,59469,18586,74720,
福建省,157604,127472,7897,22235,85221,2304,43818,23333,2928,107011,50593,2187,59383,23587,72447,59663,3373,18679,6924,68965,
江西省,137115,110182,4787,22146,63728,1857,44971,25002,1557,82359,54756,1015,37035,20765,78300,41087,1186,29089,10038,55715,
山东省,343452,288075,1986,53391,79937,2249,134754,124416,2096,140251,203201,5857,57313,18923,261359,55988,958,227217,10579,48710,
,,,,,,,,,,,,,,,,,,,,,
河南省,198887,167302,1677,29908,22989,425,152178,22382,913,112423,86464,1200,34295,12555,150837,37520,915,94806,9467,56179,
湖北省,188802,155977,2972,29853,83391,1400,68509,33071,2431,139687,49115,1911,37110,29848,119933,51070,2141,64067,11696,59828,
湖南省,188870,146444,5555,36871,47601,2181,126248,10739,2101,127427,61443,2836,47509,45806,92719,49030,1878,72465,13554,51943,
广东省,325126,274325,11342,39459,241391,2377,22596,53985,4777,252200,72926,5239,177269,71776,70842,113871,4002,108833,10597,87823,
广西壮族自治区,163073,130965,6386,25722,91461,6100,7301,55470,2741,108728,54345,1706,57680,45350,58337,43909,1757,48709,8591,60107,
海南省,32934,25716,778,6440,14693,251,252,17295,443,21681,11253,318,6748,8175,17693,5346,227,7198,520,19643,
,,,,,,,,,,,,,,,,,,,,,
重庆市,104412,84719,2002,17691,47621,6612,34887,13772,1520,79920,24492,472,30087,8879,64974,17853,650,41758,5574,38577,
四川省,281797,242643,5962,33192,101609,28242,107195,40633,4118,203319,78478,1777,90066,32158,157796,66510,2662,136164,24851,51610,
贵州省,106037,75619,2028,28390,16581,4737,74197,9706,816,70297,35740,458,15405,7879,82295,17728,866,42057,19236,26150,
云南省,143474,106797,1984,34693,44918,27053,36935,31671,2897,114460,29014,1806,39374,4181,98113,24669,678,32449,10008,75670,
西藏自治区,7705,3507,120,4078,1883,961,141,2882,1838,2982,4723,44,156,39,7466,542,15,1546,149,5453,
,,,,,,,,,,,,,,,,,,,,,
陕西省,121390,85255,2033,34102,35714,1745,58819,23254,1858,70685,50705,3058,15907,2933,99492,29112,1937,40907,12872,36562,
甘肃省,55801,47323,578,7900,21089,1646,28520,3885,661,37781,18020,2158,7502,1305,44836,18246,558,16128,2913,17956,
青海省,15613,12071,92,3450,5367,2045,6442,920,839,12209,3404,492,830,196,14095,4737,192,4139,1071,5474,
宁夏回族自治区,16092,14400,85,1607,8660,332,6818,171,111,13061,3031,246,3242,336,12268,6005,107,3519,1846,4615,
新疆维吾尔自治区,57982,42215,529,15238,21207,123,32132,4191,329,43585,14397,2898,9076,1616,44392,14195,198,12688,5914,24987,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,
