　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表5—1    省、自治区、直辖市分性别、婚姻状况的15岁及15岁以上人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地   区   别,15岁及15岁以上人口,,,未      婚,,,初婚有配偶,,,再婚有配偶,,,离      婚,,,丧      偶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,93366,46648,46718,19881,10768,9113,66486,33104,33382,2504,1421,1083,1696,770,926,2799,585,2214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,359959,182989,176970,86694,48683,38011,240988,120748,120240,14230,8171,6059,7666,3244,4422,10381,2143,8238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表5—1b    省、自治区、直辖市分性别、婚姻状况的15岁及15岁以上人口（镇）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地   区   别,15岁及15岁以上人口,,,未      婚,,,初婚有配偶,,,再婚有配偶,,,离      婚,,,丧      偶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,12058648,6039255,6019393,2479569,1389573,1089996,8664553,4310387,4354166,272286,141281,131005,111495,60758,50737,530745,137256,393489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,83278,42354,40924,17257,9900,7357,59838,30153,29685,2110,1042,1068,783,375,408,3290,884,2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,141012,70921,70091,27687,15139,12548,103678,52093,51585,2686,1376,1310,1025,549,476,5936,1764,4172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,455557,227919,227638,107579,56828,50751,319858,160551,159307,8169,3971,4198,2723,1531,1192,17228,5038,12190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,298197,151151,147046,50368,29384,20984,227025,113778,113247,7074,3460,3614,2150,1320,830,11580,3209,8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,323678,164146,159532,60932,35562,25370,238293,118763,119530,8301,4152,4149,3790,2131,1659,12362,3538,8824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,355378,177697,177681,53651,30698,22953,270260,134473,135787,10207,5149,5058,5498,2915,2583,15762,4462,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,298915,150766,148149,49928,29441,20487,220904,109850,111054,8564,4373,4191,5546,3083,2463,13973,4019,9954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,444910,223532,221378,69617,40532,29085,336035,166989,169046,13648,7119,6529,7024,3711,3313,18586,5181,13405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
