,,,,,,,,,,,,
表3--34省、自治区、直辖市的市、镇、县少数民族迁入人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    迁入人口合计,,,,  本省其他县、市迁入,,,,    外省迁入,,,
    地区别,,,,,,,,,,,,
,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡,  小计,  街道,    镇,    乡
  镇,    14 038,    2 142,    3 785,    8 111,    11 081,    1 625,    3 347,    6 109,    2 957,    517,    438,    2 002
  县,    20 181,    1 693,    2 807,    15 681,    16 501,    1 407,    2 564,    12 530,    3 680,    286,    243,    3 151
宁夏回族自治区,    37 627,    5 517,    6 300,    25 810,    30 835,    3 785,    5 047,    22 003,    6 792,    1 732,    1 253,    3 807
  市,    20 689,    3 652,    4 518,    12 519,    16 836,    2 427,    3 707,    10 702,    3 853,    1 225,    811,    1 817
  镇,    6 595,    1 313,    1 398,    3 884,    5 327,    956,    1 063,    3 308,    1 268,    357,    335,    576
  县,    10 343,    552,    384,    9 407,    8 672,    402,    277,    7 993,    1 671,    150,    107,    1 414
新疆维吾尔自治区,    155 303,    35 002,    37 762,    82 539,    138 790,    33 495,    37 180,    68 115,    16 513,    1 507,    582,    14 424
  市,    97 131,    26 415,    26 451,    44 265,    91 157,    25 163,    26 176,    39 818,    5 974,    1 252,    275,    4 447
  镇,    17 733,    3 924,    6 811,    6 998,    15 986,    3 776,    6 614,    5 596,    1 747,    148,    197,    1 402
  县,    40 439,    4 663,    4 500,    31 276,    31 647,    4 556,    4 390,    22 701,    8 792,    107,    110,    8 575
