表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    44,    123,    1,-,-,-,-,    1,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  45-49岁,    577,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    45,    119,    2,-,-,-,-,    2,-,-,-,-,-,-
    46,    130,-,-,-,-,-,-,-,-,-,-,-,-
    47,    119,-,-,-,-,-,-,    1,-,-,-,-,    1
    48,    125,-,-,-,-,-,-,-,-,-,-,-,-
    49,    84,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    85,-,-,-,-,-,-,-,-,-,-,-,-
塔吉克族,    7 478,    703,    98,    93,    104,    110,    298,    559,    133,    79,    82,    77,    188
  15-19岁,    1 688,    11,    9,    1,-,-,    1,    19,    16,    3,-,-,-
    15,    332,-,-,-,-,-,-,-,-,-,-,-,-
    16,    339,-,-,-,-,-,-,-,-,-,-,-,-
    17,    309,    1,    1,-,-,-,-,-,-,-,-,-,-
    18,    390,    1,-,-,-,-,    1,    5,    4,    1,-,-,-
    19,    318,    9,    8,    1,-,-,-,    14,    12,    2,-,-,-
  20-24岁,    1 454,    150,    71,    49,    14,    13,    3,    176,    103,    40,    24,    8,    1
    20,    415,    29,    20,    8,-,    1,-,    33,    29,    3,-,    1,-
    21,    287,    26,    17,    8,    1,-,-,    29,    22,    7,-,-,-
    22,    264,    25,    9,    12,    3,    1,-,    40,    26,    9,    5,-,-
    23,    232,    35,    15,    13,    4,    3,-,    35,    18,    7,    8,    1,    1
    24,    256,    35,    10,    8,    6,    8,    3,    39,    8,    14,    11,    6,-
  25-29岁,    1 076,    198,    13,    33,    64,    53,    35,    151,    12,    32,    38,    39,    30
    25,    271,    45,    5,    11,    16,    8,    5,    43,    9,    11,    12,    9,    2
    26,    228,    50,    5,    11,    13,    14,    7,    32,    1,    11,    8,    8,    4
    27,    186,    39,    1,    6,    19,    10,    3,    18,    1,    2,    6,    4,    5
    28,    239,    41,    1,    3,    11,    12,    14,    43,    1,    8,    9,    14,    11
    29,    1 52,    23,    1,    2,    5,    9,    6,    15,-,    -,    3,    4,    8
  30-34岁,    910,    144,    2,   7,    13,    28,    94,    99,-,    3,    14,    18,    64
    30,    251,    43,-,-,    6,    10,    27,    35,-,    1,    7,    7,    20
    31,    157,    20,-,    2,    2,    6,    10,    21,-,    1,    4,    6,    10
    32,    178,    32,-,    2,    4,    6,    20,    19,-,    1,    1,    2,    15
    33,    160,    27,    2,    2,    1,    3,    19,    11,-,-,    2,    1,    8
    34,    164,    22,-,    1,-,    3,    18,    13,-,-,-,    2,    11
  35-39岁,    839,    130,    2,    2,    9,    13,    104,    68,    2,    1,    3,    8,    54
    35,    209,    31,    1,-,    1,    5,    24,    18,    1,    1,    2,    3,    11
    36,    175,    29,    1,    1,    2,    3,    22,    16,    1,-,-,    2,    13
    37,    149,    24,-,-,    1,    3,    20,    12,-,-,-,    1,    11
    38,    195,    35,-,-,    4,    1,    30,    14,-,-,    1,    2,    11
    39,    1 11,    11,-,    1,    1,    1,    8,    8,-,-,-,-,    8
  40-44岁,    623,    45,    1,-,    3,    3,    38,    34,-,-,    1,    3,    30
    40,    234,    23,    1,-,-,    2,    20,    15,-,-,-,    1,    14
    41,    97,    7,-,-,    1,    1,    5,    3,-,-,-,-,    3
    42,    97,    5,-,-,    2,-,    3,    2,-,-,-,    1,    1
    43,    100,    6,-,-,-,-,    6,    9,-,-,-,    1,    8
    44,    95,    4,-,-,-,-,    4,    5,-,-,    1,-,    4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  45-49岁,    709,    21,-,    1,    1,-,    19,    11,-,-,    1,    1,    9
    45,    206,    9,-,-,    1,-,    8,    6,-,-,    1,    1,    4
    46,    128,    5,-,-,-,-,    5,    3,-,-,-,-,    3
    47,    116,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    48,    153,    4,-,    1,-,-,    3,    1,-,-,-,-,    1
    49,    106,    1,-,-,-,-,    1,-,-,-,-,-,-
  50岁,    179,    4,-,-,-,-,    4,    1,-,-,    1,-,-
怒族,    6 262,    412,    109,    88,      88,    50,    77,    414,    115,    119,    72,    48,    60
  15-19岁,    1 350,    5,    5,-,-,-,-,    20,    18,    2,-,-,-
    15,    317,-,-,-,-,-,-,-,-,-,-,-,-
    16,    302,-,-,-,-,-,-,    1,    1,-,-,-,-
    17,    267,-,-,-,-,-,-,    1,    1,-,-,-,-
    18,    235,    1,    1,-,-,-,-,    6,    6,-,-,-,-
    19,    229,    4,    4,-,-,-,-,    12,    10,    2,-,-,-
  20-24岁,    1 266,    141,    75,    39,    22,    4,    1,    163,    70,    67,    20,    6,-
    20,    296,    19,    16,    2,    1,-,-,    25,    17,    8,-,-,-
    21,    244,    21,    17,    4,-,-,-,    26,    17,    8,-,    1,-
    22,    225,    31,    20,    7,    4,-,-,    34,    19,    13,    2,-,-
    23,    252,    35,    13,    12,    8,    2,-,        41,    13,    21,    5,    2,-
    24,    249,    35,    9,    14,    9,    2,    1,    37,    4,    17,    13,    3,-
  25-29岁,    1 040,    146,    23,41,    52,    24,    6,    132,    23,    40,    40,    21,    8
    25,    266,    44,    11,    17,    12,    3,    1,    39,10,    14,    8,    4,    3
    26,    241,    28,    5,    7,    11,    5,-,    39,    5,    15,    15,    4,-
    27,    217,    32,    3,    8,    14,    6,    1,    21,    2,    8,    4,    6,    1
    28,    196,    26,    3,    4,    9,    6,    4,    22,    5,    3,    9,    2,    3
    29,    120,    16,    1,    5,    6,    4,-,    11,    1,-,    4,    5,    1
  30-34岁,    789,    67,    6,    7,    9,    17,    28,    54,    2,    8,    9,    16,    19
    30,    162,    23,    5,    4,    2,    4,    8,    10,    1,    2,-,    2,    5
    31,    157,    13,    1,    3,    1,    2,    6,    14,-,    4,    2,    5,    3
    32,    174,    9,-,-,-,    6,    3,    9,-,    1,    3,    3,    2
    33,    162,    16,-,-,    4,    5,    7,    13,    1,-,    2,    3,    7
    34,    134,    6,-,-,    2,-,    4,    8,-,    1,    2,    3,    2
  35-39岁,    601,    34,-,-,    4,    5,    25,        25,    2,    1,    1,    3,    18
    35,    136,    5,-,-,    1,    1,    3,    11,-,-,-,    2,    9
    36,    118,    6,-,-,    2,    1,    3,    4,-,-,-,-,    4
    37,    109,    6,-,-,-,    2,    4,    4,    1,    1,    1,-,    1
    38,    137,    9,-,-,    1,-,    8,    4,    1,-,-,    1,    2
    39,    101,    8,-,-,-,    1,    7,    2,-,-,-,-,    2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  40-44岁,    595,    10,-,-,    1,-,    9,    15,-,    1,    1,    1,    12
    40,    161,    4,-,-,-,-,    4,    8,-,-,    1,    1,    6
    41,    95,    1,-,-,-,-,    1,    1,-,-,-,-,    1
    42,    119,    2,-,-,    1,-,    1,    2,-,-,-,-,    2
    43,    121,    3,-,-,-,-,    3,    2,-,-,-,-,    2
    44,    99,-,-,-,-,-,-,    2,-,    1,-,-,    1
  45-49岁,    494,    8,-,    1,-,-,    7,    5,-,-,    1,    1,    3
    45,    96,    5,-,-,-,-,    5,    3,-,-,-,    1,    2
    46,    101,    3,-,    1,-,-,    2,    1,-,-,    1,-,-
    47,    86,-,-,-,-,-,-,-,-,-,-,-,-
    48,    106,-,-,-,-,-,-,    1,-,-,-,-,    1
    49,    105,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    127,    1,-,-,-,-,    1,-,-,-,-,-,-
乌孜别克族,    3 589,    161,    37,    44,    31,    23,    26,    114,    37,    24,    18,    16,    19
  15-19岁,    955,    2,    2,-,-,-,-,    4,    4,-,-,-,-
    15,    193,-,-,-,-,-,-,-,-,-,-,-,-
    16,    188,-,-,-,-,-,-,-,-,-,-,-,-
    17,    200,-,-,-,-,-,-,    1,    1,-,-,-,-
    18,    194,    2,    2,-,-,-,-,    1,    1,-,-,-,-
    19,    180,-,-,-,-,-,-,    2,    2,-,-,-,-
  20-24岁,    746,    33,    14,    12,    5,    2,-,    26,    15,    7,    2,    1,    1
    20,    185,    2,    2,-,-,-,-,    5,    2,    2,-,    1,-
    21,    167,    4,    2,    2,-,-,-,    5,    2,    1,    2,-,-
    22,    145,    11,    4,    5,    2,-,-,    3,    1,    2,-,-,-
    23,    121,    6,    3,    2,    1,-,-,    7,    5,2,-,-,-
    24,    128,    10,    3,    3,    2,    2,-,    6,    5,-,-,-,    1
  25-29岁,    529,    65,    17,    21,    14,    8,    5,    52,    17,    14,    10,    6,    5
    25,    127,    15,    8,    3,    3,    1,-,    12,    5,    2,    3,    1,    1
    26,    121,    22,    8,    6,    5,    1,    2,    16,    3,    8,    3,    1,    1
    27,    109,    15,    1,    6,    2,    4,   2,    10,    5,    3,    -,    2, -
    28,    89,    6,-,    3,    2,    1,-,    10,    3,    1,    1,    2,    3
    29,    83,    7,-,    3,    2,    1,    1,    4,    1,-,    3,-,-
  30-34岁,    397,    41,    4,    8,    9,    10,    10,    21,-,    3,    4,    9,    5
    30,    87,    7,    3,-,2,        1,    1,    7,-,    1,    2,    2,    2
    31,    67,    8,-,    2,    1,    4,    1,    1,-,-,-,    1,-
    32,    85,    10,-,    3,    3,    2,    2,    6,-,    1,-,    4,    1
    33,    84,    11,-,    1,    3,    3,    4,    5,-,    1,    1,    2,    1
    34,    74,    5,    1,    2,-,-,    2,    2,-,-,    1,-,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    362,    15,-,    3,    3,-,    9,    9,    1,-,    1,-,    7
    35,    92,    2,-,    1,-,-,    1,    2,-,-,-,-,    2
    36,    82,    7,-,-,    2,-,    5,    4,    1,-,    1,-,    2
    37,    71,-,-,-,-,-,-,    1,-,-,-,-,    1
    38,    66,    4,-,    1,    1,-,    2,    1,-,-,-,-,    1
    39,    51,    2,-,    1,-,-,    1,    1,-,-,-,-,    1
  40-44岁,    294,    4,-,-,-,    2,    2,    1,-,-,-,-,    1
    40,    78,-,-,-,-,-,-,-,-,-,-,-,-
    41,    67,    1,-,-,-,    1,-,-,-,-,-,-,-
    42,    55,    2,-,-,-,    1,    1,    1,-,-,-,-,1
    43,    50,-,-,-,-,-,-,-,-,-,-,-,-
    44,    44,    1,-,-,-,-,    1,-,-,-,-,-,-
  45-49岁,    238,    1,-,-,-,    1,-,    1,-,-,    1,-,-
    45,    65,-,-,-,-,-,-,    1,-,-,    1,-,-
    46,    38,-,-,-,-,-,-,-,-,-,-,-,-
    47,    54,    1,-,-,-,    1,-,-,-,-,-,-,-
    48,    46,-,-,-,-,-,-,-,-,-,-,-,-
    49,    35,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    68,-,-,-,-,-,-,-,-,-,-,-,-
俄罗斯族,    4 087,    108,    55,    45,    8,-,-,    116,    85,    27,    3,-,    1
  15-19岁,    861,    2,    1,    1,-,-,-,    1,    1,-,-,-,-
    15,    139,-,-,-,-,-,-,-,-,-,-,-,-
    16,    174,-,-,-,-,-,-,-,-,-,-,-,-
    17,    191,-,-,-,-,-,-,-,-,-,-,-,-
    18,    164,-,-,-,-,-,-,-,-,-,-,-,-
    19,    193,     2,    1,    1,-,-,-,    1,    1,-,-,-,-
  20-24岁,    748,    16,    11,    4,    1,-,-,    34,    31,    3,-,-,-
    20,    167,-,-,-,-,-,-,    3,    3,-,-,-,-
    21,    145,-,-,-,-,-,-,    2,    2,-,-,-,-
    22,    160,    7,    6,    1,-,-,-,    10,    10,-,-,-,-
    23,    130,    4,    3,    1,-,-,-,    6,    5,    1,-,-,-
    24,    146,    5,    2,    2,    1,-,-,    13,    11,    2,-,-,-
  25-29岁,    750,    56,    38,    15,    3,-,-,    64,    50,    12,    2,-,-
    25,    167,    15,    10,    3,    2,-,-,    18,    17,    1,-,-,-
    26,    161,    15,    9,    5,    1,-,-,    17,    16,-,    1,-,-
    27,    184,    16,    12,    4,-,-,-,    15,    9,    6,-,-,-
    28,    130,    6,    5,    1,-,-,-,    10,    7,    3,-,-,-
    29,    108,    4,    2,    2,-,-,-,    4,    1,    2,    1,-,-
  30-34岁,    627,    31,    5,    22,    4,-,-,    16,    3,    12,    1,-,-
    30,    125,    6,        4,    2,-,-,-,    5,    2,    3,-,-,-
    31,    133,    6,-,    5,    1,-,-,    6,    1,    4,    1,-,-
    32,    126,    11,    1,    9,    1,-,-,-,-,-,-,-,-
    33,    128,    7,-,    5,    2,-,-,    5,-,    5,-,-,-
    34,    115,    1,-,    1,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,五孩以上
  35-39岁,    379,    2,-,    2,-,-,-,    1,-,-,-,-,    1
    35,    90,-,-,-,-,-,-,-,-,-,-,-,-
    36,    85,-,-,-,-,-,-,    1,-,-,-,-,    1
    37,    72,    1,-,    1,-,-,-,-,-,-,-,-,-
    38,    69,    1,-,    1,-,-,-,-,-,-,-,-,-
    39,    63,-,-,-,-,-,-,-,-,-,-,-,-
  40-44岁,    304,    1,-,    1,-,-,-,-,-,-,-,-,-
    40,    67,-,-,-,-,-,-,-,-,-,-,-,-
    41,    73,    1,-,    1,-,-,-,-,-,-,-,-,-
    42,    50,-,-,-,-,-,-,-,-,-,-,-,-
    43,    68,-,-,-,-,-,-,-,-,-,-,-,-
    44,    46,-,-,-,-,-,-,-,-,-,-,-,-
  45-49岁,    346,-,-,-,-,-,-,-,-,-,-,-,-
    45,    76,-,-,-,-,-,-,-,-,-,-,-,-
    46,    64,-,-,-,-,-,-,-,-,-,-,-,-
    47,    74,-,-,-,-,-,-,-,-,-,-,-,-
    48,    71,-,-,-,-,-,-,-,-,-,-,-,-
    49,    61,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    72,-,-,-,-,-,-,-,-,-,-,-,-
鄂温克族,    6 940,    342,    168,    95,    43,    19,    17,    312,    146,    93,    46,    15,    12
  15-19岁,    1 657,    9,    9,-,-,-,-,    11,    10,    1,-,-,-
    15,    353,-,-,-,-,-,-,-,-,-,-,-,-
    16,    343,-,-,-,-,-,-,-,-,-,-,-,-
    17,    330,    1,    1,-,-,-,-,    1,    1,-,-,-,-
    18,    317,-,-,-,-,-,-,    2,    2,-,-,-,-
    19,    314,    8,    8,-,-,-,-,    8,    7,    1,-,-,-
  20-24岁,    1 486,    129,    94,    34,    1,-,-,    111,    72,    28,    10,    1,-
    20,    318,    18,    14,    4,-,-,-,    16,    13,    2,    1,-,-
    21,    320,    22,    19,    3,-,-,-,    17,    13,    4,-,-,-
    22,    279,    31,    25,    6,-,-,-,    28,    21,    4,    3,-,-
    23,    284,    32,    22,    9,    1,-,-,    24,    12,    9,    2,    1,-
    24,    285,    26,    14,    12,-,-,-,    26,    13,    9,    4,-,-
  25-29岁,    1 331,    131,    59,    44,    20,    6,    2,    139,    55,    50,    24,    7,    3
    25,    309,    40,    20,    14,    6,-,-,    35,    19,    10,    3,    3,-
    26,    311,    31,    19,    9,    2,    1,-,    47,    15,    22,    7,    2,    1
    27,    294,    29,    11,    11,    5,    2,-,    28,    13,    8,    7,-,-
    28,    221,    14,    5,    4,    3,    1,    1,    16,    6,    4,    3,    1,    2
    29,    196,    17,    4,    6,    4,    2,    1,    13,    2,    6,    4,    1,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  30-34岁,    1 015,    60,    4,    15,    20,    12,    9,    41,    9,    12,    9,    6,    5
    30,    232,    14,    1,    4,    4,    5,-,    14,    4,    4,    2,    3,    1
    31,    214,    15,    1,    3,    8,    3,-,    9,    2,    2,    2,    1,   2
    32,    214,    7,-,    1,    4,    2,-,    9,    2,    3,    2,    1,    1
    33,    179,    8,-,    3,    1,-,    4,    4,-,    3,-,-,    1
    34,    176,    16,    2,    4,    3,    2,    5,    5,    1,-,    3,    1,-
  35-39岁,    634,    12,    2,    2,    2,    1,    5,    8,-,    2,    3,    1,    2
    35,    168,    5,-,    1,    1,    1,    2,    4,-,    2,    1,    1,-
    36,    123,    2,    1,-,-,-,    1,    2,-,-,    2,-,-
    37,    116,    1,-,-,    1,-,-,    1,-,-,-,-,    1
    38,    112,-,-,-,-,-,-,    1,-,-,-,-,    1
    39,    115,    4,    1,    1,-,-,    2,-,-,-,-,-,-
  40-44岁,    440,    1,-,-,-,-,    1,    2,-,-,-,-,    2
    40,    134,    1,-,-,-,-,    1,    1,-,-,-,-,    1
    41,    84,-,-,-,-,-,-,    1,-,-,-,-,    1
    42,    74,-,-,-,-,-,-,-,-,-,-,-,-
    43,    63,-,-,-,-,-,-,-,-,-,-,-,-
    44,    85,-,-,-,-,-,-,-,-,-,-,-,-
  45-49岁,    311,-,-,-,-,-,-,-,-,-,-,-,-
    45,    55,-,-,-,-,-,-,-,-,-,-,-,-
    46,    46,-,-,-,-,-,-,-,-,-,-,-,-
    47,    61,-,-,-,-,-,-,-,-,-,-,-,-
    48,    68,-,-,-,-,-,-,-,-,-,-,-,-
    49,    81,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    66,-,-,-,-,-,-,-,-,-,-,-,-
德昂族,    3 695,    315,    75,    88,    66,    42,    44,    310,    80,    78,    66,    39,    47
  15-19岁,    792,    14,    12,    1,    1,-,-,    23,    22,    1,-,-,-
    15,    165,    1,    1,-,-,-,-,    1,    1,-,-,-,-
    16,    150,-,-,-,-,-,-,    1,    1,-,-,-,-
    17,    172,    2,    1,    1,-,-,-,    4,    4,-,-,-,-
    18,    155,    2,    2,-,-,-,-,    7,    6,    1,-,-,-
    19,    150,    9,    8,-,    1,-,-,    10,    10,-,-,-,-
  20-24岁,    799,    117,    46,    54,    14,    3,-,    127,    49,    50,    22,    4,    2
    20,    189,    17,    10,    6,    1,-,-,    21,    10,    8,    3,-,-
    21,    147,    19,    9,    10,-,-,-,    25,    15,    5,    4,    1,-
    22,    157,    26,    9,    12,    5,-,-,    21,    10,    10,    1,-,-
    23,    154,    25,    10,    10,    4,    1,-,    30,    10,    14,    5,-,    1
    24,    152,    30,    8,    16,    4,    2,-,    30,    4,    13,    9,    3,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  25-29岁,    617,    100,    13,    25,    36,    21,    5,    83,    8,    19,    31,    18,    7
    25,    154,    28,    7,    6,    12,    3,-,    20,      4,    6,    9,    1,-
    26,    120,    19,    1,    7,    8,    2,    1,    20,    3,    7,    7,    2,    1
    27,    134,    15,    1,    4,    6,    3,    1,    13,-,    3,    6,    4,-
    28,    98,    21,    3,    4,    4,    9,    1,    13,    1,    1,    4,    4,    3
    29,    111,    17,    1,    4,    6,    4,    2,    17,-,    2,    5,    7,    3
  30-34岁,    548,    62,    4,    8,    14,    16,    20,    54,    1,    8,    11,    15,    19
    30,    117,    21,    4,    4,    3,    3,    7,    16,-,    2,    6,    5,    3
    31,    120,    14,-,    2,    5,    4,    3,    9,-,    2,    2,    2,    3
    32,    131,    9,-,    1,    2,    2,    4,    16,-,    3,    1,    5,    7
    33,    93,    15,-,    1,    3,    5,    6,    8,-,    1,    2,    2,    3
    34,    87,    3,-,-,    1,    2,-,    5,    1,-,-,    1,    3
  35-39岁,    366,    14,-,-,-,    2,    12,    12,-,-,   2,    2,    8
    35,    77,    2,-,-,-,    1,    1,    2,-,-,    1,    1,-
    36,    77,    3,-,-,-,-,    3,    4,-,-,    1,    1,    2
    37,    75,    3,-,-,-,-,    3,    1,-,-,-,-,    1
    38,    78,    3,-,-,-,-,    3,    2,-,-,-,-,    2
    39,    59,    3,-,-,-,    1,    2,    3,-,-,-,-,    3
  40-44岁,    305,    6,-,-,    1,-,    5,    11,-,-,-,-,    11
    40,    75,    2,-,-,    1,-,    1,    2,-,-,-,-,    2
    41,    59,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    42,    57,    2,-,-,-,-,    2,    3,-,-,-,-,    3
    43,    52,-,-,-,-,-,-,    3,-,-,-,-,    3
    44,    62,-,-,-,-,-,-,    2,-,-,-,-,    2
  45-49岁,    220,    2,-,-,-,-,    2,-,-,-,-,-,-
    45,    47,    2,-,-,-,-,    2,-,-,-,-,-,-
    46,    43,-,-,-,-,-,-,-,-,-,-,-,-
    47,    39,-,-,-,-,-,-,-,-,-,-,-,-
    48,    58,-,-,-,-,-,-,-,-,-,-,-,-
    49,    33,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    48,-,-,-,-,-,-,-,-,-,-,-,-
保安族,    3 195,    152,    64,    35,    31,    12,    10,    124,    46,    36,    25,    9,    8
  15-19岁,    686,    3,   2,    1,-,-,-,    5,    4,    1,-,-,-
    15,    121,-,-,-,-,-,-,-,-,-,-,-,-
    16,    146,-,-,-,-,-,-,-,-,-,-,-,-
    17,    134,-,-,-,-,-,-,    2,    2,-,-,-,-
    18,    133,    2,    2,-,-,-,-,    1,    1,-,-,-,-
    19,    152,    1,-,    1,-,-,-,    2,    1,    1,-,-,-
  20-24岁,    750,    81,    53,    22,    6,-,-,    66,    36,    19,    10,-,    1
    20,    175,    12,    9,    3,-,-,-,    9,    7,    2,-,-,-
    21,    155,    15,    11,    3,    1,-,-,    15,    11,    4,-,-,-
    22,    144,    28,    17,    10,    1,-,-,    14,    8,    5,    1,-,-
    23,    138,    13,    8,    4,    1,-,-,    13,    7,    3,    3,-,-
    24,    138,    13,      8,    2,       3,-,-,    15,    3,    5,    6,-,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30口,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  25-29岁,    457,    38,    5,    8,    18,    7,-,    29,    5,    10,    11,    1,    2
    25,    129,    13,    1,    4,    7,    1,-,    8,    1,    2,    4,-,    1
    26,    91,    6,2,    1,    3,-,-,    6,    2,    4,-,-,-
    27,    91,    2,    1,-,-,    1,-,    10,    1,    2,    5,    1,    1
    28,    94,    12,    1,    2,    7,2,-,    3,    1,    1,    1,-,-
    29,    52,    5,-,    1,    1,    3,-,    2,-,    1,    1,-,-
  30-34岁,    304,    12,    1,    2,    3,    2,    4,    12,-,    2,    1,    7,    2
    30,    70,    2,    1,    1,-,-,-,    2,-,    1,-,    1,-
    31,    63,    2,-,-,    1,-,    1,    4,-,-,-,    3,    1
    32,    55,    4,-,    1,-,    1,    2,    2,-,    1,    1,-,-
    33,    57,    2,-,-,    2,-,-,    2,-,-,-,    2,-
    34,    59,    2,-,-,-,    1,    1,    2,-,-,-,    1,    1
  35-39岁,    333,    9,-,    2,    3,    2,    2,    4,-,    3,-,    1,-
    35,    74,    2,-,    1,    1,-,-,    1,-,    1,-,-,-
    36,    73,    2,-,-,-,    1,    1,    1,-,    1,-,-,-
    37,    56,    2,-,-,    2,-,-,    2,-,    1,-,    1,-
    38,    61,    2,-,    1,-,    1,-,-,-,-,-,-,-
    39,    69,    1,-,-,-,-,    1,-,-,-,-,-,-
  40-44岁,    334,    8,    3,-,    1,-,    4,    6,    1,    1,    2,-,    2
    40,    72,    2,    1,-,-,-,    1,    3,-,    1,    2,-,-
    41,    61,    4,    1,-,-,-,    3,-,-,-,-,-,-
    42,    58,-,-,-,-,-,-,    1,-,-,-,-,    1
    43,       67,-,-,-,-,-,-,-,-,-,-,-,-
    44,    76,    2,    1,-,    1,-,-,    2,    1,-,-,-,    1
  45-49岁,    268,    1,-,-,-,    1,-,    2,-,-,1,-,    1
    45,    66,-,-,-,-,-,-,    1,-,-,-,-,    1
    46,    52,-,-,-,-,-,-,-,-,-,-,-,-
    47,    62,-,-,-,-,-,-,    1,-,-,    1,-,-
    48,    48,    1,-,-,-,    1,-,-,-,-,-,-,-
    49,    40,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    63,-,-,-,-,-,-,-,-,-,-,-,-
裕固族,    3 506,    120,    57,    44,    12,    5,    2,    145,    74,    44,    20,    4,    3
  15-19岁,    820,    1,    1,-,-,-,-,-,-,-,-,-,-
    15,    149,-,-,-,-,-,-,-,-,-,-,-,-
    16,    161,-,-,-,-,-,-,-,-,-,-,-,-
    17,    177,-,-,-,-,-,-,-,-,-,-,-,-
    18,    172,-,-,-,-,-,-,-,-,-,-,-,-
    19,    161,    1,    1,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
