表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    32,    8 434 721,    287 909,    24 763,    123 461,    86 196,    37 937,    15 552,    262 156,    21 896,    102 752,    79 282,    39 534,    18 692
    33,    8 234 522,    232 560,    17 132,    92 939,    71 379,    34 371,    16 739,    208 292,    15 041,    75 920,    63 910,    34 445,    18 976
    34,    7 963 373,    182 499,    12 379,    68 578,    55 875,    28 922,    16 745,    161 073,    10 812,    55 564,    48 778,    27 780,    18 139
  35-39岁,    39 075 398,    483 349,    27 215,    143 597,    143 305,    92 273,    76 959,    415 711,    23 853,    114 744,    119 702,    81 643,    75 769
    35,    8 695 600,    157 787,    9 623,    54 828,    48 107,    27 056,    18 173,    138 918,    8 336,    44 499,    41 545,    25 472,    19 066
    36,    8 292 405,    119 666,    6 792,    37 516,    35 917,    22 169,    17 272,    103 461,    5 967,    30 047,    30 234,    19 838,    17 375
    37,    7 820 393,    89 565,    4 657,    24 663,    26 599,    17 915,    15 731,    76 534,    4 355,    19 639,    21 622,    15 439,    15 479
    38,    7 672 578,    69 666,    3 642,    16 878,    20 013,    14 820,    14 313,    58 029,    3 084,    13 068,    16 155,    12 289,    13 433
    39,    6 594 422,    46 665,    2 501,    9 712,    12 669,    10 313,    11 470,    38 769,    2 111,    7 491,    10 146,    8 605,    10 416
  40-44岁,    28 256 824,    98 901,    5 351,    14 427,    22 466,    23 107,    33 550,    77 078,    4 596,    10 521,    16 458,    17 236,    28 267
    40,    6 759 707,    36 656,    2 050,    6 372,    9 316,    8 401,    10 517,    29 589,    1 722,    4 903,    7 121,    6 622,    9 221
    41,    5 784 368,    22 746,    1 173,    3 171,    5 199,    5 567,    7 636,    18 346,    1 088,    2 391,    3 977,    4 208,    6 682
    42,    5 493 220,    17 127,    888,    2 236,    3 662,    3 999,    6 342,    12 869,    720,    1 434,    2 626,    2 935,    5 154
    43,    5 297 440,    12 822,    700,    1 536,    2 521,    2 908,    5 157,    9 338,    595,    1 015,    1 603,    2 058,    4 067
    44,    4 922 089,    9 550,    540,    1 112,    1 768,    2 232,    3 898,    6 936,    471,    778,    1 131,    1 413,    3 143
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30.)(续02),,,,,,,,,,,,,
 单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  45-49岁,    21 454 586,    21 567,    1 176,    2 371,    3 727,    5 235,    9 058,    14 188,    980,    1 448,    2 067,    2 739,    6 954
    45,    4 600 448,    7 006,    394,    800,    1 191,    1 631,    2 990,    4 882,    305,    556,    765,    943,    2 313
    46,    4 345 186,    5 001,    256,    525,    825,    1 185,    2 210,    3 386,    233,    314,    455,    650,    1 734
    47,    4 116 524,    3 792,    197,    408,    687,    925,    1 575,    2 403,    167,    243,    344,    492,    1 157
    48,    4 226 592,    3 146,    165,    359,    553,    797,    1 272,    1 959,    145,    189,    283,    352,    990
    49,    4 165 836,    2 622,    164,    279,    471,    697,    1 011,    1 558,    130,    146,    220,    302,    760
  50岁,    4 003 759,    2 083,    110,    197,    363,    626,    787,    1 142,    101,    98,    141,    217,    585
蒙古族,    1 285 320,    48 941,    22 095,    17 366,    5 950,    1 945,    1 585,    53 065,    27 776,    16 651,    5 532,    1 750,    1 356
  15-19岁,    280 531,    684,    636,    44,    4,-,-,    1 223,    1 130,    92,    1,-,-
    15,    51 927,    2,    2,     -,-,-,-,    3,    3,     -,-,-,-
    16,    55 534,    6,    5,    1,-,-,-,    22,    20,    2,-,-,-
    17,    57 456,    40,    39,    1,-,-,-,    78,    75,    3,-,-,-
    18,    56 429,    156,    148,    8,-,-,-,    294,    277,    17,-,-,-
