,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--19全国少数民族分年龄、性别的各行业门类人口数,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
   单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,  Ⅶ、房地产管理、公用事业,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  年龄别,,,,,,,    、物资供销和仓储业,,,    、居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    年龄别,,,,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    385 418,    315 558,    69 860,    539 754,    448 225,    91 529,  1 342 390,    718 347,    624 043,    245 887,    130 256,  115 631,    304 753,    140 917,  163 836,,,总计,    1 209 826,    774 383,    435 443,    57 543,    35 446,    22 097,    141 492,    91 860,    49 632,    928 767,    729 581,    199 186,    5 954,    4 567,    1 387
  42,    788 800,    430 245,    358 555,    637 474,    327 560,    309 914,    53 313,    34 711,    18 602,    836,    706,    130,,,  43,    7 550,    6 324,    1 226,    9 318,    8 139,    1 179,    22 934,    13 034,    9 900,    3 654,    1 986,    1 668,    5 812,    3 202,    2 610,,,  43,    22 839,    15 046,    7 793,    1 051,    616,    435,        1 693,    1 356,    337,    19 555,    16 216,    3 339,    71,    60,    11
  43,    757 170,    413 815,    343 355,    611727,    313 786,    297 941,    50 133,    33 342,    16 791,    833,    708,    125,,,  44,    6 678,    5 546,    1 132,    7 917,    6 837,    1 080,    20 653,    11 690,    8 963,    3 392,    1 783,    1 609,    5 441,    2 961,    2 480,,,  44,    20 884,    13 546,    7 338,    1 037,    615,    422,    1 637,    1 279,    358,    17 748,    14 674,    3 074,    55,    39,    16
  44,    690 154,    372 247,    317 907,    559 728,    283 067,    276 661,    44 323,    29 640,    14 683,    661,    570,    91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3--19全国少数民族分年龄、性别的各行业门类人口数(续01),,,,,,,,,,,,,,,表3--19全国少数民族分年龄、性别的各行业门类人口数(续03),,,,,,,,,,,,,,,,,,表3--19全国少数民族分年龄、性别的各行业门类人口数(续05),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,   Ⅵ、商业、公共饮食业,,,  Ⅶ、房地产管理、公用事业,,,Ⅷ、卫生、体育和社会福利事业,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
