表3-18全国各民族的行业门类人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业、,,,Ⅶ、房地产管理、公用事业、,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,  民族别,,,,,,,      物资供销和仓储业,,,    居民服务和咨询服务业,,,Ⅷ、卫生、体育和社会福利事业,,,,,    民族别,,,,,,,,,,,,,,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,,,,,,,,,,,,,,,,,,总计,15 102 055,  8 846 725,  6 255 330,  1 450 491,    914 083,  536 408, 2 132 142, 1 289 832,  842 310,12 952 647,10 019 017, 2 933 630,  115 991,  82 566, 33 425
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,  Ⅶ、房地产管理、公用事业,,,Ⅷ、卫生、体育和社会福利事业,,,,,,,,,,,,,,,,,,,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,    民族别,,,,,,,    、物资供销和仓储业,,,    、居民服务和咨询服务业,,,,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    ⅩⅢ、其他行业,,
    民族别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    民族别,,,,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,撒拉族,    434,    416,    18,    459,    444,    15,    894,    571,    323,    103,    78,    25,    159,    91,    68,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女
,,,,,,,,,,,,,,,毛南族,    142,    113,    29,    348,    279,    69,    746,    355,    391,    105,    49,    56,    270,    115,    155,,,撒拉族,    1 017,    890,    127,    6,    5,    1,        96,    83,    13,    825,    700,    125,    4,    3,    1
撒拉族,    43 698,    22 690,    21 008,    39 063,    18 969,    20 094,    635,    437,    198,    3,    3,  -,,,仡佬族,    714,    639,    75,    939,    814,    125,    3 584,    1 941,    1 643,    415,    206,    209,    1 030,    596,    434,,,毛南族,    1 152,    775,    377,    30,    20,    10,    107,    70,    37,    840,    680,    160,-,-,-
毛南族,    36 908,    19 366,    17 542,    31 315,    15 755,    15 560,    1 827,    1 131,    696,    26,    24,   2,,,锡伯族,    1 787,    1 401,    386,    2 058,    1 638,    420,    4 349,    2 284,    2 065,    975,    521,    454,    1 335,    470,    865,,,仡佬族,    4 594,    3 382,    1 212,    46,    31,    15,    448,    303,    145,    3 636,    2 941,    695,-,-,-
仡佬族,    243 903,    132 601,    11 1 302,    224 327,    118 796,    105 531,    4 123,    2 913,    1 210,    47,    39,    8,,,阿昌族,    50,    50,    -,    56,    49,    7,    126,    81,    45,    11,    6,    5,    44,    19,    25,,,锡伯族,    4 269,    1 998,    2 271,    429,    264,    165,    547,    303,    244,    3 275,    2 365,    910,    34,    26,    8
锡伯族,    84 811,    49 498,    35 313,    51 426,    29 701,    21 725,    14 175,    8 419,    5 756,    152,    108,    44,,,普米族,    17,    17,    -,    144,    133,    11,    188,    123,    65,    20,    6,    14,    60,    29,    31,,,阿昌族,    170,    123,    47,    4,    3,    1,    35,    29,    6,    234,    191,    43,-,-,-
阿昌族,    13 735,    7 051,    6 684,    12 815,    6 356,    6 459,    189,    144,    45,    1,    -,    1,,,塔吉克族,    4,    3,    1,    80,    79,    1,    143,    131,    12,    45,    28,    17,    152,    100,    52,,,普米族,    279,    225,    54,    5,    3,    2,    43,    37,    6,    317,    271,    46,-,-,-
普米族,    16 040,    8 029,    8 011,    14 699,    6 972,    7 727,    264,    209,    55,    4,    4,   -,,,怒族,    24,    23,    1,    148,    132,    16,    121,    58,    63,    10,    3,    7,    81,    37,    44,,,塔吉克族,    520,    395,    125,    6,    6,    -,    48,    44,    4,    640,    570,    70,    1,    1,-
塔吉克族,    13 874,    8 048,    5 826,    12 117,    6 600,    5 517,    116,    90,    26,    2,    1,    1,,,乌孜别克族,    104,    95,    9,    130,    110,    20,    885,    702,    183,    122,    91,    31,    220,    83,    137,,,怒族,    282,    184,    98,    5,    3,    2,    33,    26,    7,    291,    230,    61,-,-,-
