表3-6全国市各民族分年龄性别的人口数(第二种口径),,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    总人口数,,,    汉族,,,    蒙古族,,,    回族,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
90-94岁,    74 498,    19 401,    55 097,    71 901,    18 466,    53 435,    65,    26,    39,    1 013,    335,    678
  90,    28 010,    7 652,    20 358,    26 962,    7 243,    19 719,    23,    13,    10,    375,    131,    244
  91,    17 818,    4 607,    13 211,    17 286,    4 446,    12 840,    15,    5,    10,    232,    68,    164
  92,    13 240,    3 404,    9 836,    12 785,    3 235,    9 550,    9,    3,    6,    181,    62,    119
  93,    9 184,    2 269,    6 915,    8 870,    2 162,    6 708,    12,    5,    7,    133,    34,    99
  94,    6 246,    1 469,    4 777,    5 998,    1 380,    4 618,    6,-,    6,    92,    40,    52
95—99岁,    11 844,    2 637,    9 207,    11 271,    2 405,    8 866,    9,    5,    4,    200,    69,    131
  95,    4 403,    992,    3 411,    4 215,    929,    3 286,    2,-,    2,    68,    22,    46
  96,    3 023,    676,    2 347,    2 884,    616,    2 268,    1,    1,-,    61,    22,    39
  97,    1 976,    414,    1 562,    1 878,    376,    1 502,    2,    1,    1,    32,    10,    22
  98,    1 417,    309,    1 108,    1 340,    271,    1 069,    4,    3,    1,    22,    10,    12
  99,    1 025,    246,    779,    954,    213,    741,-,-,-,    17,    5,    12
100岁及以上,    1 184,    251,    933,    1 081,    204,    877,    1,    1,-,    40,    14,    26
