表3-21全国少数民族分年龄性别的职业大类人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,表3--21全国少数民族分年龄、性别的职业大类人口数(续02),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,  Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,,    Ⅴ、服务性工作人员,,,  Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运输,,,    Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,    企事业单位负责人,,,,,,,,,,,    年龄别,,,,,,,    工人和有关人员,,,,,
,  合计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  44,    690 154,    372 247,    317 907,    34 576,    21 858,    12 718,    20 704,    18 315,    2 389,    11 031,    8 729,    2 302,    13 303,    7 176,    6 127,,,  43,    13 190,    5 898,    7 292,    604 071,    306 925,    297 146,    52 914,    39 347,    13 567,    105,    66,    39
,,,,,,,,,,,,,,,,,,  44,    11 882,    5 314,    6 568,    552 858,    276 920,    275 938,    45 717,    33 879,    11 838,    83,    56,    27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,表3--21全国少数民族分年龄、性别的职业大类人口数(续03),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,  Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,,,,,,,,,,,,,
  年龄别,,,,,,,    企事业单位负责人,,,,,,,,,,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运输,,,    Ⅷ、不便分类的其他劳动者,,
,  合计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    年龄别,,,,,,,    工人和有关人员,,,,,
45-49岁,    3 361 732,    1 855 936,    1 505 796,    177 927,    115 885,    62 042,    103 486,    92 328,    11 158,    50 660,    40 690,    9 970,    56 134,    31 244,    24 890,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  45,    726 698,    393 566,    333 132,    35 350,    22 600,    12 750,    21 174,    18 796,    2 378,    10 762,    8 687,    2 075,    13 048,    7 254,    5 794,,,45-49岁,    52 497,    26 388,    26 109,    2 743 230,    1 413 489,    1 329 741,    177 452,    135 664,    41 788,    346,    248,    98
  46,    687 491,    379 372,    308 119,    35 163,    22 467,    12 696,    20 741,    18 429,    2 312,    10 398,    8 333,    2 065,    11 659,    6 534,    5 125,,,  45,    11 711,    5 683,    6 028,    593 063,    299 026,    294 037,    41 513,    31 469,    10 044,    77,    51,    26
  47,    660 034,    365 293,    294 741,    36 895,    23 699,    13 196,    21 118,    18 845,    2 273,    10 233,    8 142,    2 091,    11 051,    6 093,    4 958,,,  46,    10 701,    5 264,    5 437,    561 848,    289 951,    271 897,    36 902,    28 342,    8 560,    79,    52,    27
  48,    664 919,    368 396,    296 523,    35 929,    23 569,    12 360,    20 508,      18 309,    2 199,    9 790,    7 828,    1 962,    10 518,    5 823,    4 695,,,  47,    10 260,    5 164,    5 096,    535 549,    276 797,    258 752,    34 850,    26 500,    8 350,    78,    53,    25
  49,    622 590,    349 309,    273 281,    34 590,    23 550,    11 040,    19 945,    17 949,    1 996,    9 477,    7 700,    1 777,    9 858,    5 540,    4 318,,,  48,    10 242,    5 236,    5 006,    544 470,    282 100,    262 370,    33 412,    25 489,    7 923,    50,    42,    8
50-54岁,    2 782 684,    1 617 348,    1 165 336,    138 779,    104 377,    34 402,    90 286,    81 985,    8 301,    40 504,    35 259,    5 245,    38 959,    24 551,    14 408,,,  49,    9 583,    5 041,    4 542,    508 300,    265 615,    242 685,    30 775,    23 864,    6 911,    62,    50,    12
  50,    655 419,    368 426,    286 993,    34 430,    24 343,    10 087,    20 099,    18 145,    1 954,    9 200,    7 764,    1 436,    9 799,    5 926,    3 873,,,50-54岁,    36 351,    24 842,    11 509,    2 334 337,    1 255 688,    1 078 649,    103 224,    90 449,    12 775,    244,    197,    47
  51,    553 287,    323 005,    230 282,    29 723,    21 872,    7 851,    18 991,    17 186,    1 805,    8 376,    7 213,    1 163,    7 947,    4 938,    3 009,,,  50,    9 029,    5 529,    3 500,    544 822,    283 329,    261 493,    27 971,    23 339,    4 632,    69,    51,    18
  52,    561 618,    330 514,    231 104,    27 881,    21 331,    6 550,    18 537,    16 863,    1 674,    8 080,    7 084,    996,    7 714,    4 939,    2 775,,,  51,    7 512,    4 958,    2 554,    458 641,    247 522,    211 119,    22 046,    19 281,    2 765,    51,    35,    16
  53,    520 695,    306 521,    214 174,    24 817,    19 358,    5 459,    17 029,    15 528,    1 501,    7 633,    6 756,    877,    6 972,    4 484,    2 488,,,  52,    7 280,    5 122,    2 158,    471 393,    256 678,    214 715,    20 685,    18 456,    2 229,    48,    41,    7
  54,    491 665,    288 882,    202 783,    21 928,    17 473,    4 455,    15 630,    14 263,    1 367,    7 215,    6 442,    773,    6 527,    4 264,    2 263,,,  53,    6 538,    4 773,    1 765,    440 236,    239 889,    200 347,    17 436,    15 703,    1 733,    34,    30,    4
55-59岁,    2 030 020,    1 226 494,    803 526,63 119,    57 491,    5 628,    54 096,    51 578,    2 518,    27 023,    25 848,    1 175,    26 670,    18 301,    8 369,,,  54,    5 992,    4 460,    1 532,    419 245,    228 270,    190 975,    15 086,    13 670,    1 416,    42,    40,    2
  55,    481 746,    284 409,    197 337,    17 735,    15 289,    2 446,    14 178,    13 258,    920,    6 664,    6 165,    499,    6 459,    4 246,    2 213,,,55-59岁,    23 298,    18 614,    4 684,    1 791 425,    1 014 010,    777 415,    44 195,    40 473,    3 722,    194,    179,    15
  56,    431 681,    261 165,    170 516,    14 722,    13 409,    1 313,    12 924,    12 354,    570,    6 160,    5 906,    254,    5 779,    3 961,    1 818,,,  55,    5 593,    4 284,    1 309,    418 297,    229 503,    188 794,    12 774,    11 624,    1 150,    46,    40,    6
  57,    407 097,    248 318,    158 779,    12 225,    11 351,    874,    11 063,    10 638,    425,    5 645,    5 452,    193,    5 346,    3 716,    1 630,,,  56,    5 209,    4 098,    1 111,    376 465,    211 900,    164 565,    10 384,    9 502,    882,    38,    35,    3
  58,    367 539,    222 870,    144 669,    9 831,    9 251,    580,    8 708,    8 387,    321,    4 646,    4 518,    128,    4 705,    3 299,    1 406,,,  57,    4 709,    3 810,    899,    359 475,    205 402,    154 073,    8 600,    7 919,    681,    34,    30,    4
  59,    341 957,    209 732,    132 225,    8 606,    8 191,    415,    7 223,    6 941,    282,    3 908,    3 807,    101,    4 381,    3 079,    1 302,,,  58,    3 972,    3 240,    732,    329 014,    188 048,    140 966,    6 623,    6 088,    535,    40,    39,    1
60-64岁,    1 187 243,    746 651,    440 592,    17 225,    16 094,    1 131,    9 307,    8 547,    760,    5 005,    4 728,    277,    15 782,    10 894,    4 888,,,  59,    3 815,    3 182,    633,    308 174,    179 157,    129 017,    5 814,    5 340,    474,    36,    35,    1
  60,    350 321,    212 756,    137 565,    6 116,    5 752,    364,    4 239,    4 004,    235,    2 321,    2 243,    78,    4 634,    3 199,    1 435,,,60-64岁,    12 932,    10 918,    2 014,    1 112 932,    682 749,    430 183,    13 969,    12 636,    1 333,    91,    85,    6
  61,    244 515,    152 520,    91 995,    3 505,    3 260,    245,    1 991,    1 816,    175,    1 038,    984,    54,    3 253,    2 179,    1 074,,,  60,    3 699,    3 104,    595,    324 596,    190 218,    134 378,    4 685,    4 209,    476,    31,    27,    4
  62,    237 308,    150 801,    86 507,    3 103,    2 892,    211,    1 429,    1 285,    144,    756,    710,    46,    2 974,    2 053,    921,,,  61,    2 647,    2 235,    412,    229 267,    139 513,    89 754,    2 797,    2 516,    281,    17,    17,   -
  63,    191 159,    123 418,    67 741,    2 408,    2 235,    173,    951,    843,    108,    505,    451,    54,    2 542,    1 765,    777,,,  62,    2 620,    2 181,    439,    223 761,    139 270,    84 491,    2 650,    2 397,    253,    15,    13,    2
  64,    163 940,    107 156,    56 784,    2 093,    1 955,    138,    697,    599,    98,    385,    340,    45,    2 379,    1 698,    681,,,  63,    2 045,    1 753,    292,    180 693,    114 534,    66 159,    2 006,    1 828,    178,    9,    9,    -
65岁及以上,    945 186,    655 962,    289 224,    14 028,    12 979,    1 049,    2 715,    2 254,    461,    1 391,    1 266,    125,    15 578,    11 840,    3 738,,,  64,    1 921,    1 645,    276,    154 615,    99 214,    55 401,    1 831,    1 686,    145,    19,    19,    -
,,,,,,,,,,,,,,,,,,65岁及以上,    11611,    10 364,    1 247,    890 696,    608 829,    281 867,    9 101,    8 369,    732,    66,    61,    5
