表10—16 1989年全国分年龄按月分布的死亡人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——16 1989年全国分年龄按月分布的死亡人口数(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    四月,,,    五月,,,    六月,,,    七月,,,    八月,,,,,,,,,,,,,,,,,
,    合计,,,    一月,,,    二月,,,    三月,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    九月,,,    十月,,,    十一月,,,    十二月,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    552 574,    304 421,    248 153,    524 611,    291 111,    233 500,    537 039,  299 549, 237 490,  545 735,  303 163,  242 572,    551 923,  305 158, 246 765,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
25——29岁,    119 438,    68 135,    51 303,    7 091,    4 190,    2 901,    7 954,    4 396,    3 558,    8 721,    5 014,    3 707,,,  25,    2 778,    1 538,    1 240,    3 009,    1 676,    1 333,    3 174,    1 744,    1 430,    3 343,    1 842,    1 501,    3 160,    1 744,    1 416,,,25——29岁,    10 023,    5 759,    4 264,    10 556,    6 004,    4 552,    9 321,    5 327,    3 994,    9 442,    5 522,    3 920
  25,    32 188,    17 922,    14 266,    2 105,    1 216,    889,    2 305,    1 259,    1 046,    2 497,    1 422,    1 075,,,  26,    2 526,    1 428,    1 098,    2 707,    1 557,    1 150,    3 138,    1 761,    1 377,    3 307,    1 904,    1 403,    3 178,    1 806,    1 372,,,  25,    2 601,    1 461,    1 140,    2 673,    1 471,    1 202,    2 248,    1 254,    994,    2 295,    1 295,    1 000
  26,    31 296,    17 860,    13 436,    1 703,    1 007,    696,    1 950,    1 061,    889,    2 170,    1 236,    934,,,  27,    1 566,    921,    645,    1 648,    946,    702,    1 971,    1 091,    880,    2 140,    1 198,    942,    2 240,    1 251,    989,,,  26,    2 741,    1 597,    1 144,    2 838,    1 627,    1 211,    2 559,    1 444,    1 115,    2 479,    1 432,    1 047
  27,    20 974,    11 962,    9 012,    931,    563,    368,    1 072,    598,    474,    1 243,    681,    562,,,  28,    1 485,    823,    662,    1 465,    829,    636,    1 553,    906,    647,    1 546,    896,    650,    1 459,    837,    622,,,  27,    1 939,    1 093,    846,    2 136,    1 223,    913,    1 958,    1 116,    842,    2 130,    1 281,    849
  28,    16 165,    9 373,    6 792,    1 204,    727,    477,    1 282,    737,    545,    1 396,    834,    562,,,  29,    1 700,    976,    724,    1 709,    993,    716,    1 788,    1 064,    724,    1 921,    1 127,    794,    1 819,    1 065,    754,,,  28,    1 193,    682,    511,    1 286,    741,    545,    1 099,    644,    455,    1 197,    717,    480
  29,    18 815,    11 018,    7 797,    1 148,    677,    471,    1 345,    741,    604,    1 415,    841,    574,,,,,,,,,,,,,,,,,,,,,  29,    1 549,    926,    623,    1 623,    942,    681,    1 457,    869,    588,    1 341,    797,    544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表10——16 1989年全国分年龄按月分布的死亡人口数(续01),,,,,,,,,,,,,,,表10——16 1989年全国分年龄按月分布的死亡人口数(续04),,,,,,,,,,,,,,,,,,表10——16 1989年全国分年龄按月分布的死亡人口数(续07),,,,,,,,,,,,
