表10—13 全国6岁以上死亡人口的文化程度状况,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,    年龄别,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    145 304,    115 829,    29 475,    717 470,    562 617,    154 853,    2 347 035,    1 819 189,    527 846,  5 815 196,    2 472 173,    3 343 023
总计,    9 104 489,    5 034 072,    4 070 417,    19 122,    16 245,    2 877,    21 456,    18 415,    3 041,    38 906,    29 604,    9 302,,,6——9岁,     ——,     ——,     ——,     ——,     ——,     ——,    38 537,    25 193,    13 344,    41 151,    23 118,    18 033
6——9岁,    79 688,    48 311,    31 377,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  6,     ——,     ——,     ——,     ——,     ——,     ——,    4 821,    3 140,    1 681,    18 101,    10 407,    7 694
  6,    22 922,    13 547,    9 375,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  7,     ——,     ——,     ——,     ——,     ——,     ——,    10 301,    6 710,    3 591,    11 411,    6 505,    4 906
  7,    21 712,    13 215,    8 497,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  8,     ——,     ——,     ——,     ——,     ——,     ——,    11 561,    7 718,    3 843,    6 833,    3 709,    3 124
  8,    18 394,    11 427,    6 967,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  9,     ——,     ——,     ——,     ——,     ——,     ——,    11 854,    7 625,    4 229,    4 806,    2 497,    2 309
  51,    87 219,    54 126,    33 093,    589,    475,    114,    551,    467,    84,    1 435,    1 128,    307,,,  51,    1 798,    1 499,    299,    8 860,    7 258,    1 602,    34 879,    26 584,    8 295,    39 107,    16 715,    22 392
  52,    94 303,    58 419,    35 884,    579,    481,    98,    641,    556,    85,    1 544,    1 193,    351,,,  52,    1 804,    1 514,    290,    8 767,    7 319,    1 448,    36 650,    28 223,    8 427,    44 318,    19 133,    25 185
  53,    102 898,    63 455,    39 443,    516,    444,    72,    560,    474,    86,    1 378,    1 106,    272,,,  53,    1 710,    1 448,    262,    9 054,    7 622,    1 432,    38 716,    30 456,    8 260,    50 964,    21 905,    29 059
  54,    110 924,    68 510,    42 414,    533,    452,    81,    619,    536,    83,    1 348,    1 086,    262,,,  54,    1 689,    1 439,    250,    9 200,    7 905,    1 295,    39 868,    31 752,    8 116,    57 667,    25 340,    32 327
55——59岁,    690 222,    432 637,    257 585,    2 348,    1 995,    353,    2 675,    2 414,    261,    5 038,    4 189,    849,,,55——59岁,    10 033,    8 868,    1 165,    50 199,    44 911,    5 288,    224 628,    188 394,    36 234,    395 301,    181 866,    213 435
  55,    120 171,    75 045,    45 126,    495,    414,    81,    561,    518,    43,    1 215,    976,    239,,,  55,    1 786,    1 545,    241,    9 540,    8 333,    1 207,    41 892,    34 196,    7 696,    64 682,    29 063,    35 619
  56,    128 593,    80 744,    47 849,    474,    405,    69,    534,    493,    41,    1 081,    912,    169,,,  56,    1 917,    1 667,    250,    9 971,    8 856,    1 115,    43 743,    36 242,    7 501,    70 873,    32 169,    38 704
  57,    131 218,    82 265,    48 953,    434,    367,    67,    499,    434,    65,    969,    800,    169,,,  57,    1 934,    1 725,    209,    9 587,    8 601,    986,    43 312,    36 369,    6 943,    74 483,    33 969,    40 514
  58,    143 843,    90 438,    53 405,    463,    391,    72,    541,    485,    56,    897,    762,    135,,,  58,    2 087,    1 864,    223,    10 104,    9 123,    981,    45 698,    38 823,    6 875,    84 053,    38 990,    45 063
  59,    166 397,    104 145,    62 252,    482,    418,    64,    540,    484,    56,    876,    739,    137,,,  59,    2 309,    2 067,    242,    10 997,    9 998,    999,    49 983,    42 764,    7 219,    101 210,    47 675,    53 535
60——64岁,    942 471,    582 740,    359 731,    2 185,    1 909,    276,    2 416,    2 203,    213,    3 388,    2 892,    496,,,60——64岁,    11 729,    10 529,    1 200,    53 177,    48 701,    4 476,    258 349,    225 775,    32 574,    611 227,    290 731,    320 496
  60,    171 954,    106 994,    64 960,    471,    406,    65,    527,    488,    39,    730,    613,    117,,,  60,    2 282,    2 053,    229,    10 614,    9 652,    962,    49 516,    42 912,    6 604,    107 814,    50 870,    56 944
  61,    179 982,    112 112,    67 870,    423,    364,    59,    492,    444,    48,    692,    588,    104,,,  61,    2 421,    2 176,    245,    10 694,    9 793,    901,    51 004,    44 495,    6 509,    114 256,    54 252,    60 004
  62,    185 372,    115 070,    70 302,    428,    367,    61,    485,    441,    44,    690,    592,    98,,,  62,    2 350,    2 111,    239,    10 710,    9 810,    900,    51 298,    44 801,    6 497,    119 411,    56 948,    62 463
  63,    191 900,    117 709,    74 191,    430,    383,    47,    448,    401,    47,    636,    555,    81,,,  63,    2 310,    2 068,    242,    10 489,    9 664,    825,    51 480,    45 086,    6 394,    126 107,    59 552,    66 555
  64,    213 263,    130 855,    82 408,    433,    389,    44,    464,    429,    35,    640,    544,    96,,,  64,    2 366,    2 121,    245,    10 670,    9 782,    888,    55 051,    48 481,    6 570,    143 639,    69 109,    74 530
65岁及以上,    5 206 949,    2 670 501,    2 536 448,    7 495,    6 598,    897,    6 430,    5 788,    642,    6 888,    5 414,    1 474,,,65岁及以上,    31 850,    28 358,    3 492,    141 695,    129 418,    12 277,    886 944,    783 668,    103 276,    4 125 647,    1 711 257,    2 414 390
