,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—25全国县分年龄、性别、职业大类 人口数(第二口径),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    1V、商业工作人员,,,    V、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,  Ⅷ、不便分类的其他劳动者,,
,    在业人口总数,,,    1、各类,    专业、技术人员,,    Ⅱ、国家机关党群组织,,,,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,,,
    年龄别,,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    6 061 052,    3 878 792,    2 182 260,    4 110 552,    2 552 314,    1 558 238,  419465686, 218 918474, 200 547 212, 34 726024, 23 653 808, 11 072 216,    44 569,    27 484,    17085
  55,    4 769242,    2 954 280,    1 814 962,    89645,    84053,    5 592,    51 818,    50 804,    1 014,    23 780,    23 083,    697,,,55—59岁,    226 964,    181 649,    45 315,    218 525,    188087,    30438,  19 794 352, 12 193994,  7 600 358,    467 509,  401 484,    66025,    2 159,    2 107,    52
  56,    4 641 330,    2 923 156,    1 718 174,    76 894,    73 685,    3 209,    46054,    45 378,    676,    23 243,    22 807,    436,,,  55,  49 400,    38 876,    10 524,    48073,    40409,    7 664,  4 386 168,  2 613 557,  1 772 611,    119 936,  103 091,    16 845,    422,    407,    15
  57,    4424 305,    2 821 915,    1 602 390,    65437,    63 203,    2 234,    38460,    37 998,    462,    21 218,    20 890,    328,,,  56,    49 377,    39 216,    10 161,    46 804,    39 995,    6 809,  4292007,  2 609 840,  1 682 167,    106451,    91 747,    14 704,    500,    488,    12
  58,    3 884 660,    2 500 751,    1 383 909,    51 621,    50 116,    1 505,    29 628,    29 309,    319,    17 508,    17 304,    204,,,  57,    47 552,    38 314,    9 238,    45 800,    39437,    6 363,  4 109 147,  2 538 948,  1 570 199,    96 259,    82 706,    13 553,    432,    419,    13
  59,    3 606 669,    2 365 596,    1 241 073,    43 198,    41 948,    1 250,    23 259,    23 014,    245,    14 934,    14 785,    149,,,  58,    41 500,    33 405,    8 095,    40 760,    35 552,    5 208,  3 624 308,  2 267411,  1 356 897,    78 910,    67 237,    11 673,    425,    417,    8
60-64岁,    13 212 606,    9 218 006,    3 994 600,    101 121,    96 857,    4 264,    42 193,    41 613,    580,    27 275,    26 902,    373,,,  59,    39 135,    31 838,    7 297,    37 088,    32 694,    4 394,  3 382 722,  2 164 238,  1 218 484,    65 953,    56 703,    9 250,    380,    376,    4
  60,    3 319 182,    2 235060,    1 084 122,    33 100,    32003,    1 097,    16 263,    16 050,    213,    10020,    9 913,    107,,,60-64岁,    158 255,    130 573,    27 682,    150429,    134 626,    15 803,  12 522 120,  8 607 565,  3 914 555,    210426,    179095,    31 331,    787,    775,    12
  61,    2 843 588,    1 950 167,    893 421,    21 626,    20 738,    888,    9 680,    9 548,    132,    6 037,    5 953,    84,,,  60,    37 260,    30 319,    6 941,    35 556,    31 587,    3 969,  3 129 852,  2065 960,  1 063 892,    56 843,    48 943,    7 900,    288,    285,    3
  62,    2 730 882,    1 916 316,    814 566,    18 906,    18 032,    874,    7 408,    7 318,    90,    4 882,    4 804,    78,,,  61,    33 172,    27 120,    6 052,    31 773,    28 242,    3 531,  2 694 392,  1 818 772,    875 620,    46 720,    39 608,    7 112,    188,    186,    2
  63,    2 278439,    1 630 509,    647 930,    14 697,    13 965,    732,    5 081,    5 006,    75,    3 481,    3 427,    54,,,  62,    33 202,    27 390,    5 812,    31 852,    28469,    3 383,  2 591 708,  1 793 788,    797 920,    42 762,    36 357,    6 405,    162,    158,    4
  64,    2040 515,    1 485 954,    554 561,    12 792,    12 119,    673,    3 761,    3 691,    70,    2 855,    2 805,    50,,,  63,    27990,    23 276,    4 714,    26 518,    23 916,    2 602,  2 166 529,  1 532 065,    634464,    34058,    28 770,    5 288,    85,    84,    1
65岁及以上,    10 512 876,    8 049939,    2462 937,    65 908,    59 580,    6 328,    10 118,    9 903,    215,    11 222,    11 018,    204,,,  64,    26 631,    22468,    4 163,    24 730,    22412,    2 318,  1 939 639,  1 396 980,    542 659,    30043,    25 417,    4 626,    64,    62,    2
,,,,,,,,,,,,,,,65岁及以上,    157036,    135449,    21 587,    136 714,    125 849,    10 865,  9992365,  7588271,  2404094,    139214,    1 19582,    19632,    299,287,12
