表6—23 全国市分年龄、性别、职业大类人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—23全国市分年龄、性别、职业大类 人口数(第二口径)(续02),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    Ⅰ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
,    在业人口总数,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    8 187 235,    4015 840,    4 171 395,    8 113 055,    3 389 811,  4 723 244,    30482 578,  15 226 347,  15 256 231, 46 511 049,  28 974 284,  17 536 765,    193 443,  107 760,    85 683
  42,    2 326 915,    1 277 371,    1 049 544,    334084,    147 556,    186 528,    189 215,    154 388,    34 827,    128 381,    84003,    44 378,,,  43,    136094,    64 675,    71 419,    165 243,    56918,    108 325,    532 937,    243 035,    289 902,    760 973,    492475,    268498,    1 240,    672,    568
  43,    2 252 558,    1 251 916,    1 000 642,    333 189,    149 242,    183 947,    197 052,      160 900,    36 152,    125 830,    83 999,    41 831,,,  44,    119 971,    56 565,    63 406,    150 630,    52 907,    97 723,    489011,    222437,    266 574,    654 379,    427 990,    226 389,    1 157,    629,    528
  44,    2 037 969,    1 135 305,    902 664,    317047,    142 682,    174 365,    193 496,    156 971,    36 525,    112 278,    75 124,    37 154,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—23全国市分年龄、性别、职业大类 人口数(第二口径)(续01),,,,,,,,,,,,,,,表6—23全国市分年龄、性别、职业大类 人口数(第二口径)(续03),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口总数,,,    Ⅰ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,    Ⅲ、办事人员和有关人员,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
    年龄别,,,,,,,    企事业单位负责人,,,,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
45—49岁,    8 713 506,    4 994 835,    3 718 671,    1 513 669,    703 494,    810 175,    939 764,    776 292,    163 472,    496 584,    335 706,    160 878,,,45-49岁,    467479,    223 778,    243 701,    664 268,    249 852,    414416,    2 091 620,  1 002 881,    1 088 739,    2 536021,  1 700 335,    835 686,    4 101,    2 497,    1 604
  45,    1 876 319,    1 051 818,    824 501,    300283,    133 636,    166 647,    186 345,    151 407,    34 938,    104 807,    70 688,    34 119,,,  45,    108447,    51 163,    57 284,    140 845,    51 216,    89629,    460046,    213 018,    247 028,    574 630,    380 184,    194446,    916,    506,    410
  46,    1 744 984,    987 087,    757 897,    292 158,    130486,    161 672,    180 754,    147435,    33 319,    98 902,    66415,    32487,,,  46,    97 325,    46 779,    50 546,    129 971,    48481,    81 490,    432 794,    204920,    227 874,    512 187,    342034,    170 153,    893,    537,    356
  47,    1 697 727,    966 786,    730941,    301 599,    136412,    165 187,    187 710,    154949,    32 761,    98 523,    65 908,    32 615,,,  47,    90 587,    43 191,    47 396,    127 643,    47 616,    80027,    402 575,    192 564,    210 011,    488 282,    325 677,    162 605,    808,    469,    339
  48,    1 711 262,    988 790,    722472,    309402,    146 316,    163 086,    191 900,    159 964,    31 936,    97 846,    66 012,    31 834,,,  48,    87 251,    41 943,    45 308,    132 563,    49 900,    82 663,    404 551,    196 965,    207 586,    486 984,    327 207,    159 777,    765,    483,    282
  49,    1 683 214,    1 000 354,    682 860,    310227,    156 644,    153 583,    193 055,    162 537,    30 518,    96 506,    66 683,    29 823,,,  49,    83 869,    40 702,    43 167,    133 246,    52 639,    80607,    391 654,    195414,    196240,    473 938,    325 233,    148 705,    719,    502,    217
50—54岁,    6 664 117,    4 584293,    2 079 824,    1 355 411,    803 706,    551 705,    911 289,    775 296,    135 993,    389 652,    297060,    92 592,,,50-54岁,    308 412,    180 671,    127 741,    463 692,    285 500,    178 192,    1 726 919,    956 774,    770 145,    1 505 552,    1 282 762,    222 790,    3 190,    2 524,    666
  50,    1 488 757,    959 891,    528 866,    300 919,    162 116,    138 803,    186438,    157 137,    29 301,    84 781,    61 847,    22 934,,,  50,    71 983,    38 504,    33479,    105 311,    53 876,    51 435,    359 784,    187 673,    172 111,    378 901,    298 272,    80 629,    640,    466,    174
  51,    1 353 551,    912421,    441 130,    286 317,    164467,    121 850,    180 762,    152981,    27 781,    76 168,    56 945,    19 223,,,  51,    62 908,    35 616,    27 292,    91 096,    53 329,    37 767,    345011,    187088,    157 923,    310 670,    261 521,    49 149,    619,    474,    145
  52,    1 341 350,    935078,    406272,    280090,    169 387,    110 703,    184 695,    157447,    27 248,    76 945,    59058,    17 887,,,  52,    61 165,    36454,    24 711,    91 351,    57983,    33 368,    350 744,    196 816,    153 928,    295 743,    257448,    38295,    617,    485,    132
  53,    1 272 223,    905 049,    367 174,    256 630,    159 724,    96906,    181 692,    155 610,    26 082,    76 278,    59 398,    16 880,,,  53,    57 274,    35 305,    21 969,    88 244,    59 346,    28 898,    339 815,    193 417,    146 398,    271 664,    241 719,    29945,    626,    530,    96
  54,    1 208 236,    871 854,    336 382,    231 455,    148012,    83443,    177 702,    152 121,    25 581,    75480,    59 812,    15 668,,,  54,    55 082,    34 792,    20 290,    87 690,    60 966,    26 724,    331 565,    191 780,    139 785,    248 574,    223 802,    24 772,    688,    569,    119
