表6—34 全国县分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  60—64岁,    53 880,    48 924,    4 956,-,-,-,    1 989,    1 288,    701,-,-,-,,,  60-64岁,-,-,-,    50 060,    45 964,    4 096,    1 610,    1 465,    145,    221,    207,    14
  65岁及以上,    52 145,    47 035,    5 110,-,-,-,    4 427,    3 321,    1 106,-,-,-,,,  65岁及以上,-,-,-,    40 666,    37 568,    3 098,    6 723,    5 833,    890,    329,    313,    16
大学专科,    150 525,    109 432,    41 093,    89 975,    56 802,    33 173,    3 092,    2 043,    1 049,    249,    150,    99,,,大学专科,    3 557,    2 047,    1 510,    39 225,    37 004,    2 221,    5 648,    5 095,    553,    8 779,    6 291,    2 488
  15-9岁,    17 438,    9 367,    8 071,    16 431,    8 860,    7 571,    26,    4,    22,    32,    12,    20,,,  15-19岁,    352,    161,    191,    1,    1,-,    4,    2,    2,    592,    327,    265
  20—24岁,    70 807,    44 372,    26 435,    62 736,    39 637,    23 099,    282,    51,    231,    217,    138,    79,,,  20—24岁,    2 621,    1 463,    1 158,    9,    9,-,    94,    69,    25,    4 848,    3 005,    1 843
  25—29岁,    10 464,    7 824,    2 640,    8 320,    6 262,    2 058,    191,    33,    158,-,-,-,,,  25—29岁,    439,    300,    139,    13,    13,-,    118,    102,    16,    1 383,    1 114,    269
  30-34岁,    2 079,    1 675,    404,    1 542,    1 228,    314,    57,    8,    49,-,-,-,,,  30—34岁,    62,    56,    6,    13,    12,    1,    61,    55,    6,    344,    316,    28
  35—39岁,    1 313,    1 108,    205,    749,    646,    103,    53,    8,    45,-,-,-,,,  35—39岁,    47,    33,    14,        44,    41,    3,    85,    73,    12,    335,    307,    28
  40-44岁,    779,    666,    113,    197,    169,    28,    51,    15,    36,-,-,-,,,  40-44岁,    22,    20,    2,    144,    128,    16,    138,    118,    20,    227,    216,    11
  45—49岁,    1 149,    910,    239,-,-,-,    128,    32,    96,-,-,-,,,  45—49岁,    14,    14, -,    558,    467,    91,    216,    177,    39,    233,    220,    13
