,,,,,,,,,,,,
表6--26全国分性别、文化程度的各职业大、中、小类人口数,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,      中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    采购员和供销人员, 4 542 190, 3 793 293,  748 897,    46 286,    36 357,    9 929,    137 653,    111 987,    25 666,    208 263,    165 279,    42 984
  收购人员,  628 083,  443 406,  184 677,    288,    235,    53,    1 867,    1 521,    346,    11 053,    8 017,    3 036
    农副产品收购人员,  350 425,  251 175,    99 250,    216,    174,    42,    1 461,    1 207,    254,    9 538,    6 987,    2 551
    信托收购人员,    5 374,    3 529,    1 845,    9,    5,    4,    41,    30,    11,    117,    90,    27
    废旧物资回收人员,  272 284,  188 702,    83 582,    63,    56,    7,    365,    284,    81,    1 398,    940,    458
  经纪人和有关人员,    32 929,    26 253,    6 676,    240,    196,    44,    432,    327,    105,    424,    322,    102
    经纪人,    32 929,    26 253,    6 676,    240,    196,    44,    432,    327,    105,    424,    322,    102
  其他商业工作人员,    68 018,    53 481,    14 537,    366,    274,    92,    1 209,    963,    246,    2 962,    2 287,    675
    其他商业工作人员,    68 018,    53 481,    14 537,    366,    274,    92,    1 209,    963,    246,    2 962,    2 287,    675
服务性工作人员, 15 511 513, 7 502 533, 8 008 980,    9 504,    6 801,    2 703,    44 730,    26 379,    18 351,    170 160,    85 174,    84 986
  服务员, 10 958 955, 4 585 913, 6 373 042,    6 924,    4 941,    1 983,    35 208,    19 000,    16 208,    129 063,    54 899,    74 164
    饭馆、餐厅服务员,  1 593 368,  480 546, 1 112 822,    436,    297,    139,    2 581,    1 254,    1 327,    9 312,    3 150,    6 162
    旅店、饭店、宾馆、招待所服务员,  1 123 380,  166 343,  957 037,    896,    445,    451,    6 745,    2 250,    4 495,    16 519,    3 615,    12 904
