表6—31 全国分年龄、性别、文化程度的不在业人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  20—24岁,    1 060 300,    720 427,    339 873,    1 044 631,    710 398,    334 233,    116,    14,    102,    299,    193,    106
  25—29岁,    84 951,    64 224,    20 727,    77 546,    59 174,    18 372,    236,    33,    203,     -,   -,    -
  30-34岁,    20 582,    15 113,    5 469,    17 686,    13 155,    4 531,    151,    24,    127,     -,    -,    -
  35—39岁,    7 986,    5 759,    2 227,    6 392,    4 638,    1 754,    107,    12,    95,     -,     -,    -
  40——44岁,    3 780,    2 841,    939,    2 253,    1 722,    531,    126,    24,    102,     -,     -,    -
  45—-49岁,    3 953,    2 458,    1 495,    -,      -,  -,    222,    51,    171,     -,     -,   -
  50—54岁,    13 166,    7 014,    6 152,    -,     -,  -,    451,    155,    296,      -,     -,    -
  55—59岁,    53 276,    16 737,    36 539,    -,     -,  -,    383,    130,    253,      -,     -,    -
  60—64岁,    106 585,    79 516,    27 069,    -,     -,  -,    588,    250,    338,      -,     -,    -
  65岁及以上,    152 606,    123 901,    28 705,    -,     -,  -,    2 621,    1 101,    1 520,      -,     -,    -
