,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,,,    年龄别,,,,,,,,,,    物资供销和仓储业,,,,,,    Ⅶ、房地产管理、公用事业,,,    Ⅷ、卫生、体育和社会福利事业,,,    Ⅸ、教育、文化艺,,,   Ⅹ、科学研究和综,,,,,,Ⅺ、金融、保险业,,,    Ⅻ、国家机关、政党,,,,,
    年龄别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    居民服务和咨询服务业,,,,,,    术和广播电视事业,,,    合技术服务事业,,,,,  年龄别,,,,    机关和和社会团体,,,ⅩⅢ、其他行业,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,  年龄别,,,,,,,,,,,,,,,,小计,  男,  女,  小计,    男,    女,小计,  男,  女
总计,    480 852 734,    261 461 156,    219 391 578,    81.85,    87.40,    76.09,    428406207,    225 905 501,    202 500 706,    25 123 709,    15 030 593,    10 093 116,,,总计,    137424,    103 974,    33450,    3 509 795,    3 329 983,    179 812,    3 547 538,    3 250 057,    297481,    7 122 972,    4499 769,    2 623 203,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,  502 327,  366 281,  136046,  2 911 968,  2 518471,    393 497,    20 292,    16 071,    4 221
  36,    12 255 870,    6 530079,    5 725 791,    95.72,    99.21,    92.02,    10 788 067,    5 488 826,    5299 241,    667 645,    428 606,    239039,,,  36,    4 654,    3 453,    1 201,    90948,    85 920,    5 028,    123 300,    113 846,    9 454,    209 942,    131 540,    78402,,,  35,    27 239,    20 348,    6 891,    46 250,    28 447,    17 803,    235 542,    169 290,    66252,    2 278,    1 378,    900,,,  36,    9 629,    7 646,    1 983,    90 632,    78 805,    11 827,    463,    332,    131
  37,    11 677 233,    6 206 130,    5 471 103,    95.69,    99.18,    92.01,    10 316 763,    5 234753,    5082 010,    630 614,    409 623,    220 991,,,  37,    4 441,    3 338,    1 103,    84043,    79 597,    4 446,    111 855,    103 271,    8 584,    197 283,    124404,    72 879,,,  36,    24 868,    18 506,    6 362,    44 203,    27 857,    16 346,    199 386,    143424,    55 962,    2 133,    1 318,    815,,,  37,    8 354,    6 683,    1 671,    84 666,    74 301,    10 365,    435,    321,    114
  38,    11 508 916,    6 126 987,    5 381 929,    95.49,    99.16,    91.63,    10 171 738,    5 165 789,    5005 949,    627 649,    411 920,    215 729,,,  38,    3 946,    2 856,    1 090,    82 396,    77951,    4 445,    104 320,    96 299,        8 021,    194 697,    124 311,    70 386,,,  37,    22 936,    16 931,    6 005,    42 128,    27 648,    14480,    171 764,    124038,    47 726,    1 951,    1 222,    729,,,  38,    7 847,    6 265,    1 582,    84 773,    74 940,    9 833,    417,    312,    105
  39,    9 771 913,    5 202 563,    4 569 350,    95.21,    99.12,    91.12,    8 628 978,    4 374 614,    4254 364,    525 117,    348 059,    177058,,,  39,    3 454,    2 511,    943,    69 149,    65 604,    3 545,    83 385,      76 940,    6 445,    167433,    107 823,    59 610,,,  38,    22 579,    16 906,    5 673,    42 380,    28 951,    13 429,    164 199,    119 255,    44 944,    1 975,    1 232,    743,,,  39,    6 754,    5 446,    1 308,    76 630,    68 214,    8 416,    379,    289,    90
40-44岁,    42 889 233,    23 324 874,    19 564 359,    94.31,    98.88,    89.38,    37 850 602,    19 546 201,    18 304401,    2 189 828,    1 522 347,    667481,,,40-44岁,    19 778,    15 389,    4 389,    292 490,    277 164,    15 326,    302 556,    279077,    23 479,    729 554,    494 147,    235 407,,,  39,    19024,    14 212,    4 812,    37438,    26041,    11 397,    152444,    111 722,    40 722,    1 728,    1 088,    640,,,40—44岁,    31 291,    26 309,    4 982,    395 677,    357 300,    38 377,    1 943,    1 605,    338
  40,    10 310 554,    5 598 021,    4 712 533,    94.87,    99.01,    90.39,    9 081 196,    4 689 964,    4 391 232,    546 225,    372043,    174 182,,,  40,    4 195,    3 114,    1 081,    72 615,    68 744,    3 871,    83 333,    76 989,    6 344,    180 131,    118 648,    61 483,,,40-44岁,    83 581,    63417,    20 164,    199 662,    146455,    53 207,    783 642,    589 859,    193 783,    8 629,    5 604,    3 025,,,  40,    7 454,    6 155,    1 299,    87 698,    78 617,    9 081,    434,    359,    75
  41,    8 822 547,    4 793 548,    4028999,    94.74,    98.98,    90.14,    7 778 399,    4 020 565,    3 757 834,    463 574,    315 314,    148 260,,,  41,    3 913,    2 937,    976,    60 669,    57 390,    3 279,    65 921,    60 716,    5 205,    149 571,    99 592,    49 979,,,  40,    20 720,    15 532,    5 188,    43 132,    30 858,    12 274,    181 480,    135 734,    45 746,    1 941,    1 264,    677,,,  41,    5 887,    4 883,    1 004,    76068,    68 225,    7 843,    407,    328,    79
  42,    8 388 020,    4 574 342,    3 813 678,    94.36,    98.88,    89.45,    7400064,    3 835 769,    3 564 295,    432 700,    298 248,    134452,,,  42,    3 956,    3 102,    854,    57 557,    54 579,    2 978,    57 831,    53 353,    4 478,    141 718,    95 914,    45 804,,,  41,    17499,    13 131,    4 368,    39 547,    28 724,    10 823,    159420,    120 668,    38 752,    1 672,    1 075,    597,,,  42,    5 797,    4 849,    948,    76 983,    69 361,    7 622,    377,    302,    75
  43,    8 005 573,    4 365 247,    3 640 326,    93.90,    98.80,    88.63,    7 069 769,    3 654 191,    3 415 578,    398 012,    282 649,    115 363,,,  43,    4 169,    3 345,    824,    53 758,    50 894,    2 864,    51 979,    47 963,    4 016,    135431,    93 596,    41 835,,,  42,    16 203,    12 356,    3 847,    39 606,    29070,    10 536,    153 514,    116 366,    37 148,    1 714,    1 073,    641,,,  43,    6 011,    5 112,    899,    79 273,    71 965,    7 308,    389,    329,    60
  44,    7 362 539,    3 993 716,    3 368 823,    93.43,    98.70,    87.87,    6 521 174,    3 345 712,    3 175 462,    349 317,    254 093,    95 224,,,  44,    3 545,    2 891,    654,    47 891,    45 557,    2 334,    43 492,    40 056,    3 436,    122 703,    86 397,    36 306,,,  43,    15 324,    11 724,    3 600,    39449,    29 167,    10 282,    150 329,    113 216,    37 113,    1 680,    1 096,    584,,,  44,    6 142,    5 310,    832,    75 655,    69 132,    6 523,    336,    287,    49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  44,    13 835,    10 674,    3 161,    37 928,    28 636,    9 292,    138 899,    103 875,    35 024,    1 622,    1 096,    526,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,表6-12全国县分年龄、性别、行业门类 的人口数(第二口径)(续03),,,,,,,,,,,,,,,表6—12全国县分年龄、性别、行业门类 的人口数(第二口径)(续05),,,,,,,,,,,,,,,    单位：人,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    在业人口,,,    占15岁以上人口％,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,,,单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,,Ⅺ、金融、保险业,,,    Ⅻ、国家机关、政党,,,,,
    年龄别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    年龄别,,,,    机关和和社会团体,,, ⅩⅢ、其他行业,,
,  合计,    男,    女,  合计,  男,    女,小计,    男,    女,    小计,    男,    女,,,,    Ⅲ、地质普查和勘探业,,,    Ⅳ、建筑业,,,    V、交通运输、邮电通讯业,,,    Ⅳ、商业、公共饮食业,,,,,,    Ⅶ、房地产管理、公用事业,,,,,,    Ⅸ、教育、文化艺,,,    X、科学研究和综,,,,,,小计,  男,  女,小计,    男,    女,小计,  男,    女
45—49岁,    32 012 534,    18 042 115,    13 970419,    91.49,    98.02,    84.24,    28 601 675,    15 308 960,    13 292 715,    1 293 791,    1 007 109,    286 682,,,    年龄别,,,,,,,,,,    物资供销和仓储业,,,,,,    居民服务和咨询服务业,,,    Ⅷ、卫生、体育和社会福利事业,,,    术和广播电视事业,,,    合技术服务事业,,,,,45—49岁,    34 925,    31 238,    3 687,    309643,    287 545,    22098,    1 409,    1 188,    221
  45,    6 995 286,    3 856 858,    3 138 428,    92.96,    98.55,    86.90,    6 218 230,    3 248 080,    2 970 150,    311 767,    233 630,    78 137,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    年龄别,,,,,,,,,,,,,,,  45,    6 603,    5 796,    807,    72021,    66408,    5 613,    359,    303,    56
