,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    蛋品加工业,    24 514,    12 323,    12 191,    123,    85,    38,    504,    328,    176,    822,    461,    361,,,    蛋品加工业,    5 292,    2 710,    2 582,    11088,    5 894,    5 194,    5 290,    2 428,    2 862,    1 395,    417,    978
    乳品加工业,    102 735,    56 320,    46 415,    880,    639,    241,    2 501,    1 640,    861,    4 109,    2 452,    1 657,,,    乳品加工业,    27 173,    13 998,    13 175,    50 716,    28 003,    22 713,    14 626,    8 409,    6 217,    2 730,    1 179,    1 551
    水产品加工业,    161 078,    91 767,    69 311,    668,    519,    149,    1 471,    1 052,    419,    2 946,    2 034,    912,,,    水产品加工业,    24 279,    15 042,    9 237,    75 683,    43 863,    31 820,    47 772,    26 096,    21 676,    8 259,    3 161,    5 098
    罐头食品制造业,    279 465,    139 192,    140 273,    2 324,    1 692,    632,    5 567,    3 745,    1 822,    9 020,    5 357,    3 663,,,    罐头食品制造业,    64 995,    33 138,    31 857,    136 574,    67 780,    68 794,    54 044,    25 087,    28 957,    6 941,    2 393,    4 548
    加工盐业,    14 030,    8 431,    5 599,    86,    71,    15,    378,    254,    124,    614,    368,    246,,,    加工盐业,    2 864,    1 593,    1 271,    7 234,    4 319,    2 915,    2 454,    1 641,    813,    400,    185,    215
    食品添加剂制造业,    28 307,    16 744,    11 563,    358,    277,    81,    771,    554,    217,    1 105,    703,    402,,,    食品添加剂制造业,    7 456,    4 263,    3 193,    13 812,    8 198,    5 614,    4 205,    2 479,    1 726,    600,    270,    330
    调味品制造业,    266 124,    147 186,    118 938,    1 441,    1 034,    407,    4 817,    3 180,    1 637,    8 187,    4 769,    3 418,,,    调味品制造业,    58 567,    31 114,    27 453,    127 937,    71 516,    56 421,    55 536,    31 367,    24 169,    9 639,    4 206,    5 433
    其他食品制造业,    541 563,    326 888,    214 675,    1 210,    938,    272,    3 765,    2 635,    1 130,    7 138,    4 480,    2 658,,,    其他食品制造业,    75 624,    44 487,    31 137,    231 192,    142 017,    89 175,    173 070,    108 811,    64 259,    49 564,    23 520,    26 044
  饮料制造业,    1 466 453,    844 579,    621 874,    9 386,    7 108,    2 278,    25 392,    17 723,    7 669,    45 631,    28 932,    16 699,,,  饮料制造业,  321 485,  180 376,  141 109,    723 593,    415 177,    308 416,    294 108,    173 430,    120 678,    46 858,    21 833,    25 025
    饮料酒制造业,    1 003 659,    620 192,    383 467,    6 671,    5 101,    1 570,    18 327,    12 860,    5 467,    34 305,    21 949,    12 356,,,    饮料酒制造业,  229 329,  133 924,    95 405,    498 564,  307 306,    191 258,    188 602,    124 291,    64 311,    27 861,    14 761,    13 100
