,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  地质普查和勘探业,    798 147,    600 208,    197 939,    46 154,    39 147,    7 007,    51 435,    39 402,    12 033,    101 462,    75 105,    26 357,,,  地质普查和勘探业,  159 340,  104 507,    54 833,    304 261,    230 632,    73 629,    124 372,    105 203,    19 169,    11 123,    6 212,    4 911
    矿产地质调查业,    384 803,    299 679,    85 124,    21 591,    18 762,    2 829,    25 229,    19 791,    5 438,    52 152,    40 034,    12 118,,,    矿产地质调查业,    76 091,    49 485,    26 606,    144 907,    112 488,    32 419,    60 563,    55 603,    4 960,    4 270,    3 516,    754
    石油地质调查业,    230 784,    162 753,    68 031,    9 955,    8 233,    1 722,    10 872,    8 016,    2 856,    19 776,    12 910,    6 866,,,    石油地质调查业,    47 254,    31 869,    15 385,    97 659,    71 013,    26 646,    40 025,    28 915,    11 110,    5 243,    1 797,    3 446
    海洋地质调查业,    5 129,    3 971,    1 158,    1 177,    951,    226,    536,    389,    147,    577,    381,    196,,,    海洋地质调查业,    869,    592,    277,    1 404,    1 155,    249,    546,    492,    54,    20,    11,    9
    水文、工程和环境地质调查业,    103 865,    80 915,    22 950,    6 597,    5 570,    1 027,    8 488,    6 537,    1 951,    16 632,    12 792,    3 840,,,    水文、工程和环境地质调查业,    20 551,    13 695,    6 856,    36 865,    29 065,    7 800,    13 997,    12 712,    1 285,    735,    544,    191
    区域地质调查业,    15 601,    11 830,    3 771,    1 990,    1 673,    317,    1 521,    1 190,    331,    3 340,    2 544,    796,,,    区域地质调查业,    2 525,    1 470,    1 055,    4 182,    3 093,    1 089,    1 937,    1 778,    159,    106,    82,    24
    地球物理和化学探矿业,    26 635,    19 070,    7 565,    2 288,    1 928,    360,    2 238,    1 674,    564,    4 547,    3 363,    1 184,,,    地球物理和化学探矿业,    5 340,    3 296,    2 044,    8 881,    6 279,    2 602,    3 035,    2 429,    606,    306,    101,    205
    地质测绘业,    11 476,    8 376,    3 100,    701,    594,    107,    1 127,    859,    268,    2 347,    1 698,    649,,,    地质测绘业,    2 710,    1 637,    1 073,    3 533,    2 654,    879,    1 014,    904,    110,    44,    30,    14
    地质矿产勘查技术服务业,    19 854,    13 614,    6 240,    1 855,    1 436,    419,    1 424,    946,    478,    2 091,    1 383,    708,,,    地质矿产勘查技术服务业,    4 000,    2 463,    1 537,    6 830,    4 885,    1 945,    3 255,    2 370,    885,    399,    131,    268
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数(续07),,,,,,,,,,,,,,,表6—13全国按行业门、大、中类分性别、文化程度的人口数(续17),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,,,,,,,,,,,,,,,建筑业,  1 825 091,  1 373 056,  452 035,    5 570 854,  4 738 563,    832 291,    3 012 669,    2 718 392,    294 277,    361 519,    292 667,    68 852
建筑业,    11 642 485,    9 759 181,    1 883 304,    206 355,    161 011,    45 344,    274 365,    198 808,    75 557,    391 632,    276 684,    114 948,,,  土木工程建筑业,  1 559 445,  1 198 325,  361 120,    5 097 068,  4 385 513,    711 555,    2 863 432,    2 594 558,    268 874,    347 820,    283 552,    64 268
  土木工程建筑业,    10 382 037,    8 846 875,    1 535 162,    62 112,    51 748,    10 364,    172 566,    130 664,    41 902,    279 594,    202 515,    77 079,,,    土木工程建筑业,  1 559 445,  1 198 325,  361 120,    5 097 068,  4 385 513,    711 555,    2 863 432,    2 594 558,    268 874,    347 820,    283 552,    64 268
    土木工程建筑业,    10 382 037,    8 846 875,    1 535 162,    62 112,    51 748,    10 364,    172 566,    130 664,    41 902,    279 594,    202 515,    77 079,,,  线路、管道和设备安装业,  207 404,  142 233,    65 171,    415 107,    313 796,    101 311,    133 364,    111 419,    21 945,    12 121,    8 221,    3 900
  线路、管道和设备安装业,    871 132,    651 067,    220 065,    15 176,    12 577,    2 599,    33 718,    24 784,    8 934,    54 242,    38 037,    16 205,,,    线路、管道和设备安装业,  207 404,  142 233,    65 171,    415 107,    313 796,    101 311,    133 364,    111 419,    21 945,    12 121,    8 221,    3 900
    线路、管道和设备安装业,    871 132,    651 067,    220 065,    15 176,    12 577,    2 599,    33 718,    24 784,    8 934,    54 242,    38 037,    16 205,,,  勘察设计业,    58 242,    32 498,    25 744,    58 679,    39 254,    19 425,    15 873,    12 415,    3 458,    1 578,    894,    684
  勘察设计业,    389 316,    261 239,    128 077,    129 067,    96 686,    32 381,    68 081,    43 360,    24 721,    57 796,    36 132,    21 664,,,    勘察设计业,    58 242,    32 498,    25 744,    58 679,    39 254,    19 425,    15 873,    12 415,    3 458,    1 578,    894,    684
    勘察设计业,    389 316,    261 239,    128 077,    129 067,    96 686,    32 381,    68 081,    43 360,    24 721,    57 796,    36 132,    21 664,,,交通运输、邮电通讯业, 2 390 475, 1 773 273,  617 202,    5 493 573,  4 553 851,    939 722,    2 677 580,    2 370 688,    306 892,    439 149,    305 626,    133 523
交通运输、邮电通讯业,    11 751 280,    9 569 472,    2 181 808,    76 769,    62 174,    14 595,    200 989,    154 096,    46 893,    472 745,    349 764,  122 981,,,  交通运输业, 2 098 240, 1 605 285,  492 955,    5 058 361,  4 264 145,    794 216,    2 571 184,    2 286 552,    284 632,    434 962,    302 998,    131 964
  交通运输业,    10 761 616,    8 925 455,    1 836 161,    60 156,    50 231,    9 925,    165 888,    129 771,    36 117,    372 825,    286 473,    86 352,,,    铁路运输业,  689 656,  481 599,  208 057,    1 066 924,    808 661,    258 263,    282 746,    248 228,    34 518,    26 963,    21 002,    5 961
    铁路运输业,    2 295 264,    1 740 052,    555 212,    23 262,    19 211,    4 051,    57 252,    45 335,    11 917,    148 461,    116 016,    32 445,,,    公路运输业,  1 070 246,  864 346,  205 900,    3 063 450,  2 684 183,    379 267,    1 526 333,    1 410 033,    116 300,    169 399,    142 272,    27 127
    公路运输业,    6 033 961,    5 250 812,    783 149,    11 904,    9 722,    2 182,    54 286,    39 965,    14 321,    138 343,    100 291,    38 052,,,    管道运输业,    8 742,    5 052,    3 690,    19 163,    12 336,    6 827,    5 383,    3 935,    1 448,    551,    237,    314
    管道运输业,    41 061,    26 618,    14 443,    1 215,    991,    224,    2 453,    1 828,    625,    3 554,    2 239,    1 315,,,    水上运输业,  209 660,  164 767,    44 893,    551 013,    460 497,    90 516,492 445,    397 130,    95 315,    174 913,    94 515,    80 398
    水上运输业,    1 545 661,    1 216 659,    329 002,    18 594,    16 317,    2 277,    36 261,    30 145,    6 116,    62 775,    53 288,    9 487,,,    航空运输业,    21 451,    13 662,    7 789,    14 411,    10 492,    3 919,    3 459,    2 644,    815,    464,    283,    181
    航空运输业,    63 205,    45 285,    17 920,    3 383,    2 493,    890,    9 911,    7 937,    1 974,    10 126,    7 774,    2 352,,,    装卸搬运业,    98 485,    75 859,    22 626,    343 400,    287 976,    55 424,    260 818,    224 582,    36 236,    62 672,    44 689,    17 983
    装卸搬运业,    782 464,    646 029,    136 435,    1 798,    1 497,    301,    5 725,    4 561,    1 164,    9 566,    6 865,    2 701,,,  邮电通讯业,  292 235,  167 988,  124 247,    435 212,    289 706,    145 506,    106 396,    84 136,    22 260,    4 187,    2 628,    1 559
  邮电通讯业,    989 664,    644 017,    345 647,    16 613,    11 943,    4 670,    35 101,    24 325,    10 776,    99 920,    63 291,    36 629,,,    邮政业,    39 702,    22 491,    17 211,    50 630,    33 592,    17 038,    9 969,    7 887,    2 082,    406,    242,    164
      邮政业,    117 506,    74 061,    43 445,    1 619,    1 104,    515,    5 097,    3 202,    1 895,    10 083,    5 543,    4 540,,,    电讯业,    50 698,    26 708,    23 990,    57 127,    35 550,    21 577,    10 948,    8 550,    2 398,    629,    353,    276
      电讯业,    159 903,    96 107,    63 796,    6 739,    4 535,    2 204,    11 383,    7 350,    4 033,    22 379,    13 061,    9 318,,,    邮电业,  201 835,  118 789,    83 046,    327 455,    220 564,    106 891,    85 479,    67 699,    17 780,    3 152,    2 033,    1 119
      邮电业,    712 255,    473 849,    238 406,    8 255,    6 304,    1 951,    18 621,    13 773,    4 848,    67 458,    44 687,    22 771,,,商业、公共饮食业、物资供销和仓储业, 5 752 732, 2 896 667, 2 856 065,  11 853 264,  6 339 192,    5 514 072,    5 514 227,    3 123 601,    2 390 626,    1 184 753,    459 698,    725 055
商业、公共饮食业、物资供销和仓储业,  25 771 405,    13 720 036,    12 051 369,    131 617,    97 125,    34 492,    451 992,    296 755,    155 237,    882 820,    506 998,  375 822,,,  商业, 4 803 935,2 375 591, 2 428 344,  9 601 741,  5 084 319,    4 517 422,    4 344 059,    2 495 460,    1 848 599,    880 844,    354 613,    526 231
  商业,  20 795 912,    11 015 681,    9 780 231,    103 175,    75 464,    27 711,    349 969,    227 279,    122 690,    712 189,    402 955,  309 234,,,    国内商业, 4 685 473, 2 301 779, 2 383 694,  9 474 008,  5 000 335,    4 473 673,    4 308 632,    2 473 134,    1 835 498,    877 710,    352 912,    524 798
    国内商业,  20 357 833,    10 733 117,    9 624 716,    55 809,    41 628,    14 181,    290 929,    188 609,    102 320,    665 272,    374 720,  290 552,,,    对外贸易业,  118 462,    73 812,    44 650,    127 733,    83 984,    43 749,    35 427,    22 326,    13 101,    3 134,    1 701,    1 433
    对外贸易业,    438 079,    282 564,    155 515,    47 366,    33 836,    13 530,    59 040,    38 670,    20 370,    46 917,    28 235,    18 682,,,  公共饮食业,  391 012,  180 534,  210 478,    1 311 798,    620 053,    691 745,    883 333,    410 609,    472 724,    267 296,    81 037,    186 259
  公共饮食业,    2 888 588,    1 311 928,    1 576 660,    1 614,    1 156,    458,    9 109,    5 675,    3 434,    24 426,    12 864,    11 562,,,    公共饮食业,  391 012,  180 534,  210 478,    1 311 798,    620 053,    691 745,    883 333,    410 609,    472 724,    267 296,    81 037,    186 259
    公共饮食业,    2 888 588,    1 311 928,    1 576 660,    1 614,    1 156,    458,    9 109,    5 675,    3 434,    24 426,    12 864,    11 562,,,  物资供销业,  361 358,  216 542,  144 816,    527 957,    346 632,    181 325,    142 296,    104 846,    37 450,    16 058,    10 370,    5 688
  物资供销业,    1 251 531,    813 236,    438 295,    23 179,    17 740,    5 439,    75 024,    51 244,    23 780,    105 659,    65 862,    39 797,,,    物资供销业,  361 358,  216 542,  144 816,    527 957,    346 632,    181 325,    142 296,    104 846,    37 450,    16 058,    10 370,    5 688
    物资供销业,    1 251 531,    813 236,    438 295,    23 179,    17 740,    5 439,    75 024,    51 244,    23 780,    105 659,    65 862,    39 797,,,  仓储业,  196 427,  124 000,    72 427,    411 768,    288 188,    123 580,    144 539,    112 686,    31 853,    20 555,    13 678,    6 877
  仓储业,    835 374,    579 191,    256 183,    3 649,    2 765,    884,    17 890,    12 557,    5 333,    40 546,    25 317,    15 229,,,    仓储业,  196 427,  124 000,    72 427,    411 768,    288 188,    123 580,    144 539,    112 686,    31 853,    20 555,    13 678,    6 877
    仓储业,    835 374,    579 191,    256 183,    3 649,    2 765,    884,    17 890,    12 557,    5 333,    40 546,    25 317,    15 229,,,房地产.公用事业.居民服务和咨询服务业,  1 426 926,  756 467,  670 459,  2 808 039,  1 526 789,    1 281 250,    1 272 762,    757 617,    515 145,    295 412,    140 990,    154 422
房地产、公用事业居民服务和咨询服务业,    6 188 251,    3 422 372,    2 765 879,    53 892,    38 881,    15 011,    144 305,    93 455,    50 850,    186 915,    108 173,    78 742,,,  房地产管理业,  130 687,    82 228,    48 459,    210 446,    141 924,    68 522,    61 347,    45 387,    15 960,    8 054,    5 136,    2 918
  房地产管理业,    485 033,    325 532,    159 501,    9 029,    7 027,    2 002,    28 046,    19 704,    8 342,    37 424,    24 126,    13 298,,,    房地产管理业,  130 687,    82 228,48 459,    210 446,    141 924,    68 522,    61 347,    45 387,    15 960,    8 054,    5 136,    2 918
    房地产管理业,    485 033,    325 532,    159 501,    9 029,    7 027,    2 002,    28 046,    19 704,    8 342,    37 424,    24 126,    13 298,,,  公用事业,  405 786,  221 903,  183 883,    714 531,    405 335,    309 196,    258 393,    145 366,    113 027,    66 981,    28 173,    38 808
  公用事业,    1 558 511,    871 968,    686 543,    12 259,    8 943,    3 316,    39 341,    25 890,    13 451,    61 220,    36 358,    24 862,,,    市内公共交通业,  233 405,  127 088,  106 317,    341 854,    192 848,    149 006,    65 947,    44 065,    21 882,    5 632,    3 718,    1 914
    市内公共交通业,    689 882,    393 852,    296 030,    3 054,    2 198,    856,    16 033,    10 228,    5 805,    23 957,    13 707,    10 250,,,    园林绿化业,    52 328,    25 909,    26 419,    96 779,    51 543,    45 236,    39 068,    21 000,    18 068,    9 363,    4 642,    4 721
    园林绿化业,    222 449,    118 228,    104 221,    3 861,    2 548,    1 313,    8 071,    5 105,    2 966,    12 979,    7 481,    5 498,,,    清洁卫生业,    53 479,    26 266,    27 213,    149 020,    72 652,    76 368,    104 052,    44 699,    59 353,    42 889,    14 236,    28 653
    清洁卫生业,    361 004,    164 639,    196 365,    977,    695,    282,    3 725,    2 425,    1 300,    6 862,    3 666,    3 196,,,    市政工程管理业,    57 596,    36 296,    21 300,    108 269,    74 400,    33 869,    38 764,    27 550,    11 214,    6 412,    3 885,    2 527
    市政工程管理业,    240 727,    162 645,    78 082,    3 973,    3 164,    809,    10 321,    7 276,    3 045,    15 392,    10 074,    5 318,,,    殡葬事业,    3 889,    2 819,    1 070,    10 858,    8 326,    2 532,    7 933,    6 318,    1 615,    2 159,    1 418,    741
    殡葬事业,    25 834,    19 635,    6 199,    49,    45,    4,    270,    200,    70,    676,    509,    167,,,    其他公用事业,    5 089,    3 525,    1 564,    7 751,    5 566,    2 185,    2 629,    1 734,    895,    526,    274,    252
    其他公用事业,    18 615,    12 969,    5 646,    345,    293,    52,    921,    656,    265,    1 354,    921,    433,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6-13全国按行业门、大、中类分性别、文化程度的人口数(续08),,,,,,,,,,,,,,,表6—13全国按行业门、大、中类分性别、文化程度的人口数(续18),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  居民服务业,    4 017 682,    2 137 458,    1 880 224,    16 787,    10 930,    5 857,    55 160,    32 568,    22 592,    77 130,    40 249,    36 881,,,  居民服务业,  855 560,  429 590,  425 970,    1 848 881,    955 838,    893 043,    944 851,    561 209,    383 642,    219 313,    107 074,    112 239
    旅游业,    85 179,    49 782,    35 397,    6 072,    3 745,    2 327,    8 868,    5 523,    3 345,    5 158,    2 963,    2 195,,,    旅游业,    28 849,    16 158,    12 691,    28 163,    16 619,    11 544,    7 224,    4 338,    2 886,    845,    436,    409
    旅馆业,    1 584 392,    592 660,    991 732,    8 275,    5 243,    3 032,    37 113,    20 570,    16 543,    53 759,    26 031,    27 728,,,    旅馆业,  478 714,    178 087,  300 627,    720 795,    255 027,    465 768,    239 033,    93 214,    145 819,    46 703,    14 488,    32 215
    理发业,    759 480,    377 010,    382 470,    100,    70,    30,    482,    255,    227,    1 748,    775,    973,,,    理发业,    72 224,    29 667,    42 557,    383 458,    161 466,    221 992,    253 798,    150 097,    103 701,    47 670,    34 680,    12 990
    浴池业,    46 724,    27 858,    18 866,    31,    20,      11,    236,    149,    87,    635,    297,    338,,,    浴池业,    8 297,    4 094,    4 203,    23 689,    13 577,    10 112,    11 258,    7 893,    3 365,    2 578,    1 828,    750
    洗染业,    26 957,    11 692,    15 265,    46,    29,    17,    248,    150,    98,    578,    235,    343,,,    洗染业,    6 125,    2 459,    3 666,    14 298,    6 182,    8 1 16,    4 922,    2 396,    2 526,    740,    241,    499
    摄影业,    151 729,    79 951,    71 778,    249,    188,    61,    1 927,    1 191,    736,    3 814,    1 777,    2 037,,,    摄影业,    45 698,    23 571,    22 127,    78 012,    41 138,    36 874,    21 077,    11 700,    9 377,    952,    386,    566
    日用品修理业,    805 990,    709 084,    96 906,    668,    602,    66,    2 251,    1 897,    354,    5 291,    4 497,    794,,,    日用品修理业,  137 150,    121 892,    15 258,    371 752,    329 512,    42 240,    241 269,    213 735,    27 534,    47 609,    36 949,    10 660
    其他居民服务业,    557 231,    289 421,    267 810,    1 346,    1 033,    313,    4 035,    2 833,    1 202,    6 147,    3 674,    2 473,,,    其他居民服务业,    78 503,    53 662,    24 841,    228 714,    132 317,    96 397,    166 270,    77 836,    88 434,    72 216,    18 066,    54 150
  咨询服务业,    127 025,    87 414,    39 611,    15 817,    11981,    3 836,    21 758,    15 293,    6 465,    11 141,    7 440,    3 701,,,  咨询服务业,    34 893,    22 746,    12 147,    34 181,    23 692,    10 489,    8 171,    5 655,    2 516,    1 064,    607,    457
    咨询服务业,    38 148,    25 103,    13 045,    7 606,    5 780,    1 826,    7 105,    4 778,    2 327,    3 538,    2 189,    1 349,,,    咨询服务业,    9 224,    5 302,    3 922,    8 621,    5 604,    3 017,    1 809,    1 284,    525,    245,    166,    79
    广告业,    25 739,    16 854,    8 885,    846,    629,    217,    2 572,    1 822,    750,    1 773,    1 158,    615,,,    广告业,    8 573,    5 411,    3 162,    9 942,    6 496,    3 446,    1 865,    1 237,    628,    168,    101,    67
    其它咨询服务业,    63 138,    45 457,    17 681,    7 365,    5 572,    1 793,    12 081,    8 693,    3 388,    5 830,    4 093,    1 737,,,    其它咨询服务业,    17 096,    12 033,    5 063,    15 618,    11 592,    4 026,    4 497,    3 134,    1 363,    651,    340,    311
卫生、体育和社会福利事业,    5 167 832,    2 407 710,    2 760 122,    318 249,    192 144,    126 105,    427 298,    248 198,    179 100,  1 412 373,    421 401,  990 972,,,卫生、体育和社会福利事业,  933 195,  435 843,  497 352,    1 553 536,    825 417,    728 119,    457 584,    258 992,    198 592,    65 597,    25 715,    39 882
  卫生事业,    4 974 019,    2 288 747,    2 685 272,    313 736,    188 813,    124 923,    414 886,    239 729,    175 157,  1 397 671,    413 087,  984 584,,,  卫生事业,  895 570,  413 230,  482 340,    1 482 740,    783 065,    699 675,    416 682,    232 773,    183 909,    52 734,    18 050,    34 684
    医院,    3 715 137,    1 551 818,    2 163 319,    277 431,    167 115,    110 316,    343 400,    196 538,    146 862,  1 174 755,    319 011,  855 744,,,    医院,  644 317,  265 641,  378 676,    987 455,    463 572,    523 883,    250 497,    126 053,    124 444,    37 282,    13 888,    23 394
    疗养院,    82 256,    41 927,    40 329,    3 848,    2 414,    1 434,    6 368,    3 729,    2 639,    16 500,    4 993,    11 507,,,    疗养院,    17 630,    9 006,    8 624,    28 373,    15 693,    12 680,    8 229,    5 376,    2 853,    1 308,    716,    592
    门诊部(所),    532 882,    393 999,    138 883,    4 579,    3 005,    1 574,    13 895,    10 139,    3 756,    38 508,    21 737,    16 771,,,    门诊部(所),  107 561,    80 860,    26 701,    270 758,    206 631,    64 127,    94 429,    70 093,    24 336,    3 152,    1 534,    1 618
    专科防治所(站),    69 914,    37 216,    32 698,    4 360,    2 803,    1 557,    7 531,    4 748,    2 783,    20 932,    8 556,    12 376,,,    专科防治所(站),    12 859,    6 790,    6 069,    18 019,    10 463,    7 556,    5 484,    3 518,    1 966,    729,    338,    391
    卫生防疫站,    192 097,    115 724,    76 373,    13 434,    8 831,    4 603,    24 942,    16 971,    7 971,    75 549,    44 208,    31 341,,,    卫生防疫站,    34 921,    19 803,    15118,    34 722,    20 897,    13 825,    7 522,    4 589,    2 933,    1 007,    425,    582
    妇幼保健所(站),    89 325,    16 076,    73 249,    3 795,    1 092,    2 703,    9 004,    2 118,    6 886,    43 285,    4 484,    38 801,,,    妇幼保健所(站),    14 017,    3 409,    10 608,    14 773,    3 849,    10 924,    3 774,    983,    2 791,    677,    141,    536
    药品检验所(室),    19 947,    10 822,    9 125,    4 381,    2 407,    1 974,    3 730,    2 061,    1 669,    5 652,    3 133,    2 519,,,    药品检验所(室),    2 767,    1 398,    1 369,    2 693,    1 433,    1 260,    606,    338,    268,    118,    52,    66
    其他卫生事业,    272 461,    121 165,    151 296,    1 908,    1 146,    762,    6 016,    3 425,    2 591,    22 490,    6 965,    15 525,,,    其他卫生事业,    61 498,    26 323,    35 175,    125 947,    60 527,    65 420,    46 141,    21 823,    24 318,    8 461,    956,    7 505
  体育事业,    61 623,    40 550,    21 073,    3 655,    2 747,    908,    9 424,    6 528,    2 896,    7 807,    4 838,    2 969,,,  体育事业,    14 730,    9 645,    5 085,    20 552,    13 175,    7 377,    4 684,    3 134,    1 550,    771,    483,    288
    体育事业,    61 623,    40 550,    21 073,    3 655,    2 747,    908,    9 424,    6 528,    2 896,    7 807,    4 838,    2 969,,,    体育事业,    14 730,    9 645,    5 085,    20 552,    13 175,    7 377,    4 684,    3 134,    1 550,    771,    483,    288
  社会福利事业,    132 190,    78 413,    53 777,    858,    584,    274,    2 988,    1 941,    1 047,    6 895,    3 476,    3 419,,,社会福利事业,    22 895,    12 968,    9 927,    50 244,    29 177,    21 067,    36 218,    23 085,    13 133,    12 092,    7 182,    4 910
    社会福利事业,    132 190,    78 413,    53 777,    858,    584,    274,    2 988,    1 941,    1 047,    6 895,    3 476,    3 419,,,  社会福利事业,    22 895,    12 968,    9 927,    50 244,    29 177,    21 067,    36 218,    23 085,    13 133,    12 092,    7 182,    4 910
教育、文化艺术和广播电视事业,  15 102 055,    8 846 725,  6 255 330,    1 407 816,    969 389,    438 427,  2 057 970,  1 351 355,    706 615,  3 797 470,  2 135 953,  1 661 517,,,教育、文化艺术和广播电视事业, 3 821 951, 2 148 946, 1 673 005,    3 191 729,  1 746 282,    1 445 447,    695 036,    424 807,    270 229,    130 083,    69 993,    60 090
  教育事业,  13 747 000,    7 940 297,    5 806 703,    1 326 283,    911 112,    415 171,  1 924 628,  1 260 996,    663 632,  3 672 735,  2 057 583,  1 615 152,,,  教育事业, 3 470 558, 1 924 965, 1 545 593,    2 736 030,  1 440 041,    1 295 989,    517 757,    294 572,    223 185,    99 009,    51 028,    47 981
    高等教育事业,    1 253 606,    776 690,    476 916,    562 007,    390 612,    171 395,    194 044,    112 342,    81 702,    94 107,    41 741,    52 366,,,    高等教育事业,  147 139,    77 544,    69 595,    183 343,    110 628,    72 715,    60 444,    37 697,    22 747,    12 522,    6 126,    6 396
    中等教育事业,    5 130 231,    3 372 672,    1 757 559,    701 174,    476 862,    224 312,  1 493 327,  1 002 449,    490 878,  1 204 296,    796 897,  407 399,,,    中等教育事业,  874 498,  557 235,  317 263,    583 288,    373 644,    209 644,    227 222,    139 586,    87 636,    46 426,    25 999,    20 427
    初等教育事业,    6 528 198,    3 602 739,    2 925 459,    20 429,    12 991,    7 438,    176 297,    111 230,    65 067,  2 206 928,  1 191 184, 1 015 744,,,    初等教育事业, 2 242 569,  1 259 437,  983 132,    1 696 768,    912 542,    784 226,    158 274,    99 637,    58 637,    26 933,    15 718,    11 215
    学前教育事业,    582 667,    21 394,    561 273,    1 239,    224,    1 015,    10 904,    627,    10 277,    124 575,    1 797,  122 778,,,    学前教育事业,  162 952,    4 287,  158 665,    219 426,    8 031,    211 395,    53 682,    5 104,    48 578,    9 889,    1 324,    8 565
    特殊教育事业,    18 062,    7 186,    10 876,    426,    266,    160,    1 606,    776,    830,    7 257,    2 363,    4 894,,,    特殊教育事业,    3 775,    1 409,    2 366,    3 639,    1 600,    2 039,    1 155,    662,    493,    204,    110,    94
    其他教育事业,    234 236,    159 616,    74 620,    41 008,    30 1 57,    10 851,    48 450,    33 572,    14 878,    35 572,    23 601,    11 971,,,    其他教育事业,    39 625,    25 053,    14 572,    49 566,    33 596,    15 970,    16 980,    1 1 886,    5 094,    3 035,    1 751,    1 284
  文化艺术事业,    1 107 482,    726 724,    380 758,    64 052,    45 358,    18 694,    102 766,    68 529,    34 237,    100 833,    61 718,    39 115,,,  文化艺术事业,  275 130,  172 320,  102 810,    377 075,    247 129,    129 946,    157 750,    113 548,    44 202,    29 876,    18 122,    11 754
    电影事业,    300 602,    205 559,    95 043,    3 763,    2 810,    953,    12 393,    8 852,    3 541,    20 728,    14 551,    6 177,,,    电影事业,    89 768,    60 241,    29 527,    132 722,    91 420,    41 302,    37 660,    25 672,    1 1 988,    3 568,    2 013,    1 555
    艺术事业,    228 487,    144 018,    84 469,    6 839,    4 836,    2 003,    12 471,    8 868,    3 603,    33 178,    20 044,    13 134,,,    艺术事业,    46 853,    30 074,    16 779,    92 616,    56 990,    35 626,    34 112,    21 655,    12 457,    2 418,    1 551,    867
    出版事业,    160 617,    102 042,    58 575,    35 918,    25 428,    10 490,    36 189,    24 142,    12 047,    1 1 211,    6 483,    4 728,,,    出版事业,    38 969,    22 232,    16 737,    32 521,    20 097,    12 424,    5 237,    3 367,    1 870,    572,    293,    279
    文物事业,    42 380,    25 440,    16 940,    3 430,    2 467,    963,    5 969,    3 700,    2 269,    3 847,    2 359,    1 488,,,    文物事业,    12 413,    6 609,    5 804,    12 255,    7 264,    4 991,    3 637,    2 478,    1 159,    829,    563,    266
    图书馆事业,    44 132,    17 724,    26 408,    3 434,    1 752,    1 682,    9 336,    4 099,    5 237,    6 471,    2 216,    4 255,,,    图书馆事业,    13 361,    4 992,    8 369,    9 648,    3 773,    5 875,    1 699,    792,    907,    183,    100,    83
    群众文化事业,    170 131,    105 331,    64 800,    4 197,    3 115,    1 082,    16 311,    11 376,    4 935,    18 579,    11 321,    7 258,,,    群众文化事业,    54 233,    33 982,    20 251,    57 450,    34 080,    23 370,    16 427,    9 863,    6 564,    2 934,    1 594,    1 340
    新闻事业,    11 699,    8 200,    3 499,    2 945,    2 310,    635,    2 542,    1 914,    628,    750,    479,    271,,,    新闻事业,    2 568,    1 571,    997,    2 444,    1 630,    814,    412,    277,    135,    38,    19,    19
    其他文化事业,    149 434,    118 410,    31 024,    3 526,    2 640,    886,    7 555,    5 578,    1 977,    6 069,    4 265,    1 804,,,    其他文化事业,    16 965,    12 619,    4 346,    37 419,    31 875,    5 544,    58 566,    49 444,    9 122,    19 334,    11 989,    7 345
,,,,,,,,,,,,,,,,,,,,,,,,,,,
