表5    各职业大类人口和未工作人口（长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位：人
县市名,,,,,,,,,,,,,,,,,
,15岁及以上人口,各种职业人口,国家机关、党群组织、,专业技术人员,办事人员和有关人员,商业、服务业人员,农林牧渔水利业,生产、运输设备操作,不便分类的其他,各种未工作人口,在校学生,料理家务,离退休,丧失劳动能力,从未工作,失去工作,其他
,总        计,总        计,企业、事业单位负责人,,,,生  产  人  员,人 员 及 有 关 人 员,从  业  人  员,总        计,,,,,正在寻找工作,正在寻找工作,
,,,,,,,,,,,,,,,,,
泸州市,292018,232120,1473,8890,3179,14025,190219,14151,183,59898,10442,18613,9778,13111,2264,2128,3562
江阳区,41486,28816,295,2389,1171,3415,18229,3317,,12670,3233,2611,3338,1461,528,663,836
纳溪区,30605,25277,134,1080,267,1663,19956,2146,31,5328,715,1571,1114,1219,177,224,308
龙马潭区,22716,16242,219,937,493,1874,10423,2277,19,6474,848,2000,1651,730,306,499,440
泸县,58918,48325,189,1382,219,1827,42956,1647,105,10593,1725,4131,858,3099,220,141,419
合江县,52171,42423,304,1253,328,2499,35844,2178,17,9748,1810,2892,1204,2669,332,355,486
叙永县,42325,34206,196,895,408,1744,29260,1695,8,8119,879,3049,990,1984,362,179,676
古蔺县,43797,36831,136,954,293,1003,33551,891,3,6966,1232,2359,623,1949,339,67,397
德阳市,298259,246861,1911,9715,5260,20082,181698,28061,134,51398,9280,15130,10693,8897,1777,2452,3169
旌阳区,51066,37728,496,2776,2327,5136,19211,7773,9,13338,3048,3149,3688,1338,491,881,743
中江县,104192,91959,325,1970,446,5533,78590,5062,33,12233,2443,3559,1852,2633,318,293,1135
罗江县,19088,16294,134,527,210,1311,12108,2003,1,2794,449,971,366,700,101,104,103
广汉市,46988,36994,359,1624,993,2845,26427,4729,17,9994,1395,3297,2092,1649,393,531,637
什邡市,34695,29024,306,1192,606,2270,21308,3316,26,5671,845,1961,1248,875,205,315,222
绵竹市,42230,34862,291,1626,678,2987,24054,5178,48,7368,1100,2193,1447,1702,269,328,329
绵阳市,374352,303659,2929,13124,6128,23184,231381,26775,138,70693,15896,18374,14364,12378,2679,3578,3424
涪城区,53459,35601,945,3414,2414,7667,13414,7718,29,17858,5256,4007,4133,1190,892,1569,811
游仙区,37668,29220,348,1706,585,2171,21628,2769,13,8448,2066,2252,1957,1235,320,253,365
三台县,95707,82705,548,2186,629,3403,72640,3295,4,13002,3216,3066,2397,3082,335,446,460
盐亭县,37243,31047,204,1087,300,1463,26670,1303,20,6196,1332,1362,881,1987,148,187,299
安县,34369,29780,144,945,370,1943,24291,2052,35,4589,673,1781,573,1049,163,156,194
梓潼县,25244,21288,213,654,238,1210,17933,1036,4,3956,594,1279,464,1228,108,150,133
北川县,11241,9882,105,317,106,519,8234,597,4,1359,228,475,178,324,41,58,55
平武县,13762,11905,99,426,124,645,10020,582,9,1857,279,647,250,415,67,54,145
江油市,65659,52231,323,2389,1362,4163,36551,7423,20,13428,2252,3505,3531,1868,605,705,962
广元市,218461,181581,1751,6782,2888,8842,151276,9880,162,36880,6941,10446,5329,8952,1712,1610,1890
市中区,34591,23903,498,2179,1369,3312,11920,4582,43,10688,1843,3130,2376,1054,788,779,718
元坝区,16629,14607,88,449,188,404,13169,301,8,2022,377,493,156,796,60,47,93
朝天区,14228,12687,40,287,127,280,11730,218,5,1541,246,404,79,739,26,20,27
旺苍县,32131,26169,272,1032,350,1330,20901,2215,69,5962,794,1868,1012,1421,318,249,300
青川县,18472,15581,104,526,240,544,13528,638,1,2891,382,987,257,811,133,71,250
剑阁县,47213,41220,331,1025,361,1367,37407,726,3,5993,1525,1379,549,2015,168,152,205
苍溪县,55197,47414,418,1284,253,1605,42621,1200,33,7783,1774,2185,900,2116,219,292,297
遂宁市,222173,179386,1001,6226,1932,10486,148822,10863,56,42787,8900,12065,7635,9218,1858,1299,1812
市中区,87370,69082,428,2311,926,4393,56268,4725,31,18288,3616,5366,3608,2987,949,711,1051
蓬溪县,40888,33086,169,1174,276,1416,29015,1027,9,7802,1681,2123,1052,2148,276,262,260
射洪县,62913,51192,278,1973,504,3406,41026,3990,15,11721,2479,2946,2213,2966,441,318,358
大英县,31002,26026,126,768,226,1271,22513,1121,1,4976,1124,1630,762,1117,192,8,143
内江市,299463,238353,1689,8305,4114,13849,188667,21635,94,61110,11882,17783,10843,12629,2157,2561,3255
市中区,41438,28855,462,1898,1540,3604,16785,4560,6,12583,1939,3072,3577,1370,574,1033,1018
东兴区,64973,53237,217,1334,632,2131,44355,4534,34,11736,3574,3078,1452,2487,309,323,513
威远县,53130,43003,308,1583,893,2572,31935,5709,3,10127,1457,3422,1779,2135,369,499,466
资中县,85769,70109,357,2072,533,2883,60963,3292,9,15660,2959,4834,2130,4165,470,424,678
隆昌县,54153,43149,345,1418,516,2659,34629,3540,42,11004,1953,3377,1905,2472,435,282,580
乐山市,250562,197935,1474,7631,4407,14622,151173,18373,255,52627,7825,14590,11720,9185,2128,3071,4108
市中区,43394,29944,395,1891,1164,3818,19023,3640,13,13450,2839,2755,3331,1747,532,1001,1245
沙湾区,14248,11243,31,462,375,592,8771,971,41,3005,232,767,980,374,143,282,227
五通桥区,24670,18004,106,769,453,1592,12464,2611,9,6666,625,1611,2041,1053,295,571,470
金口河区,3810,3081,31,172,107,218,1972,571,10,729,58,286,206,95,21,23,40
犍为县,39030,32121,168,904,428,1845,26531,2179,66,6909,942,2026,1248,1923,308,190,272
井研县,27826,23527,194,748,401,1237,19800,1137,10,4299,523,1563,550,399,146,200,918
夹江县,26352,22259,165,647,282,1142,17903,2041,79,4093,410,1522,737,953,116,129,226
沐川县,17110,14425,84,367,168,643,12385,776,2,2685,268,1007,272,710,148,100,180
峨边彝族自治县,9188,7865,62,321,133,479,6267,602,1,1323,154,370,331,295,62,70,41
马边彝族自治县,11478,10209,34,274,113,273,9282,214,19,1269,147,505,155,291,79,19,73
峨眉山市,33456,25257,204,1076,783,2783,16775,3631,5,8199,1627,2178,1869,1345,278,486,416
南充市,393542,315271,2511,11950,4228,17042,263163,16195,182,78271,18027,16972,12434,19278,4810,3179,3571
顺庆区,41157,25584,738,2511,1421,4331,12519,4053,11,15573,4783,2254,3855,1111,1208,1310,1052
高坪区,33208,26659,170,972,317,1388,22211,1599,2,6549,1504,1564,1090,1165,549,264,413
嘉陵区,36825,31338,66,780,275,918,28295,1000,4,5487,1260,1302,511,1772,309,111,222
南部县,69381,56491,481,1978,409,2588,47939,3077,19,12890,2820,3090,1556,3952,791,293,388
营山县,44058,36258,176,1013,358,1820,31289,1516,86,7800,1335,1961,1070,2615,358,163,298
蓬安县,36612,30366,167,1126,327,1322,26485,939,,6246,1276,1596,864,1530,449,235,296
仪陇县,51258,43032,241,1226,284,1472,38830,948,31,8226,2022,1751,877,2763,380,219,214
西充县,32202,25966,240,1049,240,1190,22467,758,22,6236,1435,1427,848,1805,282,86,353
阆中市,48841,39577,232,1295,597,2013,33128,2305,7,9264,1592,2027,1763,2565,484,498,335
眉山市,228841,185840,1207,6384,2079,12093,152556,11349,172,43001,6052,17736,5149,10138,966,1056,1904
东坡区,61294,49034,366,1890,613,4197,38701,3175,92,12260,1561,5535,1612,2399,257,345,551
仁寿县,91792,75113,457,2512,420,4063,64250,3343,68,16679,2956,7028,1531,3944,337,266,617
彭山县,23191,17820,120,661,358,1689,13086,1901,5,5371,475,1855,806,1562,177,184,312
洪雅县,25278,21401,150,577,302,973,17902,1495,2,3877,453,1591,520,936,100,121,156
丹棱县,12311,10340,66,300,182,505,8836,446,5,1971,267,791,227,487,38,29,132
青神县,14975,12132,48,444,204,666,9781,989,,2843,340,936,453,810,57,111,136
宜宾市,345735,284854,2066,7860,5099,17719,230738,21331,41,60881,9359,16364,10620,11415,6129,2736,4258
翠屏区,61896,45021,772,2457,2343,6497,25179,7761,12,16875,3125,2932,4956,1668,1684,1271,1239
宜宾县,66246,58417,317,1090,416,2055,52797,1742,,7829,1482,2083,880,1992,610,249,533
南溪县,26111,21744,171,613,308,1199,17928,1519,6,4367,742,883,989,1006,431,188,128
江安县,32637,27298,139,683,251,1572,23274,1367,12,5339,817,1578,729,1354,528,166,167
长宁县,27479,23477,79,578,198,1287,19643,1692,,4002,593,1279,475,1001,400,104,150
高县,33986,29875,108,608,417,1307,26023,1412,,4111,678,1254,479,501,396,169,634
珙县,28339,22047,192,643,611,1342,16431,2825,3,6292,607,2137,877,901,863,308,599
筠连县,24042,19554,125,421,198,840,16920,1043,7,4488,504,1733,400,894,501,71,385
兴文县,27715,22486,103,459,198,1001,19319,1406,,5229,550,1694,559,1537,458,152,279
屏山县,17284,14935,60,308,159,619,13224,564,1,2349,261,791,276,561,258,58,144
广安市,241312,199295,1024,6359,2161,9661,170112,9736,242,42017,7640,14502,4564,10170,988,1185,2968
广安区,64666,53103,294,1818,729,3206,44239,2737,80,11563,1866,4184,1234,2890,248,288,853
岳池县,63801,54793,127,1429,434,2077,49167,1536,23,9008,1690,3047,963,2354,163,193,598
武胜县,43504,34814,164,1016,300,1587,30731,1003,13,8690,1758,2754,960,2354,199,288,377
邻水县,48400,40836,230,1295,350,1594,36034,1302,31,7564,1655,2487,708,1762,187,252,513
华蓥市,20941,15749,209,801,348,1197,9941,3158,95,5192,671,2030,699,810,191,164,627
达州市,348786,291043,2277,10757,5108,16057,239694,16918,232,57743,11230,16743,8575,11326,2134,2483,5252
通川区,28942,20257,451,1860,1569,4026,8828,3499,24,8685,1880,1696,2339,537,441,616,1176
达县,69978,59514,329,1651,768,2703,51150,2885,28,10464,2150,3146,1311,2191,375,404,887
宣汉县,61623,53259,343,1842,525,2263,46552,1689,45,8364,1832,2610,981,2061,246,212,422
开江县,28638,23558,187,925,363,1094,18813,2150,26,5080,733,1765,648,1170,186,256,322
大竹县,56614,47815,270,1617,574,1919,41437,1976,22,8799,1714,2532,1078,1831,314,362,968
渠县,69372,58298,459,1959,738,2700,50014,2341,87,11074,2131,3386,1460,2388,332,374,1003
万源市,33619,28342,238,903,571,1352,22900,2378,,5277,790,1608,758,1148,240,259,474
雅安市,114890,91784,781,3866,2092,5579,71016,8387,63,23106,3879,7089,4254,4539,924,1172,1249
雨城区,26268,18116,252,1150,809,1733,11778,2381,13,8152,1940,1649,2249,743,378,722,471
名山县,20123,17175,88,496,197,813,14675,902,4,2948,448,1099,303,760,79,74,185
荥经县,10791,8737,79,378,154,607,6196,1314,9,2054,186,872,264,458,91,76,107
汉源县,25624,21449,112,634,198,935,18419,1139,12,4175,554,1433,457,1352,115,56,208
石棉县,9117,7214,76,450,194,428,5056,998,12,1903,233,570,448,313,111,129,99
天全县,10847,8907,69,337,216,594,6722,964,5,1940,232,737,254,495,81,70,71
芦山县,8134,6964,43,254,225,289,5826,322,5,1170,192,363,201,296,35,24,59
宝兴县,3986,3222,62,167,99,180,2344,367,3,764,94,366,78,122,34,21,49
巴中市,197535,166934,1473,6041,1837,7582,144848,5098,55,30601,6072,8582,3484,9178,1174,626,1485
巴州区,72246,61070,643,2422,838,3407,51413,2337,10,11176,2253,3197,1334,3088,422,275,607
通江县,41391,33938,278,1212,339,1217,30023,836,33,7453,1560,2068,713,2345,275,135,357
南江县,38079,32869,269,1048,304,1212,29005,1021,10,5210,1040,1482,668,1507,207,93,213
平昌县,45819,39057,283,1359,356,1746,34407,904,2,6762,1219,1835,769,2238,270,123,308
资阳市,322676,267690,1239,7544,2807,10425,235879,9583,213,54986,9730,19071,7276,13962,1350,1441,2156
雁江区,72071,58635,289,2011,1138,2830,48917,3360,90,13436,2247,5079,2042,2848,392,459,369
安岳县,91385,75320,292,1902,485,2599,68071,1954,17,16065,3213,4908,1799,4848,371,301,625
乐至县,56559,47777,210,1207,320,1672,42717,1622,29,8782,1390,2930,1278,2494,228,196,266
简阳市,102661,85958,448,2424,864,3324,76174,2647,77,16703,2880,6154,2157,3772,359,485,896
阿坝藏族羌族自治州,59987,49979,633,3453,1260,2850,39302,2431,50,10008,1861,2995,937,2952,410,170,683
汶川县,7625,5947,69,519,192,485,3877,775,30,1678,565,398,272,232,65,51,95
理县,3362,2817,44,170,84,165,2173,179,2,545,56,233,69,125,21,10,31
茂县,7102,6081,48,242,127,236,5202,225,1,1021,242,382,88,230,30,13,36
松潘县,4792,4102,55,233,54,281,3271,207,1,690,123,199,42,276,35,2,13
九寨沟县,4246,3490,73,192,95,418,2528,178,6,756,108,271,55,218,52,8,44
金川县,5024,4222,42,219,80,229,3520,132,,802,122,189,74,317,28,20,52
小金县,5617,4865,32,186,85,185,4234,140,3,752,123,199,62,292,19,3,54
黑水县,4276,3963,44,151,68,110,3501,89,,313,40,90,37,114,18,1,13
马尔康县,4294,3436,97,379,243,270,2315,125,7,858,269,204,87,159,44,26,69
壤塘县,2363,1979,27,165,47,49,1635,56,,384,20,96,26,149,17,4,72
阿坝县,4269,3465,22,444,67,141,2699,92,,804,48,280,32,341,35,4,64
若尔盖县,4410,3639,48,308,47,134,2954,148,,771,65,264,37,321,20,18,46
红原县,2607,1973,32,245,71,147,1393,85,,634,80,190,56,178,26,10,94
甘孜藏族自治州,64905,55212,656,3736,1380,1863,45794,1748,35,9693,1343,2777,897,3236,320,106,1014
康定县,7693,5848,152,629,365,517,3598,583,4,1845,736,401,272,212,64,50,110
泸定县,5498,4622,54,226,93,259,3726,264,,876,113,266,176,229,43,6,43
丹巴县,3769,3248,36,171,87,82,2778,79,15,521,70,187,61,140,20,10,33
九龙县,3248,2941,35,125,55,72,2545,109,,307,33,130,22,112,2,,8
雅江县,2818,2590,24,91,39,41,2358,35,2,228,14,83,20,92,11,2,6
道孚县,3405,2998,43,119,96,74,2595,71,,407,33,108,44,127,22,5,68
炉霍县,2881,2499,46,128,76,68,2115,64,2,382,30,86,24,211,20,3,8
甘孜县,4204,3669,11,253,76,133,3144,52,,535,49,134,49,185,25,8,85
新龙县,3055,2511,34,174,47,35,2191,22,8,544,26,83,19,306,8,,102
德格县,4774,4222,14,166,65,60,3878,39,,552,13,149,32,297,9,2,50
白玉县,3147,2404,23,64,55,62,2175,25,,743,21,320,19,273,13,1,96
石渠县,4827,4300,26,538,45,44,3587,60,,527,29,194,24,242,7,,31
色达县,2846,2489,32,575,46,61,1726,47,2,357,15,93,22,131,8,4,84
理塘县,4022,3341,33,104,68,164,2874,98,,681,35,173,29,258,31,3,152
巴塘县,3421,2956,40,129,50,42,2641,54,,465,75,152,42,136,9,10,41
乡城县,2004,1711,22,108,41,71,1400,68,1,293,23,78,18,134,10,,30
稻城县,1733,1588,22,76,37,57,1325,70,1,145,8,37,15,63,6,2,14
得荣县,1560,1275,9,60,39,21,1138,8,,285,20,103,9,88,12,,53
凉山彝族自治州,280099,241814,1697,7870,3450,8779,211093,8919,6,38285,6686,12081,6075,9549,1179,1065,1650
西昌市,45139,33588,517,2363,1245,3602,22285,3576,,11551,2844,3144,3005,1301,339,563,355
木里藏族自治县,7998,7190,57,266,104,132,6514,115,2,808,65,247,103,292,37,21,43
盐源县,20402,18278,85,437,198,378,16852,327,1,2124,377,590,203,784,56,18,96
德昌县,13429,11696,40,412,131,508,10142,463,,1733,249,509,252,473,89,57,104
会理县,30881,25840,126,694,275,744,22960,1041,,5041,549,2031,774,1280,122,134,151
会东县,25635,21864,111,518,174,516,20061,483,1,3771,412,1404,259,1445,77,33,141
宁南县,12081,10309,35,337,105,351,9122,359,,1772,240,800,176,421,48,29,58
普格县,9070,8167,88,263,92,222,7305,197,,903,143,332,123,235,20,15,35
布拖县,9335,8840,52,168,77,113,8347,83,,495,108,112,34,193,15,4,29
金阳县,8922,8223,47,204,80,177,7632,81,2,699,78,257,37,227,25,4,71
昭觉县,13792,12846,61,257,114,172,12065,177,,946,183,273,72,303,42,19,54
喜德县,9192,8419,59,166,100,164,7720,210,,773,160,190,107,196,53,11,56
冕宁县,21522,18660,126,599,231,586,16322,796,,2862,596,775,403,819,88,82,99
越西县,15370,14016,57,309,121,263,12973,293,,1354,188,443,159,411,47,17,89
甘洛县,11829,10506,63,358,142,376,9125,442,,1323,196,461,127,330,73,34,102
美姑县,11834,11253,38,186,113,195,10632,89,,581,59,145,42,280,12,4,39
雷波县,13668,12119,135,333,148,280,11036,187,,1549,239,368,199,559,36,20,128
,,,,,,,,,,,,,,,,,
贵州省,2363586,1897002,18867,71407,35513,97421,1550738,122361,695,466584,116830,132112,63142,92219,23386,13548,25347
贵阳市,265058,179286,5090,15748,11349,30983,80150,35864,102,85772,20048,20300,22125,7376,5529,5861,4533
南明区,51722,28797,1654,4360,3222,9333,1065,9131,32,22925,5287,4686,7206,488,1649,2228,1381
云岩区,52966,30014,1638,4883,4269,11119,783,7314,8,22952,5693,4664,7268,555,1591,1913,1268
花溪区,23857,17244,229,1023,534,1704,11437,2291,26,6613,2572,1360,1145,752,272,210,302
乌当区,22523,15722,426,905,574,1592,9011,3212,2,6801,1491,1848,1380,804,420,388,470
白云区,13465,9348,143,822,748,1412,2892,3322,9,4117,602,1336,1074,341,325,253,186
小河区,10129,6348,99,699,586,1409,901,2652,2,3781,439,811,1587,117,223,387,217
开阳县,25979,20700,267,858,335,1123,16480,1635,2,5279,1281,1693,524,1186,368,59,168
息烽县,15546,12362,128,484,203,618,9817,1112,,3184,698,946,321,838,157,84,140
修文县,17991,14173,181,560,261,924,10390,1840,17,3818,886,1101,432,972,188,141,98
清镇市,30880,24578,325,1154,617,1749,17374,3355,4,6302,1099,1855,1188,1323,336,198,303
六盘水市,181195,145235,868,5225,3036,7197,114733,14141,35,35960,9493,9809,5012,7377,1828,737,1704
钟山区,31418,20912,266,1952,1867,3632,6047,7142,6,10506,1906,3736,2322,629,915,319,679
六枝特区,36060,27552,175,912,473,1192,22785,2001,14,8508,2024,2325,1320,1663,450,286,440
水城县,44789,38812,231,562,135,448,36670,764,2,5977,1754,1302,211,2428,88,12,182
盘县,68928,57959,196,1799,561,1925,49231,4234,13,10969,3809,2446,1159,2657,375,120,403
遵义市,438487,353757,3438,12902,5788,18026,292370,21083,150,84730,19086,26506,9926,18390,4492,2187,4143
红花岗区,50095,31822,890,3163,2320,6538,10894,7933,84,18273,3687,5512,4444,928,1407,955,1340
遵义县,79297,66461,481,2184,589,2522,57930,2741,14,12836,3682,3558,1166,3015,604,224,587
桐梓县,37820,30498,304,896,322,1138,26232,1604,2,7322,1185,2670,633,1774,515,197,348
绥阳县,30874,25706,164,847,281,835,22547,1023,9,5168,1639,1286,410,1362,195,67,209
正安县,33827,28588,204,684,217,584,26421,476,2,5239,1504,1304,342,1747,193,41,108
道真仡佬族苗族自治县,19571,16912,101,532,222,488,15169,400,,2659,563,912,221,767,64,26,106
务川仡佬族苗族自治县,25467,21221,265,619,158,627,18784,765,3,4246,904,1297,282,1237,174,102,250
凤冈县,24635,20567,156,529,135,797,18311,632,7,4068,998,1357,279,1013,149,93,179
湄潭县,28534,24171,133,710,310,1032,21019,961,6,4363,1004,1443,451,986,204,111,164
余庆县,17569,14632,169,431,158,581,12706,587,,2937,538,947,226,967,173,73,13
习水县,38620,31771,256,924,351,1007,27691,1542,,6849,1483,2309,535,1759,300,109,354
赤水市,18371,14354,159,629,289,1008,11132,1114,23,4017,495,1580,523,847,226,147,199
仁怀市,33807,27054,156,754,436,869,23534,1305,,6753,1404,2331,414,1988,288,42,286
安顺市,154453,124735,1528,5031,2347,6951,99653,9155,70,29718,6366,7427,4704,6006,1962,936,2317
西秀区,51656,39338,927,2210,1227,3600,26778,4537,59,12318,2303,2979,2855,1706,815,628,1032
平坝县,22058,17826,169,969,417,992,13143,2134,2,4232,820,1039,979,776,239,114,265
普定县,23103,19179,135,603,228,657,16651,901,4,3924,1041,789,261,1256,214,84,279
镇宁布依族苗族自治县,20497,16935,126,433,197,657,14794,725,3,3562,743,1013,251,902,292,57,304
关岭布依族苗族自治县,18013,14822,83,413,142,672,13129,381,2,3191,826,941,187,679,226,25,307
紫云苗族布依族自治县,19126,16635,88,403,136,373,15158,477,,2491,633,666,171,687,176,28,130
铜仁地区,215998,173105,1376,5694,2666,5027,151807,6499,36,42893,11036,12762,3486,10274,2005,631,2699
铜仁市,21282,14510,241,975,740,992,10280,1271,11,6772,1798,2017,958,944,381,163,511
江口县,12504,9574,60,285,161,293,8436,337,2,2930,561,1014,180,722,146,50,257
玉屏侗族自治县,8858,6463,64,293,176,427,4841,656,6,2395,340,928,301,442,144,78,162
石阡县,22461,18790,149,510,224,435,16961,511,,3671,815,1062,219,1223,129,26,197
思南县,35551,30208,225,868,323,782,26850,1157,3,5343,1478,1634,402,1401,132,36,260
印江土家族苗族自治县,22199,17722,161,509,171,439,15861,574,7,4477,1088,1403,293,1124,227,62,280
德江县,25229,20466,139,669,293,591,17966,804,4,4763,1431,1390,248,1029,253,46,366
沿河土家族自治县,29758,24871,91,661,316,470,22939,393,1,4887,1628,1006,313,1450,179,22,289
松桃苗族自治县,34331,27925,209,795,195,496,25592,636,2,6406,1771,1865,351,1729,302,56,332
万山特区,3825,2576,37,129,67,102,2081,160,,1249,126,443,221,210,112,92,45
黔西南布依族苗族自治州,184496,151628,1040,4640,1822,5282,133099,5688,57,32868,9644,10099,2402,7411,1191,282,1839
兴义市,47746,37338,385,1633,642,2310,29660,2678,30,10408,3743,2761,856,2112,377,117,442
兴仁县,26245,21771,120,596,187,788,19498,575,7,4474,1329,1212,287,1030,182,20,414
普安县,16451,13673,70,385,206,282,12191,539,,2778,761,706,166,840,91,28,186
晴隆县,15908,13156,78,405,181,289,11850,353,,2752,765,792,253,665,92,30,155
贞丰县,19914,16629,117,427,124,533,14979,448,1,3285,776,1121,192,863,116,44,173
望谟县,18514,15974,91,308,142,180,15118,131,4,2540,368,1244,168,456,133,14,157
册亨县,14206,11979,62,324,121,281,10902,283,6,2227,550,899,110,471,52,9,136
安龙县,25512,21108,117,562,219,619,18901,681,9,4404,1352,1364,370,974,148,20,176
毕节地区,421003,357027,2314,8148,2695,8386,324595,10847,42,63976,17725,18671,4653,17247,1046,610,4024
毕节市,73746,58902,478,1774,766,1975,51462,2438,9,14844,4059,4714,1468,3093,185,177,1148
大方县,55711,46746,227,1095,206,760,43507,928,23,8965,2977,2359,549,2224,145,35,676
黔西县,47907,40584,374,1031,250,1434,35802,1691,2,7323,1837,2107,549,2115,221,105,389
金沙县,36100,29055,375,1040,286,1194,24245,1913,2,7045,1544,2830,396,1857,83,74,261
织金县,56608,48309,211,842,328,1150,44383,1393,2,8299,2246,2201,414,2540,166,65,667
纳雍县,42835,37306,136,790,243,582,34936,616,3,5529,1983,1214,348,1662,31,19,272
威宁彝族回族苗族自治县,68467,62324,239,873,355,784,59353,719,1,6143,1899,1382,484,1852,115,67,344
赫章县,39629,33801,274,703,261,507,30907,1149,,5828,1180,1864,445,1904,100,68,267
黔东南苗族侗族自治州,261858,212671,1679,7399,2640,8039,183409,9377,128,49187,13676,14405,5353,9693,2628,1139,2293
凯里市,31940,22693,264,1524,1012,2434,14270,3137,52,9247,3172,2047,1903,780,554,492,299
黄平县,19605,15004,103,381,139,590,13379,410,2,4601,1114,1689,353,959,227,60,199
施秉县,9357,7798,35,283,102,235,6887,256,,1559,457,477,156,320,66,12,71
三穗县,10913,8742,77,299,75,396,7232,614,49,2171,450,712,156,468,180,57,148
镇远县,15528,12203,131,509,84,642,9862,967,8,3325,887,872,370,810,203,59,124
岑巩县,12315,9654,99,345,103,315,8454,334,4,2661,569,886,186,725,127,35,133
天柱县,22872,18326,119,581,138,595,16220,673,,4546,1225,1422,351,965,180,68,335
锦屏县,12421,9907,126,484,96,489,8032,673,7,2514,707,826,203,432,146,91,109
剑河县,12769,10566,122,317,100,285,9369,373,,2203,628,702,203,388,119,81,82
台江县,9668,7778,53,276,58,186,7064,140,1,1890,581,535,174,303,183,48,66
黎平县,30690,26212,182,721,170,603,23896,639,1,4478,1389,1473,362,935,172,62,85
榕江县,19883,17131,44,479,172,418,15666,351,1,2752,838,756,219,579,115,19,226
从江县,21867,19429,125,431,121,295,18255,201,1,2438,435,767,186,781,94,19,156
雷山县,8881,7754,52,211,104,139,7073,175,,1127,324,229,167,297,61,12,37
麻江县,13832,11753,91,293,89,261,10732,285,2,2079,468,594,196,580,123,14,104
丹寨县,9317,7721,56,265,77,156,7018,149,,1596,432,418,168,371,78,10,119
黔南布依族苗族自治州,241038,199558,1534,6620,3170,7530,170922,9707,75,41480,9756,12133,5481,8445,2705,1165,1795
都匀市,32703,24480,264,1391,1195,1914,17428,2288,,8223,2141,1749,2087,730,538,623,355
福泉市,19392,16002,100,678,374,751,12991,1096,12,3390,775,1087,368,674,303,29,154
荔波县,11869,9964,81,297,183,320,8564,516,3,1905,528,695,166,292,112,25,87
贵定县,18092,14562,181,576,160,650,11875,1119,1,3530,638,1060,574,672,288,117,181
瓮安县,26021,21362,180,698,236,839,18288,1111,10,4659,1317,1133,395,1045,399,85,285
独山县,21233,18093,183,549,161,766,15708,726,,3140,777,925,388,674,195,68,113
平塘县,18037,15317,81,398,146,287,13909,485,11,2720,436,1116,192,645,160,50,121
罗甸县,20385,17164,83,393,95,303,15988,289,13,3221,750,1223,222,753,154,18,101
长顺县,14812,12997,102,352,103,267,11798,372,3,1815,387,540,237,483,90,16,62
龙里县,13061,10955,82,366,157,445,9220,685,,2106,375,618,232,665,127,23,66
惠水县,25969,21782,137,557,196,731,19378,761,22,4187,707,1507,442,1064,181,92,194
三都水族自治县,19464,16880,60,365,164,257,15775,259,,2584,925,480,178,748,158,19,76
,,,,,,,,,,,,,,,,,
云南省,2986448,2467260,22483,104401,46157,154315,1955600,183522,782,519188,114888,136104,90690,117650,18537,14569,26750
昆明市,439233,320563,7288,25278,15724,52228,163546,56323,176,118670,28131,24033,33654,14028,4015,5739,9070
五华区,35242,18855,1405,4410,2668,6072,90,4209,1,16387,6440,1101,6296,233,384,818,1115
盘龙区,27603,16552,1173,3566,2457,5680,19,3656,1,11051,1239,941,6593,198,436,776,868
官渡区,108174,71705,2233,6986,5131,22561,13569,21221,4,36469,10780,8678,8043,1687,1493,2034,3754
西山区,46108,29381,680,3526,2577,7236,5246,10115,1,16727,3479,3374,5601,961,700,1197,1415
东川区,20322,15718,179,730,255,790,12488,1261,15,4604,425,1571,1071,740,213,263,321
呈贡县,13561,11215,157,434,230,1027,7589,1778,,2346,403,759,410,499,64,40,171
晋宁县,20152,16843,209,691,311,1186,12020,2423,3,3309,322,955,786,935,73,73,165
富民县,10737,9171,87,349,145,520,7380,688,2,1566,163,408,212,667,26,28,62
宜良县,30247,24963,202,802,351,1679,19580,2330,19,5284,688,1266,974,1994,136,94,132
石林彝族自治县,16563,14339,115,509,190,901,11690,918,16,2224,466,549,291,734,67,34,83
嵩明县,23589,19287,171,643,249,1096,15432,1687,9,4302,760,1108,556,1650,60,63,105
禄劝彝族苗族自治县,31319,27281,75,706,220,550,25260,469,1,4038,1132,999,259,1466,52,24,106
寻甸回族彝族自治县,33661,29358,239,789,200,705,26692,716,17,4303,1121,988,385,1585,92,15,117
安宁市,21955,15895,363,1137,740,2225,6491,4852,87,6060,713,1336,2177,679,219,280,656
曲靖市,377970,321920,2039,11110,3734,14296,268277,22350,114,56050,15566,11942,7456,15596,2423,1108,1959
麒麟区,47256,35138,450,2593,1315,4221,20690,5855,14,12118,3318,2290,2825,2048,699,628,310
马龙县,13267,11448,106,438,124,366,9944,462,8,1819,366,618,159,559,52,20,45
陆良县,40123,34029,189,1054,455,1698,27751,2878,4,6094,1388,1611,717,1769,218,75,316
师宗县,24111,20859,138,636,183,700,17529,1664,9,3252,962,627,229,1117,135,49,133
罗平县,35631,31018,147,1011,182,1198,27402,1073,5,4613,1521,977,384,1307,214,44,166
富源县,42955,36779,162,966,338,929,32221,2158,5,6176,1606,1349,460,2250,270,42,199
