表5    各职业大类人口和未工作人口（长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,单位：人
县市名,,,,,,,,,,,,,,,,,
,15岁及以上人口,各种职业人口,国家机关、党群组织、,专业技术人员,办事人员和有关人员,商业、服务业人员,农林牧渔水利业,生产、运输设备操作,不便分类的其他,各种未工作人口,在校学生,料理家务,离退休,丧失劳动能力,从未工作,失去工作,其他
,总        计,总        计,企业、事业单位负责人,,,,生  产  人  员,人 员 及 有 关 人 员,从  业  人  员,总        计,,,,,正在寻找工作,正在寻找工作,
,,,,,,,,,,,,,,,,,
大城县,31786,23674,309,844,302,812,20107,1296,4,8112,2541,2674,452,1874,395,48,128
文安县,32759,23853,757,920,415,2089,15581,4086,5,8906,1756,3874,421,2194,158,63,440
大厂回族自治县,8667,6465,153,403,256,924,2900,1829,,2202,494,667,298,565,78,54,46
霸州市,41376,29046,1100,1633,656,3743,14316,7315,283,12330,2216,5905,810,2455,488,172,284
三河市,35433,24055,525,1667,853,2724,11239,7047,,11378,3758,3619,1182,2140,302,145,232
衡水市,323392,258519,3104,9064,4726,10590,213025,17957,53,64873,21269,13190,6608,18890,2297,706,1913
桃城区,33794,23165,812,2201,1664,3376,9595,5506,11,10629,3673,1972,1856,1784,675,307,362
枣强县,30061,24233,281,696,242,841,20701,1472,,5828,1883,1076,439,1887,153,27,363
武邑县,24466,20471,214,609,174,519,18373,573,9,3995,1360,537,402,1463,113,20,100
武强县,16559,12795,185,429,232,385,10858,703,3,3764,1017,793,339,1314,195,17,89
饶阳县,22521,18473,201,486,222,330,16791,436,7,4048,1410,600,425,1305,138,51,119
安平县,25266,19599,231,663,265,1209,13582,3639,10,5667,1333,1863,336,1645,203,36,251
故城县,34413,28050,173,800,418,689,24896,1073,1,6363,2319,1490,478,1631,256,30,159
景县,38133,31850,326,773,363,1006,28018,1363,1,6283,2058,1401,549,1836,191,41,207
阜城县,25125,21181,116,608,312,342,19493,307,3,3944,1645,625,358,1098,123,53,42
冀州市,28703,22710,230,840,388,978,18508,1763,3,5993,1910,1337,552,1942,86,36,130
深州市,44351,35992,335,959,446,915,32210,1122,5,8359,2661,1496,874,2985,164,88,91
,,,,,,,,,,,,,,,,,
山西省,2356519,1608093,32642,119599,66654,140135,957303,289992,1768,748426,123094,325596,92965,98326,48547,21188,38710
太原市,259235,151384,6988,23723,14849,26216,30787,48378,443,107851,27395,31070,27458,5313,6141,5486,4988
小店区,39036,20990,1409,3871,2047,3837,3722,6010,94,18046,7630,4017,3414,698,722,837,728
迎泽区,38106,22332,1472,5234,4214,5939,287,5106,80,15774,4379,2718,5657,271,844,1032,873
杏花岭区,42022,24385,989,4926,3711,5232,667,8797,63,17637,3298,3751,6787,315,995,1361,1130
尖草坪区,27088,15022,653,2203,897,2552,2507,6188,22,12066,3284,3168,3278,486,700,757,393
万柏林区,43745,23091,1505,4210,2086,4900,554,9814,22,20654,5648,5649,5885,403,1312,794,963
晋源区,13430,7415,239,896,373,1170,1607,3121,9,6015,1016,2735,1028,525,321,202,188
清徐县,23102,17718,301,843,276,1029,10720,4400,149,5384,758,2470,490,1217,226,73,150
阳曲县,10315,7668,127,321,198,402,5785,835,,2647,207,1397,261,492,158,51,81
娄烦县,7519,4593,69,297,232,300,2829,863,3,2926,311,1587,125,386,242,90,185
古交市,14872,8170,224,922,815,855,2109,3244,1,6702,864,3578,533,520,621,289,297
大同市,221953,139177,3656,12775,7022,15316,68522,31697,189,82776,11664,38543,11725,6473,8065,3043,3263
城区,43002,24344,2010,5326,2754,5752,106,8395,1,18658,3222,5534,5269,288,1615,1608,1122
矿区,36704,16406,491,2713,1739,2632,76,8621,134,20298,2034,9101,3906,254,3502,728,773
南郊区,30233,18162,266,881,457,3564,6408,6583,3,12071,1613,7495,607,884,975,241,256
新荣区,7899,6036,32,273,198,289,4019,1210,15,1863,287,1001,66,310,85,7,107
阳高县,18484,14573,211,591,286,525,12117,843,,3911,658,1539,361,874,230,90,159
天镇县,13334,9634,58,398,190,259,8297,427,5,3700,587,1769,248,559,266,48,223
广灵县,11431,8247,62,393,260,348,6541,643,,3184,478,1703,210,534,186,16,57
灵丘县,15116,9513,94,558,183,407,7698,563,10,5603,618,3641,219,609,295,41,180
浑源县,22427,17154,189,664,286,676,14460,876,3,5273,1105,2025,432,1141,322,94,154
左云县,11599,7391,129,514,442,479,3280,2547,,4208,559,2511,201,433,307,113,84
大同县,11724,7717,114,464,227,385,5520,989,18,4007,503,2224,206,587,282,57,148
阳泉市,96847,57260,1349,6032,3853,8275,16083,21619,49,39587,4222,20063,6258,3258,2474,1932,1380
城区,12881,8054,230,1623,1162,2062,29,2934,14,4827,873,1076,1820,75,309,459,215
矿区,17874,10024,195,1248,1095,1825,37,5624,,7850,911,3296,2132,111,583,498,319
郊区,20370,11351,365,1136,619,1871,1695,5652,13,9019,1020,4875,1070,718,559,513,264
平定县,24597,14147,313,1105,447,1688,6087,4486,21,10450,838,6339,691,1429,544,335,274
盂县,21125,13684,246,920,530,829,8235,2923,1,7441,580,4477,545,925,479,127,308
长治市,233372,169575,2751,10737,5838,12768,110204,27135,142,63797,11004,27321,7196,8366,2928,1595,5387
城区,27988,15898,700,2950,2708,3567,799,5162,12,12090,3395,2887,2722,325,823,674,1264
郊区,21619,14797,236,1127,815,1804,5673,5106,36,6822,1201,2852,1156,583,442,151,437
长治县,24428,16966,195,756,265,1485,9771,4494,,7462,764,3840,444,1095,304,88,927
襄垣县,18810,13613,184,978,475,978,8878,2118,2,5197,602,2522,538,715,216,75,529
屯留县,18410,15644,125,484,197,592,13361,885,,2766,809,773,255,654,79,27,169
