表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
成安县,25.22 ,67.74 ,7.04 ,28.21 ,18943,13242,5604,97,11.69 ,6.08 ,5.61 ,1.40 ,6259,1357,334
大名县,24.26 ,69.04 ,6.70 ,28.45 ,36512,25688,10580,244,13.08 ,5.89 ,7.19 ,1.20 ,8218,1657,1202
涉县,28.03 ,66.72 ,5.25 ,26.91 ,16331,13239,3074,18,13.25 ,7.75 ,5.50 ,1.64 ,7690,1787,3027
磁县,26.12 ,68.53 ,5.35 ,28.37 ,27215,20710,6418,87,12.99 ,6.34 ,6.65 ,1.51 ,11806,5191,1421
肥乡县,24.14 ,68.36 ,7.50 ,27.54 ,17564,12240,5225,99,13.94 ,6.53 ,7.41 ,1.46 ,2748,294,154
永年县,26.97 ,67.23 ,5.79 ,27.96 ,37431,27336,9926,169,12.95 ,5.74 ,7.21 ,1.39 ,9426,5551,1046
邱县,24.02 ,69.23 ,6.74 ,29.30 ,10286,7191,3028,67,11.38 ,6.23 ,5.15 ,1.36 ,3241,259,121
鸡泽县,26.70 ,67.13 ,6.17 ,27.34 ,11756,8390,3315,51,13.75 ,6.51 ,7.25 ,1.59 ,2258,167,170
广平县,25.22 ,67.90 ,6.88 ,28.20 ,12994,9282,3632,80,10.80 ,6.50 ,4.30 ,1.39 ,2400,525,152
馆陶县,23.86 ,69.48 ,6.67 ,28.84 ,14611,10785,3760,66,11.62 ,6.03 ,5.58 ,1.22 ,7317,731,1205
魏县,27.25 ,66.70 ,6.05 ,27.53 ,35852,25047,10619,186,12.72 ,5.83 ,6.89 ,1.27 ,7837,305,330
曲周县,27.23 ,65.71 ,7.06 ,26.90 ,21398,15391,5868,139,12.15 ,5.96 ,6.19 ,1.47 ,5132,694,279
武安市,27.74 ,66.88 ,5.38 ,26.66 ,31327,24119,7166,42,14.27 ,7.08 ,7.20 ,1.72 ,19987,12079,19801
邢台市,24.73 ,68.87 ,6.40 ,28.26 ,330752,241869,87472,1411,11.65 ,6.09 ,5.56 ,1.30 ,209482,89771,38608
桥东区,18.37 ,76.35 ,5.28 ,32.66 ,9014,6521,2471,22,13.41 ,3.93 ,9.48 ,1.16 ,48501,23524,3378
桥西区,19.13 ,76.63 ,4.24 ,30.98 ,10157,7228,2895,34,9.44 ,3.31 ,6.13 ,1.16 ,48680,22255,4107
邢台县,24.18 ,69.40 ,6.42 ,27.92 ,23462,17365,6039,58,11.58 ,6.38 ,5.20 ,1.34 ,12541,13852,2887
