表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
达州市,26.01 ,67.20 ,6.79 ,25.10 ,314450,239450,74213,787,11.68 ,7.38 ,4.30 ,1.65 ,224661,84183,19051
通川区,20.54 ,73.65 ,5.81 ,30.32 ,17785,13481,4264,40,12.18 ,5.00 ,7.18 ,1.17 ,47319,39303,4240
达县,23.72 ,68.95 ,7.33 ,25.67 ,65156,48751,16242,163,11.22 ,7.36 ,3.86 ,1.35 ,46032,25990,2593
宣汉县,27.83 ,65.96 ,6.20 ,24.28 ,52747,40872,11759,116,12.73 ,7.77 ,4.97 ,1.84 ,24549,3186,2059
开江县,26.31 ,66.94 ,6.74 ,25.24 ,27936,21759,6113,64,12.39 ,7.95 ,4.44 ,2.25 ,16230,2045,3033
大竹县,24.95 ,67.52 ,7.53 ,24.59 ,57229,43511,13559,159,9.65 ,7.70 ,1.94 ,1.50 ,37658,4564,2760
渠县,27.69 ,65.07 ,7.24 ,24.13 ,70644,52929,17498,217,11.66 ,7.34 ,4.32 ,1.86 ,35641,4348,2404
万源市,28.85 ,65.95 ,5.20 ,24.72 ,22953,18147,4778,28,13.23 ,7.39 ,5.83 ,1.70 ,17232,4747,1962
雅安市,21.49 ,70.73 ,7.78 ,27.35 ,94722,71931,22535,256,9.98 ,5.49 ,4.49 ,1.04 ,84567,35920,5249
雨城区,18.79 ,72.72 ,8.48 ,28.78 ,22004,15985,5960,59,9.22 ,4.81 ,4.41 ,0.84 ,28455,13114,1798
名山县,18.72 ,72.88 ,8.41 ,28.21 ,17647,13895,3695,57,8.49 ,6.05 ,2.44 ,0.90 ,8551,3138,271
荥经县,21.65 ,70.66 ,7.69 ,27.17 ,8581,6253,2309,19,9.17 ,4.62 ,4.56 ,1.10 ,4401,4059,1012
汉源县,24.56 ,67.86 ,7.58 ,26.78 ,20702,15269,5376,57,9.20 ,6.03 ,3.16 ,0.98 ,21284,5591,489
石棉县,21.63 ,71.20 ,7.16 ,27.26 ,7243,5721,1500,22,11.29 ,5.33 ,5.96 ,1.53 ,7228,4270,586
天全县,23.16 ,69.85 ,7.00 ,26.35 ,8287,6752,1522,13,11.08 ,5.71 ,5.37 ,1.23 ,6405,2105,587
芦山县,22.27 ,70.59 ,7.13 ,25.73 ,7001,5473,1509,19,14.33 ,5.32 ,9.00 ,1.26 ,4571,1746,290
宝兴县,24.50 ,68.45 ,7.05 ,25.12 ,3257,2583,664,10,13.10 ,5.92 ,7.19 ,1.21 ,3672,1897,216
巴中市,28.26 ,65.46 ,6.28 ,25.11 ,165525,125483,39568,474,14.92 ,7.32 ,7.60 ,2.11 ,119097,19093,4960
巴州区,27.61 ,65.64 ,6.76 ,24.82 ,64405,49064,15170,171,13.87 ,7.13 ,6.73 ,1.98 ,46707,7300,2250
通江县,28.20 ,65.79 ,6.01 ,24.90 ,32794,25160,7542,92,15.31 ,7.14 ,8.17 ,2.17 ,16907,1918,918
南江县,28.22 ,66.24 ,5.54 ,25.39 ,26810,20870,5883,57,16.09 ,7.55 ,8.53 ,1.83 ,24226,5593,602
平昌县,29.25 ,64.40 ,6.35 ,25.48 ,41516,30389,10973,154,15.27 ,7.57 ,7.70 ,2.51 ,31257,4282,1190
资阳市,22.45 ,68.84 ,8.71 ,26.58 ,328145,252454,74553,1138,8.59 ,6.90 ,1.69 ,0.99 ,92802,21396,7554
雁江区,23.19 ,68.49 ,8.32 ,26.25 ,67779,52140,15404,235,7.75 ,6.54 ,1.20 ,0.80 ,29476,6406,1393
安岳县,23.95 ,67.62 ,8.44 ,26.39 ,96118,72936,22794,388,8.73 ,6.76 ,1.97 ,1.15 ,10036,2406,2639
乐至县,20.27 ,70.58 ,9.15 ,26.71 ,61663,46849,14621,193,8.53 ,7.44 ,1.09 ,1.04 ,15629,3946,1300
简阳市,21.70 ,69.29 ,9.00 ,26.93 ,102585,80529,21734,322,9.07 ,6.96 ,2.11 ,0.97 ,37661,8638,2222
阿坝藏族羌族自治州,27.44 ,67.20 ,5.36 ,26.36 ,37575,30615,6727,233,15.07 ,6.11 ,8.95 ,1.66 ,22093,28151,4291
汶川县,24.50 ,70.17 ,5.34 ,27.40 ,4838,3816,1009,13,9.83 ,3.72 ,6.11 ,0.98 ,2751,5153,1286
理县,25.36 ,69.11 ,5.53 ,27.14 ,2052,1698,351,3,14.10 ,5.82 ,8.28 ,1.35 ,1573,1097,54
茂县,28.38 ,67.06 ,4.56 ,26.07 ,3970,3291,676,3,13.98 ,5.17 ,8.82 ,1.31 ,2414,2113,167
松潘县,28.19 ,66.30 ,5.52 ,25.82 ,3067,2498,554,15,13.89 ,6.97 ,6.91 ,1.53 ,1974,1660,160
九寨沟县,27.98 ,67.12 ,4.90 ,26.86 ,2537,2069,460,8,12.89 ,4.51 ,8.38 ,1.47 ,2463,5177,675
金川县,27.32 ,67.01 ,5.66 ,25.46 ,3228,2583,625,20,15.38 ,6.50 ,8.88 ,1.77 ,1938,1129,83
小金县,27.52 ,67.76 ,4.72 ,26.55 ,3012,2416,587,9,13.85 ,6.05 ,7.80 ,1.46 ,1886,1095,70
黑水县,25.00 ,70.55 ,4.45 ,27.48 ,2162,1804,353,5,20.42 ,11.86 ,8.56 ,1.81 ,967,1342,64
马尔康县,20.69 ,73.50 ,5.82 ,28.65 ,2640,2124,494,22,10.93 ,5.10 ,5.83 ,1.26 ,1582,4089,178
壤塘县,28.61 ,64.68 ,6.72 ,25.19 ,1893,1585,285,23,19.08 ,5.70 ,13.38 ,2.14 ,436,941,91
阿坝县,31.85 ,61.75 ,6.39 ,24.65 ,3229,2596,568,65,18.60 ,6.47 ,12.13 ,2.35 ,877,2053,514
若尔盖县,31.94 ,61.78 ,6.28 ,24.82 ,3432,2856,548,28,21.35 ,7.51 ,13.84 ,2.89 ,1741,1015,754
红原县,31.18 ,63.96 ,4.86 ,26.11 ,1515,1279,217,19,20.06 ,6.82 ,13.24 ,2.37 ,1491,1287,195
甘孜藏族自治州,25.47 ,69.05 ,5.48 ,27.78 ,40917,33947,6640,330,15.98 ,7.14 ,8.85 ,1.48 ,19792,23322,4847
康定县,23.35 ,71.94 ,4.72 ,29.18 ,4385,3689,686,10,13.83 ,6.33 ,7.50 ,1.27 ,2949,6154,659
泸定县,27.01 ,65.94 ,7.05 ,25.25 ,4420,3388,1014,18,16.29 ,6.16 ,10.13 ,1.97 ,2032,2730,230
丹巴县,25.39 ,68.03 ,6.57 ,26.92 ,3145,2645,491,9,17.44 ,6.46 ,10.98 ,1.35 ,1447,1452,98
九龙县,32.88 ,62.25 ,4.87 ,25.27 ,2061,1663,387,11,21.97 ,4.76 ,17.21 ,1.75 ,1401,1070,205
雅江县,27.67 ,67.63 ,4.70 ,26.61 ,1555,1275,258,22,15.84 ,6.91 ,8.93 ,1.53 ,298,495,37
道孚县,25.49 ,69.34 ,5.17 ,28.63 ,1933,1626,293,14,14.55 ,6.63 ,7.92 ,0.96 ,1570,1423,197
炉霍县,24.99 ,70.06 ,4.95 ,28.83 ,1667,1440,215,12,16.38 ,7.68 ,8.70 ,1.89 ,645,934,261
甘孜县,22.03 ,73.15 ,4.81 ,29.61 ,2229,1921,296,12,12.55 ,6.36 ,6.19 ,1.44 ,1249,939,260
新龙县,28.21 ,65.06 ,6.73 ,25.79 ,2234,1810,374,50,15.46 ,8.03 ,7.43 ,1.66 ,212,297,73
德格县,25.69 ,68.59 ,5.71 ,27.60 ,3072,2573,470,29,13.37 ,9.47 ,3.90 ,1.16 ,784,702,272
白玉县,21.66 ,72.21 ,6.13 ,28.73 ,2145,1760,356,29,14.59 ,7.50 ,7.09 ,1.26 ,501,1485,198
石渠县,24.14 ,69.69 ,6.17 ,28.65 ,3272,2720,531,21,17.17 ,7.90 ,9.27 ,1.59 ,1029,446,217
色达县,21.82 ,72.56 ,5.62 ,32.35 ,1693,1458,220,15,13.78 ,5.81 ,7.97 ,1.07 ,3312,1937,1397
理塘县,25.15 ,70.29 ,4.56 ,28.76 ,1939,1656,262,21,16.67 ,6.48 ,10.18 ,1.34 ,1395,1032,253
巴塘县,26.97 ,68.62 ,4.41 ,26.46 ,1663,1420,228,15,16.75 ,8.87 ,7.88 ,1.86 ,114,333,36
乡城县,27.60 ,67.73 ,4.67 ,26.15 ,1085,930,148,7,19.56 ,8.60 ,10.96 ,2.50 ,224,719,238
稻城县,25.53 ,69.54 ,4.92 ,27.33 ,1190,1005,173,12,19.54 ,10.39 ,9.15 ,1.61 ,302,749,134
得荣县,26.49 ,67.12 ,6.39 ,25.93 ,1229,968,238,23,19.02 ,7.44 ,11.58 ,2.06 ,328,425,82
凉山彝族自治州,30.29 ,64.59 ,5.12 ,25.55 ,174803,142025,32394,384,19.09 ,7.11 ,11.99 ,2.06 ,85739,76554,13895
西昌市,24.72 ,68.74 ,6.53 ,27.18 ,32915,25903,6932,80,14.30 ,4.91 ,9.39 ,1.52 ,17899,37657,6287
木里藏族自治县,32.15 ,63.21 ,4.63 ,25.60 ,4848,3996,815,37,18.64 ,6.91 ,11.73 ,1.98 ,1588,1340,120
盐源县,32.83 ,62.78 ,4.39 ,24.98 ,11747,9841,1862,44,19.76 ,5.39 ,14.37 ,2.08 ,6803,2058,325
德昌县,27.49 ,66.89 ,5.62 ,26.61 ,9004,7536,1453,15,13.29 ,6.33 ,6.96 ,1.41 ,4225,6748,531
会理县,27.76 ,65.21 ,7.03 ,25.06 ,25435,20556,4827,52,15.42 ,6.92 ,8.51 ,1.85 ,7615,4255,1324
会东县,26.50 ,67.19 ,6.31 ,25.10 ,18488,14866,3598,24,17.44 ,7.17 ,10.27 ,1.86 ,10227,2410,728
宁南县,28.20 ,65.93 ,5.87 ,25.96 ,8532,7114,1397,21,17.90 ,7.32 ,10.58 ,1.83 ,5365,2172,1913
普格县,32.01 ,64.18 ,3.80 ,24.85 ,4423,3670,746,7,20.61 ,7.75 ,12.86 ,2.08 ,2924,1384,388
布拖县,32.51 ,63.79 ,3.70 ,25.92 ,4410,3696,711,3,24.62 ,12.15 ,12.47 ,2.42 ,2548,1198,155
金阳县,36.18 ,60.46 ,3.36 ,24.27 ,4045,3393,647,5,26.80 ,9.32 ,17.48 ,3.37 ,1991,685,397
昭觉县,33.62 ,63.26 ,3.12 ,25.47 ,5626,4797,825,4,20.30 ,10.22 ,10.08 ,2.25 ,2908,1913,144
喜德县,33.91 ,62.62 ,3.46 ,25.52 ,3963,3188,771,4,24.27 ,7.16 ,17.11 ,2.49 ,1227,1655,134
冕宁县,31.74 ,62.54 ,5.72 ,25.13 ,15258,12066,3144,48,21.36 ,6.47 ,14.89 ,2.29 ,5877,6700,529
越西县,35.59 ,60.60 ,3.81 ,24.76 ,7594,6142,1441,11,23.47 ,6.86 ,16.61 ,2.63 ,3736,871,72
甘洛县,32.55 ,63.74 ,3.71 ,25.31 ,5404,4330,1064,10,22.84 ,6.78 ,16.06 ,2.55 ,6997,3347,332
美姑县,33.33 ,63.27 ,3.40 ,25.85 ,5214,4465,748,1,25.74 ,8.90 ,16.84 ,2.90 ,1394,1209,70
雷波县,32.64 ,62.81 ,4.55 ,24.71 ,7897,6466,1413,18,17.51 ,8.79 ,8.72 ,2.19 ,2415,952,446
,,,,,,,,,,,,0.00 ,,,
贵州省,30.17 ,63.87 ,5.97 ,24.69 ,1671858,1250503,418002,3353,19.56 ,7.24 ,12.33 ,2.19 ,1162454,844513,408519
贵阳市,22.94 ,71.08 ,5.98 ,27.69 ,175850,131129,44330,391,13.68 ,5.58 ,8.10 ,1.36 ,344705,414544,169188
南明区,17.67 ,76.26 ,6.07 ,29.81 ,32710,24138,8501,71,15.26 ,4.53 ,10.73 ,1.18 ,105657,129835,63954
云岩区,17.30 ,75.94 ,6.76 ,31.62 ,36953,27151,9685,117,12.51 ,4.48 ,8.03 ,1.03 ,126182,122868,55853
花溪区,23.58 ,70.59 ,5.83 ,27.18 ,15463,11508,3924,31,13.51 ,6.04 ,7.47 ,1.46 ,18121,23614,9613
乌当区,22.87 ,71.43 ,5.71 ,26.22 ,14608,11124,3457,27,13.54 ,5.40 ,8.14 ,1.49 ,23296,32188,8872
白云区,22.10 ,72.88 ,5.02 ,28.03 ,7430,5503,1916,11,14.59 ,4.77 ,9.82 ,1.41 ,16721,30859,8137
小河区,19.66 ,75.17 ,5.17 ,28.22 ,5734,4149,1575,10,13.64 ,3.75 ,9.90 ,1.29 ,8090,26389,8246
开阳县,29.32 ,64.81 ,5.86 ,24.62 ,18431,14159,4228,44,14.06 ,7.12 ,6.94 ,1.94 ,15585,6646,3265
息烽县,27.56 ,65.97 ,6.47 ,25.02 ,11438,8583,2838,17,13.92 ,7.45 ,6.47 ,1.60 ,6154,4950,1859
修文县,28.91 ,65.11 ,5.98 ,24.61 ,12537,9483,3031,23,13.46 ,7.40 ,6.06 ,1.64 ,8936,15122,2823
清镇市,29.13 ,65.37 ,5.49 ,25.33 ,20546,15331,5175,40,12.70 ,6.29 ,6.42 ,1.42 ,15963,22073,6566
六盘水市,31.09 ,63.89 ,5.02 ,25.15 ,107439,77720,29528,191,19.68 ,6.99 ,12.69 ,2.15 ,72260,73595,33874
钟山区,25.16 ,71.56 ,3.29 ,28.70 ,11937,9079,2840,18,20.22 ,3.96 ,16.26 ,1.72 ,32910,55916,17570
六枝特区,30.48 ,63.06 ,6.45 ,24.31 ,27136,19436,7649,51,18.62 ,7.86 ,10.76 ,2.23 ,12934,5504,3781
水城县,31.35 ,63.43 ,5.21 ,24.30 ,27679,20060,7575,44,24.93 ,9.05 ,15.88 ,2.70 ,5109,5538,4968
盘县,33.75 ,61.35 ,4.90 ,24.62 ,40687,29145,11464,78,16.66 ,6.52 ,10.14 ,1.95 ,21307,6637,7555
遵义市,29.94 ,63.85 ,6.21 ,24.67 ,326993,249682,76675,636,17.18 ,7.20 ,9.98 ,1.87 ,248628,144673,61241
红花岗区,22.67 ,72.27 ,5.05 ,29.14 ,27692,20860,6789,43,13.55 ,4.08 ,9.48 ,1.25 ,124073,95378,33959
遵义县,30.71 ,63.29 ,6.00 ,24.29 ,60263,46220,13924,119,14.62 ,7.16 ,7.47 ,1.61 ,30892,25876,5845
桐梓县,31.24 ,62.15 ,6.61 ,23.68 ,30551,23214,7274,63,15.94 ,7.52 ,8.42 ,1.77 ,16454,2524,3040
绥阳县,30.79 ,63.10 ,6.11 ,24.76 ,22627,17399,5190,38,18.81 ,6.90 ,11.91 ,2.08 ,6888,7080,1468
正安县,30.90 ,62.99 ,6.11 ,24.01 ,25435,20102,5296,37,17.91 ,8.90 ,9.01 ,2.15 ,6264,534,772
道真仡佬族苗族自治县,28.68 ,65.17 ,6.15 ,24.00 ,14578,11555,3008,15,19.67 ,7.94 ,11.73 ,2.17 ,4901,462,1118
务川仡佬族苗族自治县,33.70 ,60.67 ,5.63 ,23.76 ,17373,13054,4287,32,25.53 ,8.14 ,17.39 ,2.83 ,6002,1153,1228
凤冈县,31.95 ,62.63 ,5.42 ,24.24 ,16122,12227,3868,27,19.75 ,7.40 ,12.36 ,2.06 ,5711,1185,1145
湄潭县,29.46 ,64.10 ,6.44 ,24.87 ,20951,15510,5392,49,18.69 ,7.01 ,11.67 ,1.95 ,12293,2668,1679
余庆县,26.44 ,66.88 ,6.68 ,25.64 ,13242,9607,3611,24,16.84 ,6.57 ,10.26 ,1.99 ,4866,1850,1340
习水县,33.17 ,59.82 ,7.01 ,23.13 ,33350,25444,7844,62,16.09 ,7.96 ,8.13 ,1.87 ,10036,2673,3756
赤水市,24.94 ,66.54 ,8.52 ,24.60 ,17540,13794,3701,45,12.99 ,7.64 ,5.36 ,1.51 ,9777,1528,3602
仁怀市,31.94 ,61.52 ,6.55 ,23.75 ,27269,20696,6491,82,20.18 ,7.84 ,12.34 ,2.05 ,10471,1762,2289
安顺市,30.70 ,62.97 ,6.33 ,24.32 ,115578,84123,31233,222,19.28 ,7.06 ,12.23 ,2.21 ,94401,47627,22147
西秀区,28.49 ,65.00 ,6.51 ,25.43 ,38660,27640,10939,81,18.13 ,5.96 ,12.17 ,1.90 ,65651,28294,13392
平坝县,27.71 ,65.95 ,6.34 ,25.38 ,15866,11283,4559,24,19.14 ,6.86 ,12.28 ,2.12 ,10465,9486,4120
普定县,32.57 ,60.75 ,6.68 ,23.27 ,18173,12811,5321,41,19.41 ,6.99 ,12.42 ,2.14 ,4590,3684,1455
镇宁布依族苗族自治县,31.48 ,62.45 ,6.07 ,23.86 ,14987,11324,3646,17,20.35 ,8.13 ,12.23 ,2.44 ,6157,3566,1352
关岭布依族苗族自治县,33.55 ,60.20 ,6.25 ,23.27 ,13926,10348,3542,36,18.62 ,7.87 ,10.75 ,2.34 ,4882,1595,880
紫云苗族布依族自治县,33.94 ,60.26 ,5.80 ,23.03 ,13966,10717,3226,23,21.78 ,8.30 ,13.49 ,2.86 ,2656,1002,948
铜仁地区,32.26 ,61.21 ,6.53 ,23.43 ,170008,125322,44370,316,21.00 ,7.44 ,13.56 ,2.59 ,41654,13983,13307
铜仁市,26.91 ,65.82 ,7.27 ,25.14 ,17873,13450,4371,52,15.98 ,6.27 ,9.71 ,1.87 ,12687,5896,3298
江口县,31.12 ,62.22 ,6.67 ,23.17 ,10226,7885,2321,20,17.98 ,6.80 ,11.18 ,2.24 ,1589,514,697
玉屏侗族自治县,26.75 ,65.56 ,7.69 ,24.86 ,7504,5348,2124,32,17.74 ,7.27 ,10.48 ,2.05 ,2197,2051,2230
石阡县,30.73 ,63.01 ,6.27 ,24.04 ,17035,13154,3861,20,22.28 ,8.56 ,13.73 ,2.49 ,2149,708,758
思南县,32.67 ,60.78 ,6.55 ,23.63 ,27844,20219,7592,33,19.33 ,7.29 ,12.04 ,2.54 ,4853,1343,1467
印江土家族苗族自治县,31.71 ,61.34 ,6.95 ,23.30 ,18270,13339,4901,30,18.36 ,8.26 ,10.09 ,2.23 ,2592,444,764
德江县,33.39 ,61.12 ,5.49 ,23.94 ,16544,11824,4700,20,21.98 ,6.17 ,15.82 ,2.54 ,4599,809,791
沿河土家族自治县,35.15 ,59.22 ,5.63 ,22.99 ,20500,14383,6086,31,26.20 ,8.22 ,17.98 ,3.31 ,3279,432,1158
松桃苗族自治县,35.17 ,57.95 ,6.89 ,21.79 ,30124,22685,7375,64,23.31 ,7.44 ,15.87 ,3.09 ,6364,618,1770
万山特区,25.71 ,64.79 ,9.49 ,22.96 ,4088,3035,1039,14,17.10 ,8.27 ,8.84 ,1.98 ,1345,1168,374
黔西南布依族苗族自治州,32.52 ,61.74 ,5.75 ,24.34 ,130852,97886,32687,279,21.66 ,7.29 ,14.37 ,2.54 ,69116,30171,21373
兴义市,29.66 ,64.49 ,5.85 ,25.90 ,33299,24787,8430,82,16.85 ,6.24 ,10.61 ,1.77 ,29670,12128,10887
兴仁县,35.42 ,59.00 ,5.58 ,23.28 ,18192,12758,5393,41,24.91 ,7.10 ,17.81 ,3.06 ,6234,1996,2052
普安县,33.87 ,60.22 ,5.91 ,23.62 ,11958,8625,3299,34,24.53 ,7.85 ,16.68 ,2.82 ,4440,1556,1044
晴隆县,33.46 ,60.95 ,5.59 ,23.55 ,11398,8449,2934,15,21.91 ,7.75 ,14.16 ,2.87 ,6635,2700,844
贞丰县,34.86 ,58.73 ,6.40 ,23.50 ,15858,11631,4199,28,25.46 ,8.62 ,16.84 ,3.30 ,4141,1179,814
望谟县,30.72 ,64.12 ,5.16 ,24.72 ,11992,9926,2038,28,22.84 ,7.37 ,15.47 ,2.59 ,5282,1168,1127
册亨县,31.73 ,63.24 ,5.03 ,25.22 ,9194,7608,1569,17,22.61 ,7.71 ,14.90 ,2.47 ,6465,4972,1938
安龙县,32.90 ,61.10 ,6.00 ,23.58 ,18961,14102,4825,34,20.55 ,7.38 ,13.17 ,2.61 ,6249,4472,2667
毕节地区,32.47 ,61.99 ,5.54 ,24.09 ,272044,194966,76438,640,25.00 ,8.21 ,16.79 ,2.76 ,105089,32241,19916
毕节市,32.93 ,60.87 ,6.21 ,23.93 ,54061,38485,15422,154,26.65 ,8.28 ,18.37 ,2.98 ,29913,8275,4394
大方县,33.25 ,60.92 ,5.83 ,23.86 ,38199,26968,11139,92,24.26 ,7.95 ,16.31 ,2.62 ,10787,2731,1482
黔西县,31.12 ,62.76 ,6.13 ,24.00 ,33167,23812,9285,70,22.02 ,8.35 ,13.68 ,2.45 ,23763,5547,2645
金沙县,27.16 ,66.00 ,6.84 ,24.47 ,26871,19998,6798,75,16.64 ,8.26 ,8.38 ,1.85 ,16397,6460,3398
织金县,30.15 ,64.59 ,5.26 ,24.88 ,33107,22972,10050,85,24.71 ,8.38 ,16.32 ,2.72 ,7163,1377,1496
纳雍县,34.36 ,60.08 ,5.56 ,23.44 ,27682,18732,8874,76,27.19 ,9.03 ,18.17 ,3.10 ,4548,1152,784
威宁彝族回族苗族自治县,34.05 ,61.83 ,4.12 ,24.35 ,34627,25812,8776,39,27.67 ,8.10 ,19.57 ,2.87 ,7392,4843,4335
赫章县,34.77 ,60.23 ,5.00 ,23.64 ,24330,18187,6094,49,26.66 ,7.37 ,19.29 ,3.16 ,5126,1856,1382
黔东南苗族侗族自治州,29.84 ,63.94 ,6.21 ,24.26 ,193059,148022,44665,372,18.65 ,7.34 ,11.32 ,2.16 ,94847,49005,28989
凯里市,24.45 ,69.74 ,5.81 ,26.78 ,19922,14806,5073,43,15.57 ,5.63 ,9.94 ,1.67 ,35602,30352,8389
黄平县,28.77 ,64.00 ,7.23 ,23.36 ,16689,12333,4334,22,18.18 ,7.54 ,10.65 ,2.30 ,7152,1752,1076
施秉县,29.83 ,64.05 ,6.12 ,23.95 ,6684,5019,1653,12,19.33 ,6.28 ,13.05 ,2.46 ,2435,1741,1574
三穗县,32.19 ,61.00 ,6.81 ,22.91 ,9147,6752,2374,21,20.70 ,7.67 ,13.02 ,2.64 ,2774,894,1403
镇远县,28.45 ,65.50 ,6.05 ,24.70 ,10776,8124,2634,18,19.52 ,6.08 ,13.44 ,2.43 ,5175,3196,3234
岑巩县,32.56 ,60.76 ,6.68 ,23.12 ,9966,7448,2490,28,20.98 ,6.78 ,14.20 ,2.81 ,1967,1260,978
天柱县,30.64 ,62.19 ,7.17 ,22.84 ,20310,15736,4532,42,14.67 ,7.51 ,7.16 ,1.93 ,7224,1066,2344
锦屏县,33.85 ,60.16 ,5.99 ,22.94 ,9393,7403,1979,11,18.66 ,8.53 ,10.13 ,2.39 ,4645,1104,1353
剑河县,31.70 ,62.79 ,5.51 ,24.66 ,8521,6656,1856,9,21.46 ,8.01 ,13.44 ,2.31 ,3488,837,1083
台江县,29.63 ,64.63 ,5.74 ,24.88 ,6587,5021,1559,7,19.27 ,6.62 ,12.66 ,1.94 ,2431,973,581
黎平县,31.71 ,62.68 ,5.61 ,24.19 ,21410,17200,4171,39,20.06 ,8.82 ,11.24 ,2.21 ,8859,1271,2367
榕江县,31.81 ,62.95 ,5.24 ,24.58 ,12698,9721,2952,25,18.97 ,6.25 ,12.72 ,2.02 ,4750,1111,1153
从江县,28.46 ,64.80 ,6.74 ,25.00 ,16489,12733,3704,52,20.39 ,7.87 ,12.52 ,2.16 ,3198,620,1485
雷山县,30.20 ,63.90 ,5.90 ,23.77 ,6400,5023,1368,9,20.08 ,7.93 ,12.15 ,2.53 ,1300,437,463
麻江县,28.46 ,65.03 ,6.51 ,23.83 ,10783,8366,2398,19,17.06 ,7.90 ,9.16 ,2.14 ,2348,1828,1004
丹寨县,28.99 ,64.42 ,6.60 ,24.25 ,7284,5681,1588,15,19.04 ,8.38 ,10.66 ,1.83 ,1499,563,502
黔南布依族苗族自治州,29.52 ,64.35 ,6.14 ,24.44 ,180035,141653,38076,306,18.54 ,7.29 ,11.24 ,2.03 ,91754,38674,38484
都匀市,24.22 ,69.17 ,6.62 ,26.54 ,24942,19383,5513,46,13.43 ,6.49 ,6.93 ,1.56 ,29209,10479,6123
福泉市,29.52 ,64.94 ,5.55 ,24.60 ,12868,9585,3256,27,16.65 ,6.54 ,10.11 ,1.30 ,8368,5454,4273
荔波县,28.13 ,66.13 ,5.74 ,25.35 ,8225,6640,1570,15,19.76 ,6.33 ,13.44 ,2.13 ,3061,2319,12320
贵定县,29.33 ,64.49 ,6.19 ,23.95 ,13560,10612,2935,13,18.13 ,6.71 ,11.42 ,2.30 ,7996,4793,3305
瓮安县,30.07 ,64.12 ,5.81 ,24.81 ,18059,13534,4488,37,17.39 ,7.08 ,10.31 ,1.77 ,10909,2118,1877
独山县,30.78 ,62.64 ,6.59 ,23.80 ,17570,14266,3272,32,17.27 ,8.16 ,9.11 ,1.98 ,5843,2710,3379
平塘县,30.31 ,63.18 ,6.51 ,23.22 ,14409,11462,2923,24,20.03 ,8.41 ,11.62 ,2.34 ,3142,997,917
罗甸县,28.10 ,66.11 ,5.78 ,25.31 ,14480,12013,2444,23,21.58 ,7.20 ,14.38 ,2.18 ,4898,1603,1248
长顺县,31.31 ,62.18 ,6.51 ,23.13 ,11882,9092,2771,19,20.16 ,7.10 ,13.06 ,2.54 ,3466,1408,745
龙里县,30.16 ,63.69 ,6.16 ,23.84 ,9654,7495,2142,17,19.35 ,7.73 ,11.62 ,2.10 ,5645,3871,2185
惠水县,32.07 ,61.65 ,6.28 ,23.42 ,20255,16154,4066,35,21.67 ,8.63 ,13.04 ,2.49 ,6336,2310,1398
三都水族自治县,32.22 ,62.10 ,5.68 ,24.11 ,14131,11417,2696,18,20.68 ,6.94 ,13.74 ,2.32 ,2881,612,714
,,,,,,,,,,,,0.00 ,,,
云南省,25.96 ,67.95 ,6.09 ,27.01 ,2078513,1597516,475946,5051,18.44 ,7.33 ,11.11 ,1.81 ,1359401,1347837,1164402
昆明市,19.07 ,74.36 ,6.56 ,29.54 ,298111,221595,75743,773,13.92 ,5.28 ,8.63 ,1.30 ,638045,554526,578757
五华区,11.30 ,80.90 ,7.80 ,32.84 ,24467,17123,7267,77,7.43 ,3.74 ,3.68 ,0.72 ,97919,40979,44088
盘龙区,12.10 ,78.91 ,8.99 ,30.45 ,23464,16278,7126,60,7.78 ,4.99 ,2.79 ,0.77 ,61287,38625,42256
官渡区,14.54 ,81.28 ,4.18 ,32.61 ,45357,33747,11492,118,13.52 ,3.86 ,9.65 ,1.08 ,261965,269948,332875
西山区,15.25 ,78.93 ,5.82 ,31.10 ,27445,20411,6973,61,12.71 ,4.01 ,8.71 ,1.18 ,130158,93948,92345
东川区,24.67 ,67.92 ,7.40 ,26.06 ,16242,12170,4037,35,16.78 ,6.04 ,10.74 ,1.97 ,12630,3984,2032
呈贡县,18.84 ,74.06 ,7.10 ,28.61 ,9800,6996,2762,42,16.08 ,5.89 ,10.19 ,1.45 ,8425,22332,14285
晋宁县,21.33 ,70.56 ,8.11 ,28.70 ,16665,11895,4726,44,15.28 ,6.19 ,9.09 ,1.76 ,14928,11905,6898
富民县,21.71 ,70.10 ,8.19 ,27.82 ,9259,7203,2020,36,15.30 ,6.83 ,8.46 ,1.49 ,3169,4469,2557
宜良县,21.82 ,70.01 ,8.17 ,27.87 ,26262,20441,5758,63,15.62 ,7.50 ,8.12 ,1.80 ,14910,9954,7233
石林彝族自治县,24.97 ,67.91 ,7.12 ,27.43 ,12240,8677,3535,28,17.70 ,6.61 ,11.09 ,1.85 ,7660,5481,4467
